38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:01:82,80:8d:b7:55:25:e3,38:17:c3:1f:01:81,38:17:c3:19:d7:62,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:d7:61,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,ac:e2:d3:c4:08:e6,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:1e:ff:01,20:a6:cd:50:24:b2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,20:a6:cd:50:24:b1,38:17:c3:1e:ff:12,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,38:17:c3:1f:01:90,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,38:17:c3:1f:01:80,80:8d:b7:55:25:e0,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:3a:40,44:48:c1:a5:82:20,80:8d:b7:55:3a:50,00:4e:35:df:06:52,38:17:c3:19:55:50,38:17:c3:1e:ff:00,20:a6:cd:50:24:b0,b4:5d:50:e1:92:31,38:17:c3:1e:ff:10,b0:be:76:f8:30:5e,80:8d:b7:55:39:c1,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,00:4e:35:df:06:40,00:4e:35:df:06:41,38:17:c3:1e:ff:02,44:48:c1:a5:82:30,20:a6:cd:50:24:a0,00:4e:35:df:06:42,38:17:c3:19:45:b0,38:17:c3:19:45:b2,38:17:c3:1e:ff:11,38:17:c3:19:d7:60,b4:5d:50:e1:92:22,38:17:c3:19:45:b1,38:17:c3:19:45:a1,38:17:c3:19:45:a0,b4:5d:50:e1:92:23,38:17:c3:19:45:a2,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,b4:5d:50:e1:92:21,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:20,b4:5d:50:e1:92:30,a8:bd:27:4c:bd:30,00:4e:35:de:e1:00,00:4e:35:de:e1:11,00:4e:35:de:e1:10,00:4e:35:de:e1:01,00:4e:35:de:e1:12,00:4e:35:de:e1:02,38:17:c3:1f:08:41,44:48:c1:91:95:b2,38:17:c3:1f:08:50,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:31,38:17:c3:1f:22:21,00:4e:35:de:d7:52,38:17:c3:1f:22:20,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:de:d7:40,38:17:c3:1f:22:30,38:17:c3:1f:22:22,a8:bd:27:4c:bd:21,38:17:c3:19:71:90,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:19:71:81,a8:bd:27:4c:bd:22,38:17:c3:19:71:92,00:4e:35:de:d7:43,38:17:c3:1f:22:32,38:17:c3:1f:08:52,38:17:c3:1f:08:51,38:17:c3:1f:22:31,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:58:a2,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,38:17:c3:24:4f:10,00:4e:35:de:d7:42,00:4e:35:de:d7:41,38:17:c3:1f:0f:92,38:17:c3:24:4f:11,20:a6:cd:42:0b:f0,68:ff:7b:e4:af:39,38:17:c3:1f:09:90,38:17:c3:24:4f:00,b4:5d:50:e1:96:53,38:17:c3:1f:00:b0,38:17:c3:1b:08:b2,38:17:c3:1f:0f:91,38:17:c3:24:58:b2,38:17:c3:24:4f:02,38:17:c3:1f:09:92,38:17:c3:1b:08:b1,00:4e:35:df:27:12,68:ff:7b:e4:af:38,38:17:c3:19:71:91,38:17:c3:1f:09:91,38:17:c3:1f:09:83,b4:5d:50:e1:96:43,38:17:c3:24:4f:12,b4:5d:50:e1:96:51,38:17:c3:1f:0f:90,38:17:c3:24:4f:01,38:17:c3:24:58:b1,38:17:c3:1f:09:93,20:a6:cd:42:0b:f3,44:48:c1:91:95:b3,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,0a:05:a7:e3:d9:82,9e:2b:77:8e:45:c7,38:17:c3:1f:00:b2,44:48:c1:91:95:b1,38:17:c3:1f:00:b1,80:8d:b7:55:4d:10,44:48:c1:91:95:b0,x,y,label
-60,-60,-52,-54,-54,-69,-69,-71,-71,-71,-68,-67,-66,-62,-77,-77,-78,-72,-79,-70,-81,-81,-79,-79,-79,-71,-71,-70,-69,-69,-79,-79,-83,-85,-85,-90,-89,-77,-80,-87,-84,-100,-88,-80,-85,-61,-54,-69,-71,-77,-68,-62,-73,-71,-81,-79,-76,-69,-79,-82,-85,-77,-88,-92,-85,-71,-62,-72,-72,-75,-76,-84,-92,-79,-72,-85,-85,-90,-90,-85,-71,-95,-93,-99,-99,-96,-100,-100,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-91,-100,-83,-100,-100,-100,-100,-100,-86,-100,-100,-91,-90,-86,-91,-100,-100,-84,-100,-100,-100,-87,-88,-100,-83,-81,-100,-88,-90,-100,-92,-94,-100,545.0,260.0,0.0
-60,-60,-53,-54,-54,-68,-68,-71,-70,-71,-67,-67,-65,-63,-78,-78,-77,-72,-77,-70,-81,-81,-79,-79,-79,-71,-71,-70,-69,-69,-79,-79,-82,-85,-85,-89,-89,-77,-80,-88,-84,-100,-88,-80,-85,-60,-54,-68,-71,-78,-67,-63,-72,-71,-81,-79,-77,-69,-79,-82,-85,-76,-87,-92,-85,-70,-62,-72,-72,-75,-75,-85,-92,-79,-72,-86,-85,-90,-90,-85,-70,-94,-93,-99,-99,-95,-99,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-97,-91,-100,-83,-100,-100,-100,-100,-100,-87,-100,-100,-91,-90,-87,-91,-100,-100,-83,-100,-100,-100,-87,-88,-100,-83,-81,-100,-88,-90,-100,-92,-94,-100,545.0,260.0,0.0
-60,-60,-52,-54,-54,-69,-69,-71,-71,-71,-68,-67,-66,-62,-77,-77,-78,-72,-79,-70,-81,-81,-79,-79,-79,-71,-71,-70,-69,-69,-79,-79,-83,-85,-85,-90,-89,-77,-80,-87,-84,-100,-88,-80,-85,-61,-54,-69,-71,-77,-68,-62,-73,-71,-81,-79,-76,-69,-79,-82,-85,-77,-88,-92,-85,-71,-62,-72,-72,-75,-76,-84,-92,-79,-72,-85,-85,-90,-90,-85,-71,-95,-93,-99,-99,-96,-100,-100,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-91,-100,-83,-100,-100,-100,-100,-100,-86,-100,-100,-91,-90,-86,-91,-100,-100,-84,-100,-100,-100,-87,-88,-100,-83,-81,-100,-88,-90,-100,-92,-94,-100,545.0,260.0,0.0
-60,-60,-52,-54,-54,-69,-69,-71,-70,-71,-67,-67,-65,-63,-77,-77,-77,-72,-78,-70,-81,-81,-79,-79,-79,-71,-71,-70,-69,-69,-79,-79,-82,-86,-85,-90,-89,-77,-80,-87,-84,-100,-88,-80,-85,-60,-54,-69,-71,-77,-67,-63,-72,-71,-81,-79,-77,-69,-79,-82,-85,-77,-87,-92,-85,-71,-62,-72,-72,-75,-75,-84,-92,-79,-72,-85,-85,-90,-90,-85,-70,-95,-93,-98,-98,-95,-99,-100,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-91,-100,-83,-100,-100,-100,-100,-100,-87,-100,-100,-91,-91,-87,-91,-100,-100,-83,-100,-100,-100,-87,-88,-100,-83,-81,-100,-88,-90,-100,-92,-94,-100,545.0,260.0,0.0
-60,-60,-53,-56,-55,-68,-68,-70,-70,-70,-67,-67,-65,-63,-77,-77,-81,-72,-82,-70,-80,-80,-79,-79,-79,-71,-71,-70,-71,-71,-79,-79,-80,-85,-84,-89,-88,-80,-81,-87,-84,-97,-87,-81,-87,-60,-55,-68,-70,-77,-67,-63,-78,-71,-82,-79,-76,-71,-79,-82,-85,-77,-86,-91,-85,-69,-62,-71,-71,-74,-74,-83,-89,-82,-71,-86,-84,-89,-88,-86,-72,-94,-91,-99,-99,-94,-99,-100,-99,-99,-92,-99,-98,-97,-98,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-91,-100,-82,-100,-100,-100,-100,-100,-87,-100,-100,-91,-91,-87,-91,-100,-100,-83,-100,-100,-100,-87,-88,-100,-83,-81,-100,-88,-90,-100,-92,-94,-100,545.0,260.0,0.0
-60,-60,-53,-56,-55,-68,-68,-70,-70,-70,-67,-67,-65,-63,-77,-77,-81,-72,-82,-70,-80,-80,-79,-79,-79,-71,-71,-70,-71,-71,-79,-79,-80,-85,-84,-89,-88,-80,-81,-87,-84,-97,-87,-81,-87,-60,-55,-68,-70,-77,-67,-63,-78,-71,-82,-79,-76,-71,-79,-82,-85,-77,-86,-91,-85,-69,-62,-71,-71,-74,-74,-83,-89,-82,-71,-86,-84,-89,-88,-86,-72,-94,-91,-99,-99,-94,-99,-100,-99,-99,-92,-99,-98,-97,-98,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-91,-100,-82,-100,-100,-100,-100,-100,-87,-100,-100,-91,-91,-87,-91,-100,-100,-83,-100,-100,-100,-87,-88,-100,-83,-81,-100,-88,-90,-100,-92,-94,-100,545.0,260.0,0.0
-59,-59,-53,-57,-55,-68,-68,-69,-69,-69,-67,-67,-65,-65,-76,-76,-79,-71,-79,-70,-80,-80,-80,-80,-79,-72,-72,-70,-71,-71,-80,-80,-79,-85,-84,-88,-87,-80,-81,-89,-83,-96,-87,-81,-86,-59,-55,-68,-69,-76,-67,-65,-76,-71,-81,-80,-75,-71,-80,-83,-84,-78,-86,-90,-85,-68,-66,-72,-72,-73,-74,-82,-87,-83,-72,-86,-84,-90,-89,-85,-72,-94,-91,-97,-96,-94,-96,-100,-100,-100,-93,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-91,-100,-82,-100,-100,-100,-100,-100,-87,-100,-100,-91,-91,-87,-91,-100,-100,-83,-100,-100,-100,-87,-88,-100,-83,-81,-100,-88,-90,-100,-92,-94,-100,545.0,274.2,1.0
-59,-59,-53,-60,-56,-68,-68,-68,-68,-68,-66,-66,-66,-64,-75,-76,-81,-70,-81,-70,-79,-79,-80,-80,-80,-72,-72,-70,-72,-72,-80,-80,-78,-84,-84,-87,-86,-83,-82,-89,-82,-94,-87,-81,-86,-59,-56,-68,-68,-76,-66,-64,-79,-71,-81,-80,-73,-72,-80,-84,-84,-79,-86,-89,-85,-67,-68,-72,-72,-72,-73,-81,-84,-86,-72,-85,-84,-90,-89,-85,-74,-94,-90,-97,-95,-94,-96,-100,-100,-100,-92,-96,-96,-95,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-91,-100,-82,-100,-100,-100,-100,-100,-86,-100,-100,-91,-91,-86,-91,-100,-100,-84,-100,-100,-100,-87,-88,-100,-83,-81,-100,-88,-90,-100,-92,-94,-100,545.0,274.2,1.0
-59,-59,-53,-54,-54,-68,-68,-70,-69,-70,-67,-67,-65,-66,-77,-77,-77,-72,-77,-70,-80,-80,-79,-79,-79,-72,-72,-70,-71,-71,-79,-80,-80,-85,-84,-89,-89,-78,-80,-89,-83,-98,-88,-80,-86,-59,-54,-68,-70,-77,-67,-66,-73,-71,-81,-79,-76,-71,-79,-83,-84,-76,-87,-92,-85,-69,-64,-72,-72,-74,-74,-83,-89,-79,-72,-86,-84,-91,-90,-86,-71,-95,-92,-97,-96,-95,-96,-100,-100,-100,-95,-98,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-91,-100,-82,-100,-100,-100,-100,-100,-88,-100,-100,-91,-92,-88,-91,-100,-100,-83,-100,-100,-100,-87,-88,-100,-83,-81,-100,-88,-90,-100,-92,-94,-100,545.0,274.2,1.0
-59,-59,-53,-60,-56,-67,-67,-68,-68,-68,-66,-66,-65,-65,-75,-76,-81,-71,-81,-70,-79,-79,-80,-80,-80,-72,-72,-70,-72,-72,-80,-80,-77,-84,-84,-87,-86,-83,-82,-89,-82,-94,-87,-81,-87,-59,-56,-67,-68,-76,-66,-66,-78,-71,-81,-80,-74,-72,-80,-84,-84,-79,-85,-89,-85,-67,-68,-72,-72,-72,-73,-81,-84,-86,-72,-85,-84,-90,-89,-86,-73,-94,-90,-96,-94,-93,-96,-100,-100,-100,-92,-96,-96,-95,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-91,-100,-82,-100,-100,-100,-100,-100,-87,-100,-100,-91,-92,-87,-91,-100,-100,-83,-100,-100,-100,-87,-88,-100,-83,-81,-100,-88,-90,-100,-92,-94,-100,545.0,274.2,1.0
