60:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:51,38:17:c3:19:45:b2,20:a6:cd:42:0a:d1,38:17:c3:19:45:b1,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,38:17:c3:1f:14:11,38:17:c3:1f:14:12,b4:5d:50:e1:96:43,38:17:c3:1f:09:81,44:48:c1:91:d0:04,38:17:c3:1f:09:82,44:48:c1:91:d0:02,38:17:c3:24:47:51,38:17:c3:24:47:52,44:48:c1:91:d0:10,44:48:c1:91:d0:12,44:48:c1:91:95:a3,a8:bd:27:4c:aa:83,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:09:93,38:17:c3:1f:00:a0,38:17:c3:1f:00:b0,20:a6:cd:42:0a:c2,b4:5d:50:e1:96:40,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d2,38:17:c3:1f:14:10,9c:d6:43:60:92:e0,38:17:c3:1f:09:80,44:48:c1:91:d0:11,38:17:c3:24:47:50,38:17:c3:1f:19:d0,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:14:01,44:48:c1:91:95:a1,44:48:c1:91:d0:14,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:93,44:48:c1:91:95:a2,a8:bd:27:4c:aa:90,b4:5d:50:e1:96:42,20:a6:cd:42:0a:c3,b4:5d:50:e1:96:41,38:17:c3:1f:14:02,44:48:c1:91:d0:00,44:48:c1:91:95:a0,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:1f:09:83,38:17:c3:19:45:a1,38:17:c3:19:45:a2,44:48:c1:91:95:b3,38:17:c3:1f:14:00,44:48:c1:91:d0:01,38:17:c3:19:45:b0,a8:bd:27:4c:aa:80,38:17:c3:19:45:a0,38:17:c3:1f:09:90,44:48:c1:91:95:b2,38:17:c3:1f:09:91,66:2a:2f:53:7c:99,38:17:c3:1f:09:92,ac:e2:d3:c4:08:e6,38:17:c3:1f:19:c1,44:48:c1:91:95:b1,86:0d:8e:aa:25:a4,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f3,38:17:c3:19:d7:72,20:a6:cd:42:0b:f0,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:70,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:71,80:8d:b7:55:35:03,80:8d:b7:55:25:e3,b0:be:76:f8:30:5e,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:25:e1,80:8d:b7:55:25:f3,80:8d:b7:55:25:e0,80:8d:b7:55:35:01,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:10,ea:9e:b4:53:24:54,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:3a:42,80:8d:b7:55:35:11,80:8d:b7:55:3a:50,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1e:ff:01,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:02,38:17:c3:1e:ff:10,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,38:17:c3:1e:ff:00,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:39:d0,20:a6:cd:50:24:b0,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,20:a6:cd:50:24:a0,80:8d:b7:55:39:c2,38:17:c3:19:71:90,80:8d:b7:55:29:c2,00:4e:35:df:06:42,00:4e:35:df:06:40,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:0e:10,00:4e:35:df:06:41,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:22:30,38:17:c3:1f:22:21,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:22:32,38:17:c3:1f:22:31,00:4e:35:de:e1:12,38:17:c3:1f:19:f1,00:4e:35:de:e1:10,68:ff:7b:e4:af:39,38:17:c3:22:5e:f0,72:32:b1:3e:1a:b8,38:17:c3:22:61:90,20:a6:cd:42:13:f0,80:8d:b7:55:4d:01,38:17:c3:24:56:50,00:4e:35:df:06:52,38:17:c3:19:36:32,00:4e:35:df:06:51,bc:42:8c:64:49:70,38:17:c3:1f:19:f2,38:17:c3:22:5e:f2,38:17:c3:1a:cf:d0,38:17:c3:1a:cf:d1,20:a6:cd:42:13:f1,80:8d:b7:55:4d:02,68:ff:7b:e4:af:38,44:48:c1:91:aa:30,38:17:c3:1f:08:50,38:17:c3:1a:cf:d2,38:17:c3:19:71:91,00:4e:35:df:06:50,38:17:c3:19:36:31,20:a6:cd:42:13:f2,80:8d:b7:55:4d:00,80:8d:b7:55:4d:10,44:48:c1:91:95:b0,00:4e:35:de:e1:11,72:32:b1:3e:1a:b7,38:17:c3:19:71:92,38:17:c3:22:61:92,38:17:c3:19:36:30,38:17:c3:22:61:91,x,y,label
-56,-66,-66,-70,-72,-72,-73,-73,-74,-78,-78,-78,-78,-78,-77,-78,-71,-80,-73,-78,-74,-86,-89,-79,-79,-78,-77,-82,-82,-86,-66,-72,-72,-73,-74,-78,-78,-73,-80,-79,-87,-82,-74,-74,-72,-83,-79,-93,-97,-97,-79,-91,-73,-71,-73,-72,-74,-79,-78,-79,-78,-92,-92,-88,-72,-74,-78,-78,-92,-86,-87,-89,-92,-91,-97,-92,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-92,-64,-90,-91,-100,-96,-100,-91,-100,-100,-84,-91,-88,-86,-85,-100,-100,-100,-100,-87,-100,-100,-89,-86,-100,-100,-85,-100,-62,-100,-89,-92,-89,350,260,0
-56,-66,-66,-70,-72,-72,-73,-73,-74,-78,-78,-78,-78,-78,-77,-78,-71,-80,-73,-78,-74,-86,-89,-79,-79,-78,-77,-82,-82,-86,-66,-72,-72,-73,-74,-78,-78,-73,-80,-79,-87,-82,-74,-74,-72,-83,-79,-93,-97,-97,-79,-91,-73,-71,-73,-72,-74,-79,-78,-79,-78,-92,-92,-88,-72,-74,-78,-78,-92,-86,-87,-89,-92,-91,-97,-92,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-92,-64,-90,-91,-100,-96,-100,-91,-100,-100,-84,-91,-88,-86,-85,-100,-100,-100,-100,-87,-100,-100,-89,-86,-100,-100,-85,-100,-62,-100,-89,-92,-89,350,260,0
-56,-66,-66,-70,-72,-72,-73,-73,-74,-78,-78,-78,-78,-78,-77,-78,-71,-80,-73,-78,-74,-86,-89,-79,-79,-78,-77,-82,-82,-86,-66,-72,-72,-73,-74,-78,-78,-73,-80,-79,-87,-82,-74,-74,-72,-83,-79,-93,-97,-97,-79,-91,-73,-71,-73,-72,-74,-79,-78,-79,-78,-92,-92,-88,-72,-74,-78,-78,-92,-86,-87,-89,-92,-91,-97,-92,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-92,-64,-90,-91,-100,-96,-100,-91,-100,-100,-84,-91,-88,-86,-85,-100,-100,-100,-100,-87,-100,-100,-89,-86,-100,-100,-85,-100,-62,-100,-89,-92,-89,350,260,0
-56,-66,-66,-70,-72,-72,-73,-73,-74,-78,-78,-78,-78,-78,-77,-78,-71,-80,-73,-78,-74,-86,-89,-79,-79,-78,-77,-82,-82,-86,-66,-72,-72,-73,-74,-78,-78,-73,-80,-79,-87,-82,-74,-74,-72,-83,-79,-93,-97,-97,-79,-91,-73,-71,-73,-72,-74,-79,-78,-79,-78,-92,-92,-88,-72,-74,-78,-78,-92,-86,-87,-89,-92,-91,-97,-92,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-92,-64,-90,-91,-100,-96,-100,-91,-100,-100,-84,-91,-88,-86,-85,-100,-100,-100,-100,-87,-100,-100,-89,-86,-100,-100,-85,-100,-62,-100,-89,-92,-89,350,260,0
-56,-66,-66,-70,-72,-72,-73,-73,-74,-78,-78,-78,-78,-78,-77,-78,-71,-80,-73,-78,-74,-86,-89,-79,-79,-78,-77,-82,-82,-86,-66,-72,-72,-73,-74,-78,-78,-73,-80,-79,-87,-82,-74,-74,-72,-83,-79,-93,-97,-97,-79,-91,-73,-71,-73,-72,-74,-79,-78,-79,-78,-92,-92,-88,-72,-74,-78,-78,-92,-86,-87,-89,-92,-91,-97,-92,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-92,-64,-90,-91,-100,-96,-100,-91,-100,-100,-84,-91,-88,-86,-85,-100,-100,-100,-100,-87,-100,-100,-89,-86,-100,-100,-85,-100,-62,-100,-89,-92,-89,350,260,0
-56,-66,-66,-70,-72,-72,-73,-73,-74,-78,-78,-78,-78,-78,-77,-78,-71,-80,-73,-78,-74,-86,-89,-79,-79,-78,-77,-82,-82,-86,-66,-72,-72,-73,-74,-78,-78,-73,-80,-79,-87,-82,-74,-74,-72,-83,-79,-93,-97,-97,-79,-91,-73,-71,-73,-72,-74,-79,-78,-79,-78,-92,-92,-88,-72,-74,-78,-78,-92,-86,-87,-89,-92,-91,-97,-92,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-92,-64,-90,-91,-100,-96,-100,-91,-100,-100,-84,-91,-88,-86,-85,-100,-100,-100,-100,-87,-100,-100,-89,-86,-100,-100,-85,-100,-62,-100,-89,-92,-89,350,260,0
-54,-63,-63,-68,-71,-71,-74,-74,-76,-79,-78,-79,-78,-78,-77,-77,-73,-76,-72,-77,-72,-81,-80,-80,-80,-77,-76,-83,-84,-86,-63,-71,-74,-73,-76,-78,-77,-72,-76,-80,-81,-83,-76,-76,-72,-79,-80,-93,-97,-95,-79,-88,-73,-71,-73,-72,-72,-79,-75,-75,-79,-89,-90,-88,-72,-72,-84,-75,-92,-86,-88,-89,-91,-89,-97,-92,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-92,-64,-89,-88,-100,-95,-100,-91,-100,-100,-84,-91,-88,-86,-85,-100,-100,-100,-100,-87,-100,-100,-89,-85,-100,-100,-84,-100,-62,-100,-89,-93,-89,350,243,1
-52,-62,-62,-68,-70,-70,-75,-75,-77,-80,-77,-79,-77,-77,-77,-77,-73,-77,-71,-77,-72,-80,-80,-80,-80,-75,-76,-84,-84,-86,-62,-70,-74,-74,-77,-77,-77,-72,-77,-80,-80,-84,-77,-77,-71,-83,-80,-93,-97,-97,-79,-88,-74,-71,-74,-71,-72,-79,-75,-79,-78,-89,-90,-88,-72,-72,-84,-79,-92,-86,-90,-87,-89,-86,-97,-92,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-92,-64,-89,-88,-100,-95,-100,-91,-100,-100,-84,-91,-88,-86,-85,-100,-100,-100,-100,-87,-100,-100,-89,-85,-100,-100,-84,-100,-62,-100,-89,-93,-89,350,243,1
-51,-61,-61,-68,-69,-69,-75,-75,-78,-80,-77,-79,-77,-76,-76,-76,-74,-77,-71,-77,-71,-79,-79,-80,-80,-73,-74,-85,-85,-86,-61,-69,-74,-80,-79,-77,-76,-72,-77,-80,-79,-85,-78,-79,-71,-87,-80,-93,-95,-97,-79,-87,-75,-71,-75,-71,-72,-79,-72,-76,-78,-86,-90,-91,-72,-72,-84,-76,-88,-86,-93,-87,-90,-86,-94,-95,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-92,-64,-90,-91,-100,-96,-100,-91,-100,-100,-84,-91,-88,-86,-85,-100,-100,-100,-100,-87,-100,-100,-89,-86,-100,-100,-85,-100,-62,-100,-89,-92,-89,350,243,1
-51,-61,-61,-68,-69,-69,-75,-75,-78,-80,-77,-79,-77,-76,-76,-76,-74,-77,-71,-77,-71,-79,-79,-80,-80,-73,-74,-85,-85,-86,-61,-69,-74,-80,-79,-77,-76,-72,-77,-80,-79,-85,-78,-79,-71,-87,-80,-93,-95,-97,-79,-87,-75,-71,-75,-71,-72,-79,-72,-76,-78,-86,-90,-91,-72,-72,-84,-76,-88,-86,-93,-87,-90,-86,-94,-95,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-92,-64,-90,-91,-100,-96,-100,-91,-100,-100,-84,-91,-88,-86,-85,-100,-100,-100,-100,-87,-100,-100,-89,-86,-100,-100,-85,-100,-62,-100,-89,-92,-89,350,243,1
