44:48:c1:a5:82:30,b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:39:d1,38:17:c3:1f:01:91,80:8d:b7:55:39:d2,38:17:c3:1f:01:92,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,38:17:c3:1f:0e:01,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,80:8d:b7:55:35:01,38:17:c3:1f:01:82,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:25:e3,80:8d:b7:55:25:e2,ac:e2:d3:c4:08:e6,72:32:b1:3e:1a:b7,00:4e:35:df:06:51,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:1e:ff:02,44:48:c1:a5:82:22,38:17:c3:1e:ff:01,44:48:c1:a5:82:21,68:ff:7b:e4:af:38,00:4e:35:df:06:41,38:17:c3:1e:ff:11,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,b4:5d:50:e1:92:33,38:17:c3:19:55:51,38:17:c3:19:55:52,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:92:22,38:17:c3:1f:22:32,b4:5d:50:e1:92:23,38:17:c3:19:71:92,38:17:c3:1f:22:31,38:17:c3:1f:0e:10,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,38:17:c3:1f:0e:00,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,80:8d:b7:55:39:c0,00:4e:35:df:06:52,38:17:c3:1e:ff:00,44:48:c1:a5:82:20,38:17:c3:1e:ff:10,00:4e:35:df:06:42,b4:5d:50:e1:96:50,38:17:c3:19:55:50,b4:5d:50:e1:92:31,38:17:c3:1f:22:30,66:2a:2f:53:7c:99,80:8d:b7:55:35:02,80:8d:b7:55:35:03,38:17:c3:19:d7:72,60:32:b1:3e:1a:b7,80:8d:b7:55:25:e1,38:17:c3:19:45:b2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1e:ff:12,00:4e:35:df:06:40,00:4e:35:de:e1:10,60:32:b1:3e:1a:b8,38:17:c3:1f:09:93,38:17:c3:19:d7:70,20:a6:cd:50:24:b0,80:8d:b7:55:25:e0,38:17:c3:19:d7:60,38:17:c3:19:d7:71,38:17:c3:19:45:b1,00:4e:35:df:06:50,72:32:b1:3e:1a:b8,80:8d:b7:55:35:00,38:17:c3:1f:01:81,38:17:c3:1f:01:80,20:a6:cd:50:24:a2,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,b4:5d:50:e1:92:20,38:17:c3:19:45:b0,80:8d:b7:55:3a:40,00:4e:35:de:e1:12,b4:5d:50:e1:92:21,20:a6:cd:50:24:a1,38:17:c3:1f:09:83,20:a6:cd:50:24:a0,00:4e:35:de:e1:02,00:4e:35:de:e1:11,68:ff:7b:e4:af:39,38:17:c3:19:71:91,20:a6:cd:42:0b:f0,38:17:c3:19:71:90,20:a6:cd:42:0b:f3,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:19:45:a0,38:17:c3:1f:09:91,00:4e:35:de:e1:00,20:a6:cd:42:0b:e3,38:17:c3:1f:09:90,00:4e:35:de:e1:01,b4:5d:50:e1:96:43,38:17:c3:1f:08:50,20:a6:cd:42:0b:e2,38:17:c3:1f:22:22,00:4e:35:df:0e:10,38:17:c3:19:55:41,38:17:c3:19:71:80,38:17:c3:19:55:40,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:1f:00:b0,38:17:c3:1f:09:82,38:17:c3:1f:09:80,38:17:c3:1f:00:b1,38:17:c3:1f:09:81,38:17:c3:19:55:42,38:17:c3:1f:22:20,38:17:c3:1f:22:21,9c:d6:43:60:92:e0,00:4e:35:df:0e:12,00:4e:35:de:d7:53,38:17:c3:1f:08:51,00:4e:35:de:d7:52,38:17:c3:1f:08:52,44:48:c1:91:95:b0,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b2,00:4e:35:de:d7:50,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,00:4e:35:de:d7:51,00:4e:35:df:0e:11,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:de:d7:40,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,00:4e:35:de:d7:43,00:4e:35:de:d7:42,a8:bd:27:4c:bd:20,00:4e:35:de:d7:41,38:17:c3:19:36:30,38:17:c3:19:36:31,38:17:c3:19:36:32,38:17:c3:19:36:21,38:17:c3:19:36:22,38:17:c3:19:36:20,32:f7:72:50:57:3b,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:30,00:4e:35:df:0e:02,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,20:4e:7f:c2:ff:e8,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:a0,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:90,38:17:c3:24:4f:10,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:4f:01,38:17:c3:24:4f:02,38:17:c3:24:4f:00,00:4e:35:df:27:12,38:17:c3:1b:08:b0,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,00:4e:35:df:27:01,00:4e:35:df:27:02,00:4e:35:df:27:10,00:4e:35:df:27:11,00:4e:35:df:27:00,38:17:c3:1b:08:a2,38:17:c3:1b:08:b1,x,y,label
-73,-70,-47,-48,-64,-64,-64,-64,-66,-66,-66,-68,-68,-68,-46,-46,-47,-65,-68,-74,-75,-75,-76,-71,-71,-73,-73,-74,-84,-79,-75,-75,-76,-76,-76,-77,-87,-79,-83,-83,-85,-85,-85,-85,-85,-85,-85,-82,-86,-83,-87,-87,-47,-64,-65,-66,-47,-69,-75,-72,-79,-76,-77,-82,-79,-85,-85,-85,-86,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-72,-66,-45,-48,-63,-65,-63,-65,-64,-65,-65,-70,-70,-70,-43,-43,-43,-66,-68,-74,-74,-77,-77,-71,-71,-74,-75,-75,-84,-81,-78,-78,-76,-77,-76,-78,-87,-79,-81,-83,-85,-87,-85,-85,-79,-79,-79,-82,-86,-83,-87,-87,-48,-65,-63,-64,-43,-70,-77,-72,-81,-76,-77,-81,-79,-80,-85,-85,-86,-87,-65,-68,-76,-83,-74,-78,-79,-79,-80,-79,-83,-83,-87,-75,-79,-75,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-73,-66,-48,-46,-63,-65,-63,-66,-63,-63,-63,-68,-68,-68,-44,-44,-44,-64,-68,-74,-74,-76,-76,-73,-71,-72,-74,-76,-84,-80,-78,-78,-76,-77,-75,-78,-87,-79,-79,-83,-85,-85,-85,-85,-79,-79,-79,-82,-86,-83,-87,-87,-46,-66,-63,-63,-44,-68,-76,-72,-80,-76,-77,-79,-79,-79,-85,-85,-86,-87,-65,-68,-74,-82,-74,-78,-79,-80,-80,-79,-83,-83,-87,-75,-79,-74,-78,-75,-78,-80,-80,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-73,-68,-47,-46,-62,-65,-62,-65,-67,-67,-67,-66,-66,-67,-44,-44,-44,-64,-67,-74,-74,-76,-76,-71,-71,-72,-74,-73,-82,-80,-78,-78,-76,-78,-76,-78,-87,-78,-81,-85,-85,-85,-84,-86,-79,-79,-80,-82,-86,-83,-87,-87,-49,-66,-63,-67,-44,-67,-76,-71,-80,-76,-77,-82,-78,-79,-86,-84,-88,-87,-65,-68,-74,-82,-74,-78,-79,-80,-82,-79,-83,-83,-87,-75,-79,-74,-78,-75,-78,-80,-80,-65,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-73,-68,-48,-48,-63,-65,-63,-66,-66,-66,-66,-69,-69,-69,-44,-43,-44,-65,-69,-73,-74,-75,-76,-71,-71,-73,-74,-74,-82,-76,-78,-78,-76,-78,-76,-78,-87,-77,-81,-85,-85,-85,-84,-86,-79,-79,-79,-85,-86,-82,-87,-87,-48,-66,-63,-66,-45,-69,-75,-71,-77,-76,-77,-82,-77,-79,-86,-84,-88,-86,-65,-66,-74,-82,-74,-78,-80,-80,-81,-79,-83,-82,-87,-75,-81,-74,-78,-75,-78,-80,-80,-66,-69,-69,-76,-78,-78,-85,-79,-78,-86,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-73,-68,-48,-48,-63,-65,-63,-66,-66,-66,-66,-69,-69,-69,-44,-43,-44,-65,-69,-73,-74,-75,-76,-71,-71,-73,-74,-74,-82,-76,-78,-78,-76,-78,-76,-78,-87,-77,-81,-85,-85,-85,-84,-86,-79,-79,-79,-85,-86,-82,-87,-87,-48,-66,-63,-66,-45,-69,-75,-71,-77,-76,-77,-82,-77,-79,-86,-84,-88,-86,-65,-66,-74,-82,-74,-78,-80,-80,-81,-79,-83,-82,-87,-75,-81,-74,-78,-75,-78,-80,-80,-66,-69,-69,-76,-78,-78,-85,-79,-78,-86,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-71,-67,-51,-51,-63,-66,-63,-65,-61,-61,-61,-70,-70,-70,-50,-44,-44,-65,-69,-72,-72,-75,-75,-66,-66,-72,-74,-79,-100,-79,-75,-74,-79,-74,-79,-100,-100,-77,-76,-84,-85,-85,-84,-85,-84,-84,-85,-84,-86,-84,-100,-86,-52,-66,-63,-62,-45,-70,-75,-66,-79,-79,-100,-77,-85,-84,-84,-85,-85,-84,-65,-66,-75,-82,-74,-80,-80,-77,-81,-77,-100,-83,-86,-75,-81,-75,-74,-73,-79,-76,-81,-66,-69,-69,-76,-78,-78,-85,-80,-78,-87,-84,-76,-88,-76,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-72,-67,-51,-51,-67,-66,-67,-67,-61,-61,-61,-68,-68,-68,-49,-43,-49,-65,-65,-72,-73,-74,-74,-66,-66,-72,-74,-72,-82,-79,-75,-74,-78,-74,-79,-100,-85,-77,-78,-84,-83,-84,-84,-84,-85,-84,-84,-84,-86,-84,-89,-85,-51,-67,-67,-61,-45,-68,-74,-66,-79,-79,-100,-78,-85,-84,-84,-83,-86,-84,-65,-66,-72,-82,-74,-77,-76,-76,-81,-77,-85,-83,-86,-75,-81,-75,-74,-72,-76,-76,-81,-66,-66,-65,-77,-74,-74,-85,-76,-74,-84,-84,-76,-88,-76,-87,-83,-82,-87,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-72,-68,-52,-52,-67,-66,-67,-67,-61,-61,-61,-68,-69,-68,-50,-43,-50,-66,-65,-72,-73,-74,-74,-66,-66,-69,-71,-73,-82,-78,-76,-76,-78,-74,-79,-75,-85,-84,-77,-84,-83,-84,-84,-84,-85,-84,-84,-84,-85,-85,-89,-85,-52,-67,-67,-61,-50,-69,-74,-66,-79,-79,-100,-77,-83,-84,-84,-83,-86,-82,-67,-63,-73,-83,-74,-76,-76,-77,-81,-83,-86,-83,-86,-73,-81,-75,-76,-73,-76,-79,-81,-67,-65,-64,-76,-74,-74,-85,-76,-74,-86,-84,-75,-88,-76,-86,-85,-82,-87,-87,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-72,-69,-51,-51,-67,-67,-67,-67,-61,-61,-61,-68,-69,-69,-49,-45,-49,-66,-65,-72,-72,-74,-75,-64,-64,-71,-71,-73,-82,-79,-76,-76,-78,-75,-78,-75,-85,-84,-77,-84,-83,-85,-84,-85,-84,-83,-84,-86,-85,-85,-89,-85,-51,-68,-67,-61,-50,-69,-75,-65,-78,-78,-76,-77,-82,-84,-84,-84,-86,-81,-66,-65,-73,-83,-71,-76,-76,-77,-81,-83,-86,-82,-86,-73,-81,-71,-76,-73,-76,-79,-81,-66,-64,-64,-76,-74,-74,-85,-76,-74,-85,-84,-75,-87,-76,-86,-86,-83,-87,-87,-90,-87,-76,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
