80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:39:d1,80:8d:b7:55:25:f2,80:8d:b7:55:39:d2,38:17:c3:1f:01:92,38:17:c3:1f:01:91,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,80:8d:b7:55:35:03,44:48:c1:a5:82:31,44:48:c1:a5:82:32,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:35:02,80:8d:b7:55:35:01,38:17:c3:1f:01:81,38:17:c3:1f:01:82,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:25:e3,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,00:4e:35:df:06:50,00:4e:35:df:06:51,80:8d:b7:55:3a:41,80:8d:b7:55:25:e2,80:8d:b7:55:3a:42,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:e1,44:48:c1:a5:82:22,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,38:17:c3:19:55:51,38:17:c3:19:55:52,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,38:17:c3:1e:ff:01,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:1f:09:91,38:17:c3:1f:09:93,20:a6:cd:42:0b:e3,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,80:8d:b7:55:25:f0,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,44:48:c1:a5:82:30,38:17:c3:19:d7:70,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,80:8d:b7:55:3a:50,b4:5d:50:e1:92:31,00:4e:35:df:06:52,80:8d:b7:55:3a:40,38:17:c3:19:55:50,38:17:c3:19:45:b0,b4:5d:50:e1:96:50,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,38:17:c3:1f:09:90,38:17:c3:1f:0e:01,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,44:48:c1:a5:82:21,38:17:c3:19:45:a1,20:a6:cd:50:24:a2,38:17:c3:19:45:a2,00:4e:35:df:06:41,00:4e:35:df:06:40,b4:5d:50:e1:92:23,38:17:c3:1f:22:22,38:17:c3:19:55:42,38:17:c3:1f:09:83,20:a6:cd:50:24:b0,44:48:c1:a5:82:20,38:17:c3:19:45:a0,20:a6:cd:50:24:a0,00:4e:35:df:06:42,38:17:c3:1f:22:30,80:8d:b7:55:4d:10,38:17:c3:1e:ff:11,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:1e:ff:12,38:17:c3:1f:09:92,38:17:c3:1f:22:21,38:17:c3:19:d7:60,38:17:c3:1e:ff:10,9e:2b:77:8e:45:c7,00:4e:35:de:e1:01,b4:5d:50:e1:96:43,80:8d:b7:55:4d:02,80:8d:b7:55:4d:00,00:4e:35:de:e1:02,20:a6:cd:50:24:a1,38:17:c3:19:71:92,38:17:c3:19:71:91,80:8d:b7:55:25:e0,38:17:c3:19:71:90,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:f0,68:ff:7b:e4:af:38,38:17:c3:1f:22:31,b4:5d:50:e1:92:22,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,38:17:c3:1f:08:41,38:17:c3:1f:01:80,38:17:c3:19:55:41,38:17:c3:1f:22:20,38:17:c3:1f:22:32,20:a6:cd:42:0b:f3,20:4e:7f:c2:ff:e8,20:a6:cd:42:0b:f1,00:4e:35:de:e1:00,68:ff:7b:e4:af:39,20:a6:cd:42:0b:e2,38:17:c3:19:71:81,a8:bd:27:4c:bd:32,38:17:c3:19:55:40,38:17:c3:1f:08:50,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f2,38:17:c3:1f:08:52,38:17:c3:1f:08:51,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:df:0e:00,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:df:0e:12,44:48:c1:91:95:b3,44:48:c1:91:95:b0,44:48:c1:91:95:b2,38:17:c3:1f:08:42,38:17:c3:1f:08:40,44:48:c1:91:95:b1,38:17:c3:19:71:82,38:17:c3:19:71:80,00:4e:35:de:d7:43,00:4e:35:de:d7:42,00:4e:35:df:0e:10,00:4e:35:df:0e:11,00:4e:35:de:d7:41,00:4e:35:de:d7:40,00:4e:35:df:0e:01,38:17:c3:19:36:30,38:17:c3:1e:fc:b0,00:4e:35:df:0e:02,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a2,32:f7:72:50:57:3b,64:e5:99:c3:13:3c,56:13:79:14:54:6d,0a:05:a7:e3:d9:82,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:1f:0f:91,38:17:c3:1f:0f:92,38:17:c3:24:58:a2,38:17:c3:1f:0f:90,38:17:c3:24:4f:02,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:24:4f:01,38:17:c3:24:4f:10,38:17:c3:24:4f:00,00:4e:35:df:27:12,38:17:c3:1b:08:b0,00:4e:35:df:27:11,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:10,00:4e:35:df:27:00,00:4e:35:df:27:02,00:4e:35:df:27:01,38:17:c3:19:36:20,x,y,label
-65,-69,-47,-47,-62,-62,-62,-66,-66,-67,-67,-67,-68,-68,-40,-45,-65,-71,-71,-72,-72,-67,-67,-69,-69,-75,-76,-71,-71,-73,-78,-78,-79,-81,-81,-76,-77,-77,-77,-78,-78,-82,-82,-79,-83,-83,-83,-84,-84,-80,-86,-87,-88,-89,-87,-47,-62,-66,-45,-69,-71,-72,-67,-70,-76,-79,-81,-76,-83,-83,-84,-80,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-66,-70,-46,-46,-61,-61,-61,-66,-66,-66,-66,-66,-66,-66,-44,-43,-62,-71,-71,-72,-72,-65,-65,-69,-70,-74,-74,-71,-71,-73,-79,-78,-79,-81,-81,-76,-77,-77,-79,-78,-77,-83,-83,-79,-83,-83,-83,-83,-84,-80,-85,-85,-88,-89,-87,-46,-61,-66,-43,-66,-71,-72,-65,-70,-74,-79,-81,-76,-83,-83,-84,-80,-85,-88,-43,-77,-77,-76,-78,-79,-79,-80,-81,-83,-84,-85,-86,-77,-77,-79,-79,-80,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-65,-69,-46,-46,-61,-61,-62,-66,-66,-67,-66,-67,-66,-67,-43,-44,-63,-72,-72,-72,-73,-66,-66,-71,-71,-73,-73,-71,-71,-70,-78,-79,-79,-82,-81,-73,-77,-73,-78,-78,-77,-81,-82,-79,-83,-84,-84,-83,-83,-80,-87,-86,-85,-88,-86,-46,-62,-66,-44,-67,-72,-72,-65,-71,-74,-79,-81,-73,-84,-81,-83,-80,-86,-86,-44,-77,-77,-76,-79,-79,-79,-81,-81,-83,-84,-85,-86,-77,-77,-79,-79,-82,-88,-90,-81,-75,-75,-82,-86,-84,-75,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-65,-69,-46,-46,-61,-61,-61,-65,-65,-66,-65,-67,-68,-69,-40,-44,-64,-71,-71,-72,-72,-67,-68,-71,-71,-72,-73,-70,-72,-70,-79,-79,-79,-81,-80,-73,-70,-73,-77,-78,-77,-83,-82,-78,-84,-84,-83,-83,-84,-80,-89,-87,-85,-88,-86,-46,-61,-65,-44,-69,-71,-71,-68,-72,-73,-79,-80,-73,-85,-83,-82,-80,-88,-86,-44,-77,-77,-76,-79,-79,-79,-82,-81,-82,-84,-85,-88,-77,-77,-79,-79,-81,-87,-90,-82,-75,-75,-82,-86,-84,-75,-82,-84,-86,-88,-89,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-66,-67,-45,-45,-61,-61,-61,-65,-65,-66,-65,-66,-69,-68,-39,-44,-62,-72,-71,-72,-72,-67,-67,-70,-70,-73,-73,-71,-72,-68,-79,-79,-79,-79,-80,-73,-70,-73,-76,-78,-77,-82,-83,-78,-84,-84,-83,-83,-84,-80,-82,-83,-85,-88,-86,-45,-61,-65,-44,-69,-72,-72,-67,-72,-74,-78,-80,-73,-85,-82,-82,-80,-82,-86,-44,-76,-77,-76,-79,-74,-79,-82,-81,-84,-84,-85,-86,-77,-75,-79,-76,-81,-87,-89,-82,-75,-75,-83,-86,-84,-75,-82,-84,-84,-88,-89,-86,-85,-75,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-66,-70,-46,-46,-61,-61,-61,-66,-66,-66,-66,-66,-66,-66,-44,-43,-62,-71,-71,-72,-72,-65,-65,-69,-70,-74,-74,-71,-71,-73,-79,-78,-79,-81,-81,-76,-77,-77,-79,-78,-77,-83,-83,-79,-83,-83,-83,-83,-84,-80,-85,-85,-88,-89,-87,-46,-61,-66,-43,-66,-71,-72,-65,-70,-74,-79,-81,-76,-83,-83,-84,-80,-85,-88,-43,-77,-77,-76,-78,-79,-79,-80,-81,-83,-84,-85,-86,-77,-77,-79,-79,-80,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-65,-69,-50,-50,-60,-60,-60,-67,-68,-67,-67,-67,-65,-65,-44,-47,-69,-73,-73,-72,-72,-67,-67,-70,-68,-73,-73,-67,-100,-76,-78,-84,-79,-77,-76,-76,-70,-77,-80,-70,-74,-78,-77,-100,-100,-100,-100,-84,-86,-100,-88,-85,-88,-86,-86,-50,-60,-68,-47,-65,-73,-73,-67,-100,-73,-85,-77,-77,-100,-78,-86,-100,-87,-86,-47,-77,-77,-76,-78,-77,-78,-100,-100,-83,-100,-100,-87,-78,-74,-78,-76,-81,-100,-89,-74,-100,-100,-75,-88,-100,-100,-75,-87,-84,-100,-100,-100,-85,-77,-87,-86,-70,-86,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-67,-68,-50,-50,-59,-59,-59,-68,-68,-67,-68,-67,-64,-64,-76,-46,-63,-73,-72,-72,-71,-66,-66,-70,-68,-75,-75,-67,-100,-69,-84,-84,-86,-77,-78,-76,-70,-77,-76,-70,-74,-78,-79,-100,-100,-100,-100,-84,-86,-100,-88,-88,-88,-87,-90,-50,-59,-68,-47,-65,-73,-71,-66,-100,-75,-83,-79,-76,-100,-78,-86,-100,-87,-86,-47,-78,-77,-76,-81,-74,-81,-100,-100,-83,-100,-87,-87,-79,-74,-80,-75,-79,-100,-89,-74,-100,-100,-75,-88,-100,-100,-74,-84,-84,-100,-100,-100,-85,-74,-84,-85,-70,-86,-86,-86,-87,-86,-86,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-66,-69,-51,-51,-60,-60,-60,-70,-70,-67,-70,-67,-65,-65,-40,-46,-65,-71,-71,-72,-72,-67,-67,-65,-66,-73,-73,-63,-62,-69,-81,-81,-81,-77,-78,-76,-68,-77,-77,-69,-71,-79,-79,-78,-100,-100,-84,-84,-84,-77,-84,-84,-88,-90,-85,-51,-60,-70,-46,-65,-72,-72,-67,-63,-73,-80,-77,-76,-100,-79,-83,-78,-84,-89,-46,-78,-77,-72,-81,-74,-81,-100,-100,-84,-100,-87,-87,-79,-72,-80,-75,-78,-86,-89,-82,-77,-77,-75,-88,-100,-77,-75,-86,-84,-100,-100,-100,-85,-74,-84,-85,-70,-86,-86,-86,-86,-86,-86,-86,-85,-86,-86,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-66,-71,-51,-51,-58,-58,-58,-70,-70,-66,-70,-66,-64,-65,-41,-46,-65,-73,-71,-72,-72,-67,-67,-65,-66,-72,-72,-63,-62,-68,-81,-81,-81,-77,-78,-75,-68,-75,-79,-68,-72,-79,-79,-78,-100,-100,-84,-83,-84,-77,-88,-88,-88,-89,-85,-51,-58,-70,-46,-65,-73,-72,-67,-63,-72,-82,-79,-76,-100,-79,-83,-78,-87,-88,-46,-78,-77,-72,-81,-74,-81,-100,-100,-84,-84,-85,-87,-79,-72,-80,-75,-78,-86,-89,-75,-77,-77,-75,-88,-84,-77,-75,-81,-84,-100,-100,-100,-85,-74,-84,-83,-68,-86,-86,-86,-86,-86,-86,-86,-85,-86,-86,-65,-86,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
