68:ff:7b:e4:af:38,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,38:17:c3:1f:22:31,38:17:c3:1f:22:32,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,38:17:c3:1f:22:22,38:17:c3:1f:22:21,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:01,80:8d:b7:55:39:d2,38:17:c3:19:d7:71,80:8d:b7:55:39:d1,38:17:c3:19:d7:72,38:17:c3:1e:ff:02,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b1,38:17:c3:19:45:b2,ea:9e:b4:53:24:54,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:25:f0,38:17:c3:1f:22:30,80:8d:b7:55:3a:50,38:17:c3:1f:22:20,38:17:c3:19:71:90,80:8d:b7:55:35:10,38:17:c3:1e:ff:10,38:17:c3:19:d7:70,80:8d:b7:55:39:d0,66:2a:2f:53:7c:99,38:17:c3:1e:ff:00,80:8d:b7:55:35:00,38:17:c3:19:45:b0,80:8d:b7:55:29:d0,38:17:c3:1f:0e:00,38:17:c3:1f:00:b2,20:a6:cd:50:24:b1,38:17:c3:1f:00:b1,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:19:d7:60,38:17:c3:1f:00:b0,38:17:c3:19:d7:61,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,20:a6:cd:50:24:a0,80:8d:b7:55:29:c0,38:17:c3:19:d7:62,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e3,80:8d:b7:55:25:e1,68:ff:7b:e4:af:39,b0:be:76:f8:30:5e,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,20:a6:cd:42:0b:e3,80:8d:b7:55:25:e0,20:a6:cd:50:24:b0,80:8d:b7:55:39:c0,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:19:45:a2,38:17:c3:19:45:a1,80:8d:b7:55:4d:02,80:8d:b7:55:3a:40,00:4e:35:df:06:42,38:17:c3:19:45:a0,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,20:a6:cd:50:24:b2,00:4e:35:df:06:50,38:17:c3:1f:00:a0,38:17:c3:1f:0e:10,38:17:c3:19:71:92,38:17:c3:19:71:91,00:4e:35:df:06:51,00:4e:35:df:06:52,00:4e:35:df:06:41,38:17:c3:1f:09:83,80:8d:b7:55:4d:01,b4:5d:50:e1:92:23,80:8d:b7:55:4d:00,00:4e:35:de:e1:02,72:32:b1:3e:1a:b8,00:4e:35:de:e1:12,00:4e:35:de:e1:10,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:df:06:40,38:17:c3:19:71:81,38:17:c3:19:71:82,00:4e:35:de:e1:11,38:17:c3:19:71:80,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,60:32:b1:3e:1a:b8,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,38:17:c3:1f:14:12,80:3f:5d:c5:f8:e4,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d2,38:17:c3:19:36:32,38:17:c3:19:36:31,38:17:c3:19:36:30,20:a6:cd:42:0a:c3,a8:bd:27:4c:aa:83,38:17:c3:19:36:20,44:48:c1:91:d0:11,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:1f:09:82,44:48:c1:91:d0:04,38:17:c3:1f:14:10,38:17:c3:1f:14:02,38:17:c3:1f:14:01,38:17:c3:1f:14:00,38:17:c3:1f:14:11,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:90,3a:e8:29:51:44:8d,38:17:c3:1f:09:81,38:17:c3:1f:09:80,a8:bd:27:4c:aa:92,bc:42:8c:64:49:70,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,a8:bd:27:4c:aa:81,44:48:c1:91:d0:14,b4:5d:50:e1:96:43,44:48:c1:91:d0:10,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:80,38:17:c3:1f:09:93,38:17:c3:1f:09:92,38:17:c3:1f:09:90,38:17:c3:1f:09:91,44:48:c1:91:d0:12,9c:d6:43:60:92:e0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,44:48:c1:91:95:a3,20:a6:cd:42:0a:c2,f6:c1:14:6a:47:21,f6:c1:14:6a:47:25,38:17:c3:24:47:50,f4:c1:14:69:47:24,b4:5d:50:e1:96:40,44:48:c1:91:d0:02,38:17:c3:24:47:52,44:48:c1:91:d0:00,44:48:c1:91:d0:01,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,78:d2:94:8b:dd:4b,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,38:17:c3:1f:19:f1,38:17:c3:1f:19:f0,38:17:c3:24:47:51,44:48:c1:91:95:a2,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b0,44:48:c1:91:95:a1,44:48:c1:91:95:a0,38:17:c3:1f:19:d1,38:17:c3:1f:19:c0,38:17:c3:1f:19:d2,38:17:c3:1f:19:f2,38:17:c3:1f:19:d0,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,38:17:c3:22:5e:f0,44:48:c1:91:aa:22,38:17:c3:22:61:82,38:17:c3:22:61:81,20:a6:cd:42:13:e1,20:a6:cd:42:13:e2,20:a6:cd:42:13:e0,44:48:c1:91:aa:21,44:48:c1:91:aa:20,20:a6:cd:42:13:f0,20:a6:cd:42:13:f2,20:a6:cd:42:13:f1,38:17:c3:22:5e:f1,b6:e6:2d:69:d5:58,44:48:c1:91:aa:30,44:48:c1:91:aa:31,44:48:c1:91:aa:32,38:17:c3:22:5e:f2,38:17:c3:1a:cf:d0,38:17:c3:1f:1c:10,86:0d:8e:aa:25:a4,00:4e:35:de:d7:43,38:17:c3:1f:1c:11,x,y,label
-100,-89,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-86,-100,-83,-77,-77,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-87,-100,-84,-100,-100,-77,-100,-100,-59,-100,-59,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-73,-59,-61,-100,-100,-59,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-100,-100,-61,-62,-68,-100,-68,-68,-87,-100,-86,-67,-77,-100,-73,-100,-100,-73,-71,-68,-71,-71,-68,-67,-79,-78,-79,-100,-73,-73,-79,-100,-68,-68,-79,-73,-70,-74,-78,-78,-81,-80,-81,-80,-73,-69,-70,-67,-77,-69,-100,-100,-77,-100,-71,-70,-76,-70,-70,-73,-73,-74,-74,-100,-70,-71,-100,-100,-77,-76,-83,-78,-78,-77,-77,-76,-79,-79,-79,-100,-80,-79,-79,-86,-81,-100,-100,-100,-83,-85,-81,-81,-86,-85,-85,-85,-86,-82,-81,-83,-85,-88,-88,-85,-100,-100,350,260,0
-100,-88,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-87,-100,-84,-77,-77,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-87,-100,-85,-100,-100,-77,-100,-100,-59,-100,-58,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-70,-57,-61,-100,-100,-57,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-62,-62,-70,-100,-70,-69,-86,-100,-86,-68,-74,-100,-74,-100,-100,-73,-72,-68,-68,-68,-68,-69,-78,-78,-78,-100,-72,-73,-78,-100,-70,-70,-79,-74,-86,-74,-78,-78,-80,-81,-80,-79,-74,-72,-69,-70,-73,-69,-100,-100,-76,-100,-72,-70,-77,-70,-70,-74,-74,-74,-74,-100,-71,-72,-100,-100,-76,-76,-79,-78,-79,-79,-76,-76,-79,-79,-79,-100,-80,-79,-85,-86,-81,-100,-100,-100,-83,-85,-81,-81,-87,-86,-85,-86,-85,-82,-82,-81,-86,-88,-88,-86,-90,-100,350,260,0
-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-84,-80,-75,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-87,-100,-85,-100,-100,-80,-100,-100,-60,-100,-60,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-73,-57,-57,-100,-100,-57,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-100,-100,-60,-60,-69,-100,-69,-69,-100,-100,-88,-66,-100,-100,-76,-100,-100,-75,-68,-71,-71,-70,-71,-70,-79,-80,-80,-100,-75,-75,-79,-100,-69,-69,-100,-76,-67,-77,-100,-100,-81,-80,-81,-80,-76,-70,-66,-100,-80,-71,-100,-100,-77,-100,-70,-69,-77,-100,-71,-72,-72,-72,-72,-100,-70,-68,-100,-100,-77,-100,-80,-81,-80,-81,-79,-78,-77,-84,-79,-100,-79,-84,-84,-85,-100,-100,-100,-100,-100,-100,-81,-100,-87,-86,-87,-83,-88,-84,-84,-84,-84,-88,-100,-100,-100,-100,350,260,0
-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-86,-100,-83,-80,-75,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-87,-100,-85,-100,-100,-80,-100,-100,-61,-100,-60,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-73,-59,-61,-100,-100,-59,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-61,-61,-71,-100,-71,-71,-87,-100,-86,-69,-76,-100,-76,-100,-100,-72,-70,-70,-71,-71,-71,-70,-79,-79,-79,-100,-72,-72,-79,-100,-71,-72,-78,-75,-70,-76,-77,-78,-80,-79,-80,-80,-76,-73,-68,-67,-74,-68,-100,-100,-74,-100,-70,-72,-74,-72,-72,-73,-73,-73,-73,-100,-67,-67,-100,-100,-74,-76,-83,-83,-83,-83,-77,-76,-78,-79,-79,-100,-79,-79,-79,-83,-81,-100,-100,-100,-84,-100,-81,-81,-86,-85,-85,-83,-83,-84,-84,-84,-83,-88,-88,-88,-100,-100,350,260,0
-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-83,-80,-75,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-86,-100,-85,-100,-100,-80,-100,-100,-59,-100,-59,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-73,-61,-61,-100,-100,-61,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-100,-60,-61,-70,-100,-71,-71,-86,-100,-86,-70,-76,-100,-75,-100,-100,-75,-68,-70,-71,-70,-71,-70,-79,-79,-77,-100,-75,-75,-79,-100,-71,-71,-78,-75,-64,-75,-77,-78,-80,-80,-80,-80,-75,-74,-67,-67,-75,-66,-100,-100,-73,-100,-70,-69,-73,-100,-71,-74,-74,-74,-73,-100,-67,-67,-100,-100,-73,-100,-81,-82,-81,-81,-79,-78,-78,-84,-79,-100,-79,-84,-84,-83,-81,-100,-100,-100,-81,-100,-81,-81,-85,-85,-85,-83,-87,-84,-85,-83,-83,-88,-88,-100,-100,-100,350,260,0
-100,-88,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-86,-100,-86,-77,-77,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-87,-100,-86,-100,-100,-77,-100,-100,-58,-100,-59,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-71,-57,-61,-100,-100,-57,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-62,-62,-70,-100,-69,-69,-86,-100,-86,-67,-75,-100,-75,-100,-100,-73,-70,-68,-68,-67,-67,-69,-78,-78,-78,-100,-72,-73,-78,-100,-69,-68,-79,-74,-70,-75,-78,-78,-80,-81,-80,-79,-74,-72,-68,-68,-72,-68,-100,-100,-76,-100,-72,-73,-76,-74,-70,-73,-74,-73,-73,-100,-71,-72,-100,-100,-76,-74,-78,-78,-78,-78,-74,-76,-79,-79,-79,-100,-80,-79,-79,-86,-81,-100,-100,-100,-83,-85,-80,-82,-86,-86,-86,-86,-86,-81,-82,-82,-86,-88,-88,-86,-90,-100,350,260,0
-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-84,-80,-80,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-86,-100,-85,-100,-100,-80,-100,-100,-61,-100,-61,-100,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-74,-57,-57,-100,-100,-57,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-100,-100,-60,-60,-69,-100,-70,-70,-100,-100,-100,-68,-78,-100,-72,-100,-100,-74,-68,-69,-66,-66,-68,-69,-79,-79,-79,-100,-74,-74,-79,-100,-70,-70,-76,-71,-63,-72,-74,-78,-82,-80,-81,-81,-71,-70,-72,-71,-76,-71,-100,-100,-77,-100,-68,-69,-77,-100,-71,-71,-72,-72,-71,-100,-68,-68,-100,-100,-77,-77,-81,-81,-81,-81,-77,-81,-77,-84,-77,-100,-78,-84,-84,-89,-82,-85,-100,-82,-81,-83,-81,-82,-87,-86,-86,-100,-88,-86,-86,-86,-100,-100,-100,-100,-100,-100,350,243,1
-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-83,-78,-78,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-86,-100,-87,-100,-100,-79,-100,-100,-59,-100,-59,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-73,-59,-58,-100,-100,-57,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-100,-100,-59,-59,-69,-100,-71,-71,-100,-100,-100,-68,-78,-100,-71,-100,-100,-73,-67,-69,-68,-68,-68,-69,-79,-78,-79,-100,-74,-74,-78,-100,-71,-71,-76,-71,-63,-71,-74,-78,-82,-83,-82,-82,-71,-70,-72,-71,-76,-70,-100,-100,-77,-100,-69,-70,-77,-100,-70,-76,-76,-76,-76,-100,-68,-68,-100,-100,-77,-77,-82,-82,-82,-82,-77,-81,-82,-84,-82,-100,-82,-84,-84,-89,-82,-85,-100,-82,-81,-83,-82,-82,-87,-86,-86,-100,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-83,-78,-78,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-87,-100,-87,-100,-100,-79,-100,-100,-59,-100,-59,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-73,-59,-58,-100,-100,-58,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-100,-100,-61,-61,-70,-100,-70,-70,-100,-100,-100,-69,-78,-100,-70,-100,-100,-74,-66,-70,-68,-68,-68,-70,-79,-79,-79,-100,-75,-75,-79,-100,-71,-71,-76,-70,-64,-70,-74,-78,-81,-81,-81,-81,-70,-70,-71,-71,-77,-71,-100,-100,-78,-100,-69,-100,-78,-100,-100,-78,-78,-78,-79,-100,-68,-70,-100,-100,-78,-77,-81,-82,-81,-81,-77,-81,-82,-84,-82,-100,-81,-84,-100,-89,-82,-85,-100,-82,-81,-83,-82,-82,-87,-86,-86,-100,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-83,-79,-79,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-85,-100,-86,-100,-100,-80,-100,-100,-61,-100,-61,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-72,-72,-100,-100,-100,-72,-59,-58,-100,-100,-58,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-100,-60,-60,-70,-100,-71,-71,-100,-100,-100,-68,-84,-100,-71,-100,-100,-75,-67,-70,-67,-67,-67,-70,-79,-79,-79,-100,-75,-75,-79,-100,-71,-72,-76,-71,-65,-71,-74,-78,-81,-81,-81,-81,-71,-72,-77,-70,-76,-72,-100,-100,-77,-100,-69,-100,-77,-100,-100,-76,-76,-76,-76,-100,-68,-70,-100,-100,-77,-76,-81,-82,-81,-81,-77,-81,-82,-84,-82,-100,-83,-84,-100,-89,-83,-85,-100,-82,-81,-83,-81,-83,-87,-86,-86,-100,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
