60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:00:b0,38:17:c3:1f:00:b1,38:17:c3:1f:00:a1,b4:5d:50:e1:96:40,b4:5d:50:e1:96:42,38:17:c3:1f:00:a2,20:a6:cd:42:0a:d2,38:17:c3:1f:14:10,38:17:c3:1f:00:a0,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:c3,38:17:c3:1f:14:11,38:17:c3:1f:14:12,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,44:48:c1:91:d0:11,38:17:c3:1f:14:00,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:02,38:17:c3:1f:14:01,38:17:c3:1f:14:02,44:48:c1:91:d0:01,44:48:c1:91:d0:10,44:48:c1:91:d0:00,9c:d6:43:60:92:e0,38:17:c3:1f:09:91,38:17:c3:1f:09:92,38:17:c3:1f:19:d0,38:17:c3:1f:19:d2,38:17:c3:1f:09:90,38:17:c3:1f:19:d1,38:17:c3:1f:09:83,38:17:c3:1f:09:93,38:17:c3:1f:09:82,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:19:45:b0,44:48:c1:91:95:a2,38:17:c3:24:47:50,44:48:c1:91:95:b2,44:48:c1:91:95:b3,44:48:c1:91:95:b0,38:17:c3:1f:00:b2,72:32:b1:3e:1a:b8,b4:5d:50:e1:96:43,b4:5d:50:e1:96:41,38:17:c3:1f:09:80,38:17:c3:1f:09:81,38:17:c3:24:47:51,a8:bd:27:4c:aa:81,38:17:c3:24:47:52,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:93,38:17:c3:19:45:a0,38:17:c3:19:45:a1,20:a6:cd:42:13:f2,44:48:c1:91:95:b1,44:48:c1:91:aa:30,38:17:c3:1a:cf:d0,44:48:c1:91:d0:04,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:83,44:48:c1:91:95:a0,86:0d:8e:aa:25:a4,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:91,ac:e2:d3:c4:08:e6,20:a6:cd:42:13:f1,38:17:c3:19:45:a2,20:a6:cd:42:13:f0,38:17:c3:22:5e:f0,44:48:c1:91:95:a1,44:48:c1:91:95:a3,72:32:b1:3e:1a:b7,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,38:17:c3:19:d7:70,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:62,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f0,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,80:8d:b7:55:25:f3,80:8d:b7:55:25:e2,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:25:e1,80:8d:b7:55:25:f2,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:25:f1,80:8d:b7:55:35:12,66:2a:2f:53:7c:99,80:8d:b7:55:35:11,80:8d:b7:55:39:d0,ea:9e:b4:53:24:54,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:35:02,b0:be:76:f8:30:5e,80:8d:b7:55:35:00,80:8d:b7:55:35:01,38:17:c3:19:36:30,38:17:c3:1e:ff:10,38:17:c3:19:71:90,80:8d:b7:55:39:d1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,20:a6:cd:50:24:a2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,20:a6:cd:50:24:b0,80:8d:b7:55:39:d2,38:17:c3:1e:ff:00,38:17:c3:1f:22:30,20:a6:cd:50:24:a1,68:ff:7b:e4:af:38,80:8d:b7:55:29:c1,20:a6:cd:50:24:a0,38:17:c3:19:71:91,38:17:c3:19:71:92,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,80:8d:b7:55:29:c2,00:4e:35:df:06:50,80:8d:b7:55:29:d0,80:8d:b7:55:39:c2,80:8d:b7:55:29:c0,00:4e:35:df:06:40,00:4e:35:df:06:52,00:4e:35:df:06:51,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:10,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,00:4e:35:de:e1:12,00:4e:35:df:06:42,38:17:c3:1f:19:f1,00:4e:35:de:e1:10,00:4e:35:df:06:41,68:ff:7b:e4:af:39,38:17:c3:22:61:90,80:8d:b7:55:4d:01,38:17:c3:24:56:50,38:17:c3:1f:19:c1,38:17:c3:19:36:32,bc:42:8c:64:49:70,38:17:c3:22:5e:f2,38:17:c3:1a:cf:d1,38:17:c3:1f:0e:11,80:8d:b7:55:4d:02,38:17:c3:1f:08:50,38:17:c3:1a:cf:d2,38:17:c3:19:36:31,80:8d:b7:55:4d:00,80:8d:b7:55:4d:10,00:4e:35:de:e1:11,38:17:c3:1f:0e:12,38:17:c3:22:61:92,38:17:c3:22:61:91,x,y,label
-64,-65,-75,-69,-89,-84,-90,-75,-76,-77,-79,-77,-81,-77,-85,-77,-78,-77,-77,-77,-80,-78,-88,-89,-89,-89,-78,-78,-87,-88,-91,-83,-78,-84,-84,-86,-86,-83,-83,-87,-85,-93,-87,-93,-82,-82,-83,-88,-89,-88,-85,-88,-77,-85,-83,-89,-93,-96,-91,-97,-91,-91,-91,-100,-96,-100,-90,-98,-98,-91,-96,-96,-96,-97,-98,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-90,-90,350,260,0
-64,-65,-75,-69,-89,-84,-90,-75,-76,-77,-79,-77,-81,-77,-85,-77,-78,-77,-77,-77,-80,-78,-88,-89,-89,-89,-78,-78,-87,-88,-91,-83,-78,-84,-84,-86,-86,-83,-83,-87,-85,-93,-87,-93,-82,-82,-83,-88,-89,-88,-85,-88,-77,-85,-83,-89,-93,-96,-91,-97,-91,-91,-91,-100,-96,-100,-90,-98,-98,-91,-96,-96,-96,-97,-98,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-90,-90,350,260,0
-64,-65,-75,-69,-89,-84,-90,-75,-76,-77,-79,-77,-81,-77,-85,-77,-78,-77,-77,-77,-80,-78,-88,-89,-89,-89,-78,-78,-87,-88,-91,-83,-78,-84,-84,-86,-86,-83,-83,-87,-85,-93,-87,-93,-82,-82,-83,-88,-89,-88,-85,-88,-77,-85,-83,-89,-93,-96,-91,-97,-91,-91,-91,-100,-96,-100,-90,-98,-98,-91,-96,-96,-96,-97,-98,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-90,-90,350,260,0
-64,-65,-75,-69,-89,-84,-90,-75,-76,-77,-79,-77,-81,-77,-85,-77,-78,-77,-77,-77,-80,-78,-88,-89,-89,-89,-78,-78,-87,-88,-91,-83,-78,-84,-84,-86,-86,-83,-83,-87,-85,-93,-87,-93,-82,-82,-83,-88,-89,-88,-85,-88,-77,-85,-83,-89,-93,-96,-91,-97,-91,-91,-91,-100,-96,-100,-90,-98,-98,-91,-96,-96,-96,-97,-98,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-90,-90,350,260,0
-64,-65,-75,-69,-89,-84,-90,-75,-76,-77,-79,-77,-81,-77,-85,-77,-78,-77,-77,-77,-80,-78,-88,-89,-89,-89,-78,-78,-87,-88,-91,-83,-78,-84,-84,-86,-86,-83,-83,-87,-85,-93,-87,-93,-82,-82,-83,-88,-89,-88,-85,-88,-77,-85,-83,-89,-93,-96,-91,-97,-91,-91,-91,-100,-96,-100,-90,-98,-98,-91,-96,-96,-96,-97,-98,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-90,-90,350,260,0
-64,-65,-75,-69,-89,-84,-90,-75,-76,-77,-79,-77,-81,-77,-85,-77,-78,-77,-77,-77,-80,-78,-88,-89,-89,-89,-78,-78,-87,-88,-91,-83,-78,-84,-84,-86,-86,-83,-83,-87,-85,-93,-87,-93,-82,-82,-83,-88,-89,-88,-85,-88,-77,-85,-83,-89,-93,-96,-91,-97,-91,-91,-91,-100,-96,-100,-90,-98,-98,-91,-96,-96,-96,-97,-98,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-90,-90,350,260,0
-63,-73,-74,-68,-82,-90,-81,-73,-74,-83,-77,-74,-74,-74,-86,-83,-83,-81,-81,-76,-76,-78,-92,-88,-84,-88,-78,-78,-83,-92,-90,-86,-78,-84,-84,-84,-87,-86,-88,-87,-90,-89,-85,-97,-89,-83,-86,-92,-85,-85,-88,-89,-83,-92,-84,-95,-100,-100,-87,-100,-87,-90,-89,-100,-89,-100,-88,-100,-100,-91,-96,-90,-93,-94,-98,-91,-92,-96,-98,-96,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-91,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-90,-88,350,243,1
-63,-74,-80,-67,-81,-95,-82,-72,-73,-84,-82,-73,-73,-73,-91,-84,-85,-81,-81,-77,-76,-78,-97,-88,-84,-88,-77,-78,-82,-97,-92,-85,-78,-84,-84,-85,-88,-87,-91,-88,-94,-90,-85,-100,-89,-83,-86,-91,-84,-85,-88,-88,-77,-92,-80,-95,-100,-100,-84,-94,-84,-87,-86,-96,-85,-100,-86,-98,-100,-91,-96,-84,-87,-94,-98,-88,-89,-96,-98,-92,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-91,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-90,-88,350,243,1
-63,-81,-79,-71,-75,-91,-82,-71,-72,-89,-81,-72,-72,-72,-95,-89,-86,-82,-82,-77,-77,-77,-97,-86,-82,-86,-77,-77,-82,-97,-89,-90,-77,-88,-80,-85,-89,-87,-94,-88,-94,-91,-85,-98,-93,-87,-90,-94,-84,-86,-89,-89,-73,-92,-85,-91,-100,-98,-84,-94,-84,-86,-85,-96,-85,-100,-87,-98,-100,-91,-100,-87,-91,-96,-100,-85,-86,-96,-98,-92,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-90,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-90,-89,350,243,1
-63,-81,-79,-71,-75,-91,-82,-71,-72,-89,-81,-72,-72,-72,-95,-89,-86,-82,-82,-77,-77,-77,-97,-86,-82,-86,-77,-77,-82,-97,-89,-90,-77,-88,-80,-85,-89,-87,-94,-88,-94,-91,-85,-98,-93,-87,-90,-94,-84,-86,-89,-89,-73,-92,-85,-91,-100,-98,-84,-94,-84,-86,-85,-96,-85,-100,-87,-98,-100,-91,-100,-87,-91,-96,-100,-85,-86,-96,-98,-92,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-90,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-90,-89,350,243,1
