ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,80:8d:b7:55:35:03,38:17:c3:1f:01:82,38:17:c3:1f:01:81,b0:be:76:f8:30:5e,80:8d:b7:55:35:01,38:17:c3:1f:01:80,80:8d:b7:55:35:02,38:17:c3:1f:01:91,80:8d:b7:55:39:d1,38:17:c3:1f:01:90,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,38:17:c3:1f:01:92,38:17:c3:19:d7:62,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:32,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,44:48:c1:a5:82:31,38:17:c3:19:d7:71,80:8d:b7:55:3a:40,80:8d:b7:55:3a:52,38:17:c3:19:d7:70,38:17:c3:19:d7:72,44:48:c1:a5:82:21,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,44:48:c1:a5:82:30,00:4e:35:df:06:50,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,00:4e:35:df:06:52,00:4e:35:df:06:51,20:a6:cd:50:24:b0,38:17:c3:19:45:b0,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,80:8d:b7:55:39:c1,80:8d:b7:55:25:e2,38:17:c3:19:d7:60,38:17:c3:19:d7:61,44:48:c1:a5:82:20,44:48:c1:a5:82:22,00:4e:35:df:06:42,20:a6:cd:50:24:a0,38:17:c3:19:45:b2,80:8d:b7:55:35:00,80:8d:b7:55:39:c2,80:8d:b7:55:25:e1,38:17:c3:1e:ff:02,20:a6:cd:50:24:a2,38:17:c3:19:55:50,38:17:c3:1e:ff:01,00:4e:35:df:06:40,20:a6:cd:50:24:a1,66:2a:2f:53:7c:99,38:17:c3:1e:ff:00,38:17:c3:19:45:b1,38:17:c3:1f:22:30,00:4e:35:df:06:41,72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b7,68:ff:7b:e4:af:38,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:23,68:ff:7b:e4:af:39,38:17:c3:19:55:52,60:32:b1:3e:1a:b8,38:17:c3:19:71:90,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:19:55:40,b4:5d:50:e1:92:31,38:17:c3:19:55:51,b4:5d:50:e1:92:33,00:4e:35:de:e1:12,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:19:55:41,00:4e:35:de:e1:02,00:4e:35:de:e1:01,00:4e:35:de:e1:00,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,38:17:c3:1f:08:41,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:1f:08:50,38:17:c3:19:55:42,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:1f:22:22,38:17:c3:1f:22:32,00:4e:35:de:d7:42,00:4e:35:de:d7:43,38:17:c3:1f:22:20,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,00:4e:35:de:d7:40,00:4e:35:de:d7:41,38:17:c3:19:71:80,38:17:c3:19:71:81,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:19:71:82,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,00:4e:35:df:0e:12,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:20,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,00:4e:35:df:0e:00,00:4e:35:df:0e:02,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:58:a0,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:1f:0f:92,38:17:c3:24:4f:10,20:a6:cd:42:0b:e3,38:17:c3:24:4f:11,20:a6:cd:42:0b:f0,38:17:c3:1f:22:21,38:17:c3:24:4f:00,20:a6:cd:42:0b:f2,38:17:c3:19:45:a1,32:f7:72:50:57:3b,b4:5d:50:e1:96:53,38:17:c3:19:45:a0,38:17:c3:1f:00:b0,00:4e:35:df:27:01,38:17:c3:19:36:32,38:17:c3:1f:0f:91,38:17:c3:24:4f:02,38:17:c3:1f:09:92,00:4e:35:df:27:12,00:4e:35:df:27:02,70:56:81:c9:91:ab,00:4e:35:df:27:00,38:17:c3:1f:09:91,38:17:c3:1f:09:83,56:13:79:14:54:6d,b4:5d:50:e1:96:43,38:17:c3:19:45:a2,20:a6:cd:42:0b:f1,38:17:c3:24:4f:12,b4:5d:50:e1:96:51,38:17:c3:1f:0f:90,38:17:c3:24:4f:01,20:a6:cd:42:0b:f3,38:17:c3:19:36:30,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,x,y,label
-55,-56,-56,-55,-58,-58,-59,-66,-65,-67,-66,-75,-73,-83,-84,-72,-72,-84,-69,-78,-72,-77,-80,-77,-77,-71,-71,-77,-83,-77,-77,-82,-80,-88,-81,-77,-80,-80,-77,-77,-83,-79,-79,-81,-88,-82,-82,-81,-85,-85,-92,-90,-94,-94,-90,-84,-80,-91,-83,-82,-84,-83,-89,-100,-98,-76,-79,-95,-100,-96,-98,-96,-100,-91,-100,-96,-98,-97,-94,-96,-94,-96,-99,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-85,-100,-86,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-82,-100,-100,-90,-100,-83,-83,545.0,260.0,0.0
-52,-59,-59,-58,-60,-60,-61,-65,-64,-65,-64,-77,-71,-70,-76,-76,-71,-76,-77,-77,-74,-76,-81,-78,-78,-73,-73,-76,-82,-77,-78,-80,-88,-96,-80,-76,-92,-79,-77,-77,-76,-77,-77,-80,-84,-84,-83,-83,-84,-85,-88,-94,-89,-89,-95,-84,-78,-95,-83,-82,-81,-76,-87,-100,-100,-76,-76,-95,-96,-96,-96,-93,-97,-97,-98,-100,-98,-96,-91,-94,-96,-98,-100,-100,-91,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-82,-100,-100,-89,-100,-83,-83,545.0,260.0,0.0
-50,-57,-58,-57,-59,-59,-60,-65,-65,-66,-65,-76,-72,-77,-73,-75,-70,-77,-76,-77,-73,-76,-80,-78,-78,-73,-73,-77,-82,-78,-78,-81,-86,-89,-80,-75,-89,-79,-76,-77,-77,-77,-76,-80,-85,-83,-83,-83,-85,-85,-88,-94,-89,-89,-91,-80,-71,-91,-78,-82,-86,-77,-88,-100,-100,-81,-71,-91,-96,-100,-94,-93,-100,-97,-98,-100,-100,-96,-95,-96,-96,-100,-100,-100,-89,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-82,-100,-100,-89,-100,-83,-83,545.0,260.0,0.0
-50,-59,-59,-58,-60,-60,-61,-64,-64,-64,-64,-75,-71,-71,-71,-76,-71,-71,-77,-77,-74,-76,-81,-78,-78,-74,-74,-76,-81,-78,-78,-80,-89,-93,-80,-75,-93,-79,-76,-77,-75,-76,-76,-80,-84,-84,-84,-83,-84,-85,-87,-94,-87,-87,-91,-80,-76,-91,-82,-82,-85,-76,-87,-100,-100,-82,-70,-91,-96,-100,-96,-93,-97,-100,-98,-100,-100,-96,-94,-96,-96,-100,-100,-100,-89,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-82,-100,-100,-89,-100,-83,-83,545.0,260.0,0.0
-50,-57,-58,-57,-59,-59,-60,-65,-65,-66,-65,-76,-72,-77,-73,-75,-70,-77,-76,-77,-73,-76,-80,-78,-78,-73,-73,-77,-82,-78,-78,-81,-86,-89,-80,-75,-89,-79,-76,-77,-77,-77,-76,-80,-85,-83,-83,-83,-85,-85,-88,-94,-89,-89,-91,-80,-71,-91,-78,-82,-86,-77,-88,-100,-100,-81,-71,-91,-96,-100,-94,-93,-100,-97,-98,-100,-100,-96,-95,-96,-96,-100,-100,-100,-89,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-82,-100,-100,-89,-100,-83,-83,545.0,260.0,0.0
-50,-57,-58,-57,-59,-59,-60,-65,-65,-66,-65,-76,-72,-77,-73,-75,-70,-77,-76,-77,-73,-76,-80,-78,-78,-73,-73,-77,-82,-78,-78,-81,-86,-89,-80,-75,-89,-79,-76,-77,-77,-77,-76,-80,-85,-83,-83,-83,-85,-85,-88,-94,-89,-89,-91,-80,-71,-91,-78,-82,-86,-77,-88,-100,-100,-81,-71,-91,-96,-100,-94,-93,-100,-97,-98,-100,-100,-96,-95,-96,-96,-100,-100,-100,-89,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-82,-100,-100,-89,-100,-83,-83,545.0,260.0,0.0
-51,-57,-57,-56,-59,-59,-60,-65,-64,-66,-65,-78,-73,-77,-73,-73,-71,-77,-77,-77,-73,-77,-80,-77,-77,-73,-72,-77,-87,-77,-77,-81,-81,-84,-81,-76,-89,-80,-77,-77,-77,-77,-77,-80,-85,-82,-83,-82,-85,-85,-88,-92,-92,-91,-91,-79,-72,-91,-78,-78,-88,-78,-85,-96,-100,-82,-72,-91,-96,-100,-96,-96,-100,-97,-98,-100,-100,-98,-95,-96,-94,-98,-99,-97,-92,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-84,-100,-86,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-82,-100,-100,-90,-100,-83,-83,545.0,274.2,1.0
-50,-59,-59,-58,-60,-60,-61,-64,-64,-64,-64,-75,-71,-71,-71,-76,-71,-71,-77,-77,-74,-76,-81,-78,-78,-74,-74,-76,-81,-78,-78,-80,-89,-93,-80,-75,-93,-79,-76,-77,-75,-76,-76,-80,-84,-84,-84,-83,-84,-85,-87,-94,-87,-87,-91,-80,-76,-91,-82,-82,-85,-76,-87,-100,-100,-82,-70,-91,-96,-100,-96,-93,-97,-100,-98,-100,-100,-96,-94,-96,-96,-100,-100,-100,-89,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-82,-100,-100,-89,-100,-83,-83,545.0,274.2,1.0
-50,-59,-59,-58,-60,-60,-61,-64,-64,-64,-64,-75,-71,-71,-71,-76,-71,-71,-77,-77,-74,-76,-81,-78,-78,-74,-74,-76,-81,-78,-78,-80,-89,-93,-80,-75,-93,-79,-76,-77,-75,-76,-76,-80,-84,-84,-84,-83,-84,-85,-87,-94,-87,-87,-91,-80,-76,-91,-82,-82,-85,-76,-87,-100,-100,-82,-70,-91,-96,-100,-96,-93,-97,-100,-98,-100,-100,-96,-94,-96,-96,-100,-100,-100,-89,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-82,-100,-100,-89,-100,-83,-83,545.0,274.2,1.0
-50,-58,-59,-58,-60,-60,-61,-64,-64,-64,-64,-81,-72,-71,-71,-76,-71,-71,-77,-77,-74,-76,-82,-78,-78,-74,-74,-76,-81,-78,-77,-80,-86,-89,-80,-75,-90,-79,-76,-76,-76,-76,-76,-80,-84,-84,-84,-83,-84,-85,-86,-96,-86,-86,-91,-75,-70,-86,-77,-82,-85,-76,-86,-100,-100,-88,-76,-86,-92,-100,-96,-93,-100,-100,-97,-100,-100,-98,-94,-95,-94,-100,-100,-100,-86,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-85,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-100,-100,-82,-100,-100,-89,-100,-83,-83,545.0,274.2,1.0
