ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,80:8d:b7:55:35:03,38:17:c3:1f:01:82,38:17:c3:1f:01:81,b0:be:76:f8:30:5e,80:8d:b7:55:35:01,38:17:c3:1f:01:80,80:8d:b7:55:35:02,38:17:c3:1f:01:91,80:8d:b7:55:39:d1,38:17:c3:1f:01:90,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,38:17:c3:1f:01:92,38:17:c3:19:d7:62,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:32,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,44:48:c1:a5:82:31,38:17:c3:19:d7:71,80:8d:b7:55:3a:40,80:8d:b7:55:3a:52,38:17:c3:19:d7:70,38:17:c3:19:d7:72,44:48:c1:a5:82:21,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,44:48:c1:a5:82:30,00:4e:35:df:06:50,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,00:4e:35:df:06:52,00:4e:35:df:06:51,20:a6:cd:50:24:b0,38:17:c3:19:45:b0,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,80:8d:b7:55:39:c1,80:8d:b7:55:25:e2,38:17:c3:19:d7:60,38:17:c3:19:d7:61,44:48:c1:a5:82:20,44:48:c1:a5:82:22,00:4e:35:df:06:42,20:a6:cd:50:24:a0,38:17:c3:19:45:b2,80:8d:b7:55:35:00,80:8d:b7:55:39:c2,80:8d:b7:55:25:e1,38:17:c3:1e:ff:02,20:a6:cd:50:24:a2,38:17:c3:19:55:50,38:17:c3:1e:ff:01,00:4e:35:df:06:40,20:a6:cd:50:24:a1,38:17:c3:1e:ff:00,38:17:c3:19:45:b1,38:17:c3:1f:22:30,00:4e:35:df:06:41,68:ff:7b:e4:af:38,b4:5d:50:e1:92:23,68:ff:7b:e4:af:39,38:17:c3:19:55:52,38:17:c3:19:71:90,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:19:55:40,b4:5d:50:e1:92:31,38:17:c3:19:55:51,b4:5d:50:e1:92:33,00:4e:35:de:e1:12,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:19:55:41,00:4e:35:de:e1:02,00:4e:35:de:e1:01,00:4e:35:de:e1:00,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,38:17:c3:1f:08:41,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:1f:08:50,38:17:c3:19:55:42,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:1f:22:22,38:17:c3:1f:22:32,00:4e:35:de:d7:42,00:4e:35:de:d7:43,38:17:c3:1f:22:20,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,00:4e:35:de:d7:40,00:4e:35:de:d7:41,38:17:c3:19:71:80,38:17:c3:19:71:81,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:19:71:82,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,00:4e:35:df:0e:12,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:20,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,00:4e:35:df:0e:00,00:4e:35:df:0e:02,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:58:a0,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:1f:0f:92,38:17:c3:24:4f:10,20:a6:cd:42:0b:e3,38:17:c3:24:4f:11,20:a6:cd:42:0b:f0,38:17:c3:1f:22:21,38:17:c3:24:4f:00,38:17:c3:19:45:a1,b4:5d:50:e1:96:53,38:17:c3:19:45:a0,38:17:c3:1f:00:b0,38:17:c3:1f:0f:91,38:17:c3:24:4f:02,38:17:c3:1f:09:92,00:4e:35:df:27:12,38:17:c3:1f:09:91,38:17:c3:1f:09:83,b4:5d:50:e1:96:43,38:17:c3:19:45:a2,38:17:c3:24:4f:12,b4:5d:50:e1:96:51,38:17:c3:1f:0f:90,38:17:c3:24:4f:01,20:a6:cd:42:0b:f3,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,0a:05:a7:e3:d9:82,9e:2b:77:8e:45:c7,38:17:c3:1f:00:b2,44:48:c1:91:95:b1,38:17:c3:1f:00:b1,80:8d:b7:55:4d:10,44:48:c1:91:95:b0,x,y,label
-50,-58,-58,-57,-59,-59,-60,-64,-64,-64,-64,-76,-71,-72,-71,-75,-70,-72,-76,-77,-73,-76,-81,-78,-78,-73,-73,-76,-81,-78,-77,-80,-87,-91,-80,-75,-91,-79,-76,-76,-75,-76,-76,-80,-84,-83,-83,-83,-84,-85,-87,-94,-87,-87,-91,-79,-73,-90,-80,-82,-85,-76,-87,-100,-100,-83,-71,-90,-95,-100,-95,-93,-98,-99,-100,-100,-96,-94,-100,-100,-88,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-85,-84,-83,-100,-100,-100,-100,-100,-100,-91,-100,-84,-100,-82,-100,-100,-89,-83,-83,-100,-90,-100,-100,-100,-94,-100,545.0,260.0,0.0
-50,-58,-58,-58,-60,-60,-61,-64,-64,-64,-64,-76,-71,-71,-71,-76,-71,-71,-77,-77,-74,-76,-81,-77,-77,-74,-74,-76,-81,-77,-77,-80,-88,-91,-80,-75,-93,-78,-76,-76,-75,-76,-76,-80,-84,-84,-83,-83,-84,-85,-87,-94,-87,-87,-91,-78,-75,-90,-81,-82,-84,-76,-86,-99,-100,-82,-71,-90,-95,-100,-96,-93,-97,-100,-100,-100,-96,-94,-99,-99,-88,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-85,-84,-83,-100,-100,-100,-100,-100,-100,-91,-100,-84,-100,-82,-100,-100,-89,-83,-83,-100,-90,-100,-100,-100,-94,-100,545.0,260.0,0.0
-50,-58,-58,-57,-59,-59,-60,-64,-64,-64,-64,-76,-71,-72,-71,-75,-70,-72,-76,-77,-73,-76,-81,-78,-78,-73,-73,-76,-81,-78,-77,-80,-87,-91,-80,-75,-91,-79,-76,-76,-75,-76,-76,-80,-84,-83,-83,-83,-84,-85,-87,-94,-87,-87,-91,-79,-73,-90,-80,-82,-85,-76,-87,-100,-100,-83,-71,-90,-95,-100,-95,-93,-98,-99,-100,-100,-96,-94,-100,-100,-88,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-85,-84,-83,-100,-100,-100,-100,-100,-100,-91,-100,-84,-100,-82,-100,-100,-89,-83,-83,-100,-90,-100,-100,-100,-94,-100,545.0,260.0,0.0
-50,-58,-58,-57,-59,-60,-60,-64,-64,-64,-64,-76,-71,-72,-71,-75,-70,-72,-76,-77,-73,-76,-80,-77,-77,-73,-73,-76,-82,-77,-77,-80,-87,-90,-80,-75,-92,-78,-76,-76,-75,-76,-76,-80,-84,-83,-83,-83,-84,-85,-87,-94,-87,-87,-91,-78,-74,-90,-80,-82,-84,-76,-87,-99,-100,-82,-71,-90,-95,-100,-95,-93,-98,-99,-100,-100,-96,-94,-99,-99,-88,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-85,-84,-83,-100,-100,-100,-100,-100,-100,-91,-100,-84,-100,-82,-100,-100,-89,-83,-83,-100,-90,-100,-100,-100,-94,-100,545.0,260.0,0.0
-50,-60,-62,-60,-61,-61,-62,-64,-64,-65,-64,-75,-71,-76,-74,-74,-71,-76,-75,-78,-73,-77,-81,-77,-78,-74,-73,-77,-82,-78,-77,-80,-86,-87,-80,-75,-90,-78,-76,-76,-76,-75,-76,-80,-83,-84,-83,-83,-84,-84,-87,-93,-87,-87,-93,-80,-73,-92,-82,-82,-82,-75,-87,-96,-98,-80,-72,-91,-95,-97,-94,-94,-97,-98,-100,-98,-97,-94,-99,-98,-91,-95,-100,-100,-100,-100,-98,-99,-98,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-85,-84,-83,-100,-100,-100,-100,-100,-100,-91,-100,-84,-100,-82,-100,-100,-89,-83,-83,-100,-89,-97,-100,-98,-94,-100,545.0,260.0,0.0
-50,-60,-62,-60,-61,-61,-62,-64,-64,-65,-64,-75,-71,-76,-74,-74,-71,-76,-75,-78,-73,-77,-81,-77,-78,-74,-73,-77,-82,-78,-77,-80,-86,-87,-80,-75,-90,-78,-76,-76,-76,-75,-76,-80,-83,-84,-83,-83,-84,-84,-87,-93,-87,-87,-93,-80,-73,-92,-82,-82,-82,-75,-87,-96,-98,-80,-72,-91,-95,-97,-94,-94,-97,-98,-100,-98,-97,-94,-99,-98,-91,-95,-100,-100,-100,-100,-98,-99,-98,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-85,-84,-83,-100,-100,-100,-100,-100,-100,-91,-100,-84,-100,-82,-100,-100,-89,-83,-83,-100,-89,-97,-100,-98,-94,-100,545.0,260.0,0.0
-51,-62,-62,-62,-63,-63,-64,-65,-65,-65,-65,-76,-70,-82,-77,-73,-71,-82,-74,-78,-73,-78,-81,-76,-77,-73,-73,-77,-84,-77,-77,-80,-83,-84,-80,-75,-88,-77,-76,-76,-76,-76,-76,-80,-83,-82,-83,-82,-84,-84,-87,-92,-87,-87,-88,-80,-73,-87,-83,-86,-80,-76,-87,-94,-96,-77,-71,-87,-95,-95,-93,-95,-95,-94,-98,-96,-98,-92,-99,-97,-93,-95,-97,-99,-99,-99,-98,-96,-98,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-85,-84,-83,-100,-100,-100,-100,-100,-100,-91,-100,-84,-100,-82,-100,-100,-89,-83,-83,-100,-89,-92,-100,-94,-94,-100,545.0,274.2,1.0
-51,-64,-64,-64,-64,-64,-65,-65,-65,-65,-65,-75,-70,-88,-81,-71,-71,-88,-72,-79,-72,-79,-81,-76,-77,-73,-72,-78,-85,-77,-77,-80,-82,-81,-80,-76,-84,-77,-75,-76,-77,-76,-76,-80,-83,-82,-83,-82,-84,-84,-86,-91,-86,-86,-87,-81,-72,-86,-84,-89,-79,-76,-87,-92,-95,-76,-71,-86,-95,-92,-92,-97,-94,-92,-97,-94,-98,-92,-100,-97,-95,-94,-96,-99,-99,-99,-96,-94,-96,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-85,-85,-83,-100,-100,-100,-100,-100,-100,-91,-100,-84,-100,-82,-100,-100,-89,-83,-83,-100,-89,-90,-100,-92,-94,-100,545.0,274.2,1.0
-51,-60,-60,-60,-61,-62,-62,-64,-64,-64,-64,-78,-71,-76,-74,-74,-71,-76,-75,-77,-73,-77,-81,-77,-77,-73,-73,-77,-84,-77,-77,-80,-84,-86,-80,-75,-90,-78,-76,-76,-75,-76,-76,-80,-84,-83,-83,-82,-84,-84,-87,-93,-87,-88,-89,-78,-74,-88,-81,-84,-83,-77,-87,-96,-98,-80,-71,-88,-95,-97,-94,-94,-97,-97,-98,-98,-97,-93,-99,-98,-91,-95,-98,-99,-99,-99,-99,-97,-99,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-85,-84,-83,-100,-100,-100,-100,-100,-100,-91,-100,-84,-100,-82,-100,-100,-89,-83,-83,-100,-90,-100,-100,-100,-94,-100,545.0,274.2,1.0
-51,-64,-64,-64,-64,-64,-65,-65,-65,-66,-65,-75,-70,-88,-81,-71,-71,-88,-72,-79,-72,-79,-81,-76,-77,-73,-72,-78,-86,-77,-76,-80,-82,-80,-80,-76,-85,-77,-76,-76,-77,-76,-76,-80,-83,-82,-82,-82,-84,-84,-87,-91,-87,-87,-88,-81,-72,-87,-84,-89,-78,-76,-87,-92,-95,-75,-71,-87,-95,-92,-92,-97,-94,-92,-97,-94,-98,-92,-99,-97,-95,-94,-96,-99,-99,-99,-96,-94,-96,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-85,-85,-83,-100,-100,-100,-100,-100,-100,-91,-100,-84,-100,-82,-100,-100,-89,-83,-83,-100,-89,-90,-100,-92,-94,-100,545.0,274.2,1.0
