38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,b4:5d:50:e1:96:43,38:17:c3:1f:14:01,38:17:c3:1f:14:00,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,44:48:c1:91:d0:01,44:48:c1:91:d0:00,44:48:c1:91:d0:02,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:40,20:a6:cd:42:0a:c3,a8:bd:27:4c:aa:83,44:48:c1:91:d0:11,44:48:c1:91:d0:10,44:48:c1:91:d0:14,44:48:c1:91:d0:12,38:17:c3:1f:14:12,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,38:17:c3:1f:14:11,38:17:c3:1f:14:10,38:17:c3:1f:09:83,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,38:17:c3:19:45:b1,38:17:c3:1f:09:92,38:17:c3:1f:09:90,38:17:c3:19:45:a0,44:48:c1:91:95:a1,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:1f:09:91,38:17:c3:1f:09:82,44:48:c1:91:95:b3,44:48:c1:91:95:b2,44:48:c1:91:95:b0,38:17:c3:1f:09:93,44:48:c1:91:95:b1,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,38:17:c3:24:47:52,38:17:c3:24:47:50,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:92,38:17:c3:1f:19:d0,a8:bd:27:4c:aa:93,38:17:c3:24:47:51,a8:bd:27:4c:aa:90,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,38:17:c3:1f:09:80,38:17:c3:1f:09:81,44:48:c1:91:95:a3,44:48:c1:91:95:a2,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:22:61:90,66:2a:2f:53:7c:99,a8:bd:27:4c:aa:80,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,38:17:c3:1f:19:f0,38:17:c3:19:d7:70,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f1,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:d7:60,80:8d:b7:55:25:e3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:35:03,80:8d:b7:55:35:13,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:10,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,80:8d:b7:55:25:e2,80:8d:b7:55:35:02,80:8d:b7:55:3a:50,80:8d:b7:55:35:01,80:8d:b7:55:35:00,b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,ea:9e:b4:53:24:54,80:8d:b7:55:3a:40,80:8d:b7:55:35:11,80:8d:b7:55:35:12,38:17:c3:19:71:90,38:17:c3:19:36:30,38:17:c3:1e:ff:10,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,68:ff:7b:e4:af:39,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,80:8d:b7:55:39:d0,68:ff:7b:e4:af:38,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1f:22:30,80:8d:b7:55:29:c0,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:d1,80:8d:b7:55:29:d0,80:8d:b7:55:29:d2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:22:21,38:17:c3:1f:0e:00,00:4e:35:de:e1:12,00:4e:35:df:06:42,00:4e:35:de:e1:10,00:4e:35:df:06:41,38:17:c3:22:5e:f0,80:8d:b7:55:4d:01,80:8d:b7:55:39:d1,00:4e:35:df:06:52,00:4e:35:df:06:40,38:17:c3:19:36:32,00:4e:35:df:06:51,38:17:c3:1f:0e:11,38:17:c3:1f:0e:01,80:8d:b7:55:4d:02,38:17:c3:1f:08:50,38:17:c3:19:71:91,00:4e:35:df:06:50,38:17:c3:19:36:31,38:17:c3:1f:0e:10,80:8d:b7:55:4d:00,80:8d:b7:55:39:d2,80:8d:b7:55:4d:10,00:4e:35:de:e1:11,38:17:c3:19:71:92,38:17:c3:1f:0e:02,38:17:c3:1f:0e:12,38:17:c3:22:61:92,38:17:c3:22:61:91,80:8d:b7:55:4d:12,38:17:c3:19:71:80,22:ad:56:24:6b:8b,38:17:c3:19:71:82,f0:ab:54:14:10:2c,38:17:c3:19:71:81,b4:5d:50:e1:92:23,80:3f:5d:c5:f8:e4,80:8d:b7:55:4d:11,x,y,label
-60,-60,-60,-66,-63,-62,-76,-85,-71,-70,-83,-88,-80,-83,-88,-88,-92,-89,-92,-77,-84,-84,-84,-85,-77,-86,-85,-77,-77,-86,-86,-86,-86,-89,-86,-87,-96,-100,-93,-95,-100,-94,-90,-100,-91,-90,-89,-96,-89,-100,-100,-100,-100,-94,-97,-100,-100,-92,-100,-92,-89,-89,-88,-90,-88,-100,-100,-76,-80,-90,-92,-100,-100,-83,-95,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,260,0
-60,-60,-60,-66,-63,-62,-76,-85,-71,-70,-83,-88,-80,-83,-88,-88,-92,-89,-92,-77,-84,-84,-84,-85,-77,-86,-85,-77,-77,-86,-86,-86,-86,-89,-86,-87,-96,-100,-93,-95,-100,-94,-90,-100,-91,-90,-89,-96,-89,-100,-100,-100,-100,-94,-97,-100,-100,-92,-100,-92,-89,-89,-88,-90,-88,-100,-100,-76,-80,-90,-92,-100,-100,-83,-95,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,260,0
-60,-60,-60,-66,-63,-62,-76,-85,-71,-70,-83,-88,-80,-83,-88,-88,-92,-89,-92,-77,-84,-84,-84,-85,-77,-86,-85,-77,-77,-86,-86,-86,-86,-89,-86,-87,-96,-100,-93,-95,-100,-94,-90,-100,-91,-90,-89,-96,-89,-100,-100,-100,-100,-94,-97,-100,-100,-92,-100,-92,-89,-89,-88,-90,-88,-100,-100,-76,-80,-90,-92,-100,-100,-83,-95,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,260,0
-60,-60,-60,-66,-63,-62,-76,-85,-71,-70,-83,-88,-80,-83,-88,-88,-92,-89,-92,-77,-84,-84,-84,-85,-77,-86,-85,-77,-77,-86,-86,-86,-86,-89,-86,-87,-96,-100,-93,-95,-100,-94,-90,-100,-91,-90,-89,-96,-89,-100,-100,-100,-100,-94,-97,-100,-100,-92,-100,-92,-89,-89,-88,-90,-88,-100,-100,-76,-80,-90,-92,-100,-100,-83,-95,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,260,0
-60,-60,-60,-66,-63,-62,-76,-85,-71,-70,-83,-88,-80,-83,-88,-88,-92,-89,-92,-77,-84,-84,-84,-85,-77,-86,-85,-77,-77,-86,-86,-86,-86,-89,-86,-87,-96,-100,-93,-95,-100,-94,-90,-100,-91,-90,-89,-96,-89,-100,-100,-100,-100,-94,-97,-100,-100,-92,-100,-92,-89,-89,-88,-90,-88,-100,-100,-76,-80,-90,-92,-100,-100,-83,-95,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,260,0
-60,-60,-60,-66,-63,-62,-74,-85,-70,-69,-82,-88,-80,-83,-88,-88,-91,-89,-90,-78,-83,-84,-83,-84,-76,-86,-85,-76,-76,-86,-85,-85,-86,-88,-86,-88,-96,-100,-93,-96,-100,-94,-91,-100,-92,-91,-90,-96,-89,-100,-100,-100,-100,-93,-97,-100,-100,-91,-100,-91,-89,-90,-89,-91,-88,-100,-99,-76,-79,-91,-93,-100,-100,-82,-95,-95,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99,-100,-100,-100,-100,-100,-100,-100,-99,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,260,0
-60,-60,-60,-66,-63,-62,-76,-85,-71,-70,-83,-88,-80,-83,-88,-88,-92,-89,-92,-77,-84,-84,-84,-85,-77,-86,-85,-77,-77,-86,-86,-86,-86,-89,-86,-87,-96,-100,-93,-95,-100,-94,-90,-100,-91,-90,-89,-96,-89,-100,-100,-100,-100,-94,-97,-100,-100,-92,-100,-92,-89,-89,-88,-90,-88,-100,-100,-76,-80,-90,-92,-100,-100,-83,-95,-95,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,243,1
-62,-63,-62,-65,-63,-65,-73,-88,-70,-70,-86,-95,-89,-89,-92,-88,-95,-94,-93,-76,-85,-89,-85,-90,-78,-88,-90,-78,-78,-89,-90,-88,-93,-93,-94,-94,-96,-100,-97,-98,-100,-95,-90,-100,-94,-96,-95,-98,-95,-100,-100,-100,-100,-96,-89,-100,-100,-95,-100,-95,-92,-92,-95,-96,-94,-100,-100,-77,-79,-96,-96,-100,-100,-82,-98,-98,-98,-98,-96,-95,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-96,-94,-100,-100,-100,-100,-92,-100,-100,-100,-100,350,243,1
-62,-62,-62,-65,-63,-64,-74,-86,-71,-70,-86,-92,-85,-87,-92,-89,-93,-93,-92,-77,-84,-87,-85,-89,-78,-87,-89,-78,-78,-89,-89,-87,-90,-91,-91,-92,-96,-100,-95,-96,-100,-94,-89,-100,-92,-94,-93,-97,-93,-100,-100,-100,-100,-96,-90,-100,-100,-94,-100,-94,-91,-90,-92,-94,-92,-100,-100,-77,-80,-93,-94,-100,-100,-83,-97,-97,-97,-100,-99,-98,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-100,-100,-100,-100,-100,-100,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-94,-92,-100,-100,-100,-100,-92,-100,-100,-100,-100,350,243,1
-62,-63,-62,-65,-63,-65,-73,-88,-70,-70,-86,-95,-89,-89,-92,-88,-95,-94,-93,-76,-85,-89,-85,-90,-78,-88,-90,-78,-78,-89,-90,-88,-93,-93,-94,-94,-96,-100,-97,-98,-100,-95,-90,-100,-94,-96,-95,-98,-95,-100,-100,-100,-100,-96,-89,-100,-100,-95,-100,-95,-92,-92,-95,-96,-94,-100,-100,-77,-79,-96,-96,-100,-100,-82,-98,-98,-98,-98,-96,-95,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-96,-94,-100,-100,-100,-100,-92,-100,-100,-100,-100,350,243,1
