b0:be:76:f8:30:5e,80:8d:b7:55:3a:50,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,44:48:c1:a5:82:32,80:8d:b7:55:39:d1,44:48:c1:a5:82:31,80:8d:b7:55:39:d2,80:8d:b7:55:25:e3,44:48:c1:a5:82:30,80:8d:b7:55:39:d0,80:8d:b7:55:35:11,80:8d:b7:55:35:12,ea:9e:b4:53:24:54,80:8d:b7:55:35:13,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:35:03,80:8d:b7:55:35:01,80:8d:b7:55:35:02,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:35:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:01,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1e:ff:10,38:17:c3:1f:01:90,38:17:c3:1f:0e:02,38:17:c3:1f:01:82,38:17:c3:1f:01:80,38:17:c3:1f:22:30,20:a6:cd:50:24:a1,80:8d:b7:55:3a:51,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:19:d7:70,80:8d:b7:55:39:c0,20:a6:cd:50:24:b0,80:8d:b7:55:3a:52,20:a6:cd:50:24:a2,38:17:c3:1f:09:83,66:2a:2f:53:7c:99,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:21,44:48:c1:a5:82:22,72:32:b1:3e:1a:b7,38:17:c3:1f:09:93,00:4e:35:df:06:40,b4:5d:50:e1:92:23,80:8d:b7:55:25:f0,80:8d:b7:55:35:00,44:48:c1:a5:82:20,00:4e:35:de:e1:12,38:17:c3:1f:09:90,20:a6:cd:50:24:a0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:19:d7:62,68:ff:7b:e4:af:38,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:41,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,38:17:c3:19:d7:60,38:17:c3:19:45:a0,38:17:c3:19:71:90,38:17:c3:19:55:50,60:32:b1:3e:1a:b7,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,b4:5d:50:e1:96:43,38:17:c3:1e:ff:00,00:4e:35:df:06:42,38:17:c3:1f:22:32,38:17:c3:1f:01:81,38:17:c3:19:45:a1,38:17:c3:19:45:a2,60:32:b1:3e:1a:b8,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:19:55:40,b4:5d:50:e1:92:33,38:17:c3:19:45:b0,68:ff:7b:e4:af:39,20:a6:cd:42:0b:e3,38:17:c3:1f:09:91,38:17:c3:1f:09:92,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:19:45:b1,b4:5d:50:e1:92:31,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,b4:5d:50:e1:96:53,38:17:c3:1f:00:b0,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,38:17:c3:19:55:41,38:17:c3:1f:08:51,38:17:c3:19:55:42,38:17:c3:1f:08:50,38:17:c3:1f:08:52,44:48:c1:91:95:b3,a8:bd:27:4c:bd:22,44:48:c1:91:95:b2,a8:bd:27:4c:bd:21,00:4e:35:de:d7:52,a8:bd:27:4c:bd:20,38:17:c3:1f:08:42,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:08:41,00:4e:35:de:d7:53,38:17:c3:1f:08:40,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:de:e1:02,00:4e:35:df:0e:12,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,00:4e:35:de:d7:43,38:17:c3:19:71:80,00:4e:35:de:d7:42,00:4e:35:df:0e:11,38:17:c3:19:71:81,38:17:c3:19:36:30,38:17:c3:19:71:82,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,00:4e:35:df:0e:00,38:17:c3:1b:08:b1,38:17:c3:24:4f:10,00:4e:35:df:27:12,00:4e:35:de:d7:41,00:4e:35:de:d7:40,38:17:c3:1f:0f:92,00:4e:35:df:27:01,00:4e:35:df:27:02,20:a6:cd:42:0b:f1,70:56:81:c9:91:ab,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1f:0f:90,00:4e:35:df:27:00,38:17:c3:19:36:32,38:17:c3:1f:0f:91,38:17:c3:24:4f:01,20:a6:cd:42:0b:f3,56:13:79:14:54:6d,20:a6:cd:42:0b:f2,32:f7:72:50:57:3b,x,y,label
-72,-77,-89,-83,-82,-78,-72,-77,-72,-76,-77,-73,-62,-62,-55,-62,-69,-69,-70,-79,-73,-73,-79,-62,-56,-56,-57,-80,-80,-73,-73,-56,-57,-80,-74,-57,-84,-81,-94,-98,-84,-78,-86,-84,-84,-73,-69,-85,-79,-97,-92,-93,-71,-71,-71,-87,-87,-89,-98,-93,-88,-71,-73,-81,-87,-96,-100,-82,-84,-78,-78,-78,-91,-97,-96,-98,-82,-84,-79,-93,-91,-92,-95,-97,-100,-100,-98,-100,-94,-95,-90,-91,-94,-88,-95,-96,-98,-90,-95,-91,-96,-100,-96,-96,-98,-98,-99,-99,-97,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,545.0,260.0,0.0
-79,-72,-85,-83,-82,-76,-71,-76,-71,-75,-76,-72,-58,-58,-53,-59,-67,-66,-70,-78,-71,-73,-73,-58,-57,-57,-58,-83,-83,-74,-74,-57,-58,-83,-74,-58,-82,-83,-89,-100,-77,-76,-80,-83,-82,-73,-67,-83,-73,-100,-92,-88,-74,-74,-74,-80,-80,-92,-97,-97,-89,-74,-71,-75,-88,-100,-100,-77,-77,-78,-78,-76,-93,-95,-93,-100,-82,-78,-77,-97,-88,-91,-96,-90,-100,-100,-98,-93,-100,-88,-87,-97,-100,-93,-100,-100,-100,-88,-88,-92,-96,-100,-97,-91,-100,-100,-91,-95,-88,-94,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-95,-100,545.0,260.0,0.0
-85,-74,-87,-83,-83,-76,-71,-76,-71,-75,-76,-71,-58,-58,-53,-59,-66,-66,-70,-83,-71,-73,-73,-59,-56,-56,-58,-87,-87,-74,-74,-56,-58,-87,-74,-58,-89,-86,-87,-100,-74,-76,-79,-82,-82,-73,-66,-82,-72,-98,-92,-86,-73,-73,-73,-80,-80,-92,-96,-98,-87,-73,-70,-74,-88,-97,-100,-78,-77,-78,-78,-76,-93,-96,-92,-100,-82,-80,-76,-98,-88,-91,-90,-87,-100,-100,-97,-97,-98,-88,-88,-97,-98,-90,-98,-98,-98,-89,-87,-97,-96,-100,-100,-89,-96,-96,-89,-92,-88,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-92,-100,545.0,260.0,0.0
-87,-71,-86,-83,-82,-76,-71,-76,-71,-74,-76,-71,-57,-57,-53,-58,-65,-65,-70,-83,-70,-72,-73,-58,-56,-56,-59,-88,-88,-74,-74,-56,-59,-88,-74,-58,-87,-87,-86,-100,-72,-75,-78,-82,-82,-73,-66,-82,-72,-100,-93,-86,-74,-75,-74,-79,-79,-93,-97,-100,-88,-74,-70,-74,-88,-100,-100,-76,-77,-77,-78,-75,-93,-95,-91,-100,-82,-78,-76,-100,-87,-91,-93,-87,-100,-100,-97,-93,-100,-85,-87,-100,-100,-93,-100,-100,-100,-88,-85,-95,-96,-100,-100,-90,-97,-97,-87,-93,-85,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-90,-100,545.0,260.0,0.0
-85,-74,-87,-83,-83,-76,-71,-76,-71,-75,-76,-71,-58,-58,-53,-59,-66,-66,-70,-83,-71,-73,-73,-59,-56,-56,-58,-87,-87,-74,-74,-56,-58,-87,-74,-58,-89,-86,-87,-100,-74,-76,-79,-82,-82,-73,-66,-82,-72,-98,-92,-86,-73,-73,-73,-80,-80,-92,-96,-98,-87,-73,-70,-74,-88,-97,-100,-78,-77,-78,-78,-76,-93,-96,-92,-100,-82,-80,-76,-98,-88,-91,-90,-87,-100,-100,-97,-97,-98,-88,-88,-97,-98,-90,-98,-98,-98,-89,-87,-97,-96,-100,-100,-89,-96,-96,-89,-92,-88,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-92,-100,545.0,260.0,0.0
-85,-74,-87,-83,-83,-76,-71,-76,-71,-75,-76,-71,-58,-58,-53,-59,-66,-66,-70,-83,-71,-73,-73,-59,-56,-56,-58,-87,-87,-74,-74,-56,-58,-87,-74,-58,-89,-86,-87,-100,-74,-76,-79,-82,-82,-73,-66,-82,-72,-98,-92,-86,-73,-73,-73,-80,-80,-92,-96,-98,-87,-73,-70,-74,-88,-97,-100,-78,-77,-78,-78,-76,-93,-96,-92,-100,-82,-80,-76,-98,-88,-91,-90,-87,-100,-100,-97,-97,-98,-88,-88,-97,-98,-90,-98,-98,-98,-89,-87,-97,-96,-100,-100,-89,-96,-96,-89,-92,-88,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-92,-100,545.0,260.0,0.0
-84,-75,-88,-83,-83,-76,-71,-76,-71,-76,-76,-71,-60,-60,-54,-60,-66,-67,-68,-84,-72,-73,-73,-60,-56,-56,-58,-86,-86,-74,-74,-56,-58,-86,-74,-58,-89,-86,-90,-100,-75,-77,-80,-83,-83,-73,-67,-84,-77,-98,-94,-91,-72,-72,-72,-81,-80,-92,-93,-95,-89,-72,-72,-74,-88,-97,-100,-78,-78,-78,-78,-76,-90,-95,-92,-100,-82,-80,-77,-98,-90,-89,-92,-91,-100,-100,-97,-97,-95,-90,-88,-97,-96,-90,-95,-96,-98,-89,-88,-95,-96,-100,-100,-89,-96,-96,-92,-94,-91,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-95,-100,545.0,274.2,1.0
-87,-71,-86,-83,-82,-76,-71,-76,-71,-74,-76,-71,-57,-57,-53,-58,-65,-65,-70,-83,-70,-72,-73,-58,-56,-56,-59,-88,-88,-74,-74,-56,-59,-88,-74,-58,-87,-87,-86,-100,-72,-75,-78,-82,-82,-73,-66,-82,-72,-100,-93,-86,-74,-75,-74,-79,-79,-93,-97,-100,-88,-74,-70,-74,-88,-100,-100,-76,-77,-77,-78,-75,-93,-95,-91,-100,-82,-78,-76,-100,-87,-91,-93,-87,-100,-100,-97,-93,-100,-85,-87,-100,-100,-93,-100,-100,-100,-88,-85,-95,-96,-100,-100,-90,-97,-97,-87,-93,-85,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-90,-100,545.0,274.2,1.0
-87,-71,-86,-83,-82,-76,-71,-76,-71,-74,-76,-71,-57,-57,-53,-58,-65,-65,-70,-83,-70,-72,-73,-58,-56,-56,-59,-88,-88,-74,-74,-56,-59,-88,-74,-58,-87,-87,-86,-100,-72,-75,-78,-82,-82,-73,-66,-82,-72,-100,-93,-86,-74,-75,-74,-79,-79,-93,-97,-100,-88,-74,-70,-74,-88,-100,-100,-76,-77,-77,-78,-75,-93,-95,-91,-100,-82,-78,-76,-100,-87,-91,-93,-87,-100,-100,-97,-93,-100,-85,-87,-100,-100,-93,-100,-100,-100,-88,-85,-95,-96,-100,-100,-90,-97,-97,-87,-93,-85,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-90,-100,545.0,274.2,1.0
-88,-71,-85,-82,-82,-76,-71,-76,-71,-75,-76,-71,-57,-57,-53,-58,-65,-65,-70,-83,-70,-72,-72,-58,-56,-56,-59,-88,-92,-74,-74,-56,-58,-92,-74,-58,-87,-87,-89,-100,-71,-76,-78,-82,-82,-72,-65,-82,-71,-100,-93,-83,-74,-74,-74,-79,-79,-95,-95,-100,-91,-74,-70,-74,-88,-100,-100,-78,-78,-78,-78,-75,-95,-96,-92,-100,-83,-78,-76,-100,-87,-92,-91,-87,-100,-100,-97,-94,-100,-85,-86,-100,-100,-93,-100,-100,-100,-88,-84,-100,-98,-100,-100,-84,-95,-95,-87,-90,-88,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-90,-100,545.0,274.2,1.0
