b0:be:76:f8:30:5e,80:8d:b7:55:3a:50,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,44:48:c1:a5:82:32,80:8d:b7:55:39:d1,44:48:c1:a5:82:31,80:8d:b7:55:39:d2,80:8d:b7:55:25:e3,44:48:c1:a5:82:30,80:8d:b7:55:39:d0,80:8d:b7:55:35:11,80:8d:b7:55:35:12,ea:9e:b4:53:24:54,80:8d:b7:55:35:13,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:35:03,80:8d:b7:55:35:01,80:8d:b7:55:35:02,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:35:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:01,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1e:ff:10,38:17:c3:1f:01:90,38:17:c3:1f:0e:02,38:17:c3:1f:01:82,38:17:c3:1f:01:80,38:17:c3:1f:22:30,20:a6:cd:50:24:a1,80:8d:b7:55:3a:51,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:19:d7:70,80:8d:b7:55:39:c0,20:a6:cd:50:24:b0,80:8d:b7:55:3a:52,20:a6:cd:50:24:a2,38:17:c3:1f:09:83,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:21,44:48:c1:a5:82:22,38:17:c3:1f:09:93,00:4e:35:df:06:40,b4:5d:50:e1:92:23,80:8d:b7:55:25:f0,80:8d:b7:55:35:00,44:48:c1:a5:82:20,00:4e:35:de:e1:12,38:17:c3:1f:09:90,20:a6:cd:50:24:a0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:19:d7:62,68:ff:7b:e4:af:38,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:41,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,38:17:c3:19:d7:60,38:17:c3:19:45:a0,38:17:c3:19:71:90,38:17:c3:19:55:50,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,b4:5d:50:e1:96:43,38:17:c3:1e:ff:00,00:4e:35:df:06:42,38:17:c3:1f:22:32,38:17:c3:1f:01:81,38:17:c3:19:45:a1,38:17:c3:19:45:a2,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:19:55:40,b4:5d:50:e1:92:33,38:17:c3:19:45:b0,68:ff:7b:e4:af:39,20:a6:cd:42:0b:e3,38:17:c3:1f:09:91,38:17:c3:1f:09:92,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:19:45:b1,b4:5d:50:e1:92:31,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,b4:5d:50:e1:96:53,38:17:c3:1f:00:b0,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,38:17:c3:19:55:41,38:17:c3:1f:08:51,38:17:c3:19:55:42,38:17:c3:1f:08:50,38:17:c3:1f:08:52,44:48:c1:91:95:b3,a8:bd:27:4c:bd:22,44:48:c1:91:95:b2,a8:bd:27:4c:bd:21,00:4e:35:de:d7:52,a8:bd:27:4c:bd:20,38:17:c3:1f:08:42,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:08:41,00:4e:35:de:d7:53,38:17:c3:1f:08:40,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:de:e1:02,00:4e:35:df:0e:12,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,00:4e:35:de:d7:43,38:17:c3:19:71:80,00:4e:35:de:d7:42,00:4e:35:df:0e:11,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,00:4e:35:df:0e:00,38:17:c3:1b:08:b1,38:17:c3:24:4f:10,00:4e:35:df:27:12,00:4e:35:de:d7:41,00:4e:35:de:d7:40,38:17:c3:1f:0f:92,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1f:0f:90,38:17:c3:1f:0f:91,38:17:c3:24:4f:01,20:a6:cd:42:0b:f3,0a:05:a7:e3:d9:82,9e:2b:77:8e:45:c7,38:17:c3:1f:00:b2,44:48:c1:91:95:b1,38:17:c3:1f:00:b1,80:8d:b7:55:4d:10,44:48:c1:91:95:b0,x,y,label
-86,-71,-86,-82,-82,-76,-71,-76,-71,-74,-76,-71,-57,-57,-53,-58,-65,-65,-70,-83,-70,-72,-72,-58,-56,-56,-58,-87,-88,-74,-74,-56,-58,-88,-74,-58,-87,-86,-86,-100,-72,-75,-78,-82,-82,-72,-65,-82,-71,-99,-92,-73,-74,-73,-79,-79,-96,-99,-88,-73,-70,-74,-88,-99,-100,-76,-77,-77,-78,-75,-93,-95,-91,-100,-82,-78,-76,-99,-87,-91,-87,-100,-100,-97,-94,-99,-85,-87,-99,-99,-99,-99,-99,-88,-85,-96,-96,-100,-100,-96,-96,-87,-92,-86,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-89,-92,-100,-94,-94,-100,545.0,260.0,0.0
-86,-71,-85,-82,-82,-76,-71,-76,-71,-74,-76,-71,-57,-57,-53,-58,-65,-65,-69,-82,-70,-72,-72,-58,-56,-56,-58,-87,-87,-74,-74,-56,-58,-87,-74,-58,-86,-86,-87,-100,-71,-75,-78,-82,-82,-72,-66,-82,-72,-100,-93,-74,-74,-74,-78,-78,-96,-99,-89,-74,-70,-74,-88,-100,-100,-76,-77,-77,-77,-75,-93,-95,-91,-100,-83,-78,-76,-100,-87,-91,-87,-100,-100,-97,-93,-99,-85,-85,-100,-99,-99,-99,-100,-88,-84,-95,-96,-100,-100,-96,-96,-87,-92,-86,-91,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-89,-92,-100,-94,-94,-100,545.0,260.0,0.0
-86,-71,-86,-82,-82,-76,-71,-76,-71,-74,-76,-71,-57,-57,-53,-58,-65,-65,-70,-83,-70,-72,-72,-58,-56,-56,-58,-87,-88,-74,-74,-56,-58,-88,-74,-58,-87,-86,-86,-100,-72,-75,-78,-82,-82,-72,-65,-82,-71,-99,-92,-73,-74,-73,-79,-79,-96,-99,-88,-73,-70,-74,-88,-99,-100,-76,-77,-77,-78,-75,-93,-95,-91,-100,-82,-78,-76,-99,-87,-91,-87,-100,-100,-97,-94,-99,-85,-87,-99,-99,-99,-99,-99,-88,-85,-96,-96,-100,-100,-96,-96,-87,-92,-86,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-89,-92,-100,-94,-94,-100,545.0,260.0,0.0
-85,-71,-85,-82,-82,-76,-71,-76,-71,-74,-76,-71,-57,-57,-53,-58,-65,-65,-69,-82,-70,-72,-72,-58,-56,-56,-58,-86,-87,-74,-74,-56,-58,-87,-74,-58,-86,-86,-87,-100,-72,-75,-78,-82,-82,-72,-66,-82,-72,-99,-93,-73,-74,-73,-78,-78,-96,-98,-89,-73,-70,-74,-88,-99,-100,-76,-77,-77,-77,-75,-93,-95,-91,-100,-83,-78,-76,-99,-87,-91,-87,-100,-100,-97,-94,-99,-86,-86,-99,-99,-99,-99,-99,-88,-85,-96,-96,-100,-100,-96,-96,-87,-92,-86,-91,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-89,-92,-100,-94,-94,-100,545.0,260.0,0.0
-83,-72,-83,-82,-81,-75,-69,-75,-69,-74,-75,-69,-58,-58,-53,-58,-66,-66,-69,-79,-69,-72,-73,-58,-57,-57,-60,-85,-86,-74,-74,-57,-59,-86,-74,-59,-87,-86,-87,-97,-72,-75,-78,-83,-82,-73,-66,-83,-73,-96,-94,-73,-73,-73,-76,-76,-96,-96,-90,-73,-71,-74,-87,-100,-99,-77,-78,-77,-77,-75,-92,-93,-90,-96,-83,-77,-76,-100,-90,-90,-86,-98,-98,-97,-91,-95,-88,-85,-98,-97,-96,-96,-99,-88,-87,-94,-95,-100,-100,-97,-97,-89,-93,-88,-93,-91,-97,-100,-97,-97,-97,-100,-98,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-89,-88,-100,-90,-94,-100,545.0,260.0,0.0
-83,-72,-83,-82,-81,-75,-69,-75,-69,-74,-75,-69,-58,-58,-53,-58,-66,-66,-69,-79,-69,-72,-73,-58,-57,-57,-60,-85,-86,-74,-74,-57,-59,-86,-74,-59,-87,-86,-87,-97,-72,-75,-78,-83,-82,-73,-66,-83,-73,-96,-94,-73,-73,-73,-76,-76,-96,-96,-90,-73,-71,-74,-87,-100,-99,-77,-78,-77,-77,-75,-92,-93,-90,-96,-83,-77,-76,-100,-90,-90,-86,-98,-98,-97,-91,-95,-88,-85,-98,-97,-96,-96,-99,-88,-87,-94,-95,-100,-100,-97,-97,-89,-93,-88,-93,-91,-97,-100,-97,-97,-97,-100,-98,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-89,-88,-100,-90,-94,-100,545.0,260.0,0.0
-80,-73,-82,-81,-81,-75,-69,-75,-69,-75,-75,-70,-58,-58,-52,-58,-67,-67,-68,-75,-69,-73,-73,-58,-58,-58,-60,-83,-84,-75,-75,-58,-59,-84,-75,-59,-84,-85,-87,-94,-73,-76,-78,-83,-82,-73,-67,-83,-75,-94,-95,-73,-74,-73,-77,-76,-94,-97,-92,-73,-69,-77,-89,-97,-97,-76,-77,-77,-77,-75,-91,-91,-89,-97,-81,-77,-76,-96,-89,-89,-86,-95,-95,-98,-89,-96,-90,-83,-94,-93,-97,-97,-100,-88,-86,-94,-97,-97,-97,-97,-97,-88,-92,-89,-93,-90,-95,-99,-95,-95,-96,-98,-98,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-89,-90,-100,-92,-94,-100,545.0,274.2,1.0
-78,-74,-82,-80,-80,-75,-69,-75,-69,-75,-75,-69,-58,-58,-52,-58,-68,-67,-67,-73,-68,-73,-73,-58,-59,-59,-61,-82,-83,-75,-75,-59,-60,-83,-75,-60,-84,-84,-87,-92,-74,-76,-78,-83,-83,-73,-67,-83,-75,-90,-96,-73,-74,-73,-76,-75,-94,-96,-93,-73,-68,-78,-89,-96,-96,-76,-78,-76,-76,-75,-90,-89,-88,-94,-79,-76,-76,-95,-90,-88,-85,-93,-93,-98,-87,-94,-92,-83,-91,-91,-96,-95,-100,-88,-88,-94,-98,-96,-96,-98,-98,-89,-92,-90,-93,-91,-93,-99,-93,-93,-93,-97,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-88,-100,-90,-94,-100,545.0,274.2,1.0
-83,-72,-83,-81,-81,-75,-70,-76,-70,-75,-76,-70,-58,-58,-53,-58,-66,-66,-68,-79,-70,-72,-72,-58,-57,-57,-59,-84,-85,-74,-74,-57,-58,-85,-74,-58,-84,-86,-88,-97,-73,-76,-78,-82,-82,-72,-66,-82,-75,-97,-94,-73,-74,-73,-78,-77,-94,-98,-92,-73,-69,-76,-88,-98,-98,-76,-77,-77,-77,-75,-92,-93,-91,-99,-83,-77,-76,-98,-88,-90,-87,-97,-96,-97,-91,-98,-88,-84,-97,-95,-98,-98,-100,-88,-85,-95,-96,-98,-98,-97,-97,-87,-92,-88,-92,-89,-97,-99,-98,-98,-98,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-89,-92,-100,-94,-94,-100,545.0,274.2,1.0
-77,-74,-81,-80,-80,-75,-69,-75,-69,-75,-75,-69,-58,-58,-52,-58,-68,-68,-67,-72,-69,-73,-73,-58,-59,-59,-60,-81,-82,-75,-75,-59,-60,-82,-75,-60,-83,-84,-87,-92,-74,-76,-78,-83,-83,-73,-67,-83,-76,-90,-96,-73,-73,-73,-76,-74,-94,-96,-94,-73,-69,-78,-89,-96,-96,-76,-78,-76,-76,-75,-90,-89,-88,-94,-80,-76,-76,-95,-91,-88,-85,-93,-93,-99,-87,-93,-93,-82,-91,-91,-95,-95,-100,-88,-88,-93,-97,-96,-96,-98,-98,-89,-92,-91,-94,-91,-93,-99,-93,-93,-93,-97,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-88,-100,-90,-94,-100,545.0,274.2,1.0
