38:17:c3:1f:00:b0,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,38:17:c3:1f:00:b1,38:17:c3:1f:00:a1,44:48:c1:91:d0:14,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,44:48:c1:91:d0:12,44:48:c1:91:d0:10,b4:5d:50:e1:96:53,38:17:c3:1f:09:91,38:17:c3:24:47:52,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:24:47:51,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:14:11,38:17:c3:1f:14:12,44:48:c1:91:95:a3,38:17:c3:1f:00:a0,44:48:c1:91:d0:11,b4:5d:50:e1:96:50,38:17:c3:1f:09:90,38:17:c3:24:47:50,9c:d6:43:60:92:e0,38:17:c3:1f:19:d0,38:17:c3:1f:14:10,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:14:02,38:17:c3:1f:14:01,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,38:17:c3:1f:00:a2,b4:5d:50:e1:96:41,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:83,b4:5d:50:e1:96:40,a8:bd:27:4c:aa:80,44:48:c1:91:95:a2,44:48:c1:91:d0:00,44:48:c1:91:d0:02,44:48:c1:91:d0:01,38:17:c3:1f:14:00,72:32:b1:3e:1a:b7,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,b4:5d:50:e1:96:43,44:48:c1:91:95:b1,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,44:48:c1:91:95:b3,44:48:c1:91:95:b0,38:17:c3:19:45:a2,20:a6:cd:42:0a:d2,44:48:c1:91:95:b2,a8:bd:27:4c:aa:90,38:17:c3:1f:09:80,38:17:c3:19:45:a0,44:48:c1:91:aa:30,38:17:c3:24:56:50,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:42,44:48:c1:91:95:a1,20:a6:cd:42:13:f2,44:48:c1:91:95:a0,20:a6:cd:42:0a:c2,20:a6:cd:42:13:f0,38:17:c3:22:61:90,38:17:c3:1a:cf:d0,66:2a:2f:53:7c:99,38:17:c3:1f:09:81,38:17:c3:1f:09:83,38:17:c3:19:45:a1,20:a6:cd:42:13:f1,38:17:c3:19:d7:71,38:17:c3:19:d7:70,38:17:c3:1f:09:82,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:42:0b:e0,38:17:c3:19:d7:60,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:72,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:25:e3,38:17:c3:19:36:30,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,38:17:c3:1e:ff:10,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:35:10,80:8d:b7:55:35:12,38:17:c3:1e:ff:12,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:39:d0,68:ff:7b:e4:af:39,b0:be:76:f8:30:5e,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,38:17:c3:19:71:92,38:17:c3:19:36:32,38:17:c3:19:71:91,38:17:c3:19:36:31,ea:9e:b4:53:24:54,20:a6:cd:50:24:a2,38:17:c3:19:71:90,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:39:d1,38:17:c3:1e:ff:11,38:17:c3:1f:22:30,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,80:8d:b7:55:39:c1,38:17:c3:1e:ff:01,80:8d:b7:55:29:d0,80:8d:b7:55:39:c0,80:8d:b7:55:39:c2,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,80:8d:b7:55:29:c0,68:ff:7b:e4:af:38,00:4e:35:df:06:52,80:8d:b7:55:39:d2,20:a6:cd:50:24:b0,00:4e:35:de:e1:12,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:40,38:17:c3:1f:0e:10,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:0e:02,38:17:c3:1f:22:20,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,00:4e:35:df:06:42,00:4e:35:de:e1:10,00:4e:35:df:06:41,38:17:c3:22:5e:f0,86:0d:8e:aa:25:a4,80:8d:b7:55:4d:01,38:17:c3:1f:19:c1,00:4e:35:df:06:51,bc:42:8c:64:49:70,38:17:c3:22:5e:f2,38:17:c3:1a:cf:d1,80:8d:b7:55:4d:02,38:17:c3:1f:08:50,38:17:c3:1a:cf:d2,00:4e:35:df:06:50,80:8d:b7:55:4d:00,80:8d:b7:55:4d:10,00:4e:35:de:e1:11,38:17:c3:22:61:92,38:17:c3:22:61:91,x,y,label
-63,-62,-64,-61,-63,-63,-68,-77,-74,-74,-73,-78,-78,-76,-77,-78,-81,-81,-81,-81,-81,-84,-85,-83,-83,-82,-68,-76,-78,-80,-81,-78,-86,-83,-81,-82,-78,-78,-84,-82,-68,-75,-85,-85,-82,-75,-92,-84,-78,-77,-77,-78,-83,-79,-78,-79,-75,-83,-84,-85,-83,-83,-82,-78,-83,-84,-80,-79,-95,-96,-77,-80,-86,-92,-86,-77,-89,-93,-92,-95,-88,-86,-89,-92,-95,-95,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-98,-100,-100,-91,-86,-100,-100,-87,-100,-100,-100,-100,-89,-89,350,260,0
-63,-62,-64,-61,-63,-63,-68,-77,-74,-74,-73,-78,-78,-76,-77,-78,-81,-81,-81,-81,-81,-84,-85,-83,-83,-82,-68,-76,-78,-80,-81,-78,-86,-83,-81,-82,-78,-78,-84,-82,-68,-75,-85,-85,-82,-75,-92,-84,-78,-77,-77,-78,-83,-79,-78,-79,-75,-83,-84,-85,-83,-83,-82,-78,-83,-84,-80,-79,-95,-96,-77,-80,-86,-92,-86,-77,-89,-93,-92,-95,-88,-86,-89,-92,-95,-95,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-98,-100,-100,-91,-86,-100,-100,-87,-100,-100,-100,-100,-89,-89,350,260,0
-63,-62,-64,-61,-63,-63,-68,-77,-74,-74,-73,-78,-78,-76,-77,-78,-81,-81,-81,-81,-81,-84,-85,-83,-83,-82,-68,-76,-78,-80,-81,-78,-86,-83,-81,-82,-78,-78,-84,-82,-68,-75,-85,-85,-82,-75,-92,-84,-78,-77,-77,-78,-83,-79,-78,-79,-75,-83,-84,-85,-83,-83,-82,-78,-83,-84,-80,-79,-95,-96,-77,-80,-86,-92,-86,-77,-89,-93,-92,-95,-88,-86,-89,-92,-95,-95,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-98,-100,-100,-91,-86,-100,-100,-87,-100,-100,-100,-100,-89,-89,350,260,0
-63,-62,-64,-61,-63,-63,-68,-77,-74,-74,-73,-78,-78,-76,-77,-78,-81,-81,-81,-81,-81,-84,-85,-83,-83,-82,-68,-76,-78,-80,-81,-78,-86,-83,-81,-82,-78,-78,-84,-82,-68,-75,-85,-85,-82,-75,-92,-84,-78,-77,-77,-78,-83,-79,-78,-79,-75,-83,-84,-85,-83,-83,-82,-78,-83,-84,-80,-79,-95,-96,-77,-80,-86,-92,-86,-77,-89,-93,-92,-95,-88,-86,-89,-92,-95,-95,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-98,-100,-100,-91,-86,-100,-100,-87,-100,-100,-100,-100,-89,-89,350,260,0
-63,-62,-64,-61,-63,-63,-68,-77,-74,-74,-73,-78,-78,-76,-77,-78,-81,-81,-81,-81,-81,-84,-85,-83,-83,-82,-68,-76,-78,-80,-81,-78,-86,-83,-81,-82,-78,-78,-84,-82,-68,-75,-85,-85,-82,-75,-92,-84,-78,-77,-77,-78,-83,-79,-78,-79,-75,-83,-84,-85,-83,-83,-82,-78,-83,-84,-80,-79,-95,-96,-77,-80,-86,-92,-86,-77,-89,-93,-92,-95,-88,-86,-89,-92,-95,-95,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-98,-100,-100,-91,-86,-100,-100,-87,-100,-100,-100,-100,-89,-89,350,260,0
-63,-62,-64,-61,-63,-63,-68,-77,-74,-74,-73,-78,-78,-76,-77,-78,-81,-81,-81,-81,-81,-84,-85,-83,-83,-82,-68,-76,-78,-80,-81,-78,-86,-83,-81,-82,-78,-78,-84,-82,-68,-75,-85,-85,-82,-75,-92,-84,-78,-77,-77,-78,-83,-79,-78,-79,-75,-83,-84,-85,-83,-83,-82,-78,-83,-84,-80,-79,-95,-96,-77,-80,-86,-92,-86,-77,-89,-93,-92,-95,-88,-86,-89,-92,-95,-95,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-98,-100,-100,-91,-86,-100,-100,-87,-100,-100,-100,-100,-89,-89,350,260,0
-62,-62,-62,-62,-62,-62,-68,-76,-75,-75,-74,-79,-79,-76,-76,-79,-81,-80,-81,-81,-80,-85,-85,-81,-82,-82,-68,-76,-79,-81,-80,-78,-86,-82,-82,-83,-74,-80,-86,-82,-68,-75,-84,-84,-83,-75,-88,-84,-82,-76,-76,-74,-77,-78,-78,-78,-78,-83,-88,-88,-84,-84,-81,-78,-83,-86,-81,-84,-97,-98,-78,-80,-92,-95,-87,-78,-94,-90,-96,-97,-85,-82,-85,-94,-97,-97,-85,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-98,-100,-100,-94,-92,-100,-100,-92,-100,-100,-100,-100,-87,-88,350,243,1
-60,-63,-61,-60,-60,-60,-67,-76,-75,-75,-74,-80,-80,-76,-76,-79,-81,-80,-81,-81,-80,-85,-85,-82,-82,-82,-67,-76,-80,-81,-80,-82,-86,-82,-82,-82,-72,-79,-86,-82,-67,-74,-84,-84,-84,-74,-88,-87,-81,-74,-75,-73,-78,-78,-78,-78,-79,-84,-89,-92,-83,-84,-81,-78,-83,-86,-81,-84,-100,-100,-74,-75,-89,-95,-87,-73,-94,-90,-96,-97,-81,-79,-81,-94,-97,-97,-81,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-98,-100,-100,-94,-92,-100,-100,-92,-100,-100,-100,-100,-88,-87,350,243,1
-60,-63,-60,-59,-59,-59,-67,-76,-76,-75,-74,-80,-79,-76,-76,-79,-81,-80,-81,-81,-80,-85,-85,-81,-82,-82,-67,-76,-79,-81,-80,-79,-86,-82,-86,-86,-70,-77,-86,-85,-67,-74,-84,-83,-84,-74,-84,-88,-85,-79,-80,-71,-71,-78,-78,-78,-79,-83,-89,-94,-83,-84,-81,-78,-83,-86,-81,-85,-100,-100,-74,-74,-90,-97,-87,-74,-97,-92,-98,-97,-82,-79,-81,-97,-100,-100,-82,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-96,-97,-100,-100,-97,-100,-100,-100,-100,-87,-88,350,243,1
-60,-63,-60,-59,-59,-59,-67,-76,-76,-75,-74,-80,-79,-76,-76,-79,-81,-80,-81,-81,-80,-85,-85,-81,-82,-82,-67,-76,-79,-81,-80,-79,-86,-82,-86,-86,-70,-77,-86,-85,-67,-74,-84,-83,-84,-74,-84,-88,-85,-79,-80,-71,-71,-78,-78,-78,-79,-83,-89,-94,-83,-84,-81,-78,-83,-86,-81,-85,-100,-100,-74,-74,-90,-97,-87,-74,-97,-92,-98,-97,-82,-79,-81,-97,-100,-100,-82,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-96,-97,-100,-100,-97,-100,-100,-100,-100,-87,-88,350,243,1
