38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:00:a1,44:48:c1:91:d0:14,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,44:48:c1:91:d0:12,44:48:c1:91:d0:10,b4:5d:50:e1:96:53,38:17:c3:1f:09:91,38:17:c3:24:47:52,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:24:47:51,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:14:11,38:17:c3:1f:14:12,44:48:c1:91:95:a3,38:17:c3:1f:00:a0,44:48:c1:91:d0:11,b4:5d:50:e1:96:50,38:17:c3:1f:09:90,38:17:c3:24:47:50,38:17:c3:1f:19:d0,38:17:c3:1f:14:10,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:14:02,38:17:c3:1f:14:01,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,38:17:c3:1f:00:a2,b4:5d:50:e1:96:41,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:83,b4:5d:50:e1:96:40,a8:bd:27:4c:aa:80,44:48:c1:91:95:a2,44:48:c1:91:d0:00,44:48:c1:91:d0:02,44:48:c1:91:d0:01,38:17:c3:1f:14:00,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,b4:5d:50:e1:96:43,44:48:c1:91:95:b1,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,44:48:c1:91:95:b3,44:48:c1:91:95:b0,38:17:c3:19:45:a2,20:a6:cd:42:0a:d2,44:48:c1:91:95:b2,a8:bd:27:4c:aa:90,38:17:c3:1f:09:80,38:17:c3:19:45:a0,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:42,44:48:c1:91:95:a1,20:a6:cd:42:0a:c2,38:17:c3:22:61:90,66:2a:2f:53:7c:99,38:17:c3:1f:09:81,38:17:c3:1f:09:83,38:17:c3:19:45:a1,38:17:c3:19:d7:71,38:17:c3:19:d7:70,38:17:c3:1f:09:82,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:42:0b:e0,38:17:c3:19:d7:60,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:72,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:25:e3,38:17:c3:19:36:30,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,38:17:c3:1e:ff:10,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:35:10,80:8d:b7:55:35:12,38:17:c3:1e:ff:12,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:39:d0,68:ff:7b:e4:af:39,b0:be:76:f8:30:5e,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,38:17:c3:19:71:92,38:17:c3:19:36:32,38:17:c3:19:71:91,38:17:c3:19:36:31,ea:9e:b4:53:24:54,20:a6:cd:50:24:a2,38:17:c3:19:71:90,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:39:d1,38:17:c3:1e:ff:11,38:17:c3:1f:22:30,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,80:8d:b7:55:39:c1,38:17:c3:1e:ff:01,80:8d:b7:55:29:d0,80:8d:b7:55:39:c0,80:8d:b7:55:39:c2,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,80:8d:b7:55:29:c0,68:ff:7b:e4:af:38,00:4e:35:df:06:52,80:8d:b7:55:39:d2,20:a6:cd:50:24:b0,00:4e:35:de:e1:12,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:40,38:17:c3:1f:0e:10,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:0e:02,38:17:c3:1f:22:20,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,00:4e:35:df:06:42,00:4e:35:de:e1:10,00:4e:35:df:06:41,38:17:c3:22:5e:f0,80:8d:b7:55:4d:01,00:4e:35:df:06:51,80:8d:b7:55:4d:02,38:17:c3:1f:08:50,00:4e:35:df:06:50,80:8d:b7:55:4d:00,80:8d:b7:55:4d:10,00:4e:35:de:e1:11,38:17:c3:22:61:92,38:17:c3:22:61:91,80:8d:b7:55:4d:12,38:17:c3:19:71:80,22:ad:56:24:6b:8b,38:17:c3:19:71:82,f0:ab:54:14:10:2c,38:17:c3:19:71:81,b4:5d:50:e1:92:23,80:3f:5d:c5:f8:e4,80:8d:b7:55:4d:11,x,y,label
-60,-60,-60,-62,-84,-81,-82,-84,-85,-85,-84,-84,-85,-85,-86,-84,-84,-87,-98,-100,-73,-73,-92,-61,-83,-85,-88,-87,-91,-74,-85,-86,-66,-73,-90,-85,-62,-81,-82,-81,-78,-81,-85,-100,-83,-82,-82,-67,-80,-80,-80,-82,-100,-100,-95,-91,-100,-97,-80,-89,-95,-100,-97,-81,-81,-100,-81,-100,-100,-100,-89,-93,-100,-100,-100,-100,-87,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-96,-100,-100,-100,-100,350,260,0
-60,-60,-60,-62,-84,-81,-82,-84,-85,-85,-84,-84,-85,-85,-86,-84,-84,-87,-98,-100,-73,-73,-92,-61,-83,-85,-88,-87,-91,-74,-85,-86,-66,-73,-90,-85,-62,-81,-82,-81,-78,-81,-85,-100,-83,-82,-82,-67,-80,-80,-80,-82,-100,-100,-95,-91,-100,-97,-80,-89,-95,-100,-97,-81,-81,-100,-81,-100,-100,-100,-89,-93,-100,-100,-100,-100,-87,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-96,-100,-100,-100,-100,350,260,0
-60,-60,-60,-62,-84,-81,-82,-84,-85,-85,-84,-84,-85,-85,-86,-84,-84,-87,-98,-100,-73,-73,-92,-61,-83,-85,-88,-87,-91,-74,-85,-86,-66,-73,-90,-85,-62,-81,-82,-81,-78,-81,-85,-100,-83,-82,-82,-67,-80,-80,-80,-82,-100,-100,-95,-91,-100,-97,-80,-89,-95,-100,-97,-81,-81,-100,-81,-100,-100,-100,-89,-93,-100,-100,-100,-100,-87,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-96,-100,-100,-100,-100,350,260,0
-60,-60,-60,-62,-84,-81,-82,-84,-85,-85,-84,-84,-85,-85,-86,-84,-84,-87,-98,-100,-73,-73,-92,-61,-83,-85,-88,-87,-91,-74,-85,-86,-66,-73,-90,-85,-62,-81,-82,-81,-78,-81,-85,-100,-83,-82,-82,-67,-80,-80,-80,-82,-100,-100,-95,-91,-100,-97,-80,-89,-95,-100,-97,-81,-81,-100,-81,-100,-100,-100,-89,-93,-100,-100,-100,-100,-87,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-96,-100,-100,-100,-100,350,260,0
-60,-60,-60,-62,-84,-81,-82,-84,-85,-85,-84,-84,-85,-85,-86,-84,-84,-87,-98,-100,-73,-73,-92,-61,-83,-85,-88,-87,-91,-74,-85,-86,-66,-73,-90,-85,-62,-81,-82,-81,-78,-81,-85,-100,-83,-82,-82,-67,-80,-80,-80,-82,-100,-100,-95,-91,-100,-97,-80,-89,-95,-100,-97,-81,-81,-100,-81,-100,-100,-100,-89,-93,-100,-100,-100,-100,-87,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-96,-100,-100,-100,-100,350,260,0
-59,-59,-59,-61,-83,-80,-82,-84,-85,-85,-83,-83,-85,-85,-86,-84,-84,-86,-98,-99,-72,-72,-91,-61,-82,-85,-88,-86,-91,-73,-85,-86,-65,-71,-89,-85,-61,-82,-81,-80,-77,-82,-83,-99,-83,-82,-82,-66,-80,-80,-80,-82,-100,-99,-94,-90,-100,-97,-80,-88,-94,-98,-96,-82,-82,-99,-81,-100,-100,-98,-88,-93,-100,-100,-98,-99,-88,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-96,-100,-100,-100,-100,350,260,0
-60,-60,-60,-62,-84,-81,-82,-84,-85,-85,-84,-84,-85,-85,-86,-84,-84,-87,-98,-100,-73,-73,-92,-61,-83,-85,-88,-87,-91,-74,-85,-86,-66,-73,-90,-85,-62,-81,-82,-81,-78,-81,-85,-100,-83,-82,-82,-67,-80,-80,-80,-82,-100,-100,-95,-91,-100,-97,-80,-89,-95,-100,-97,-81,-81,-100,-81,-100,-100,-100,-89,-93,-100,-100,-100,-100,-87,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-87,-100,-100,-100,-100,-96,-100,-100,-100,-100,350,243,1
-60,-60,-60,-65,-86,-82,-84,-85,-94,-92,-87,-88,-87,-90,-91,-89,-87,-91,-99,-100,-74,-74,-96,-65,-87,-88,-88,-88,-96,-75,-86,-87,-71,-74,-88,-86,-65,-88,-82,-81,-80,-85,-83,-100,-89,-91,-89,-72,-84,-84,-84,-85,-100,-95,-91,-94,-100,-86,-84,-93,-90,-97,-89,-81,-87,-100,-81,-100,-100,-97,-88,-86,-95,-94,-96,-93,-90,-94,-96,-88,-94,-92,-94,-90,-93,-93,-94,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-94,-100,-100,-100,-100,-92,-100,-100,-100,-100,350,243,1
-60,-60,-60,-64,-85,-82,-84,-86,-91,-89,-87,-87,-87,-87,-91,-86,-84,-92,-98,-100,-74,-74,-95,-64,-86,-87,-87,-88,-94,-75,-85,-86,-71,-74,-88,-85,-64,-85,-82,-81,-80,-83,-84,-100,-87,-88,-86,-71,-83,-83,-83,-84,-100,-96,-91,-94,-100,-91,-82,-93,-92,-100,-93,-81,-85,-100,-81,-100,-100,-100,-88,-89,-96,-95,-99,-95,-88,-92,-94,-91,-96,-94,-97,-94,-97,-97,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-92,-100,-100,-100,-100,-92,-100,-100,-100,-100,350,243,1
-60,-60,-60,-65,-86,-82,-84,-85,-94,-92,-87,-88,-87,-90,-91,-89,-87,-91,-99,-100,-74,-74,-96,-65,-87,-88,-88,-88,-96,-75,-86,-87,-71,-74,-88,-86,-65,-88,-82,-81,-80,-85,-83,-100,-89,-91,-89,-72,-84,-84,-84,-85,-100,-95,-91,-94,-100,-86,-84,-93,-90,-97,-89,-81,-87,-100,-81,-100,-100,-97,-88,-86,-95,-94,-96,-93,-90,-94,-96,-88,-94,-92,-94,-90,-93,-93,-94,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-94,-100,-100,-100,-100,-92,-100,-100,-100,-100,350,243,1
