38:17:c3:19:71:90,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,38:17:c3:19:45:a0,44:48:c1:a5:82:30,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,38:17:c3:1e:ff:00,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:20,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1f:09:93,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:01:92,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,38:17:c3:1f:22:32,38:17:c3:1e:ff:01,38:17:c3:1f:22:31,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:01:90,38:17:c3:1f:01:91,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,38:17:c3:1f:09:83,38:17:c3:19:55:52,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:31,b4:5d:50:e1:92:23,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,00:4e:35:df:06:40,80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:de:e1:12,00:4e:35:de:e1:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,66:2a:2f:53:7c:99,68:ff:7b:e4:af:38,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,20:a6:cd:42:0b:f3,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:40,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,20:a6:cd:50:24:a1,b4:5d:50:e1:92:30,00:4e:35:de:e1:11,20:a6:cd:42:0b:f0,38:17:c3:19:55:42,38:17:c3:19:55:40,38:17:c3:1f:09:92,38:17:c3:1f:09:91,20:a6:cd:42:0b:f2,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:55:41,20:a6:cd:42:0b:f1,38:17:c3:1f:09:90,00:4e:35:de:e1:00,68:ff:7b:e4:af:39,38:17:c3:1f:00:b0,20:a6:cd:42:0b:e3,00:4e:35:de:e1:02,38:17:c3:1f:08:50,38:17:c3:1f:08:51,b4:5d:50:e1:96:43,00:4e:35:de:e1:01,00:4e:35:de:d7:53,00:4e:35:de:d7:52,a8:bd:27:4c:bd:30,44:48:c1:91:95:b3,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,44:48:c1:91:95:b2,a8:bd:27:4c:bd:21,00:4e:35:df:0e:12,00:4e:35:de:d7:50,b4:5d:50:e1:92:20,38:17:c3:1f:08:52,00:4e:35:de:d7:51,38:17:c3:1f:08:41,00:4e:35:de:d7:41,00:4e:35:df:0e:11,00:4e:35:de:d7:43,00:4e:35:de:d7:42,38:17:c3:1e:fc:b0,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,a8:bd:27:4c:bd:22,00:4e:35:df:0e:10,38:17:c3:1e:fc:b1,38:17:c3:1f:08:42,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:36:30,38:17:c3:1f:08:40,a8:bd:27:4c:bd:20,38:17:c3:19:36:32,38:17:c3:1e:fc:b2,70:56:81:c9:91:ab,56:13:79:14:54:6d,64:e5:99:c3:13:3c,38:17:c3:1e:fc:a2,00:4e:35:df:0e:02,00:4e:35:df:0e:01,00:4e:35:df:0e:00,a8:bd:27:4c:bd:32,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,a8:bd:27:4c:bd:31,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:01,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,32:f7:72:50:57:3b,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:1f:0f:90,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,00:4e:35:df:27:12,00:4e:35:df:27:01,00:4e:35:df:27:00,00:4e:35:df:27:02,00:4e:35:de:d7:40,x,y,label
-93,-46,-79,-85,-83,-47,-79,-46,-79,-83,-77,-78,-66,-72,-67,-66,-66,-86,-73,-74,-73,-62,-81,-62,-74,-76,-73,-62,-81,-62,-81,-87,-83,-83,-51,-68,-90,-85,-89,-85,-88,-85,-86,-68,-68,-86,-81,-91,-86,-86,-79,-80,-87,-85,-73,-71,-83,-69,-88,-89,-88,-89,-76,-76,-74,-86,-68,-67,-90,-80,-88,-83,-82,-82,-87,-83,-83,-94,-93,-82,-83,-88,-74,-73,-70,-70,-85,-84,-71,-70,-74,-54,-56,-69,-68,-79,-55,-86,-87,-78,-77,-89,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-93,-46,-79,-85,-85,-47,-79,-47,-79,-83,-80,-79,-73,-80,-71,-73,-74,-86,-70,-73,-73,-63,-81,-62,-77,-77,-76,-64,-86,-62,-81,-87,-82,-81,-51,-67,-91,-87,-90,-85,-88,-87,-86,-69,-69,-82,-83,-91,-84,-86,-79,-80,-87,-85,-66,-68,-81,-71,-91,-90,-89,-89,-74,-75,-74,-86,-69,-67,-90,-81,-88,-83,-83,-82,-87,-83,-83,-95,-93,-82,-83,-90,-74,-74,-71,-73,-87,-84,-71,-71,-74,-57,-57,-69,-70,-84,-57,-86,-87,-81,-81,-89,-81,-79,-82,-88,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-93,-46,-77,-85,-85,-47,-79,-47,-79,-83,-80,-80,-66,-80,-68,-67,-67,-87,-74,-74,-74,-64,-81,-63,-78,-78,-75,-63,-86,-64,-81,-87,-82,-81,-50,-69,-91,-88,-90,-86,-88,-87,-90,-70,-69,-79,-79,-91,-86,-89,-79,-80,-87,-86,-73,-73,-81,-73,-91,-94,-90,-87,-72,-73,-73,-83,-70,-66,-83,-82,-90,-83,-84,-82,-87,-83,-85,-94,-93,-84,-84,-90,-76,-75,-70,-72,-87,-84,-72,-72,-76,-55,-57,-70,-70,-81,-57,-86,-87,-81,-80,-89,-80,-75,-82,-88,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-93,-47,-77,-87,-85,-46,-79,-47,-79,-87,-80,-80,-67,-80,-68,-68,-67,-86,-75,-75,-74,-64,-81,-64,-77,-76,-77,-64,-84,-64,-81,-87,-82,-83,-47,-70,-91,-85,-90,-87,-88,-86,-87,-71,-71,-82,-82,-91,-86,-89,-79,-80,-87,-86,-73,-73,-83,-73,-91,-91,-90,-87,-73,-73,-71,-81,-68,-65,-81,-81,-88,-83,-84,-82,-84,-84,-84,-94,-93,-84,-84,-89,-76,-72,-72,-72,-85,-84,-71,-72,-75,-58,-58,-69,-69,-80,-58,-86,-87,-80,-80,-89,-80,-77,-80,-88,-87,-90,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-94,-46,-77,-84,-84,-46,-79,-46,-79,-83,-80,-76,-68,-76,-68,-67,-67,-88,-74,-75,-74,-63,-81,-61,-78,-76,-77,-64,-84,-63,-81,-87,-83,-82,-50,-72,-89,-88,-90,-86,-88,-87,-87,-72,-72,-82,-82,-91,-86,-89,-79,-80,-87,-86,-71,-71,-83,-72,-91,-90,-90,-87,-73,-74,-71,-81,-68,-66,-80,-80,-87,-83,-84,-82,-84,-84,-84,-94,-93,-84,-90,-91,-75,-75,-69,-73,-87,-84,-71,-71,-75,-56,-55,-68,-67,-79,-55,-79,-79,-82,-81,-89,-81,-76,-80,-88,-88,-90,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-94,-46,-77,-84,-84,-46,-79,-46,-79,-83,-80,-76,-68,-76,-68,-67,-67,-88,-74,-75,-74,-63,-81,-61,-78,-76,-77,-64,-84,-63,-81,-87,-83,-82,-50,-72,-89,-88,-90,-86,-88,-87,-87,-72,-72,-82,-82,-91,-86,-89,-79,-80,-87,-86,-71,-71,-83,-72,-91,-90,-90,-87,-73,-74,-71,-81,-68,-66,-80,-80,-87,-83,-84,-82,-84,-84,-84,-94,-93,-84,-90,-91,-75,-75,-69,-73,-87,-84,-71,-71,-75,-56,-55,-68,-67,-79,-55,-79,-79,-82,-81,-89,-81,-76,-80,-88,-88,-90,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-94,-52,-77,-87,-86,-53,-79,-52,-74,-85,-69,-69,-71,-68,-70,-70,-69,-86,-73,-73,-73,-59,-81,-58,-77,-73,-75,-58,-84,-58,-81,-85,-78,-78,-55,-65,-89,-87,-90,-86,-88,-87,-87,-65,-62,-80,-81,-91,-85,-85,-79,-80,-88,-86,-72,-71,-82,-74,-87,-88,-86,-87,-69,-70,-69,-81,-64,-72,-82,-83,-90,-83,-83,-82,-85,-80,-79,-92,-93,-82,-83,-89,-73,-72,-73,-77,-83,-84,-75,-76,-77,-57,-58,-65,-63,-81,-57,-79,-79,-81,-81,-79,-80,-74,-80,-88,-88,-87,-89,-88,-87,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-93,-52,-77,-87,-86,-52,-76,-52,-74,-85,-67,-69,-68,-66,-68,-71,-69,-84,-72,-72,-72,-59,-83,-58,-72,-71,-71,-58,-82,-58,-83,-87,-77,-77,-52,-64,-89,-85,-90,-85,-88,-85,-87,-67,-65,-85,-86,-91,-84,-86,-87,-80,-85,-85,-71,-70,-82,-73,-87,-88,-88,-83,-70,-70,-68,-83,-68,-78,-83,-82,-87,-83,-85,-86,-81,-82,-82,-93,-91,-82,-85,-87,-74,-73,-70,-79,-85,-84,-77,-78,-74,-57,-58,-64,-67,-79,-57,-73,-72,-77,-77,-73,-77,-73,-86,-87,-88,-89,-87,-89,-87,-87,-87,-90,-90,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-90,-52,-77,-89,-87,-52,-76,-53,-74,-87,-68,-70,-71,-69,-70,-70,-68,-84,-71,-72,-71,-60,-80,-60,-74,-74,-73,-57,-83,-59,-83,-86,-77,-79,-53,-67,-89,-83,-90,-83,-88,-85,-87,-68,-68,-85,-86,-91,-85,-85,-87,-85,-84,-84,-74,-75,-82,-73,-88,-89,-86,-83,-70,-70,-70,-83,-66,-77,-83,-82,-86,-83,-84,-85,-80,-80,-81,-93,-91,-82,-83,-89,-74,-73,-71,-77,-86,-89,-79,-79,-74,-57,-58,-66,-67,-77,-57,-74,-74,-80,-78,-74,-77,-74,-86,-88,-88,-87,-88,-88,-86,-86,-89,-90,-90,-87,-87,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-90,-52,-77,-88,-89,-51,-76,-52,-74,-87,-67,-68,-70,-68,-69,-70,-69,-84,-72,-71,-71,-55,-80,-56,-74,-74,-73,-58,-83,-58,-83,-86,-76,-79,-55,-67,-91,-83,-90,-84,-88,-84,-87,-67,-67,-85,-86,-91,-85,-85,-87,-85,-87,-85,-74,-75,-82,-73,-87,-87,-88,-89,-70,-70,-70,-83,-67,-73,-83,-82,-87,-83,-84,-85,-76,-80,-80,-89,-91,-82,-83,-88,-75,-74,-72,-77,-85,-83,-77,-78,-74,-58,-58,-67,-67,-78,-59,-74,-74,-80,-77,-74,-77,-74,-86,-88,-88,-91,-88,-88,-87,-87,-88,-91,-90,-89,-89,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
