38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1e:fc:a0,38:17:c3:19:71:90,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:19:55:41,38:17:c3:19:45:a1,38:17:c3:19:55:42,38:17:c3:19:45:a2,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:45:a0,38:17:c3:19:d7:61,38:17:c3:19:55:40,44:48:c1:a5:82:30,80:8d:b7:55:25:f2,44:48:c1:a5:82:32,80:8d:b7:55:25:f3,44:48:c1:a5:82:31,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,20:a6:cd:42:0b:e3,38:17:c3:1f:08:50,38:17:c3:1e:ff:00,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:20,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1f:09:92,9e:2b:77:8e:45:c7,38:17:c3:1f:09:93,80:8d:b7:55:4d:10,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:01:92,38:17:c3:1f:22:30,38:17:c3:1f:22:32,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1f:22:31,38:17:c3:1f:01:90,38:17:c3:1f:01:91,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:83,38:17:c3:19:55:52,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,b4:5d:50:e1:92:23,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,00:4e:35:df:06:40,b0:be:76:f8:30:5e,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:de:e1:11,00:4e:35:de:e1:12,00:4e:35:de:e1:10,b4:5d:50:e1:96:50,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,68:ff:7b:e4:af:38,b4:5d:50:e1:96:52,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,20:a6:cd:42:0b:f3,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,b4:5d:50:e1:96:43,80:8d:b7:55:35:00,64:e5:99:c3:13:3c,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:40,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,20:a6:cd:42:0b:f0,44:48:c1:91:95:b2,38:17:c3:1f:00:b0,44:48:c1:91:95:b3,20:a6:cd:50:24:a0,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,00:4e:35:df:0e:12,b4:5d:50:e1:92:22,00:4e:35:df:0e:11,00:4e:35:de:e1:02,a8:bd:27:4c:bd:22,38:17:c3:1f:08:51,00:4e:35:de:e1:00,00:4e:35:de:e1:01,38:17:c3:1f:22:21,b4:5d:50:e1:96:51,00:4e:35:de:d7:53,00:4e:35:de:d7:52,38:17:c3:1f:08:52,38:17:c3:1f:22:22,44:48:c1:91:95:b0,44:48:c1:91:95:b1,b4:5d:50:e1:92:21,38:17:c3:1f:22:20,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:de:d7:51,00:4e:35:de:d7:43,00:4e:35:de:d7:50,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:31,00:4e:35:df:0e:10,38:17:c3:1f:08:40,b4:5d:50:e1:92:20,00:4e:35:de:d7:40,00:4e:35:de:d7:42,00:4e:35:de:d7:41,38:17:c3:1f:08:41,38:17:c3:19:71:82,38:17:c3:1f:08:42,00:4e:35:df:0e:02,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:24:58:b0,0a:05:a7:e3:d9:82,38:17:c3:24:4f:11,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:1b:08:b0,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:4f:00,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:19:71:81,00:4e:35:df:27:12,38:17:c3:19:71:80,x,y,label
-81,-79,-90,-89,-82,-91,-49,-78,-85,-87,-86,-86,-49,-76,-49,-88,-79,-85,-74,-71,-74,-71,-74,-70,-71,-89,-93,-84,-75,-74,-75,-61,-79,-64,-78,-78,-80,-64,-81,-64,-81,-86,-88,-86,-94,-75,-75,-45,-66,-83,-80,-85,-85,-81,-66,-66,-81,-82,-86,-87,-90,-88,-78,-78,-78,-87,-87,-78,-77,-75,-78,-85,-82,-87,-83,-80,-68,-67,-68,-76,-82,-71,-90,-87,-90,-92,-92,-90,-81,-85,-84,-89,-90,-89,-84,-92,-74,-74,-70,-74,-74,-73,-92,-73,-94,-50,-50,-64,-63,-81,-50,-82,-84,-80,-80,-82,-80,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-81,-79,-90,-89,-82,-91,-47,-78,-85,-87,-86,-87,-49,-76,-47,-88,-79,-85,-74,-71,-73,-72,-74,-71,-72,-93,-93,-84,-74,-73,-72,-59,-78,-61,-81,-78,-80,-62,-80,-59,-79,-86,-90,-86,-94,-75,-76,-45,-65,-82,-82,-85,-85,-82,-65,-65,-81,-82,-85,-85,-90,-88,-81,-81,-82,-87,-87,-77,-76,-76,-77,-82,-84,-83,-83,-80,-68,-67,-68,-66,-82,-69,-90,-87,-90,-92,-92,-90,-81,-81,-80,-90,-90,-89,-83,-92,-73,-72,-71,-74,-75,-75,-92,-71,-94,-52,-52,-68,-66,-78,-52,-83,-84,-79,-77,-82,-78,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-81,-79,-90,-89,-82,-91,-50,-78,-85,-87,-86,-87,-49,-76,-50,-88,-79,-85,-81,-71,-72,-72,-72,-71,-71,-93,-93,-84,-73,-75,-73,-61,-80,-61,-81,-78,-80,-62,-80,-61,-80,-86,-91,-86,-94,-76,-76,-44,-65,-82,-82,-85,-85,-82,-65,-66,-81,-82,-86,-85,-90,-88,-81,-80,-81,-87,-87,-79,-76,-77,-79,-82,-84,-84,-82,-80,-68,-74,-76,-65,-82,-69,-90,-87,-90,-92,-92,-90,-80,-81,-79,-91,-90,-89,-84,-92,-73,-73,-70,-77,-76,-77,-92,-73,-94,-52,-52,-66,-65,-81,-51,-83,-84,-78,-80,-85,-80,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-81,-79,-90,-89,-82,-91,-49,-78,-85,-87,-86,-87,-48,-76,-49,-86,-79,-85,-81,-71,-72,-70,-72,-71,-70,-93,-93,-84,-73,-73,-73,-62,-80,-61,-81,-78,-80,-64,-80,-63,-80,-87,-88,-85,-94,-75,-77,-48,-64,-82,-81,-85,-85,-81,-65,-66,-81,-82,-85,-86,-90,-88,-82,-81,-82,-88,-87,-78,-79,-76,-79,-82,-84,-84,-82,-80,-68,-72,-72,-67,-82,-69,-90,-87,-90,-92,-92,-90,-80,-78,-78,-91,-90,-89,-85,-90,-73,-73,-72,-75,-75,-75,-92,-72,-94,-52,-53,-66,-66,-81,-54,-84,-84,-80,-78,-85,-79,-74,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-81,-79,-90,-89,-82,-91,-49,-78,-85,-87,-86,-87,-50,-76,-50,-86,-79,-85,-73,-72,-72,-71,-74,-70,-71,-93,-93,-84,-75,-72,-73,-62,-79,-63,-83,-78,-80,-62,-78,-63,-79,-86,-91,-86,-94,-75,-77,-47,-66,-83,-82,-82,-85,-82,-67,-65,-81,-82,-84,-85,-90,-88,-81,-81,-81,-88,-87,-78,-80,-76,-81,-83,-82,-84,-83,-80,-68,-76,-72,-66,-82,-68,-90,-87,-90,-92,-92,-90,-80,-81,-81,-90,-90,-89,-84,-90,-73,-72,-68,-75,-74,-75,-92,-73,-94,-53,-54,-65,-66,-81,-52,-83,-84,-80,-77,-85,-80,-79,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-81,-79,-90,-89,-82,-91,-49,-78,-85,-87,-86,-87,-50,-76,-50,-86,-79,-85,-73,-72,-72,-71,-74,-70,-71,-93,-93,-84,-75,-72,-73,-62,-79,-63,-83,-78,-80,-62,-78,-63,-79,-86,-91,-86,-94,-75,-77,-47,-66,-83,-82,-82,-85,-82,-67,-65,-81,-82,-84,-85,-90,-88,-81,-81,-81,-88,-87,-78,-80,-76,-81,-83,-82,-84,-83,-80,-68,-76,-72,-66,-82,-68,-90,-87,-90,-92,-92,-90,-80,-81,-81,-90,-90,-89,-84,-90,-73,-72,-68,-75,-74,-75,-92,-73,-94,-53,-54,-65,-66,-81,-52,-83,-84,-80,-77,-85,-80,-79,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0.0
-100,-100,-89,-88,-100,-87,-53,-80,-89,-87,-86,-87,-50,-82,-53,-86,-79,-88,-73,-69,-73,-69,-70,-70,-70,-93,-93,-83,-72,-71,-71,-53,-78,-55,-83,-80,-79,-54,-77,-53,-77,-83,-90,-82,-94,-74,-74,-56,-64,-84,-84,-82,-83,-84,-63,-62,-81,-82,-83,-82,-90,-88,-78,-77,-77,-88,-87,-73,-74,-73,-76,-84,-82,-84,-84,-88,-74,-71,-71,-66,-86,-67,-90,-86,-89,-91,-90,-90,-80,-81,-81,-89,-90,-89,-87,-90,-74,-75,-72,-72,-72,-73,-92,-74,-100,-60,-59,-66,-66,-82,-60,-81,-84,-86,-84,-85,-83,-79,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-100,-100,-85,-84,-100,-83,-50,-80,-86,-87,-86,-87,-49,-82,-51,-86,-79,-88,-70,-69,-73,-70,-70,-71,-70,-93,-93,-83,-73,-71,-72,-50,-78,-50,-83,-81,-80,-51,-78,-51,-79,-83,-90,-82,-94,-75,-76,-58,-63,-81,-82,-82,-83,-81,-62,-65,-81,-82,-84,-83,-90,-88,-75,-75,-75,-88,-87,-77,-75,-75,-75,-84,-82,-83,-84,-88,-68,-72,-69,-68,-86,-69,-87,-86,-88,-88,-87,-90,-80,-79,-78,-86,-90,-89,-87,-90,-72,-72,-68,-74,-73,-73,-92,-73,-100,-57,-57,-68,-68,-79,-55,-81,-84,-83,-83,-85,-82,-78,-93,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-100,-100,-85,-84,-100,-85,-50,-80,-86,-87,-86,-87,-44,-82,-50,-86,-79,-88,-71,-69,-73,-69,-70,-69,-69,-93,-93,-83,-72,-72,-72,-51,-77,-50,-83,-81,-80,-50,-77,-50,-78,-83,-90,-83,-94,-75,-78,-61,-63,-81,-81,-82,-83,-81,-62,-62,-81,-82,-82,-82,-90,-88,-75,-75,-76,-88,-87,-74,-76,-76,-77,-84,-83,-83,-84,-88,-68,-72,-69,-66,-86,-71,-87,-86,-88,-89,-87,-90,-80,-77,-78,-87,-90,-89,-85,-90,-74,-72,-70,-73,-73,-73,-92,-74,-100,-58,-56,-67,-67,-75,-58,-80,-84,-81,-80,-85,-81,-78,-93,-94,-90,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
-100,-100,-86,-85,-100,-85,-49,-80,-88,-87,-86,-87,-50,-82,-49,-86,-79,-88,-72,-69,-73,-68,-70,-68,-69,-93,-93,-83,-73,-73,-73,-50,-77,-51,-79,-79,-81,-51,-78,-51,-78,-83,-88,-83,-94,-87,-74,-58,-63,-83,-82,-82,-83,-82,-62,-62,-81,-82,-82,-82,-90,-88,-77,-75,-76,-88,-87,-76,-76,-76,-76,-84,-83,-82,-82,-88,-72,-72,-69,-69,-86,-69,-87,-89,-89,-89,-92,-90,-80,-79,-79,-87,-90,-89,-83,-90,-74,-73,-70,-73,-73,-73,-92,-71,-100,-59,-58,-66,-68,-80,-58,-80,-84,-82,-83,-81,-84,-78,-93,-94,-90,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1.0
