80:8d:b7:55:29:c0,38:17:c3:19:d7:62,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:d7:60,38:17:c3:1f:0e:10,38:17:c3:19:d7:61,38:17:c3:19:45:a0,b0:be:76:f8:30:5e,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:4d:02,80:8d:b7:55:4d:01,80:8d:b7:55:29:d0,38:17:c3:1f:00:b0,80:8d:b7:55:4d:00,80:8d:b7:55:29:d1,38:17:c3:1f:00:b1,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,66:2a:2f:53:7c:99,38:17:c3:1f:00:b2,80:8d:b7:55:29:c1,68:ff:7b:e4:af:38,80:8d:b7:55:29:c2,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,38:17:c3:1f:22:22,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,38:17:c3:1f:22:30,80:8d:b7:55:3a:52,38:17:c3:1e:ff:02,38:17:c3:1f:22:32,38:17:c3:1e:ff:01,38:17:c3:1f:22:31,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:29:d2,20:a6:cd:50:24:a2,38:17:c3:1f:00:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d2,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:1e:ff:12,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,68:ff:7b:e4:af:39,38:17:c3:19:71:90,38:17:c3:1f:22:20,80:8d:b7:55:4d:10,80:8d:b7:55:35:00,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1f:0e:12,80:8d:b7:55:39:c0,38:17:c3:1f:0e:11,80:8d:b7:55:39:d0,38:17:c3:1f:00:a0,38:17:c3:1f:00:a1,80:8d:b7:55:39:d1,20:a6:cd:42:0b:e3,38:17:c3:1f:22:21,00:4e:35:de:e1:10,80:8d:b7:55:3a:40,00:4e:35:df:06:40,00:4e:35:df:06:42,20:a6:cd:42:0b:f3,38:17:c3:1f:08:50,20:a6:cd:42:0b:f0,00:4e:35:df:06:41,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,00:4e:35:de:e1:11,60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,72:32:b1:3e:1a:b8,38:17:c3:19:36:32,38:17:c3:19:36:30,38:17:c3:1f:09:93,38:17:c3:19:36:31,72:32:b1:3e:1a:b7,38:17:c3:1f:09:90,38:17:c3:1f:14:10,38:17:c3:1f:14:12,38:17:c3:1f:14:11,38:17:c3:1f:19:f0,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,bc:42:8c:64:49:70,a8:bd:27:4c:aa:91,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:d3,a8:bd:27:4c:aa:83,20:a6:cd:42:0a:c3,38:17:c3:1f:09:83,38:17:c3:1f:14:00,38:17:c3:1f:09:92,38:17:c3:1f:14:01,44:48:c1:91:d0:11,b4:5d:50:e1:96:50,b4:5d:50:e1:96:53,38:17:c3:1f:14:02,b4:5d:50:e1:96:43,38:17:c3:1f:09:91,38:17:c3:1f:09:81,44:48:c1:91:d0:14,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:d0:04,b4:5d:50:e1:96:40,b4:5d:50:e1:96:42,44:48:c1:91:d0:12,44:48:c1:91:d0:10,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:81,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,b4:5d:50:e1:96:51,38:17:c3:24:47:50,38:17:c3:1f:09:80,38:17:c3:1f:19:d0,b4:5d:50:e1:96:52,38:17:c3:24:47:52,38:17:c3:24:47:51,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:1f:19:d2,44:48:c1:91:95:a3,b4:5d:50:e1:96:41,38:17:c3:1f:19:d1,20:a6:cd:42:0a:c1,38:17:c3:22:61:91,38:17:c3:22:61:92,38:17:c3:22:61:90,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c2,44:48:c1:91:95:a2,38:17:c3:1f:09:82,38:17:c3:22:5e:f0,44:48:c1:91:95:a1,38:17:c3:22:5e:f2,44:48:c1:91:95:a0,20:a6:cd:42:13:f2,38:17:c3:1a:cf:d0,38:17:c3:1a:cf:d1,38:17:c3:1a:cf:d2,20:a6:cd:42:13:f1,20:a6:cd:42:13:f0,38:17:c3:24:56:50,38:17:c3:1f:19:c1,86:0d:8e:aa:25:a4,44:48:c1:91:aa:30,x,y,label
-100,-100,-100,-100,-86,-100,-100,-100,-100,-83,-100,-100,-91,-90,-100,-100,-100,-100,-69,-100,-100,-66,-100,-100,-87,-88,-87,-100,-100,-100,-100,-100,-100,-93,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-78,-90,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-81,-100,-91,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-69,-65,-100,-100,-100,-69,-91,-94,-77,-89,-64,-78,-79,-79,-79,-84,-86,-89,-85,-100,-87,-70,-71,-70,-82,-76,-80,-83,-78,-82,-74,-72,-74,-83,-74,-79,-89,-75,-70,-83,-80,-78,-78,-75,-75,-86,-86,-85,-84,-79,-71,-78,-87,-79,-72,-77,-76,-82,-81,-82,-82,-81,-80,-80,-80,-81,-80,-81,-80,-85,-86,-86,-80,-80,-83,-86,-91,-85,-91,-83,-84,-91,-89,-89,-84,-86,-92,-91,-93,-86,350,260,0
-100,-100,-100,-100,-86,-100,-100,-100,-100,-83,-100,-100,-91,-90,-100,-100,-100,-100,-67,-100,-100,-65,-100,-100,-87,-88,-87,-100,-100,-100,-100,-100,-100,-93,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-78,-90,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-73,-100,-91,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-65,-63,-100,-100,-100,-65,-91,-94,-78,-89,-63,-78,-80,-79,-79,-84,-86,-86,-85,-100,-87,-72,-73,-72,-85,-79,-80,-82,-79,-82,-74,-74,-73,-82,-76,-79,-89,-74,-72,-79,-79,-78,-76,-74,-74,-83,-86,-83,-84,-79,-74,-79,-87,-80,-75,-78,-78,-81,-81,-81,-82,-83,-80,-81,-80,-81,-77,-81,-80,-90,-90,-90,-81,-81,-83,-86,-93,-85,-91,-83,-84,-91,-89,-89,-85,-85,-93,-91,-93,-86,350,260,0
-100,-100,-100,-100,-86,-100,-100,-100,-100,-83,-100,-100,-91,-90,-100,-100,-100,-100,-69,-100,-100,-66,-100,-100,-87,-88,-87,-100,-100,-100,-100,-100,-100,-93,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-78,-90,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-81,-100,-91,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-69,-65,-100,-100,-100,-69,-91,-94,-77,-89,-64,-78,-79,-79,-79,-84,-86,-89,-85,-100,-87,-70,-71,-70,-82,-76,-80,-83,-78,-82,-74,-72,-74,-83,-74,-79,-89,-75,-70,-83,-80,-78,-78,-75,-75,-86,-86,-85,-84,-79,-71,-78,-87,-79,-72,-77,-76,-82,-81,-82,-82,-81,-80,-80,-80,-81,-80,-81,-80,-85,-86,-86,-80,-80,-83,-86,-91,-85,-91,-83,-84,-91,-89,-89,-84,-86,-92,-91,-93,-86,350,260,0
-100,-100,-100,-100,-86,-100,-100,-100,-100,-83,-100,-100,-91,-90,-100,-100,-100,-100,-67,-100,-100,-65,-100,-100,-87,-88,-87,-100,-100,-100,-100,-100,-100,-93,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-78,-90,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-73,-100,-91,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-65,-63,-100,-100,-100,-65,-91,-94,-78,-89,-63,-78,-80,-79,-79,-84,-86,-86,-85,-100,-87,-72,-73,-72,-85,-79,-80,-82,-79,-82,-74,-74,-73,-82,-76,-79,-89,-74,-72,-79,-79,-78,-76,-74,-74,-83,-86,-83,-84,-79,-74,-79,-87,-80,-75,-78,-78,-81,-81,-81,-82,-83,-80,-81,-80,-81,-77,-81,-80,-90,-90,-90,-81,-81,-83,-86,-93,-85,-91,-83,-84,-91,-89,-89,-85,-85,-93,-91,-93,-86,350,260,0
-100,-100,-100,-100,-86,-100,-100,-100,-100,-83,-100,-100,-91,-90,-100,-100,-100,-100,-69,-100,-100,-66,-100,-100,-87,-88,-87,-100,-100,-100,-100,-100,-100,-93,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-78,-90,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-81,-100,-91,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-69,-65,-100,-100,-100,-69,-91,-94,-77,-89,-64,-78,-79,-79,-79,-84,-86,-89,-85,-100,-87,-70,-71,-70,-82,-76,-80,-83,-78,-82,-74,-72,-74,-83,-74,-79,-89,-75,-70,-83,-80,-78,-78,-75,-75,-86,-86,-85,-84,-79,-71,-78,-87,-79,-72,-77,-76,-82,-81,-82,-82,-81,-80,-80,-80,-81,-80,-81,-80,-85,-86,-86,-80,-80,-83,-86,-91,-85,-91,-83,-84,-91,-89,-89,-84,-86,-92,-91,-93,-86,350,260,0
-100,-100,-100,-100,-86,-100,-100,-100,-100,-83,-100,-100,-91,-90,-100,-100,-100,-100,-67,-100,-100,-65,-100,-100,-87,-88,-87,-100,-100,-100,-100,-100,-100,-93,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-78,-90,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-73,-100,-91,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-65,-63,-100,-100,-100,-65,-91,-94,-78,-89,-63,-78,-80,-79,-79,-84,-86,-86,-85,-100,-87,-72,-73,-72,-85,-79,-80,-82,-79,-82,-74,-74,-73,-82,-76,-79,-89,-74,-72,-79,-79,-78,-76,-74,-74,-83,-86,-83,-84,-79,-74,-79,-87,-80,-75,-78,-78,-81,-81,-81,-82,-83,-80,-81,-80,-81,-77,-81,-80,-90,-90,-90,-81,-81,-83,-86,-93,-85,-91,-83,-84,-91,-89,-89,-85,-85,-93,-91,-93,-86,350,260,0
-100,-100,-100,-100,-86,-100,-100,-100,-100,-83,-100,-100,-91,-90,-100,-100,-100,-100,-65,-100,-100,-64,-100,-100,-87,-88,-87,-100,-100,-100,-100,-100,-100,-93,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-84,-90,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-77,-100,-91,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-66,-66,-100,-100,-100,-65,-91,-94,-79,-89,-64,-79,-77,-80,-78,-84,-87,-87,-87,-100,-87,-75,-76,-75,-83,-75,-79,-80,-79,-77,-76,-75,-76,-78,-71,-80,-89,-76,-74,-78,-78,-79,-79,-76,-76,-85,-86,-85,-84,-79,-75,-79,-84,-82,-76,-78,-79,-85,-84,-84,-85,-79,-81,-80,-82,-81,-75,-83,-76,-88,-89,-87,-77,-78,-83,-87,-91,-85,-91,-83,-84,-88,-89,-89,-85,-85,-93,-91,-100,-100,350,243,1
-100,-100,-100,-100,-86,-100,-100,-100,-100,-83,-100,-100,-94,-100,-100,-100,-100,-100,-62,-100,-100,-64,-100,-100,-87,-88,-86,-100,-100,-100,-100,-100,-100,-94,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-82,-90,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-74,-100,-91,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-63,-61,-100,-100,-100,-68,-91,-94,-77,-89,-60,-78,-73,-73,-73,-84,-87,-87,-87,-100,-87,-78,-77,-77,-80,-79,-87,-80,-79,-77,-73,-75,-76,-77,-71,-77,-89,-74,-77,-81,-80,-79,-79,-73,-72,-87,-86,-86,-84,-79,-75,-80,-84,-83,-76,-79,-80,-83,-84,-84,-83,-83,-82,-83,-82,-81,-75,-82,-80,-90,-89,-92,-77,-77,-83,-87,-92,-85,-91,-83,-86,-90,-86,-87,-86,-86,-94,-100,-100,-100,350,243,1
-100,-100,-100,-100,-86,-100,-100,-100,-100,-87,-100,-100,-94,-100,-100,-100,-100,-100,-62,-100,-100,-63,-100,-100,-87,-88,-86,-100,-100,-100,-100,-100,-100,-94,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-82,-90,-81,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-71,-100,-91,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-64,-63,-100,-100,-100,-61,-91,-92,-76,-89,-62,-77,-73,-73,-73,-84,-86,-87,-87,-100,-87,-76,-77,-77,-83,-75,-87,-79,-76,-79,-71,-75,-75,-80,-72,-76,-89,-71,-77,-80,-81,-79,-78,-70,-73,-87,-86,-86,-84,-79,-75,-78,-87,-83,-75,-79,-79,-84,-85,-83,-85,-83,-82,-83,-84,-79,-76,-84,-78,-90,-89,-90,-77,-80,-82,-87,-92,-82,-91,-83,-84,-88,-86,-87,-84,-86,-94,-100,-100,-100,350,243,1
-100,-100,-100,-100,-86,-100,-100,-100,-100,-87,-100,-100,-94,-100,-100,-100,-100,-100,-63,-100,-100,-63,-100,-100,-87,-88,-86,-100,-100,-100,-100,-100,-100,-92,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-81,-90,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-73,-100,-91,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-61,-62,-100,-100,-100,-59,-91,-94,-76,-89,-62,-77,-74,-74,-74,-84,-86,-88,-87,-100,-87,-76,-77,-77,-85,-75,-87,-78,-77,-81,-71,-76,-77,-79,-72,-75,-89,-71,-78,-79,-79,-75,-78,-72,-72,-86,-86,-85,-84,-79,-76,-81,-87,-81,-76,-80,-80,-85,-83,-83,-83,-82,-81,-84,-81,-79,-78,-81,-78,-89,-92,-90,-77,-80,-82,-87,-93,-82,-91,-83,-84,-88,-86,-87,-84,-86,-94,-100,-100,-100,350,243,1
