80:8d:b7:55:29:c0,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:71:90,38:17:c3:19:d7:62,80:8d:b7:55:39:c2,38:17:c3:1f:0e:12,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:d7:60,38:17:c3:1f:0e:10,38:17:c3:19:d7:61,38:17:c3:19:45:a0,38:17:c3:1f:0e:11,80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:29:d0,38:17:c3:1f:00:b0,80:8d:b7:55:29:d1,38:17:c3:1f:00:b1,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,00:4e:35:de:e1:10,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,00:4e:35:df:06:51,00:4e:35:df:06:52,38:17:c3:1f:22:21,66:2a:2f:53:7c:99,38:17:c3:1f:00:b2,68:ff:7b:e4:af:38,80:8d:b7:55:29:c1,68:ff:7b:e4:af:39,80:8d:b7:55:29:c2,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1f:00:a0,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,38:17:c3:1f:22:22,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,38:17:c3:1f:22:30,80:8d:b7:55:3a:52,38:17:c3:1f:22:32,38:17:c3:1e:ff:02,38:17:c3:1f:22:31,38:17:c3:1e:ff:01,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:29:d2,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:1e:ff:12,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:40,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,00:4e:35:df:06:50,38:17:c3:1f:22:20,80:8d:b7:55:4d:12,80:8d:b7:55:4d:11,80:8d:b7:55:4d:10,80:8d:b7:55:4d:02,20:a6:cd:42:0b:e3,00:4e:35:de:e1:11,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,00:4e:35:df:06:42,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,b4:5d:50:e1:92:23,38:17:c3:1f:08:50,00:4e:35:df:06:41,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,00:4e:35:df:06:40,38:17:c3:1f:09:93,38:17:c3:19:36:30,38:17:c3:1f:09:83,38:17:c3:19:36:32,38:17:c3:19:36:31,38:17:c3:1f:09:90,38:17:c3:1f:14:10,38:17:c3:1f:14:12,38:17:c3:1f:14:11,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,a8:bd:27:4c:aa:83,80:3f:5d:c5:f8:e4,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:d3,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:91,38:17:c3:1f:09:92,38:17:c3:1f:09:91,20:a6:cd:42:0a:c3,a8:bd:27:4c:aa:80,38:17:c3:1f:19:f0,38:17:c3:1f:09:82,38:17:c3:1f:09:80,38:17:c3:1f:09:81,22:ad:56:24:6b:8b,a8:bd:27:4c:aa:81,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:92,b4:5d:50:e1:96:43,20:a6:cd:42:0a:d1,b4:5d:50:e1:96:53,20:a6:cd:42:0a:d0,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:14:02,44:48:c1:91:d0:04,38:17:c3:24:47:50,44:48:c1:91:d0:10,b4:5d:50:e1:96:52,38:17:c3:24:47:52,38:17:c3:24:47:51,f0:ab:54:14:10:2c,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,44:48:c1:91:d0:02,b4:5d:50:e1:96:40,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,44:48:c1:91:d0:01,38:17:c3:1f:19:d0,38:17:c3:22:61:91,38:17:c3:22:61:92,38:17:c3:22:61:90,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:1f:19:d2,44:48:c1:91:95:b3,44:48:c1:91:d0:00,38:17:c3:1f:19:d1,44:48:c1:91:95:b0,44:48:c1:91:95:b2,44:48:c1:91:95:a3,44:48:c1:91:95:b1,44:48:c1:91:95:a1,44:48:c1:91:95:a2,38:17:c3:22:5e:f0,x,y,label
-100,-100,-100,-100,-88,-100,-100,-100,-100,-81,-80,-88,-100,-88,-81,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-57,-100,-100,-100,-91,-89,-90,-100,-100,-100,-100,-100,-100,-90,-59,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-68,-100,-100,-100,-100,-100,-100,-100,-100,-79,-90,-76,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-87,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-83,-89,-76,-100,-100,-84,-75,-74,-74,-100,-100,-100,-81,-100,-74,-74,-81,-81,-81,-82,-84,-80,-81,-90,-82,-83,-84,-100,-79,-79,-81,-80,-81,-80,-82,-73,-81,-74,-79,-80,-74,-73,-74,-78,-80,-81,-79,-79,-79,-100,-82,-83,-83,-84,-83,-83,-85,-83,-86,-100,-100,-89,-84,-79,-85,-88,-83,-85,-88,-87,-83,-87,-85,-89,-92,350,260,0
-100,-100,-100,-100,-88,-100,-100,-100,-100,-80,-80,-88,-100,-88,-83,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-61,-100,-100,-100,-91,-89,-90,-100,-100,-100,-100,-100,-100,-90,-62,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-68,-100,-100,-100,-100,-100,-100,-100,-100,-78,-90,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-87,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-82,-89,-79,-100,-100,-84,-73,-73,-73,-100,-100,-100,-81,-100,-72,-72,-80,-80,-81,-83,-83,-81,-79,-90,-83,-85,-84,-100,-80,-79,-78,-79,-80,-80,-82,-74,-78,-74,-79,-78,-85,-73,-73,-80,-77,-80,-79,-79,-78,-100,-85,-83,-82,-83,-84,-85,-85,-83,-85,-100,-100,-89,-84,-79,-86,-87,-83,-86,-88,-87,-90,-87,-85,-89,-92,350,260,0
-100,-100,-100,-100,-88,-100,-100,-100,-100,-80,-81,-88,-100,-88,-80,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-59,-100,-100,-100,-90,-89,-90,-100,-100,-100,-100,-100,-100,-92,-58,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-68,-100,-100,-100,-100,-100,-100,-100,-100,-75,-90,-86,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-87,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-83,-89,-82,-100,-100,-84,-72,-74,-91,-100,-100,-100,-80,-100,-72,-73,-80,-81,-80,-83,-85,-80,-79,-90,-83,-82,-80,-100,-78,-80,-80,-80,-79,-80,-82,-73,-79,-72,-79,-79,-85,-74,-74,-76,-77,-80,-78,-77,-77,-100,-83,-84,-83,-83,-84,-83,-82,-83,-86,-100,-100,-89,-84,-79,-86,-87,-83,-87,-88,-87,-85,-87,-85,-89,-92,350,260,0
-100,-100,-100,-100,-88,-100,-100,-100,-100,-81,-80,-88,-100,-88,-81,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-58,-100,-100,-100,-92,-91,-91,-100,-100,-100,-100,-100,-100,-92,-58,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-76,-90,-87,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-87,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-84,-89,-80,-100,-100,-85,-73,-74,-72,-100,-100,-100,-77,-100,-73,-72,-81,-81,-80,-82,-84,-80,-79,-90,-84,-84,-84,-100,-80,-79,-80,-79,-81,-81,-82,-72,-79,-73,-81,-79,-72,-73,-74,-76,-77,-79,-78,-78,-76,-100,-83,-82,-82,-83,-83,-84,-83,-83,-87,-100,-100,-89,-84,-79,-86,-87,-83,-86,-88,-87,-84,-87,-85,-86,-92,350,260,0
-100,-100,-100,-100,-88,-100,-100,-100,-100,-81,-80,-88,-100,-88,-81,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-60,-100,-100,-100,-92,-91,-91,-100,-100,-100,-100,-100,-100,-92,-61,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-75,-90,-77,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-87,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-82,-100,-76,-100,-100,-82,-71,-72,-71,-100,-100,-100,-77,-100,-73,-73,-81,-81,-81,-82,-82,-79,-83,-90,-81,-81,-83,-100,-80,-79,-78,-78,-81,-81,-82,-73,-79,-73,-81,-79,-73,-73,-76,-76,-78,-79,-80,-78,-79,-100,-82,-81,-80,-83,-83,-84,-83,-81,-86,-100,-100,-89,-84,-79,-86,-87,-87,-86,-88,-87,-84,-87,-85,-86,-94,350,260,0
-100,-100,-100,-100,-88,-100,-100,-100,-100,-82,-82,-88,-100,-88,-82,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-56,-100,-100,-100,-94,-90,-91,-100,-100,-100,-100,-100,-100,-92,-55,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-74,-100,-100,-100,-100,-100,-100,-100,-100,-82,-90,-88,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-87,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-89,-100,-78,-100,-100,-88,-74,-75,-74,-100,-100,-100,-77,-100,-75,-75,-83,-84,-84,-88,-88,-74,-83,-90,-81,-81,-81,-100,-80,-82,-83,-84,-81,-83,-82,-75,-80,-74,-80,-79,-73,-73,-73,-76,-80,-82,-79,-80,-81,-100,-83,-84,-83,-83,-83,-82,-83,-81,-86,-100,-100,-89,-84,-79,-86,-87,-87,-86,-88,-87,-84,-87,-85,-86,-93,350,260,0
-100,-100,-100,-100,-88,-100,-100,-100,-100,-79,-83,-88,-100,-88,-81,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-63,-100,-100,-100,-91,-90,-91,-100,-100,-100,-100,-100,-100,-92,-62,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-65,-100,-100,-100,-100,-100,-100,-100,-100,-80,-87,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-87,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-86,-100,-83,-100,-100,-87,-75,-75,-73,-100,-100,-100,-83,-100,-76,-75,-82,-84,-84,-86,-87,-77,-83,-90,-84,-86,-86,-100,-82,-82,-83,-83,-82,-84,-82,-74,-79,-74,-80,-79,-74,-71,-70,-76,-77,-82,-79,-77,-77,-100,-80,-80,-80,-82,-81,-82,-82,-81,-87,-100,-100,-89,-84,-79,-87,-86,-82,-87,-88,-88,-80,-87,-85,-86,-94,350,243,1
-100,-100,-100,-100,-88,-100,-100,-100,-100,-82,-83,-88,-100,-88,-82,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-61,-100,-100,-100,-91,-90,-91,-100,-100,-100,-100,-100,-100,-93,-59,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-65,-100,-100,-100,-100,-100,-100,-100,-100,-80,-87,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-87,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-87,-100,-84,-100,-100,-87,-73,-72,-74,-100,-100,-100,-83,-100,-73,-74,-84,-81,-82,-88,-88,-79,-81,-90,-83,-84,-84,-100,-80,-82,-82,-81,-80,-84,-81,-74,-86,-74,-80,-79,-72,-72,-73,-77,-77,-82,-80,-79,-79,-100,-79,-80,-81,-88,-85,-87,-84,-81,-88,-100,-100,-89,-84,-79,-87,-86,-82,-87,-87,-87,-85,-87,-85,-84,-100,350,243,1
-100,-100,-100,-100,-88,-100,-100,-100,-100,-81,-80,-88,-100,-88,-81,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-58,-100,-100,-100,-91,-90,-91,-100,-100,-100,-100,-100,-100,-90,-57,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-65,-100,-100,-100,-100,-100,-100,-100,-100,-79,-85,-86,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-87,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-86,-100,-84,-100,-100,-86,-74,-73,-72,-100,-100,-100,-82,-100,-74,-74,-83,-83,-84,-86,-88,-78,-83,-90,-85,-84,-86,-100,-82,-83,-82,-82,-82,-83,-82,-74,-80,-74,-81,-80,-72,-73,-71,-76,-78,-82,-80,-79,-78,-100,-79,-78,-78,-88,-81,-82,-82,-81,-87,-100,-100,-89,-84,-79,-88,-88,-82,-88,-87,-87,-80,-87,-85,-86,-100,350,243,1
-100,-100,-100,-100,-88,-100,-100,-100,-100,-82,-83,-88,-100,-88,-82,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-61,-100,-100,-100,-91,-90,-91,-100,-100,-100,-100,-100,-100,-93,-59,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-65,-100,-100,-100,-100,-100,-100,-100,-100,-80,-87,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-87,-88,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-87,-100,-84,-100,-100,-87,-73,-72,-74,-100,-100,-100,-83,-100,-73,-74,-84,-81,-82,-88,-88,-79,-81,-90,-83,-84,-84,-100,-80,-82,-82,-81,-80,-84,-81,-74,-86,-74,-80,-79,-72,-72,-73,-77,-77,-82,-80,-79,-79,-100,-79,-80,-81,-88,-85,-87,-84,-81,-88,-100,-100,-89,-84,-79,-87,-86,-82,-87,-87,-87,-85,-87,-85,-84,-100,350,243,1
