b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:13,b8:27:eb:9f:6b:77,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,ea:9e:b4:53:24:54,80:8d:b7:55:35:12,80:8d:b7:55:35:11,38:17:c3:1f:01:82,38:17:c3:1f:01:81,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:35:03,38:17:c3:1f:01:92,38:17:c3:1f:01:91,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:35:02,80:8d:b7:55:35:01,44:48:c1:a5:82:21,80:8d:b7:55:25:e3,44:48:c1:a5:82:22,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:62,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,38:17:c3:19:45:b1,38:17:c3:19:45:b2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,b4:5d:50:e1:92:23,00:4e:35:df:06:41,38:17:c3:19:55:52,b4:5d:50:e1:92:33,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,60:32:b1:3e:1a:b8,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,38:17:c3:1f:0e:00,80:8d:b7:55:39:d0,80:8d:b7:55:39:c0,80:8d:b7:55:35:00,38:17:c3:1f:01:90,44:48:c1:a5:82:30,44:48:c1:a5:82:20,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:25:e0,80:8d:b7:55:3a:50,38:17:c3:19:45:b0,20:a6:cd:50:24:b0,38:17:c3:1e:ff:00,b4:5d:50:e1:92:31,00:4e:35:df:06:42,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:19:55:51,00:4e:35:df:06:40,b4:5d:50:e1:92:20,b4:5d:50:e1:92:32,b4:5d:50:e1:96:43,38:17:c3:1f:01:80,80:8d:b7:55:3a:40,38:17:c3:19:55:50,66:2a:2f:53:7c:99,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,b4:5d:50:e1:92:30,00:4e:35:df:06:51,38:17:c3:1e:ff:10,00:4e:35:df:06:52,00:4e:35:de:e1:12,b4:5d:50:e1:96:53,20:a6:cd:50:24:a0,38:17:c3:19:d7:60,38:17:c3:19:45:a1,38:17:c3:19:45:a2,00:4e:35:df:06:50,20:a6:cd:42:0b:f3,38:17:c3:19:45:a0,20:a6:cd:42:0b:f0,38:17:c3:19:55:41,38:17:c3:19:55:40,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1f:09:83,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,00:4e:35:de:e1:02,38:17:c3:19:55:42,00:4e:35:de:e1:00,a8:bd:27:4c:bd:30,00:4e:35:de:e1:10,00:4e:35:de:e1:11,00:4e:35:de:e1:01,60:32:b1:3e:1a:b7,38:17:c3:1f:08:40,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:08:42,a8:bd:27:4c:bd:31,00:4e:35:de:d7:53,38:17:c3:1f:22:21,38:17:c3:1f:08:41,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,00:4e:35:de:d7:50,00:4e:35:de:d7:52,00:4e:35:de:d7:51,38:17:c3:19:71:90,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:30,00:4e:35:de:d7:43,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:08:50,00:4e:35:df:0e:12,00:4e:35:df:0e:01,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,00:4e:35:df:0e:11,00:4e:35:df:0e:10,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,64:e5:99:c3:13:3c,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:24:4f:10,38:17:c3:1e:fc:b1,38:17:c3:24:58:a1,00:4e:35:df:27:00,38:17:c3:24:58:b0,38:17:c3:1f:0f:90,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:12,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:4f:11,38:17:c3:24:4f:00,38:17:c3:1b:08:a2,38:17:c3:1b:08:b0,38:17:c3:1b:08:b1,38:17:c3:1b:08:a1,00:4e:35:de:d7:40,00:4e:35:de:d7:41,00:4e:35:de:d7:42,38:17:c3:1b:08:a0,x,y,label
-62,-52,-52,-66,-33,-45,-45,-48,-67,-67,-65,-65,-69,-69,-67,-74,-74,-75,-76,-71,-71,-73,-73,-74,-78,-78,-81,-81,-81,-75,-75,-78,-78,-78,-82,-82,-82,-82,-84,-84,-80,-81,-81,-81,-86,-87,-84,-84,-86,-52,-66,-45,-69,-67,-70,-74,-75,-73,-78,-81,-75,-82,-82,-84,-81,-85,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-64,-53,-53,-69,-36,-45,-45,-45,-69,-68,-65,-65,-67,-67,-67,-75,-75,-76,-76,-72,-72,-71,-73,-71,-76,-76,-79,-78,-78,-76,-77,-80,-79,-78,-84,-83,-81,-81,-83,-83,-80,-81,-81,-82,-84,-87,-84,-84,-86,-54,-69,-45,-68,-67,-70,-75,-75,-71,-76,-78,-77,-84,-81,-83,-81,-88,-82,-67,-67,-75,-76,-84,-82,-82,-88,-91,-65,-75,-84,-77,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-65,-53,-53,-69,-32,-46,-46,-49,-69,-69,-64,-65,-69,-68,-66,-75,-75,-76,-76,-68,-68,-74,-78,-73,-77,-77,-80,-80,-80,-76,-76,-80,-82,-100,-84,-83,-81,-81,-82,-81,-80,-80,-100,-81,-85,-86,-100,-100,-100,-53,-69,-46,-69,-65,-69,-75,-76,-74,-77,-80,-76,-84,-81,-81,-80,-88,-81,-65,-65,-75,-76,-86,-82,-82,-88,-91,-65,-75,-84,-86,-81,-82,-87,-88,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-65,-53,-52,-68,-42,-45,-45,-46,-68,-68,-65,-64,-69,-69,-69,-75,-75,-76,-76,-68,-68,-73,-78,-73,-76,-76,-80,-80,-80,-76,-76,-79,-82,-79,-82,-82,-82,-82,-82,-82,-80,-80,-100,-81,-85,-87,-100,-100,-100,-52,-68,-45,-70,-65,-69,-75,-76,-73,-76,-80,-79,-100,-81,-82,-80,-86,-81,-65,-65,-75,-75,-86,-100,-83,-100,-100,-64,-75,-86,-86,-82,-82,-87,-88,-87,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-65,-52,-52,-70,-34,-43,-43,-46,-70,-70,-64,-63,-68,-68,-66,-74,-74,-76,-76,-69,-69,-73,-72,-73,-77,-77,-79,-78,-79,-75,-75,-79,-100,-81,-83,-83,-82,-82,-84,-84,-81,-80,-100,-79,-100,-87,-83,-83,-100,-52,-70,-43,-68,-67,-70,-74,-76,-73,-77,-79,-75,-82,-82,-82,-81,-86,-80,-67,-67,-75,-75,-86,-79,-83,-100,-100,-65,-75,-86,-89,-82,-100,-100,-100,-100,-100,-91,-90,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-65,-51,-51,-70,-34,-43,-43,-46,-70,-70,-65,-64,-68,-68,-67,-73,-73,-77,-76,-71,-72,-72,-72,-72,-77,-77,-79,-79,-79,-75,-75,-100,-78,-80,-83,-83,-82,-81,-84,-84,-81,-82,-84,-79,-100,-87,-83,-83,-100,-52,-70,-44,-68,-66,-72,-73,-76,-72,-77,-80,-75,-84,-81,-100,-81,-87,-81,-67,-66,-100,-100,-100,-80,-100,-87,-100,-65,-75,-100,-89,-100,-81,-87,-88,-100,-89,-100,-90,-83,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-70,-57,-57,-73,-28,-60,-60,-48,-73,-73,-76,-76,-71,-71,-68,-77,-77,-76,-76,-65,-65,-100,-74,-100,-100,-100,-81,-81,-81,-100,-100,-76,-82,-100,-82,-82,-100,-100,-82,-82,-82,-82,-100,-80,-100,-100,-100,-100,-87,-58,-73,-60,-71,-63,-65,-77,-75,-74,-100,-81,-76,-82,-100,-82,-83,-100,-100,-63,-63,-77,-78,-100,-100,-100,-100,-100,-76,-78,-88,-86,-100,-100,-100,-86,-88,-87,-100,-100,-82,-77,-78,-79,-86,-90,-79,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-73,-57,-57,-73,-35,-57,-57,-46,-73,-73,-76,-72,-69,-69,-69,-76,-76,-76,-76,-68,-68,-100,-74,-100,-79,-79,-79,-79,-79,-100,-100,-76,-82,-100,-83,-83,-100,-100,-84,-84,-82,-82,-100,-82,-100,-100,-100,-100,-87,-57,-73,-57,-69,-63,-65,-76,-76,-74,-78,-79,-76,-82,-100,-85,-83,-100,-82,-65,-65,-76,-77,-100,-82,-100,-100,-100,-72,-76,-88,-85,-100,-100,-100,-86,-88,-88,-100,-100,-86,-77,-78,-79,-86,-89,-79,-91,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-69,-59,-59,-72,-35,-54,-54,-45,-72,-72,-69,-69,-70,-70,-67,-76,-77,-76,-76,-67,-67,-100,-79,-100,-81,-81,-79,-79,-79,-76,-77,-76,-80,-76,-82,-83,-79,-78,-83,-83,-82,-100,-100,-82,-100,-88,-100,-100,-100,-59,-72,-54,-70,-65,-67,-76,-76,-73,-81,-79,-77,-83,-79,-83,-100,-88,-81,-65,-65,-78,-78,-100,-82,-100,-100,-100,-69,-78,-100,-84,-100,-100,-100,-86,-100,-86,-100,-100,-86,-76,-100,-100,-87,-89,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-71,-60,-60,-72,-30,-54,-54,-48,-73,-72,-72,-73,-69,-69,-69,-78,-78,-76,-76,-70,-70,-74,-73,-73,-79,-79,-79,-79,-79,-77,-77,-76,-79,-76,-84,-84,-78,-78,-82,-81,-81,-81,-100,-100,-100,-88,-100,-100,-100,-60,-72,-54,-69,-63,-70,-78,-76,-74,-79,-79,-77,-85,-79,-83,-82,-88,-81,-63,-63,-78,-78,-100,-100,-100,-100,-100,-69,-78,-100,-85,-100,-100,-100,-84,-88,-85,-100,-100,-100,-76,-80,-80,-84,-90,-81,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
