38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,b0:be:76:f8:30:5e,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:02,80:8d:b7:55:35:01,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:35:03,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:82,38:17:c3:1f:01:81,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:d7:72,38:17:c3:19:d7:71,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:3a:52,38:17:c3:19:45:b1,38:17:c3:19:45:b2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e3,80:8d:b7:55:25:e2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:b2,b4:5d:50:e1:92:33,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,80:8d:b7:55:35:10,80:8d:b7:55:35:00,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,38:17:c3:1f:01:80,38:17:c3:19:d7:60,38:17:c3:19:d7:70,44:48:c1:a5:82:20,80:8d:b7:55:25:f0,80:8d:b7:55:25:e0,20:a6:cd:50:24:a0,20:a6:cd:50:24:b0,b4:5d:50:e1:92:31,66:2a:2f:53:7c:99,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:3a:51,00:4e:35:df:06:40,60:32:b1:3e:1a:b8,00:4e:35:df:06:41,38:17:c3:19:55:52,80:8d:b7:55:39:c0,44:48:c1:a5:82:30,38:17:c3:19:45:b0,80:8d:b7:55:3a:50,38:17:c3:19:55:50,38:17:c3:1e:ff:10,80:8d:b7:55:3a:42,00:4e:35:df:06:51,00:4e:35:df:06:42,00:4e:35:df:06:52,b4:5d:50:e1:96:50,20:a6:cd:50:24:b1,b4:5d:50:e1:96:53,38:17:c3:19:55:51,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1e:ff:00,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,b4:5d:50:e1:92:23,b4:5d:50:e1:92:22,38:17:c3:19:45:a2,00:4e:35:df:06:50,b4:5d:50:e1:96:43,38:17:c3:19:45:a1,b4:5d:50:e1:92:21,80:8d:b7:55:3a:40,38:17:c3:19:45:a0,80:8d:b7:55:3a:41,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:00,00:4e:35:de:e1:12,00:4e:35:de:e1:01,b4:5d:50:e1:92:20,38:17:c3:1f:09:83,00:4e:35:de:e1:02,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,00:4e:35:de:e1:10,20:a6:cd:42:0b:e3,a8:bd:27:4c:bd:30,00:4e:35:de:e1:11,60:32:b1:3e:1a:b7,a8:bd:27:4c:bd:31,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:32,38:17:c3:1f:08:41,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:de:d7:53,38:17:c3:1f:22:22,38:17:c3:1f:22:21,00:4e:35:de:d7:50,00:4e:35:de:d7:52,38:17:c3:1f:22:30,00:4e:35:de:d7:51,38:17:c3:19:71:90,00:4e:35:de:d7:43,a8:bd:27:4c:bd:22,38:17:c3:1f:22:20,38:17:c3:1f:08:50,38:17:c3:1f:08:52,38:17:c3:1f:22:31,38:17:c3:19:71:82,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:19:71:80,38:17:c3:1f:22:32,38:17:c3:19:71:81,38:17:c3:1f:08:51,70:56:81:c9:91:ab,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:1e:fc:a1,00:4e:35:df:0e:01,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:11,00:4e:35:df:0e:10,00:4e:35:df:0e:12,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,64:e5:99:c3:13:3c,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:4f:11,38:17:c3:24:58:b2,38:17:c3:24:4f:10,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:4f:12,38:17:c3:1f:0f:90,00:4e:35:de:d7:40,00:4e:35:de:d7:41,00:4e:35:de:d7:42,x,y,label
-53,-53,-31,-44,-48,-49,-67,-68,-68,-68,-65,-65,-69,-69,-66,-75,-76,-71,-72,-74,-74,-80,-81,-75,-75,-82,-82,-82,-82,-82,-82,-80,-80,-80,-82,-82,-83,-87,-89,-53,-49,-68,-65,-69,-75,-72,-74,-80,-75,-82,-80,-82,-86,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-53,-53,-31,-46,-48,-48,-67,-69,-69,-69,-65,-65,-73,-73,-64,-77,-77,-73,-73,-73,-73,-80,-81,-72,-72,-83,-83,-83,-82,-83,-82,-77,-78,-77,-82,-82,-83,-87,-89,-53,-48,-69,-65,-72,-77,-73,-73,-80,-73,-84,-80,-82,-88,-88,-89,-69,-69,-79,-79,-84,-81,-82,-83,-87,-69,-79,-82,-84,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-55,-55,-29,-49,-47,-46,-65,-69,-69,-69,-65,-65,-72,-72,-64,-76,-76,-73,-73,-73,-74,-80,-80,-75,-72,-84,-84,-84,-100,-83,-82,-80,-81,-82,-100,-100,-82,-100,-89,-55,-46,-69,-65,-72,-75,-72,-74,-80,-75,-84,-100,-82,-86,-100,-85,-69,-68,-78,-78,-84,-81,-82,-83,-87,-69,-78,-82,-84,-88,-88,-79,-87,-82,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-55,-55,-29,-50,-47,-46,-65,-70,-70,-70,-65,-66,-72,-72,-63,-76,-76,-71,-71,-73,-73,-80,-80,-73,-74,-82,-83,-83,-85,-83,-83,-80,-78,-78,-100,-100,-81,-100,-89,-55,-46,-70,-65,-72,-76,-71,-74,-80,-73,-82,-100,-82,-85,-90,-89,-68,-68,-78,-78,-84,-83,-100,-83,-100,-68,-78,-83,-84,-88,-88,-79,-87,-82,-86,-89,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-100,-28,-44,-46,-46,-65,-68,-69,-69,-66,-67,-71,-71,-67,-75,-75,-72,-73,-73,-73,-80,-81,-76,-76,-84,-84,-84,-83,-82,-83,-82,-80,-81,-100,-100,-78,-100,-100,-100,-46,-69,-67,-71,-75,-71,-74,-100,-76,-84,-100,-82,-85,-90,-88,-67,-67,-78,-78,-83,-82,-100,-83,-100,-68,-78,-82,-83,-87,-88,-100,-100,-82,-90,-89,-85,-88,-87,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-100,-27,-48,-47,-47,-65,-68,-68,-68,-65,-65,-73,-73,-65,-76,-76,-72,-72,-72,-72,-81,-81,-74,-74,-84,-84,-84,-84,-83,-83,-80,-80,-79,-100,-100,-81,-86,-100,-100,-47,-68,-65,-73,-76,-100,-72,-100,-74,-84,-80,-82,-88,-90,-90,-69,-69,-80,-80,-85,-82,-100,-82,-100,-69,-80,-83,-85,-88,-88,-78,-100,-82,-90,-88,-100,-88,-87,-88,-88,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-61,-61,-37,-46,-52,-52,-74,-73,-73,-73,-64,-63,-74,-75,-64,-71,-71,-71,-70,-71,-71,-81,-80,-71,-70,-78,-78,-78,-82,-81,-81,-73,-73,-73,-100,-100,-80,-100,-100,-61,-51,-73,-64,-75,-71,-70,-71,-100,-70,-79,-100,-100,-88,-100,-87,-71,-70,-76,-76,-82,-100,-85,-100,-100,-71,-76,-82,-82,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-77,-77,-77,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-61,-61,-36,-45,-52,-51,-76,-74,-73,-73,-64,-65,-75,-75,-64,-72,-72,-70,-70,-70,-70,-81,-80,-70,-70,-79,-79,-79,-82,-81,-81,-73,-75,-73,-83,-100,-80,-86,-100,-61,-52,-74,-65,-75,-72,-69,-71,-100,-70,-79,-73,-83,-86,-100,-85,-71,-71,-76,-76,-82,-100,-82,-100,-100,-70,-75,-82,-82,-100,-86,-100,-87,-100,-86,-100,-86,-100,-100,-100,-100,-77,-77,-77,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-61,-61,-37,-45,-51,-51,-73,-73,-73,-72,-65,-65,-74,-75,-65,-71,-71,-70,-70,-70,-71,-81,-80,-70,-70,-79,-79,-79,-82,-81,-81,-73,-77,-73,-83,-82,-80,-86,-100,-61,-51,-73,-65,-75,-72,-69,-70,-81,-70,-78,-74,-82,-86,-100,-86,-71,-70,-76,-76,-82,-100,-85,-100,-100,-70,-76,-81,-82,-100,-87,-100,-87,-100,-86,-100,-86,-100,-100,-87,-88,-76,-76,-77,-100,-100,-84,-86,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-61,-61,-37,-45,-52,-52,-73,-72,-72,-72,-64,-64,-74,-74,-69,-71,-71,-70,-70,-70,-70,-81,-81,-70,-70,-79,-78,-79,-82,-82,-81,-73,-73,-73,-83,-82,-80,-87,-100,-61,-52,-72,-64,-75,-71,-70,-70,-81,-70,-79,-74,-83,-100,-100,-86,-70,-71,-76,-76,-82,-100,-86,-100,-100,-71,-76,-81,-82,-100,-86,-100,-87,-100,-86,-100,-87,-100,-100,-87,-87,-76,-76,-77,-84,-84,-83,-86,-89,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
