38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,b0:be:76:f8:30:5e,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,38:17:c3:1f:01:92,38:17:c3:1f:01:91,80:8d:b7:55:35:03,80:8d:b7:55:35:01,80:8d:b7:55:35:02,44:48:c1:a5:82:31,44:48:c1:a5:82:32,38:17:c3:1f:01:81,38:17:c3:1f:01:82,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,38:17:c3:19:d7:71,80:8d:b7:55:25:f2,38:17:c3:19:d7:72,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,38:17:c3:19:45:b2,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,80:8d:b7:55:39:d0,38:17:c3:1f:01:90,44:48:c1:a5:82:30,38:17:c3:1f:01:80,80:8d:b7:55:39:c0,80:8d:b7:55:35:10,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,38:17:c3:19:d7:70,20:a6:cd:50:24:b0,38:17:c3:19:45:b0,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,44:48:c1:a5:82:20,80:8d:b7:55:25:e2,80:8d:b7:55:25:e3,80:8d:b7:55:25:e1,38:17:c3:19:d7:62,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,ac:e2:d3:c4:08:e6,b4:5d:50:e1:92:33,80:8d:b7:55:35:00,80:8d:b7:55:25:e0,38:17:c3:19:d7:60,80:8d:b7:55:3a:40,38:17:c3:1e:ff:00,00:4e:35:df:06:52,38:17:c3:19:d7:61,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:42,38:17:c3:19:55:50,b4:5d:50:e1:92:31,66:2a:2f:53:7c:99,00:4e:35:df:06:40,00:4e:35:df:06:41,38:17:c3:19:45:b1,00:4e:35:df:06:51,00:4e:35:df:06:50,b4:5d:50:e1:92:20,38:17:c3:19:45:a0,38:17:c3:1e:ff:10,38:17:c3:1e:ff:12,b4:5d:50:e1:96:53,b4:5d:50:e1:92:23,20:a6:cd:50:24:a1,38:17:c3:1e:ff:11,20:a6:cd:50:24:a2,60:32:b1:3e:1a:b8,20:a6:cd:50:24:a0,b4:5d:50:e1:96:50,38:17:c3:19:45:a1,b4:5d:50:e1:92:30,b4:5d:50:e1:92:22,b4:5d:50:e1:92:32,20:a6:cd:42:0b:f3,b4:5d:50:e1:92:21,20:a6:cd:42:0b:f0,00:4e:35:de:e1:12,38:17:c3:19:45:a2,60:32:b1:3e:1a:b7,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,b4:5d:50:e1:96:43,00:4e:35:de:e1:02,00:4e:35:de:e1:01,00:4e:35:de:e1:10,a8:bd:27:4c:bd:30,00:4e:35:de:e1:00,00:4e:35:de:e1:11,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:20,38:17:c3:1f:22:21,38:17:c3:1f:22:22,00:4e:35:de:d7:53,00:4e:35:de:d7:52,38:17:c3:1f:22:20,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:21,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:de:d7:42,38:17:c3:19:71:82,00:4e:35:de:d7:41,00:4e:35:de:d7:40,00:4e:35:de:d7:43,38:17:c3:19:71:90,38:17:c3:1f:08:52,38:17:c3:1f:08:51,38:17:c3:1f:08:50,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:1f:22:32,38:17:c3:1e:fc:a2,00:4e:35:df:0e:12,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,38:17:c3:1e:fc:b0,00:4e:35:df:0e:11,00:4e:35:df:0e:10,00:4e:35:df:0e:01,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:a0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:10,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:01,38:17:c3:24:4f:02,38:17:c3:24:4f:00,00:4e:35:df:27:01,38:17:c3:1b:08:b0,00:4e:35:df:27:00,38:17:c3:1b:08:a1,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,x,y,label
-51,-51,-45,-49,-49,-66,-70,-70,-76,-76,-70,-70,-69,-76,-76,-70,-70,-74,-73,-72,-72,-75,-75,-75,-83,-83,-84,-83,-84,-85,-86,-86,-52,-49,-70,-76,-76,-71,-73,-75,-82,-86,-84,-87,-86,-81,-82,-87,-88,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-50,-50,-41,-51,-51,-66,-69,-69,-77,-77,-68,-69,-69,-76,-76,-70,-70,-73,-73,-75,-72,-74,-74,-74,-83,-83,-84,-83,-84,-87,-87,-86,-50,-50,-69,-78,-76,-70,-73,-74,-84,-87,-84,-87,-86,-81,-82,-87,-86,-73,-72,-73,-73,-77,-78,-79,-83,-89,-69,-73,-77,-78,-82,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-51,-51,-43,-49,-49,-71,-69,-69,-75,-75,-71,-68,-68,-78,-79,-71,-71,-74,-74,-75,-100,-75,-75,-75,-83,-83,-83,-83,-84,-87,-88,-86,-51,-49,-69,-75,-78,-72,-72,-75,-83,-87,-82,-88,-86,-100,-100,-87,-86,-74,-72,-73,-73,-78,-78,-79,-83,-88,-68,-74,-78,-78,-82,-88,-78,-87,-87,-81,-86,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-51,-50,-42,-49,-49,-72,-70,-70,-75,-76,-72,-69,-69,-78,-78,-72,-72,-74,-74,-72,-72,-75,-75,-75,-82,-82,-83,-82,-83,-88,-88,-86,-51,-49,-69,-75,-78,-72,-71,-75,-82,-88,-83,-88,-86,-100,-100,-86,-87,-74,-100,-100,-100,-78,-78,-100,-82,-88,-68,-74,-78,-100,-100,-88,-78,-87,-87,-82,-86,-87,-90,-81,-82,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-50,-50,-42,-48,-49,-70,-68,-68,-76,-76,-72,-69,-68,-79,-79,-72,-71,-74,-74,-71,-72,-75,-75,-75,-82,-82,-84,-82,-84,-88,-86,-86,-50,-48,-68,-75,-79,-71,-72,-75,-82,-86,-83,-89,-87,-82,-81,-88,-88,-74,-73,-79,-73,-100,-78,-78,-82,-88,-69,-100,-79,-100,-100,-88,-100,-100,-100,-82,-100,-100,-90,-82,-82,-86,-88,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-51,-51,-42,-49,-49,-71,-68,-68,-76,-76,-70,-70,-69,-78,-79,-71,-71,-72,-72,-73,-73,-75,-75,-76,-83,-83,-85,-83,-85,-84,-84,-100,-51,-49,-69,-75,-78,-71,-74,-75,-83,-84,-85,-86,-86,-82,-81,-86,-87,-72,-73,-79,-74,-100,-78,-78,-83,-88,-69,-74,-79,-78,-100,-88,-100,-100,-100,-81,-100,-100,-100,-81,-81,-87,-88,-88,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-53,-53,-47,-51,-50,-67,-68,-68,-74,-73,-68,-68,-68,-74,-74,-69,-69,-77,-100,-67,-67,-73,-73,-73,-82,-82,-83,-82,-84,-81,-81,-82,-53,-50,-68,-74,-74,-69,-67,-73,-81,-81,-84,-100,-82,-100,-100,-100,-85,-77,-100,-100,-72,-100,-76,-76,-78,-100,-68,-72,-100,-77,-100,-89,-100,-100,-100,-100,-100,-100,-100,-76,-100,-82,-100,-100,-100,-100,-87,-86,-90,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-52,-52,-46,-51,-51,-69,-68,-68,-73,-73,-68,-69,-68,-74,-74,-68,-68,-77,-100,-68,-67,-73,-73,-73,-81,-82,-83,-82,-83,-81,-82,-81,-53,-51,-68,-74,-74,-68,-67,-73,-81,-82,-82,-85,-81,-100,-100,-85,-85,-77,-71,-77,-72,-100,-76,-76,-78,-90,-69,-72,-100,-77,-100,-87,-75,-100,-100,-81,-100,-100,-100,-76,-100,-81,-88,-87,-100,-100,-87,-87,-90,-83,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-52,-52,-47,-51,-51,-69,-68,-68,-72,-72,-66,-66,-68,-73,-73,-68,-68,-78,-78,-68,-67,-73,-73,-73,-82,-82,-83,-82,-83,-82,-82,-82,-53,-51,-67,-72,-73,-68,-67,-73,-82,-83,-82,-85,-83,-78,-79,-84,-84,-77,-72,-79,-72,-100,-76,-76,-78,-90,-66,-72,-100,-76,-79,-87,-75,-100,-100,-81,-100,-100,-100,-100,-100,-82,-86,-87,-100,-100,-87,-87,-100,-83,-81,-88,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-50,-50,-48,-50,-50,-70,-68,-68,-73,-73,-68,-66,-67,-74,-74,-68,-68,-74,-74,-67,-66,-72,-72,-72,-82,-82,-83,-83,-100,-82,-82,-81,-51,-50,-68,-73,-74,-68,-67,-72,-82,-83,-83,-84,-80,-78,-79,-84,-84,-100,-72,-79,-71,-100,-100,-76,-80,-100,-67,-73,-76,-75,-79,-86,-100,-85,-84,-82,-85,-100,-100,-100,-100,-81,-87,-87,-100,-100,-87,-87,-100,-100,-81,-88,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
