60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,b4:5d:50:e1:96:53,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,44:48:c1:91:d0:02,38:17:c3:1f:14:02,38:17:c3:1f:14:01,44:48:c1:91:d0:00,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1f:19:d2,44:48:c1:91:95:a0,38:17:c3:19:45:a1,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:19:45:a2,44:48:c1:91:95:a1,38:17:c3:1f:19:d1,44:48:c1:91:d0:12,a8:bd:27:4c:aa:83,44:48:c1:91:d0:14,44:48:c1:91:d0:10,44:48:c1:91:95:a3,38:17:c3:1f:09:93,38:17:c3:1f:09:92,44:48:c1:91:95:b3,38:17:c3:1f:09:91,38:17:c3:1f:00:b0,38:17:c3:1f:00:a0,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:50,b4:5d:50:e1:96:40,38:17:c3:1f:14:00,44:48:c1:91:d0:01,44:48:c1:91:95:a2,38:17:c3:19:45:a0,38:17:c3:1f:09:80,38:17:c3:1f:19:d0,9c:d6:43:60:92:e0,44:48:c1:91:d0:11,38:17:c3:1f:14:10,38:17:c3:1f:19:c0,38:17:c3:1f:09:90,66:2a:2f:53:7c:99,38:17:c3:1f:00:a2,38:17:c3:1f:14:12,38:17:c3:1f:14:11,38:17:c3:1f:09:83,38:17:c3:24:47:51,a8:bd:27:4c:aa:81,20:a6:cd:42:0a:c2,38:17:c3:24:47:50,a8:bd:27:4c:aa:80,44:48:c1:91:95:b2,a8:bd:27:4c:aa:90,38:17:c3:24:47:52,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:91,38:17:c3:1f:19:e1,38:17:c3:1f:19:e2,38:17:c3:1f:19:e0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:1f:19:f0,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e3,38:17:c3:19:d7:72,38:17:c3:19:d7:62,38:17:c3:19:d7:70,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:61,38:17:c3:19:d7:60,20:a6:cd:42:0b:f2,38:17:c3:19:d7:71,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:f3,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:25:f0,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,ea:9e:b4:53:24:54,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,b0:be:76:f8:30:5e,80:8d:b7:55:3a:50,38:17:c3:19:36:22,38:17:c3:19:36:20,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:19:36:21,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:12,38:17:c3:19:71:90,80:8d:b7:55:35:11,80:8d:b7:55:3a:52,38:17:c3:19:71:91,80:8d:b7:55:39:c2,38:17:c3:19:71:92,80:8d:b7:55:39:d0,20:a6:cd:50:24:a0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,80:8d:b7:55:3a:51,38:17:c3:1e:ff:11,80:8d:b7:55:29:d0,80:8d:b7:55:29:c1,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:19:36:31,38:17:c3:19:36:30,20:a6:cd:50:24:b0,38:17:c3:1e:ff:12,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,38:17:c3:1e:ff:10,80:8d:b7:55:29:c2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:29:c0,00:4e:35:df:06:40,00:4e:35:de:e1:00,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:0e:10,00:4e:35:de:e1:01,38:17:c3:1f:22:30,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:0e:02,38:17:c3:1f:22:31,38:17:c3:1f:22:32,80:8d:b7:55:4d:02,80:8d:b7:55:4d:00,80:8d:b7:55:4d:01,x,y,label
-66,-54,-72,-72,-67,-68,-70,-70,-75,-75,-75,-75,-76,-76,-71,-71,-72,-72,-73,-73,-73,-74,-79,-79,-81,-77,-77,-77,-77,-78,-78,-82,-82,-79,-83,-83,-81,-86,-86,-87,-87,-72,-67,-75,-76,-72,-73,-74,-77,-78,-78,-82,-79,-83,-86,-83,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-67,-56,-70,-70,-67,-67,-71,-71,-77,-77,-75,-75,-77,-75,-70,-71,-71,-71,-74,-73,-73,-74,-79,-78,-82,-77,-77,-77,-77,-78,-77,-81,-82,-80,-83,-87,-83,-84,-86,-88,-87,-71,-67,-75,-77,-71,-73,-74,-77,-75,-77,-82,-79,-85,-82,-83,-84,-88,-67,-83,-83,-81,-85,-82,-71,-85,-82,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-66,-56,-71,-71,-67,-68,-70,-71,-76,-76,-75,-75,-76,-75,-69,-71,-71,-71,-73,-73,-73,-73,-79,-79,-82,-77,-77,-78,-78,-77,-77,-82,-100,-79,-84,-87,-83,-85,-86,-87,-86,-71,-67,-75,-76,-71,-73,-73,-77,-77,-78,-82,-76,-85,-83,-100,-85,-88,-67,-82,-83,-80,-85,-82,-70,-85,-82,-87,-89,-85,-89,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-67,-54,-70,-70,-67,-69,-72,-72,-77,-78,-75,-76,-77,-75,-70,-70,-71,-71,-72,-72,-73,-73,-77,-77,-82,-78,-77,-78,-78,-75,-78,-81,-84,-79,-84,-100,-83,-85,-84,-87,-85,-70,-67,-75,-77,-71,-72,-72,-77,-77,-79,-82,-76,-84,-82,-82,-85,-89,-67,-82,-82,-80,-86,-100,-72,-86,-100,-87,-89,-86,-90,-77,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-67,-57,-71,-71,-67,-66,-71,-72,-75,-75,-76,-76,-75,-76,-69,-72,-73,-73,-74,-72,-100,-74,-78,-78,-81,-78,-77,-79,-79,-78,-78,-81,-84,-79,-84,-84,-83,-85,-84,-100,-86,-71,-67,-76,-75,-73,-72,-74,-77,-78,-79,-81,-77,-84,-82,-82,-85,-88,-67,-83,-82,-79,-86,-100,-71,-86,-100,-100,-89,-86,-90,-78,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-67,-55,-72,-71,-71,-66,-71,-72,-75,-75,-76,-76,-75,-76,-69,-71,-73,-73,-74,-74,-74,-74,-78,-78,-82,-77,-77,-78,-78,-78,-77,-82,-84,-80,-85,-84,-100,-86,-87,-87,-86,-72,-71,-76,-75,-73,-74,-74,-77,-77,-79,-82,-79,-84,-84,-100,-86,-88,-71,-83,-83,-79,-100,-100,-71,-86,-100,-100,-90,-100,-90,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-71,-61,-69,-69,-63,-72,-100,-100,-81,-81,-79,-79,-100,-79,-70,-77,-71,-71,-76,-100,-100,-77,-76,-76,-100,-100,-78,-75,-100,-78,-100,-100,-79,-100,-79,-79,-100,-100,-100,-100,-100,-69,-64,-79,-100,-71,-100,-77,-100,-78,-100,-86,-75,-79,-78,-100,-100,-100,-63,-78,-78,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-70,-60,-69,-70,-65,-73,-72,-72,-81,-81,-78,-78,-81,-78,-70,-76,-71,-71,-76,-70,-71,-76,-77,-77,-83,-100,-79,-75,-75,-78,-100,-83,-79,-78,-79,-79,-83,-86,-100,-100,-100,-70,-65,-78,-81,-71,-71,-76,-100,-78,-75,-84,-74,-79,-79,-100,-87,-100,-63,-79,-78,-74,-100,-100,-72,-85,-100,-100,-100,-85,-100,-76,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-71,-62,-69,-69,-63,-72,-71,-70,-81,-82,-78,-78,-81,-78,-70,-76,-72,-72,-76,-70,-71,-77,-77,-77,-85,-100,-79,-76,-76,-78,-100,-85,-81,-78,-81,-81,-81,-85,-100,-100,-100,-69,-64,-78,-82,-72,-71,-77,-100,-78,-76,-85,-74,-82,-78,-100,-86,-100,-63,-78,-78,-75,-100,-80,-72,-85,-100,-100,-100,-85,-100,-78,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-71,-63,-70,-70,-64,-72,-72,-72,-81,-82,-78,-78,-82,-78,-74,-76,-71,-71,-76,-70,-70,-77,-77,-77,-83,-100,-79,-76,-76,-78,-100,-83,-80,-80,-80,-80,-81,-86,-100,-100,-86,-70,-64,-78,-82,-72,-70,-77,-100,-78,-76,-83,-74,-80,-77,-100,-86,-100,-64,-77,-77,-75,-87,-80,-72,-87,-79,-100,-100,-100,-100,-77,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
