60:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,60:32:b1:3e:1a:b7,b4:5d:50:e1:96:43,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,44:48:c1:91:d0:04,b4:5d:50:e1:96:42,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,44:48:c1:91:d0:02,44:48:c1:91:d0:00,20:a6:cd:42:0a:c3,38:17:c3:1f:14:01,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,38:17:c3:19:45:a1,44:48:c1:91:95:a1,a8:bd:27:4c:aa:83,38:17:c3:1f:09:82,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:09:93,38:17:c3:1f:09:91,38:17:c3:1f:09:92,44:48:c1:91:95:b3,38:17:c3:1f:00:a0,20:a6:cd:42:0a:d2,9c:d6:43:60:92:e0,b4:5d:50:e1:96:40,44:48:c1:91:d0:01,38:17:c3:1f:00:b0,44:48:c1:91:d0:11,38:17:c3:19:45:a0,38:17:c3:1f:19:d0,38:17:c3:1f:09:90,44:48:c1:91:95:b2,86:0d:8e:aa:25:a4,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:41,20:a6:cd:42:0a:c1,38:17:c3:1f:14:12,38:17:c3:19:45:a2,38:17:c3:1f:14:11,20:a6:cd:42:0a:c2,b4:5d:50:e1:96:50,38:17:c3:1f:14:10,38:17:c3:1f:00:a1,38:17:c3:19:45:b2,38:17:c3:19:45:b1,44:48:c1:91:95:a0,38:17:c3:1f:09:81,38:17:c3:1f:09:83,a8:bd:27:4c:aa:82,44:48:c1:91:95:a3,38:17:c3:24:47:51,38:17:c3:24:47:52,38:17:c3:1f:14:00,44:48:c1:91:95:a2,38:17:c3:1f:09:80,66:2a:2f:53:7c:99,38:17:c3:1f:14:02,20:a6:cd:42:13:e2,38:17:c3:19:45:b0,a8:bd:27:4c:aa:80,44:48:c1:91:95:b0,44:48:c1:91:95:b1,a8:bd:27:4c:aa:81,38:17:c3:24:47:50,a8:bd:27:4c:aa:93,b6:e6:2d:69:d5:58,a8:bd:27:4c:aa:90,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:e3,38:17:c3:1f:19:f0,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:d7:70,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:71,38:17:c3:19:d7:72,38:17:c3:19:d7:61,80:8d:b7:55:35:03,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:f2,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:35:01,b0:be:76:f8:30:5e,80:8d:b7:55:3a:40,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:50,ea:9e:b4:53:24:54,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:39:d0,38:17:c3:19:71:90,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:19:36:20,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:19:36:30,38:17:c3:1e:ff:10,38:17:c3:1e:ff:00,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:39:d2,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,38:17:c3:1e:ff:01,80:8d:b7:55:29:d0,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,38:17:c3:1e:ff:02,20:a6:cd:50:24:a2,80:8d:b7:55:39:c2,20:a6:cd:50:24:b0,80:8d:b7:55:39:d1,00:4e:35:df:06:42,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:52,38:17:c3:1f:22:30,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:0e:10,38:17:c3:1f:22:21,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:22:31,38:17:c3:1f:0e:00,38:17:c3:1f:22:32,x,y,label
-55,-68,-74,-71,-77,-77,-77,-72,-70,-74,-74,-71,-71,-73,-72,-77,-77,-77,-82,-82,-82,-73,-77,-75,-76,-84,-85,-86,-86,-86,-88,-68,-76,-78,-70,-71,-74,-82,-73,-85,-85,-89,-91,-70,-70,-70,-77,-74,-78,-70,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-54,-68,-74,-71,-76,-77,-77,-72,-70,-73,-73,-71,-71,-63,-72,-78,-78,-78,-81,-81,-82,-73,-77,-75,-77,-83,-84,-86,-86,-86,-89,-68,-77,-77,-69,-71,-73,-82,-73,-83,-86,-89,-91,-58,-69,-58,-78,-73,-78,-58,-77,-78,-68,-81,-81,-77,-77,-77,-79,-80,-86,-86,-72,-77,-77,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-53,-67,-75,-72,-76,-77,-77,-72,-70,-74,-74,-71,-71,-63,-72,-78,-78,-78,-81,-81,-82,-73,-77,-74,-77,-84,-84,-86,-100,-86,-89,-67,-76,-71,-70,-71,-73,-81,-74,-84,-86,-88,-92,-58,-70,-58,-78,-74,-78,-58,-77,-78,-67,-81,-81,-77,-77,-77,-78,-80,-86,-86,-72,-76,-78,-88,-72,-86,-81,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-55,-67,-74,-63,-76,-77,-76,-72,-70,-74,-74,-71,-71,-63,-72,-78,-78,-78,-82,-81,-82,-74,-77,-76,-77,-85,-84,-85,-85,-85,-88,-67,-77,-77,-69,-71,-73,-82,-73,-85,-86,-89,-92,-100,-70,-100,-78,-74,-78,-70,-78,-78,-67,-81,-81,-78,-77,-77,-78,-81,-100,-100,-72,-77,-78,-88,-71,-86,-81,-78,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-54,-68,-75,-72,-76,-76,-76,-72,-71,-73,-73,-72,-71,-73,-72,-77,-77,-77,-82,-82,-82,-74,-77,-61,-76,-84,-84,-84,-85,-85,-88,-68,-76,-74,-70,-71,-74,-82,-73,-85,-86,-89,-100,-70,-70,-70,-78,-73,-78,-70,-77,-78,-68,-81,-81,-77,-77,-77,-64,-79,-86,-85,-72,-77,-78,-89,-72,-100,-81,-100,-89,-88,-64,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-55,-68,-74,-72,-76,-76,-76,-72,-70,-75,-75,-71,-71,-73,-72,-77,-77,-77,-82,-82,-82,-73,-76,-61,-77,-85,-85,-86,-86,-86,-100,-68,-76,-78,-70,-71,-75,-82,-73,-85,-85,-89,-90,-70,-70,-70,-78,-73,-77,-70,-77,-78,-68,-81,-81,-77,-78,-79,-64,-81,-86,-85,-72,-76,-78,-89,-72,-100,-82,-100,-89,-100,-64,-85,-90,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-58,-68,-68,-73,-77,-76,-77,-74,-70,-72,-72,-78,-79,-74,-100,-79,-79,-79,-81,-81,-81,-100,-100,-84,-100,-100,-100,-87,-86,-87,-86,-68,-77,-80,-71,-79,-72,-81,-100,-89,-87,-86,-100,-74,-71,-74,-75,-100,-75,-74,-77,-75,-68,-100,-100,-100,-100,-76,-78,-80,-100,-100,-100,-81,-100,-100,-100,-100,-100,-78,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-59,-68,-70,-73,-77,-76,-76,-73,-72,-74,-74,-76,-79,-74,-100,-79,-79,-80,-81,-81,-81,-78,-80,-84,-81,-100,-100,-87,-87,-87,-86,-69,-77,-80,-72,-76,-73,-81,-79,-89,-87,-87,-100,-72,-71,-72,-75,-79,-75,-73,-78,-75,-68,-86,-85,-81,-81,-76,-79,-80,-85,-85,-72,-80,-81,-100,-72,-100,-85,-79,-87,-100,-78,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-58,-68,-69,-72,-77,-77,-77,-74,-71,-72,-72,-77,-78,-63,-100,-80,-79,-79,-82,-82,-81,-78,-79,-83,-81,-100,-100,-88,-88,-87,-88,-68,-77,-79,-72,-77,-72,-82,-80,-89,-88,-86,-100,-62,-72,-62,-75,-80,-75,-62,-80,-75,-68,-86,-86,-80,-81,-78,-79,-80,-85,-85,-72,-79,-81,-90,-72,-100,-86,-79,-87,-87,-78,-85,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-57,-67,-69,-73,-77,-77,-77,-74,-71,-74,-74,-78,-78,-74,-100,-78,-78,-78,-81,-81,-81,-78,-79,-83,-81,-100,-100,-87,-88,-87,-86,-67,-77,-80,-72,-78,-73,-81,-80,-89,-87,-86,-100,-73,-72,-74,-75,-80,-75,-74,-78,-75,-67,-86,-86,-80,-81,-78,-79,-80,-85,-85,-72,-79,-81,-90,-72,-100,-86,-79,-87,-87,-78,-85,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
