60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,b4:5d:50:e1:96:43,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,44:48:c1:91:d0:02,44:48:c1:91:d0:04,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,38:17:c3:1f:14:12,38:17:c3:1f:14:11,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:19:d1,a8:bd:27:4c:aa:82,44:48:c1:91:d0:00,38:17:c3:19:45:a1,38:17:c3:19:45:a2,20:a6:cd:42:0a:c3,44:48:c1:91:95:a0,a8:bd:27:4c:aa:83,38:17:c3:1f:09:83,20:a6:cd:42:0a:c1,44:48:c1:91:d0:10,44:48:c1:91:d0:14,44:48:c1:91:d0:12,a8:bd:27:4c:aa:93,38:17:c3:1f:00:b0,b4:5d:50:e1:96:40,38:17:c3:1f:14:00,44:48:c1:91:d0:01,20:a6:cd:42:0a:d2,38:17:c3:1f:14:10,38:17:c3:19:45:b0,38:17:c3:1f:19:d0,9c:d6:43:60:92:e0,20:a6:cd:42:0a:c2,38:17:c3:19:45:a0,44:48:c1:91:d0:11,66:2a:2f:53:7c:99,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:1f:09:82,38:17:c3:1f:09:81,44:48:c1:91:95:a1,38:17:c3:24:47:51,38:17:c3:24:47:52,20:a6:cd:42:13:e2,38:17:c3:1f:00:a0,b4:5d:50:e1:96:50,38:17:c3:1f:09:80,a8:bd:27:4c:aa:80,44:48:c1:91:95:b2,38:17:c3:24:47:50,38:17:c3:1f:14:02,38:17:c3:1f:14:01,a8:bd:27:4c:aa:81,44:48:c1:91:95:a3,44:48:c1:91:95:b0,38:17:c3:1f:19:d2,44:48:c1:91:95:b1,44:48:c1:91:95:b3,20:a6:cd:42:13:e1,44:48:c1:91:95:a2,20:a6:cd:42:13:e0,20:a6:cd:42:0a:c0,38:17:c3:1f:19:c1,38:17:c3:1f:19:c0,38:17:c3:1f:09:90,38:17:c3:1f:19:c2,80:8d:b7:55:25:e3,44:48:c1:91:aa:22,a8:bd:27:4c:aa:90,38:17:c3:1f:09:93,44:48:c1:91:aa:20,38:17:c3:1f:09:92,38:17:c3:1f:09:91,44:48:c1:91:aa:21,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,38:17:c3:1f:19:f0,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:19:d7:62,38:17:c3:19:d7:71,38:17:c3:19:d7:72,38:17:c3:19:d7:70,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:36:30,80:8d:b7:55:35:03,80:8d:b7:55:3a:40,80:8d:b7:55:25:f0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,ea:9e:b4:53:24:54,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,b0:be:76:f8:30:5e,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:3a:50,80:8d:b7:55:35:02,80:8d:b7:55:3a:42,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:3a:41,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,80:8d:b7:55:35:12,80:8d:b7:55:39:c2,80:8d:b7:55:3a:51,20:a6:cd:50:24:a0,38:17:c3:19:71:90,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,80:8d:b7:55:39:c0,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:1e:ff:01,38:17:c3:1e:ff:10,80:8d:b7:55:39:c1,80:8d:b7:55:35:11,38:17:c3:19:71:91,38:17:c3:19:71:92,80:8d:b7:55:3a:52,80:8d:b7:55:39:d0,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1e:ff:12,80:8d:b7:55:39:d1,38:17:c3:1e:ff:11,38:17:c3:19:71:80,80:8d:b7:55:29:d0,80:8d:b7:55:39:d2,38:17:c3:19:36:31,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,80:8d:b7:55:29:c0,20:a6:cd:50:24:b0,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,00:4e:35:df:06:42,00:4e:35:df:06:40,20:a6:cd:50:24:b1,00:4e:35:df:06:41,b4:5d:50:e1:92:23,38:17:c3:1f:22:32,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:1f:0e:11,38:17:c3:1f:0e:00,x,y,label
-55,-69,-68,-68,-70,-70,-73,-70,-70,-73,-74,-78,-78,-78,-81,-80,-82,-82,-88,-78,-73,-78,-78,-74,-80,-74,-75,-74,-80,-80,-80,-88,-70,-70,-75,-73,-78,-80,-83,-88,-76,-74,-79,-80,-87,-77,-77,-77,-75,-76,-80,-85,-85,-82,-67,-77,-76,-78,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-53,-69,-66,-66,-71,-71,-73,-68,-68,-73,-75,-77,-77,-77,-80,-79,-82,-82,-85,-78,-74,-76,-77,-71,-80,-74,-76,-72,-79,-79,-79,-88,-72,-69,-75,-74,-77,-80,-83,-86,-76,-71,-75,-79,-87,-76,-76,-77,-76,-76,-79,-85,-85,-83,-67,-76,-76,-78,-85,-85,-75,-75,-78,-79,-85,-85,-86,-86,-83,-80,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-63,-69,-66,-67,-71,-71,-73,-68,-68,-73,-76,-79,-79,-79,-78,-78,-82,-100,-85,-78,-73,-76,-77,-71,-78,-74,-77,-72,-79,-79,-79,-88,-71,-68,-75,-73,-78,-78,-100,-86,-77,-72,-75,-79,-88,-75,-75,-75,-78,-78,-79,-100,-100,-81,-67,-75,-78,-78,-86,-100,-74,-75,-79,-79,-87,-85,-86,-87,-83,-78,-82,-72,-83,-82,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-56,-69,-66,-66,-71,-71,-70,-68,-100,-73,-76,-78,-78,-78,-79,-79,-84,-84,-86,-78,-73,-77,-77,-76,-78,-76,-77,-73,-80,-80,-80,-88,-71,-69,-75,-73,-78,-79,-83,-86,-76,-73,-100,-80,-88,-75,-76,-75,-78,-78,-79,-100,-100,-81,-67,-75,-78,-79,-85,-100,-75,-74,-78,-79,-86,-86,-86,-87,-81,-78,-100,-72,-83,-82,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-60,-68,-66,-65,-72,-72,-74,-69,-69,-71,-74,-78,-78,-78,-79,-79,-80,-80,-86,-78,-73,-77,-77,-72,-79,-76,-77,-72,-80,-80,-80,-100,-72,-69,-74,-73,-78,-79,-80,-86,-75,-72,-77,-80,-87,-75,-75,-75,-75,-100,-78,-100,-100,-82,-66,-73,-100,-79,-86,-85,-74,-74,-78,-82,-86,-86,-86,-86,-82,-100,-82,-72,-82,-83,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-57,-68,-66,-66,-72,-72,-74,-69,-69,-73,-75,-78,-78,-78,-79,-79,-82,-81,-86,-78,-73,-77,-77,-74,-79,-76,-76,-73,-80,-80,-80,-100,-72,-69,-74,-73,-78,-78,-82,-86,-75,-72,-77,-80,-88,-75,-75,-75,-76,-75,-79,-86,-86,-82,-66,-75,-75,-100,-86,-85,-74,-75,-78,-84,-86,-86,-86,-86,-82,-79,-82,-72,-82,-83,-100,-83,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-55,-66,-64,-64,-67,-67,-71,-75,-75,-76,-73,-82,-82,-81,-75,-75,-81,-81,-87,-100,-76,-79,-78,-74,-83,-77,-80,-73,-80,-80,-80,-91,-67,-76,-72,-76,-82,-75,-81,-87,-76,-73,-79,-80,-100,-75,-75,-75,-77,-78,-82,-100,-100,-100,-64,-75,-77,-100,-88,-88,-71,-71,-100,-83,-88,-87,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-57,-67,-65,-65,-66,-66,-72,-74,-73,-77,-73,-82,-82,-81,-78,-78,-81,-80,-86,-80,-76,-80,-78,-74,-83,-80,-79,-72,-82,-81,-82,-91,-66,-73,-71,-76,-82,-78,-81,-86,-82,-72,-81,-82,-100,-75,-75,-75,-78,-79,-81,-100,-100,-100,-65,-75,-77,-100,-88,-88,-71,-71,-100,-80,-88,-87,-88,-87,-100,-81,-100,-72,-100,-100,-87,-100,-100,-84,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-56,-66,-63,-63,-66,-66,-71,-75,-75,-77,-72,-81,-82,-81,-78,-78,-79,-80,-87,-80,-77,-80,-80,-76,-83,-80,-80,-73,-81,-81,-81,-100,-66,-75,-72,-100,-81,-78,-80,-88,-73,-74,-80,-81,-100,-75,-75,-75,-77,-77,-82,-100,-100,-100,-63,-75,-77,-80,-88,-100,-72,-72,-80,-81,-89,-87,-100,-88,-100,-81,-100,-74,-100,-100,-87,-100,-100,-82,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-57,-68,-66,-66,-66,-66,-71,-73,-73,-79,-73,-79,-79,-80,-76,-76,-80,-80,-84,-79,-78,-100,-80,-71,-83,-79,-78,-73,-82,-81,-82,-100,-66,-73,-71,-79,-79,-76,-80,-84,-73,-73,-80,-81,-100,-75,-75,-75,-77,-77,-81,-100,-100,-86,-66,-76,-78,-80,-88,-100,-71,-71,-80,-79,-89,-84,-100,-88,-100,-82,-87,-74,-100,-100,-100,-100,-100,-82,-91,-88,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
