38:17:c3:1f:0e:12,38:17:c3:19:d7:62,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:19:45:a1,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,38:17:c3:19:45:a0,80:8d:b7:55:39:d0,00:4e:35:df:06:40,44:48:c1:a5:82:30,b0:be:76:f8:30:5e,00:4e:35:df:06:42,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,b8:27:eb:9f:6b:77,38:17:c3:1e:ff:00,00:4e:35:de:e1:11,00:4e:35:de:e1:12,00:4e:35:de:e1:10,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,b4:5d:50:e1:96:50,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,44:48:c1:a5:82:21,66:2a:2f:53:7c:99,44:48:c1:a5:82:20,44:48:c1:a5:82:22,68:ff:7b:e4:af:38,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,38:17:c3:1f:01:92,38:17:c3:1f:22:30,80:8d:b7:55:3a:52,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:01:90,80:8d:b7:55:3a:50,38:17:c3:1f:01:91,80:8d:b7:55:3a:51,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:19:55:52,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:0e:00,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:81,80:8d:b7:55:3a:41,38:17:c3:1f:01:82,80:8d:b7:55:3a:42,38:17:c3:1e:ff:12,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:1f:01:80,80:8d:b7:55:3a:40,80:8d:b7:55:25:e0,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,80:8d:b7:55:25:e3,b4:5d:50:e1:92:31,00:4e:35:df:06:41,38:17:c3:19:45:a2,b4:5d:50:e1:92:23,b4:5d:50:e1:96:53,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:19:71:90,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,68:ff:7b:e4:af:39,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1f:22:32,38:17:c3:1f:22:31,20:a6:cd:42:0b:e3,38:17:c3:1f:08:50,38:17:c3:1f:09:92,38:17:c3:1f:09:91,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,a8:bd:27:4c:bd:30,38:17:c3:1f:00:b0,44:48:c1:91:95:b2,44:48:c1:91:95:b3,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:19:55:40,38:17:c3:19:55:41,38:17:c3:19:55:42,00:4e:35:de:d7:53,00:4e:35:de:d7:52,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,00:4e:35:de:d7:51,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,00:4e:35:de:d7:50,38:17:c3:1f:08:51,00:4e:35:de:e1:00,00:4e:35:de:e1:02,38:17:c3:1f:09:83,00:4e:35:de:e1:01,a8:bd:27:4c:bd:22,38:17:c3:1f:08:52,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:21,00:4e:35:df:0e:12,00:4e:35:de:d7:40,00:4e:35:de:d7:43,00:4e:35:de:d7:42,00:4e:35:de:d7:41,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:19:71:82,38:17:c3:19:36:30,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:21,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,70:56:81:c9:91:ab,38:17:c3:1e:fc:b2,00:4e:35:df:0e:02,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:4f:10,38:17:c3:24:58:b2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1b:08:b0,38:17:c3:1f:0f:90,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,38:17:c3:1b:08:a2,00:4e:35:df:27:10,00:4e:35:df:27:11,x,y,label
-47,-82,-76,-73,-76,-89,-49,-82,-46,-81,-89,-70,-88,-77,-70,-86,-76,-73,-76,-74,-73,-74,-27,-84,-91,-90,-90,-79,-79,-79,-63,-87,-63,-92,-83,-82,-84,-81,-94,-82,-81,-90,-65,-87,-64,-87,-80,-80,-58,-78,-75,-76,-71,-89,-78,-84,-84,-89,-89,-70,-76,-70,-76,-86,-88,-89,-77,-54,-55,-70,-70,-81,-83,-88,-84,-83,-56,-83,-81,-75,-80,-72,-80,-81,-81,-81,-75,-80,-84,-87,-86,-87,-81,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-49,-82,-76,-73,-76,-89,-47,-82,-49,-82,-89,-69,-85,-79,-71,-84,-77,-73,-80,-72,-74,-74,-28,-86,-90,-90,-89,-77,-75,-76,-67,-85,-67,-92,-84,-82,-84,-80,-94,-83,-81,-90,-66,-84,-63,-84,-81,-80,-49,-76,-77,-73,-69,-89,-78,-84,-86,-89,-90,-69,-78,-69,-78,-86,-88,-89,-76,-56,-56,-69,-70,-83,-82,-88,-82,-81,-56,-83,-82,-74,-79,-72,-82,-81,-81,-80,-72,-80,-82,-87,-86,-87,-78,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-48,-82,-75,-76,-76,-88,-48,-81,-47,-82,-89,-71,-85,-78,-71,-84,-81,-75,-79,-75,-74,-73,-27,-86,-90,-91,-89,-77,-80,-78,-64,-87,-64,-92,-82,-82,-83,-83,-94,-81,-80,-90,-66,-87,-66,-86,-81,-81,-55,-78,-79,-73,-69,-89,-78,-86,-86,-90,-90,-69,-78,-71,-78,-85,-85,-86,-77,-52,-52,-70,-70,-83,-83,-86,-83,-81,-53,-83,-82,-75,-81,-74,-81,-80,-82,-83,-75,-80,-82,-88,-86,-87,-78,-88,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-46,-82,-74,-76,-77,-87,-46,-81,-45,-82,-87,-70,-85,-78,-70,-84,-80,-73,-79,-74,-74,-73,-26,-86,-90,-90,-90,-77,-77,-77,-66,-86,-65,-92,-83,-82,-82,-81,-92,-81,-80,-92,-66,-86,-67,-87,-81,-81,-52,-79,-79,-73,-69,-89,-77,-86,-86,-90,-90,-70,-79,-69,-78,-87,-85,-85,-78,-54,-53,-63,-70,-83,-81,-88,-81,-81,-54,-83,-83,-74,-81,-75,-83,-80,-82,-84,-72,-80,-85,-88,-86,-87,-81,-88,-85,-89,-91,-92,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-49,-82,-72,-76,-74,-87,-47,-81,-46,-82,-87,-70,-84,-80,-69,-85,-80,-75,-78,-74,-74,-75,-28,-85,-90,-90,-90,-78,-78,-78,-62,-85,-62,-92,-84,-84,-83,-82,-92,-81,-82,-92,-62,-87,-64,-87,-80,-80,-54,-77,-76,-73,-69,-90,-77,-86,-86,-88,-90,-71,-77,-70,-78,-82,-85,-85,-77,-54,-54,-69,-70,-83,-81,-88,-81,-81,-54,-83,-82,-75,-81,-74,-81,-80,-83,-83,-73,-80,-83,-86,-87,-87,-79,-86,-86,-89,-91,-92,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-47,-81,-73,-75,-76,-88,-47,-83,-47,-82,-89,-70,-86,-77,-69,-87,-76,-72,-77,-72,-72,-73,-28,-84,-90,-90,-90,-79,-79,-78,-62,-85,-63,-92,-85,-85,-85,-81,-92,-83,-80,-93,-64,-87,-65,-86,-82,-82,-49,-77,-76,-73,-69,-90,-81,-86,-86,-91,-90,-69,-80,-69,-80,-87,-87,-88,-77,-54,-53,-69,-70,-83,-81,-88,-82,-81,-54,-83,-82,-73,-81,-75,-81,-82,-83,-84,-73,-80,-83,-86,-87,-89,-79,-87,-85,-90,-91,-92,-90,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-49,-85,-75,-71,-73,-88,-49,-85,-49,-86,-89,-60,-86,-74,-68,-83,-73,-72,-74,-72,-74,-73,-29,-82,-90,-91,-90,-74,-73,-73,-68,-80,-62,-89,-79,-78,-78,-78,-92,-78,-76,-94,-62,-80,-62,-81,-80,-92,-51,-74,-74,-71,-71,-90,-78,-81,-82,-87,-90,-71,-76,-71,-77,-87,-87,-88,-75,-61,-63,-61,-59,-87,-83,-88,-84,-83,-62,-83,-85,-78,-78,-79,-77,-78,-78,-78,-79,-75,-78,-88,-87,-88,-71,-86,-85,-90,-90,-88,-88,-92,-91,-89,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-48,-85,-74,-71,-75,-88,-49,-85,-49,-86,-89,-61,-86,-75,-68,-83,-74,-73,-74,-72,-72,-73,-27,-83,-90,-92,-90,-74,-74,-74,-74,-81,-64,-89,-80,-79,-80,-79,-92,-76,-78,-94,-63,-81,-64,-81,-80,-79,-49,-75,-75,-71,-72,-90,-77,-82,-83,-86,-86,-71,-77,-70,-76,-90,-87,-88,-72,-62,-62,-59,-61,-86,-83,-78,-82,-83,-59,-87,-86,-79,-78,-78,-76,-80,-78,-78,-79,-75,-78,-88,-90,-88,-71,-86,-85,-90,-90,-88,-85,-88,-91,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-49,-85,-74,-73,-73,-88,-49,-85,-52,-86,-89,-62,-86,-75,-68,-83,-74,-71,-74,-72,-71,-72,-28,-83,-92,-92,-91,-74,-75,-74,-62,-80,-63,-90,-87,-87,-87,-78,-92,-77,-78,-93,-63,-80,-63,-80,-79,-79,-52,-72,-72,-71,-90,-90,-75,-82,-82,-86,-86,-71,-77,-72,-75,-90,-87,-88,-72,-60,-61,-62,-61,-86,-83,-67,-83,-84,-60,-86,-86,-78,-78,-78,-76,-80,-78,-78,-78,-75,-78,-88,-89,-88,-71,-86,-85,-90,-90,-89,-87,-88,-91,-88,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-50,-87,-72,-75,-74,-88,-50,-86,-49,-86,-89,-59,-84,-75,-67,-83,-75,-72,-74,-72,-72,-72,-28,-82,-92,-92,-91,-75,-75,-74,-63,-79,-62,-90,-87,-87,-87,-76,-92,-76,-75,-93,-64,-80,-63,-80,-79,-80,-53,-74,-74,-71,-70,-90,-75,-82,-82,-86,-86,-73,-77,-72,-77,-88,-88,-87,-72,-61,-61,-60,-61,-88,-83,-67,-83,-84,-60,-86,-86,-75,-74,-75,-73,-79,-78,-78,-74,-74,-78,-88,-89,-89,-73,-89,-83,-90,-90,-90,-86,-88,-91,-89,-89,-89,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
