38:17:c3:19:71:91,38:17:c3:19:71:90,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,44:48:c1:a5:82:30,80:8d:b7:55:25:f2,44:48:c1:a5:82:32,80:8d:b7:55:25:f3,44:48:c1:a5:82:31,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:1e:ff:00,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:20,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:01:92,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:01:90,38:17:c3:1f:01:91,20:a6:cd:50:24:a1,38:17:c3:1f:09:90,38:17:c3:19:55:52,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,00:4e:35:df:06:40,b0:be:76:f8:30:5e,00:4e:35:df:06:41,38:17:c3:1f:00:b0,00:4e:35:de:e1:12,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,66:2a:2f:53:7c:99,68:ff:7b:e4:af:38,b4:5d:50:e1:96:52,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,38:17:c3:24:58:b0,72:32:b1:3e:1a:b7,38:17:c3:24:58:b1,38:17:c3:24:58:b2,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,80:8d:b7:55:25:e3,00:4e:35:df:06:42,80:8d:b7:55:3a:42,38:17:c3:19:55:40,38:17:c3:1f:22:32,38:17:c3:1f:22:31,b4:5d:50:e1:92:23,38:17:c3:19:71:92,00:4e:35:de:e1:11,72:32:b1:3e:1a:b8,00:4e:35:de:e1:10,38:17:c3:1f:08:50,20:a6:cd:50:24:a2,38:17:c3:19:45:a2,38:17:c3:19:45:a0,20:a6:cd:50:24:a0,38:17:c3:1f:09:83,38:17:c3:19:45:a1,38:17:c3:1f:09:91,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:e3,38:17:c3:19:55:41,38:17:c3:19:55:42,44:48:c1:91:95:b2,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b3,b4:5d:50:e1:92:20,00:4e:35:de:e1:00,00:4e:35:de:e1:01,38:17:c3:1f:08:52,00:4e:35:de:e1:02,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,38:17:c3:1f:08:51,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:08:42,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:df:0e:12,00:4e:35:de:d7:43,38:17:c3:19:36:30,38:17:c3:1f:08:41,00:4e:35:df:0e:10,38:17:c3:1f:08:40,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:df:0e:11,a8:bd:27:4c:bd:22,00:4e:35:df:0e:02,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1f:0f:90,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,38:17:c3:19:71:80,00:4e:35:de:d7:42,00:4e:35:de:d7:40,00:4e:35:de:d7:41,x,y,label
-91,-93,-49,-85,-50,-85,-50,-87,-76,-74,-76,-73,-75,-73,-72,-63,-66,-64,-88,-79,-79,-79,-68,-84,-67,-81,-81,-81,-68,-84,-68,-83,-92,-90,-83,-84,-57,-71,-89,-85,-88,-89,-91,-71,-71,-86,-90,-85,-87,-88,-86,-87,-86,-74,-73,-83,-74,-89,-89,-87,-88,-76,-75,-76,-72,-83,-71,-83,-92,-92,-90,-89,-81,-82,-81,-93,-93,-88,-88,-90,-87,-87,-87,-88,-73,-73,-73,-74,-81,-91,-81,-81,-76,-75,-73,-53,-54,-70,-70,-85,-53,-82,-80,-80,-83,-82,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-91,-93,-48,-84,-48,-85,-47,-85,-75,-77,-74,-77,-73,-77,-76,-100,-100,-100,-85,-79,-79,-79,-67,-83,-69,-81,-81,-85,-67,-83,-67,-84,-92,-90,-85,-85,-43,-69,-89,-85,-88,-89,-91,-69,-68,-86,-90,-90,-86,-87,-87,-89,-89,-73,-75,-86,-75,-89,-89,-87,-88,-77,-78,-74,-68,-83,-75,-83,-92,-91,-90,-89,-84,-85,-84,-94,-93,-88,-88,-90,-87,-87,-87,-88,-76,-74,-79,-76,-100,-92,-100,-100,-76,-76,-75,-52,-52,-68,-68,-83,-52,-81,-86,-85,-85,-81,-81,-85,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-91,-92,-50,-83,-50,-84,-49,-83,-80,-75,-80,-75,-79,-74,-74,-100,-100,-100,-85,-79,-80,-80,-66,-83,-67,-80,-81,-82,-66,-83,-66,-84,-92,-90,-85,-85,-49,-68,-89,-85,-88,-89,-91,-69,-69,-86,-90,-86,-87,-88,-87,-88,-88,-75,-78,-86,-75,-89,-89,-87,-90,-77,-77,-77,-71,-83,-71,-83,-92,-90,-90,-89,-88,-88,-89,-94,-94,-88,-88,-95,-87,-87,-87,-88,-76,-74,-75,-78,-100,-92,-100,-100,-78,-77,-75,-51,-54,-70,-70,-83,-53,-81,-83,-84,-85,-81,-81,-86,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-91,-92,-51,-85,-48,-86,-47,-85,-78,-75,-78,-77,-78,-76,-76,-100,-100,-100,-85,-78,-79,-79,-65,-83,-65,-80,-81,-82,-65,-85,-65,-85,-92,-90,-85,-88,-43,-69,-90,-85,-88,-92,-91,-70,-70,-86,-90,-89,-89,-88,-87,-90,-88,-78,-79,-85,-79,-89,-89,-87,-90,-77,-78,-75,-72,-85,-68,-88,-92,-90,-90,-89,-87,-87,-87,-94,-94,-88,-88,-95,-87,-87,-87,-88,-73,-76,-77,-78,-100,-92,-100,-100,-78,-77,-76,-52,-52,-69,-70,-87,-52,-81,-83,-84,-85,-83,-78,-85,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-91,-92,-49,-85,-49,-85,-49,-84,-77,-72,-77,-73,-76,-72,-72,-100,-100,-100,-85,-80,-78,-78,-67,-82,-66,-83,-83,-82,-66,-82,-65,-82,-92,-90,-86,-85,-43,-71,-90,-86,-86,-91,-91,-69,-70,-86,-90,-89,-88,-88,-88,-90,-88,-75,-75,-86,-78,-89,-91,-87,-88,-76,-78,-75,-68,-87,-73,-86,-92,-90,-92,-89,-85,-85,-87,-92,-92,-88,-88,-91,-87,-87,-87,-88,-76,-76,-76,-76,-100,-92,-100,-100,-77,-77,-74,-52,-52,-69,-69,-90,-53,-80,-83,-84,-85,-80,-79,-85,-80,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-91,-92,-46,-85,-47,-85,-47,-86,-76,-76,-77,-76,-77,-76,-76,-100,-100,-100,-87,-78,-78,-78,-66,-85,-65,-83,-83,-81,-66,-83,-66,-83,-92,-90,-86,-87,-46,-70,-91,-86,-86,-93,-91,-72,-70,-86,-90,-84,-87,-87,-88,-83,-83,-79,-77,-85,-76,-89,-90,-88,-89,-77,-74,-78,-69,-85,-72,-85,-92,-90,-92,-89,-84,-84,-84,-94,-92,-88,-88,-92,-87,-87,-87,-88,-75,-76,-77,-77,-100,-92,-100,-100,-77,-77,-75,-53,-53,-68,-68,-90,-54,-82,-83,-82,-83,-83,-79,-85,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-91,-93,-55,-84,-56,-83,-55,-83,-74,-73,-74,-74,-73,-74,-73,-100,-100,-100,-87,-73,-73,-73,-65,-83,-62,-86,-84,-84,-65,-84,-65,-84,-92,-90,-79,-78,-60,-73,-89,-86,-86,-86,-91,-73,-72,-86,-90,-85,-84,-85,-83,-85,-86,-81,-80,-79,-81,-88,-88,-88,-89,-78,-77,-77,-67,-88,-71,-87,-92,-91,-92,-89,-85,-86,-86,-91,-92,-88,-88,-92,-91,-87,-87,-91,-74,-75,-77,-72,-100,-86,-100,-100,-72,-72,-74,-55,-54,-67,-66,-90,-53,-80,-83,-82,-83,-83,-81,-87,-80,-88,-88,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-91,-92,-55,-84,-55,-83,-55,-84,-73,-74,-73,-74,-72,-73,-75,-100,-100,-100,-83,-76,-77,-75,-67,-85,-66,-87,-88,-84,-67,-85,-67,-85,-92,-90,-80,-80,-59,-70,-89,-83,-83,-88,-91,-71,-70,-86,-92,-85,-84,-83,-83,-86,-86,-77,-78,-80,-77,-91,-89,-89,-89,-79,-79,-76,-68,-88,-76,-87,-92,-88,-92,-90,-86,-85,-86,-91,-93,-88,-88,-90,-91,-87,-87,-91,-69,-69,-69,-72,-100,-88,-100,-100,-73,-72,-75,-52,-52,-67,-67,-79,-53,-81,-86,-87,-88,-82,-81,-86,-80,-88,-88,-89,-89,-93,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-91,-91,-56,-84,-55,-83,-55,-83,-72,-74,-72,-74,-72,-72,-75,-100,-100,-100,-83,-74,-74,-74,-66,-85,-66,-87,-89,-89,-66,-84,-66,-85,-92,-90,-80,-79,-59,-71,-90,-82,-83,-88,-89,-71,-69,-86,-92,-90,-84,-84,-83,-86,-87,-76,-76,-80,-77,-91,-89,-89,-89,-80,-76,-79,-65,-87,-77,-87,-92,-88,-92,-91,-82,-83,-83,-90,-93,-90,-88,-91,-91,-87,-87,-91,-74,-74,-69,-73,-100,-89,-100,-100,-72,-71,-75,-53,-52,-64,-67,-79,-53,-81,-87,-87,-87,-79,-81,-88,-81,-88,-88,-89,-89,-93,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-93,-94,-56,-82,-56,-83,-48,-84,-73,-75,-73,-73,-72,-72,-74,-100,-100,-100,-82,-75,-75,-75,-66,-85,-64,-87,-89,-89,-64,-84,-66,-85,-92,-90,-80,-80,-59,-69,-90,-82,-81,-87,-89,-70,-71,-86,-92,-86,-84,-84,-83,-87,-87,-79,-78,-80,-80,-91,-89,-89,-89,-80,-79,-79,-66,-89,-75,-87,-92,-92,-92,-91,-84,-84,-83,-90,-93,-90,-88,-90,-91,-87,-87,-91,-73,-74,-73,-72,-100,-87,-100,-100,-72,-71,-72,-53,-52,-66,-66,-83,-53,-81,-87,-87,-87,-82,-79,-90,-81,-88,-88,-88,-89,-92,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
