38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,44:48:c1:a5:82:30,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1f:09:93,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:01:92,38:17:c3:1f:22:30,60:32:b1:3e:1a:b7,38:17:c3:1f:01:90,38:17:c3:1f:01:91,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,80:8d:b7:55:39:d0,00:4e:35:df:06:40,b0:be:76:f8:30:5e,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,66:2a:2f:53:7c:99,68:ff:7b:e4:af:38,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e3,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,44:48:c1:a5:82:22,38:17:c3:19:45:b0,38:17:c3:19:55:50,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:25:e0,00:4e:35:de:e1:12,60:32:b1:3e:1a:b8,20:a6:cd:50:24:a2,38:17:c3:19:55:52,38:17:c3:19:55:51,b4:5d:50:e1:92:23,44:48:c1:a5:82:21,44:48:c1:a5:82:20,80:8d:b7:55:3a:40,38:17:c3:19:71:90,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,b4:5d:50:e1:96:52,38:17:c3:1f:08:50,38:17:c3:19:55:41,00:4e:35:de:e1:00,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:92,38:17:c3:19:71:92,38:17:c3:19:71:91,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:1f:22:32,a8:bd:27:4c:bd:30,38:17:c3:1f:22:31,38:17:c3:1f:09:83,20:a6:cd:42:0b:e3,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:19:55:42,44:48:c1:91:95:b2,44:48:c1:91:95:b3,00:4e:35:de:e1:02,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,b4:5d:50:e1:92:20,38:17:c3:1f:08:51,38:17:c3:1f:08:52,a8:bd:27:4c:bd:20,00:4e:35:de:e1:01,38:17:c3:19:55:40,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,44:48:c1:91:95:b0,44:48:c1:91:95:b1,00:4e:35:de:d7:53,00:4e:35:de:d7:52,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:df:0e:12,00:4e:35:de:d7:43,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:19:36:30,00:4e:35:de:d7:40,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,38:17:c3:19:71:82,38:17:c3:1e:fc:b1,00:4e:35:df:0e:02,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:1e:fc:a1,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:b1,38:17:c3:1f:0f:90,38:17:c3:1f:0f:91,38:17:c3:1b:08:b0,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1b:08:b2,00:4e:35:df:27:12,38:17:c3:1b:08:b1,00:4e:35:df:27:00,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:de:d7:42,00:4e:35:de:d7:41,x,y,label
-45,-82,-43,-83,-43,-84,-76,-76,-77,-76,-76,-77,-76,-77,-76,-77,-66,-87,-66,-66,-87,-66,-87,-92,-82,-83,-49,-74,-90,-91,-73,-73,-89,-89,-81,-83,-78,-81,-84,-79,-89,-88,-89,-88,-69,-86,-73,-85,-85,-88,-88,-89,-91,-94,-78,-76,-77,-78,-93,-93,-76,-76,-78,-52,-52,-70,-70,-89,-53,-82,-80,-80,-82,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-45,-80,-44,-82,-44,-82,-79,-78,-78,-78,-76,-77,-77,-78,-78,-79,-66,-86,-67,-67,-87,-67,-86,-92,-83,-83,-45,-74,-90,-92,-73,-74,-89,-89,-83,-83,-80,-80,-83,-80,-89,-89,-89,-89,-69,-86,-72,-85,-85,-88,-88,-89,-93,-90,-74,-74,-76,-78,-93,-93,-76,-76,-76,-51,-51,-69,-69,-89,-52,-82,-80,-79,-82,-85,-80,-83,-79,-89,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-43,-83,-43,-82,-44,-83,-76,-76,-75,-77,-76,-76,-75,-78,-78,-77,-67,-86,-67,-67,-86,-67,-86,-92,-82,-82,-49,-72,-89,-94,-72,-72,-89,-89,-84,-84,-80,-80,-82,-81,-89,-89,-88,-89,-69,-86,-73,-84,-85,-87,-86,-87,-93,-93,-74,-75,-76,-75,-93,-93,-75,-75,-75,-51,-52,-69,-69,-83,-51,-82,-80,-82,-79,-79,-80,-81,-80,-88,-83,-88,-84,-85,-83,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-44,-83,-43,-83,-43,-83,-77,-78,-75,-78,-76,-75,-76,-78,-78,-77,-66,-86,-67,-66,-85,-66,-85,-92,-83,-82,-44,-74,-90,-94,-72,-72,-89,-89,-83,-83,-80,-79,-82,-81,-89,-89,-88,-91,-69,-86,-72,-84,-85,-85,-85,-84,-93,-93,-74,-75,-75,-74,-93,-93,-74,-75,-75,-52,-53,-70,-69,-89,-52,-82,-80,-82,-79,-79,-80,-79,-82,-88,-82,-87,-84,-85,-83,-80,-92,-93,-91,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-43,-85,-44,-83,-43,-84,-77,-78,-76,-77,-75,-76,-77,-77,-78,-78,-67,-85,-66,-66,-85,-66,-86,-92,-83,-83,-44,-72,-90,-94,-74,-74,-89,-89,-84,-83,-84,-79,-81,-81,-89,-90,-88,-91,-71,-86,-73,-84,-84,-85,-86,-85,-93,-93,-75,-76,-75,-77,-92,-93,-76,-76,-75,-52,-52,-70,-70,-89,-51,-82,-80,-80,-80,-83,-81,-81,-82,-89,-84,-87,-84,-85,-83,-79,-91,-90,-91,-87,-87,-90,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-45,-83,-45,-83,-45,-83,-77,-77,-76,-77,-75,-76,-76,-79,-79,-80,-68,-84,-68,-66,-86,-67,-85,-92,-82,-82,-46,-72,-90,-92,-72,-72,-89,-89,-83,-83,-81,-78,-81,-81,-89,-89,-88,-91,-70,-86,-76,-84,-83,-87,-87,-88,-93,-92,-73,-76,-75,-75,-92,-93,-75,-77,-75,-52,-52,-69,-69,-90,-53,-83,-80,-80,-83,-80,-81,-82,-81,-88,-83,-85,-85,-83,-84,-81,-91,-90,-91,-86,-84,-90,-88,-87,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-46,-83,-46,-85,-46,-81,-71,-70,-73,-70,-74,-73,-73,-74,-75,-75,-69,-85,-69,-69,-85,-69,-85,-92,-80,-80,-57,-69,-90,-89,-70,-70,-89,-89,-87,-86,-75,-73,-80,-76,-89,-90,-91,-89,-64,-83,-71,-83,-83,-82,-82,-81,-93,-90,-73,-78,-77,-76,-91,-92,-78,-76,-75,-53,-53,-64,-64,-83,-53,-78,-78,-83,-83,-83,-69,-72,-71,-85,-88,-89,-86,-85,-84,-84,-93,-90,-86,-87,-89,-90,-85,-84,-78,-94,-91,-91,-93,-90,-90,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-48,-81,-47,-82,-49,-82,-68,-69,-70,-69,-70,-70,-70,-76,-75,-76,-65,-85,-68,-65,-85,-66,-85,-92,-81,-80,-64,-70,-90,-91,-70,-70,-89,-89,-87,-86,-76,-74,-80,-76,-89,-90,-91,-89,-66,-83,-71,-83,-84,-82,-82,-82,-92,-90,-77,-78,-70,-76,-89,-92,-76,-76,-78,-53,-52,-64,-65,-82,-52,-78,-76,-83,-83,-83,-72,-69,-72,-85,-88,-88,-83,-84,-85,-84,-93,-90,-86,-87,-87,-90,-85,-84,-78,-93,-91,-91,-93,-90,-90,-92,-89,-89,-90,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-47,-82,-47,-82,-47,-83,-70,-70,-72,-69,-72,-72,-72,-77,-76,-77,-65,-85,-68,-65,-85,-66,-85,-92,-80,-83,-61,-70,-88,-88,-71,-70,-89,-89,-89,-88,-75,-75,-81,-73,-89,-90,-91,-89,-65,-83,-72,-84,-85,-85,-86,-84,-88,-90,-76,-74,-73,-77,-89,-92,-78,-78,-78,-53,-52,-64,-64,-86,-50,-78,-76,-83,-83,-83,-69,-71,-69,-84,-88,-88,-83,-84,-85,-84,-93,-90,-86,-87,-88,-88,-83,-86,-78,-93,-91,-91,-93,-89,-90,-89,-89,-89,-90,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-47,-84,-47,-82,-49,-83,-71,-69,-71,-69,-71,-71,-70,-76,-74,-75,-69,-85,-69,-67,-86,-66,-85,-92,-80,-81,-63,-70,-89,-89,-70,-70,-89,-89,-87,-86,-73,-74,-81,-73,-88,-89,-90,-88,-65,-83,-68,-83,-84,-82,-83,-82,-93,-89,-77,-75,-71,-74,-89,-92,-75,-77,-76,-51,-51,-65,-65,-83,-52,-79,-79,-83,-83,-83,-73,-72,-73,-84,-87,-89,-83,-84,-85,-84,-92,-90,-86,-89,-88,-88,-83,-86,-79,-93,-91,-91,-93,-91,-91,-92,-89,-89,-90,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
