38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,32:f7:72:50:57:3b,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,b0:be:76:f8:30:5e,44:48:c1:a5:82:30,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,80:8d:b7:55:3a:50,64:e5:99:c3:13:3c,38:17:c3:1f:08:50,38:17:c3:1e:fc:b2,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:19:55:52,38:17:c3:19:55:50,38:17:c3:19:55:51,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,66:2a:2f:53:7c:99,38:17:c3:24:58:a1,38:17:c3:24:58:a2,68:ff:7b:e4:af:38,68:ff:7b:e4:af:39,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,44:48:c1:a5:82:32,44:48:c1:a5:82:31,70:56:81:c9:91:ab,00:4e:35:df:06:40,80:8d:b7:55:39:d0,00:4e:35:df:06:42,00:4e:35:de:e1:11,00:4e:35:de:e1:12,00:4e:35:de:e1:10,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,38:17:c3:1e:ff:00,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:01:92,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,60:32:b1:3e:1a:b7,38:17:c3:1f:01:90,38:17:c3:1f:01:91,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:01:81,38:17:c3:1e:ff:12,b4:5d:50:e1:92:33,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:25:e3,44:48:c1:a5:82:20,38:17:c3:1f:01:82,80:8d:b7:55:25:e1,38:17:c3:1f:01:80,80:8d:b7:55:25:e0,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,80:8d:b7:55:3a:40,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,b4:5d:50:e1:92:23,60:32:b1:3e:1a:b8,80:8d:b7:55:25:e2,00:4e:35:df:06:41,38:17:c3:1f:09:90,38:17:c3:19:71:90,38:17:c3:1f:09:93,20:a6:cd:42:0b:e3,38:17:c3:1f:09:83,20:a6:cd:42:0b:f3,a8:bd:27:4c:bd:30,38:17:c3:1f:22:32,38:17:c3:1f:22:31,20:a6:cd:42:0b:f0,20:a6:cd:50:24:a0,38:17:c3:19:71:92,38:17:c3:1f:09:92,38:17:c3:1f:09:91,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:00:b0,38:17:c3:19:45:a0,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,00:4e:35:de:e1:02,a8:bd:27:4c:bd:31,00:4e:35:de:e1:01,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:32,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,00:4e:35:df:0e:12,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,00:4e:35:de:d7:52,00:4e:35:de:d7:50,00:4e:35:de:d7:53,00:4e:35:de:d7:51,38:17:c3:19:71:91,00:4e:35:de:e1:00,00:4e:35:de:d7:40,00:4e:35:df:0e:10,00:4e:35:de:d7:43,00:4e:35:de:d7:42,38:17:c3:19:71:80,38:17:c3:19:36:30,38:17:c3:19:36:32,38:17:c3:19:36:31,a8:bd:27:4c:bd:22,00:4e:35:de:d7:41,a8:bd:27:4c:bd:21,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:df:0e:11,38:17:c3:1f:22:22,a8:bd:27:4c:bd:20,00:4e:35:df:0e:02,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:24:4f:10,38:17:c3:24:58:a0,38:17:c3:1f:0f:90,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:19:71:81,38:17:c3:19:71:82,00:4e:35:df:27:12,x,y,label
-74,-75,-74,-90,-68,-67,-68,-78,-90,-81,-80,-81,-87,-82,-87,-62,-87,-86,-64,-64,-56,-57,-56,-80,-78,-78,-91,-89,-89,-89,-68,-86,-86,-91,-89,-91,-85,-93,-87,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-100,-100,-100,-100,-100,-100,-74,-76,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-87,-87,-87,-84,-83,-83,-91,-100,-100,-94,-100,-73,-74,-77,-76,-100,-100,-71,-90,-91,-93,-100,-47,-88,-46,-87,-47,-87,-73,-73,-74,-74,-84,-77,-77,-77,-75,-86,-84,-83,-83,-74,-85,-76,-86,-81,-80,-47,-76,-89,-83,-84,-92,-76,-75,-84,-84,-83,-89,-79,-89,-78,-76,-78,-89,-91,-90,-94,-76,-74,-69,-77,-59,-53,-70,-70,-84,-60,-80,-80,-78,-85,-80,-83,-81,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-100,-100,-100,-100,-100,-100,-81,-75,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-86,-86,-85,-85,-85,-85,-90,-100,-100,-94,-100,-75,-75,-74,-75,-100,-100,-69,-90,-91,-91,-100,-48,-88,-52,-91,-48,-90,-75,-73,-75,-75,-85,-78,-77,-78,-71,-84,-71,-82,-83,-71,-85,-71,-83,-81,-81,-51,-73,-90,-83,-85,-92,-72,-73,-83,-83,-82,-77,-81,-89,-76,-76,-78,-94,-91,-90,-94,-75,-74,-70,-75,-59,-57,-63,-70,-84,-58,-83,-82,-78,-84,-76,-83,-81,-83,-91,-91,-82,-86,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-100,-100,-100,-100,-100,-100,-77,-74,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-86,-86,-86,-85,-84,-85,-91,-100,-100,-91,-100,-75,-73,-74,-75,-100,-100,-71,-90,-91,-92,-91,-47,-88,-48,-88,-47,-89,-75,-75,-76,-75,-84,-78,-78,-79,-70,-86,-70,-83,-84,-70,-87,-71,-87,-81,-82,-46,-76,-89,-84,-84,-90,-76,-75,-83,-83,-83,-78,-82,-86,-76,-78,-76,-93,-91,-90,-94,-76,-76,-76,-78,-58,-57,-71,-71,-83,-57,-81,-82,-78,-82,-76,-81,-77,-82,-90,-91,-82,-87,-89,-87,-91,-90,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-100,-100,-100,-100,-100,-100,-76,-73,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-86,-86,-88,-87,-86,-87,-91,-100,-100,-91,-100,-74,-73,-73,-74,-100,-100,-70,-90,-91,-92,-91,-47,-88,-48,-88,-48,-89,-75,-76,-76,-75,-84,-80,-79,-78,-71,-87,-71,-83,-81,-70,-86,-71,-87,-81,-83,-48,-76,-89,-84,-84,-91,-75,-76,-84,-82,-83,-79,-82,-87,-76,-78,-76,-92,-91,-90,-91,-77,-77,-73,-76,-56,-58,-69,-69,-83,-57,-81,-82,-78,-82,-75,-81,-78,-82,-90,-91,-82,-87,-89,-87,-93,-92,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-76,-74,-77,-89,-70,-70,-70,-80,-90,-83,-81,-80,-89,-90,-93,-62,-92,-90,-64,-64,-58,-60,-61,-88,-86,-87,-91,-89,-89,-89,-76,-86,-87,-91,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-100,-100,-100,-100,-100,-100,-72,-72,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-88,-87,-87,-80,-84,-82,-91,-100,-100,-90,-100,-73,-75,-71,-72,-100,-85,-67,-88,-91,-91,-91,-58,-80,-57,-88,-56,-79,-73,-74,-73,-74,-83,-79,-78,-79,-64,-82,-64,-83,-81,-65,-83,-65,-81,-82,-84,-58,-66,-89,-83,-83,-90,-67,-66,-83,-83,-83,-81,-82,-86,-79,-76,-79,-92,-91,-92,-89,-76,-78,-72,-78,-56,-58,-66,-67,-83,-58,-81,-81,-78,-83,-78,-82,-88,-83,-92,-91,-81,-87,-89,-87,-91,-90,-82,-87,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-100,-100,-100,-100,-100,-100,-100,-72,-74,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-87,-87,-88,-83,-83,-82,-89,-100,-100,-90,-100,-72,-72,-73,-74,-100,-85,-67,-88,-91,-91,-91,-54,-80,-54,-82,-54,-79,-73,-71,-72,-72,-83,-78,-78,-77,-63,-83,-67,-84,-83,-63,-83,-64,-83,-82,-83,-59,-65,-89,-83,-83,-88,-68,-66,-82,-83,-83,-79,-82,-86,-75,-76,-79,-92,-91,-92,-91,-78,-77,-71,-78,-56,-55,-67,-66,-89,-56,-81,-79,-78,-83,-80,-82,-79,-83,-89,-91,-78,-87,-89,-87,-91,-90,-82,-86,-93,-93,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-100,-100,-100,-100,-100,-100,-100,-73,-73,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-87,-88,-88,-81,-83,-83,-93,-100,-100,-92,-100,-72,-72,-72,-73,-100,-86,-67,-86,-91,-91,-91,-55,-80,-54,-82,-54,-80,-73,-74,-74,-73,-84,-77,-77,-77,-65,-82,-66,-86,-82,-67,-83,-64,-83,-84,-85,-59,-66,-89,-84,-84,-90,-67,-67,-82,-83,-83,-79,-84,-86,-77,-80,-79,-90,-89,-92,-90,-78,-76,-72,-78,-56,-57,-66,-66,-89,-56,-81,-78,-80,-83,-80,-82,-81,-83,-91,-91,-78,-87,-89,-87,-91,-90,-83,-87,-93,-93,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-100,-100,-100,-100,-100,-100,-100,-73,-72,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-87,-88,-88,-83,-83,-83,-91,-100,-100,-94,-100,-71,-72,-72,-73,-100,-86,-67,-86,-91,-91,-91,-55,-80,-54,-80,-56,-80,-72,-72,-73,-72,-84,-79,-78,-79,-62,-83,-63,-84,-82,-64,-82,-66,-82,-83,-84,-58,-67,-89,-84,-84,-88,-66,-65,-83,-82,-82,-81,-83,-86,-76,-80,-79,-91,-89,-92,-92,-78,-76,-69,-78,-56,-56,-67,-66,-91,-57,-80,-77,-80,-83,-79,-82,-79,-82,-88,-91,-81,-87,-89,-87,-91,-90,-83,-87,-91,-91,-92,-92,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
