20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,20:a6:cd:42:0a:c2,44:48:c1:91:95:a3,44:48:c1:91:aa:20,20:a6:cd:42:0a:c3,44:48:c1:91:aa:21,44:48:c1:91:d0:00,44:48:c1:91:aa:22,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:1f:19:d2,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,38:17:c3:1f:19:d0,80:8d:b7:55:25:f0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,44:48:c1:91:d0:04,38:17:c3:24:47:50,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:1f:19:c1,38:17:c3:22:61:90,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,a8:bd:27:4c:aa:80,38:17:c3:1f:14:00,38:17:c3:1f:09:93,38:17:c3:1f:14:01,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,a8:bd:27:4c:aa:83,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:82,38:17:c3:22:5e:f1,a8:bd:27:4c:aa:81,38:17:c3:1a:cf:d0,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,20:a6:cd:42:13:f2,38:17:c3:1f:1c:10,b4:5d:50:e1:96:42,38:17:c3:1f:00:a2,b4:5d:50:e1:96:43,38:17:c3:1f:09:90,38:17:c3:1f:09:91,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,a8:bd:27:4c:aa:93,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,38:17:c3:19:45:a0,20:a6:cd:42:13:f0,72:32:b1:3e:1a:b8,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:1f:09:80,38:17:c3:1f:09:83,44:48:c1:91:95:a2,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:24:56:50,38:17:c3:1f:19:f0,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e3,38:17:c3:19:d7:72,38:17:c3:19:36:30,38:17:c3:22:61:91,66:2a:2f:53:7c:99,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:62,38:17:c3:19:d7:61,80:8d:b7:55:25:e3,38:17:c3:19:d7:60,80:8d:b7:55:25:f1,38:17:c3:19:36:31,80:8d:b7:55:35:03,80:8d:b7:55:29:d0,80:8d:b7:55:3a:50,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,38:17:c3:1e:ff:10,80:8d:b7:55:3a:52,80:8d:b7:55:3a:42,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:51,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:25:e0,38:17:c3:19:71:90,80:8d:b7:55:39:d0,68:ff:7b:e4:af:39,ea:9e:b4:53:24:54,38:17:c3:19:36:32,80:8d:b7:55:35:00,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,80:8d:b7:55:35:01,80:8d:b7:55:35:02,68:ff:7b:e4:af:38,80:8d:b7:55:39:d1,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:1e:ff:01,20:a6:cd:50:24:b0,80:8d:b7:55:39:d2,80:8d:b7:55:29:c0,80:8d:b7:55:29:d1,80:8d:b7:55:29:c1,80:8d:b7:55:29:d2,80:8d:b7:55:29:c2,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1f:22:30,00:4e:35:df:06:52,38:17:c3:1f:0e:10,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,20:a6:cd:50:24:a1,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:1f:22:32,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:de:e1:12,38:17:c3:1f:22:31,00:4e:35:de:e1:10,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:01,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:0e:02,38:17:c3:1f:22:20,x,y,label
-80,-79,-87,-84,-76,-77,-88,-75,-86,-83,-86,-83,-81,-78,-89,-90,-78,-92,-77,-72,-84,-74,-84,-60,-83,-59,-73,-81,-85,-74,-87,-85,-70,-70,-70,-70,-69,-69,-77,-80,-81,-81,-89,-90,-59,-69,-69,-82,-85,-86,-82,-85,-70,-85,-66,-91,-85,-92,-85,-93,-82,-85,-60,-60,-64,-72,-80,-85,-94,-80,-72,-79,-81,-82,-82,-86,-83,-82,-81,-81,-83,-89,-83,-83,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-79,-87,-84,-76,-77,-88,-71,-86,-81,-86,-81,-92,-76,-89,-90,-77,-92,-77,-76,-81,-76,-80,-64,-82,-64,-76,-78,-85,-76,-87,-86,-73,-74,-72,-73,-69,-68,-80,-84,-82,-82,-89,-90,-64,-68,-68,-80,-85,-83,-80,-84,-72,-85,-66,-91,-84,-92,-85,-92,-81,-85,-61,-60,-63,-72,-81,-84,-94,-82,-73,-79,-80,-81,-83,-83,-83,-83,-84,-83,-80,-89,-80,-81,-80,-81,-87,-85,-63,-83,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-79,-87,-84,-76,-77,-88,-73,-86,-81,-87,-83,-80,-77,-89,-89,-76,-89,-76,-76,-84,-76,-85,-65,-85,-65,-76,-79,-88,-76,-87,-87,-73,-73,-73,-74,-71,-70,-79,-82,-82,-81,-89,-91,-64,-69,-69,-81,-84,-84,-81,-85,-73,-84,-66,-91,-85,-92,-86,-92,-84,-85,-62,-60,-62,-73,-82,-84,-94,-82,-74,-80,-82,-82,-82,-82,-83,-83,-82,-82,-80,-89,-80,-81,-80,-81,-87,-83,-64,-83,-85,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-78,-78,-87,-84,-79,-79,-87,-73,-88,-81,-88,-80,-80,-77,-89,-91,-77,-91,-77,-75,-84,-77,-83,-64,-83,-64,-77,-81,-87,-76,-87,-87,-73,-73,-72,-73,-69,-68,-79,-81,-81,-83,-89,-88,-64,-70,-69,-81,-84,-84,-81,-83,-72,-84,-66,-93,-85,-92,-86,-92,-84,-85,-63,-60,-63,-70,-80,-85,-94,-80,-72,-80,-81,-82,-83,-83,-84,-84,-83,-83,-82,-89,-82,-82,-82,-84,-87,-86,-64,-83,-85,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-78,-78,-87,-84,-79,-80,-87,-73,-88,-80,-88,-81,-81,-77,-89,-91,-77,-90,-77,-77,-82,-77,-81,-63,-82,-63,-77,-80,-86,-77,-86,-85,-73,-73,-72,-73,-69,-69,-77,-82,-82,-82,-89,-90,-63,-70,-69,-82,-84,-84,-81,-83,-73,-84,-66,-94,-85,-92,-85,-92,-83,-84,-63,-62,-64,-71,-81,-85,-94,-81,-72,-79,-83,-81,-84,-84,-84,-82,-82,-82,-82,-89,-81,-82,-81,-83,-87,-85,-61,-86,-85,-87,-86,-84,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-79,-87,-84,-79,-79,-89,-73,-89,-80,-88,-81,-82,-77,-89,-89,-78,-90,-77,-77,-83,-76,-83,-63,-82,-63,-77,-78,-86,-76,-86,-87,-72,-72,-71,-73,-69,-69,-79,-81,-81,-81,-89,-89,-64,-69,-71,-81,-84,-83,-81,-83,-74,-84,-66,-93,-85,-93,-85,-92,-82,-84,-62,-62,-60,-73,-82,-85,-94,-81,-72,-78,-81,-81,-83,-83,-83,-84,-84,-85,-79,-90,-80,-83,-79,-82,-87,-85,-60,-85,-85,-85,-85,-84,-87,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-80,-77,-87,-84,-80,-82,-89,-76,-89,-80,-88,-81,-82,-77,-100,-89,-89,-90,-77,-75,-78,-75,-79,-60,-79,-60,-75,-88,-86,-76,-86,-87,-72,-73,-73,-75,-80,-80,-79,-87,-85,-85,-100,-89,-60,-79,-79,-85,-82,-81,-86,-81,-73,-80,-81,-93,-82,-93,-85,-92,-76,-84,-64,-64,-63,-72,-76,-85,-94,-75,-72,-81,-85,-86,-85,-86,-85,-84,-86,-85,-81,-89,-80,-85,-80,-85,-87,-85,-71,-85,-88,-85,-85,-85,-87,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-78,-79,-87,-84,-79,-82,-89,-76,-89,-80,-88,-81,-81,-87,-100,-89,-88,-90,-87,-75,-77,-75,-77,-57,-77,-59,-75,-88,-86,-75,-86,-87,-73,-73,-73,-74,-80,-78,-79,-83,-84,-85,-100,-89,-58,-81,-81,-86,-83,-84,-84,-84,-70,-84,-82,-93,-82,-93,-85,-92,-77,-84,-62,-64,-76,-71,-77,-85,-94,-77,-70,-81,-85,-85,-85,-86,-85,-85,-86,-85,-82,-89,-81,-85,-81,-84,-87,-85,-66,-85,-88,-85,-88,-85,-87,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-79,-76,-87,-84,-79,-84,-89,-75,-89,-81,-88,-82,-81,-86,-100,-89,-87,-90,-86,-75,-77,-76,-78,-56,-78,-59,-76,-88,-86,-75,-86,-87,-73,-72,-74,-73,-80,-80,-79,-82,-81,-82,-100,-89,-58,-80,-78,-86,-83,-84,-85,-82,-71,-84,-81,-91,-82,-93,-82,-92,-77,-84,-64,-64,-67,-70,-76,-85,-94,-79,-69,-81,-86,-85,-84,-85,-86,-86,-86,-86,-80,-90,-81,-85,-81,-85,-87,-85,-66,-85,-88,-85,-88,-85,-87,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-80,-77,-86,-87,-77,-84,-89,-77,-89,-81,-88,-83,-82,-86,-100,-89,-87,-90,-85,-74,-78,-74,-80,-56,-78,-55,-74,-84,-86,-74,-86,-87,-74,-74,-74,-74,-81,-81,-74,-83,-82,-83,-100,-89,-57,-81,-81,-86,-85,-83,-86,-82,-70,-82,-81,-91,-82,-93,-82,-92,-79,-84,-66,-67,-70,-69,-76,-85,-94,-76,-69,-78,-85,-86,-84,-84,-86,-86,-86,-86,-81,-89,-80,-84,-80,-83,-87,-85,-72,-85,-88,-85,-86,-85,-87,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
