20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:95:a1,44:48:c1:91:95:a2,20:a6:cd:42:0a:c2,44:48:c1:91:95:a3,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:19:45:a1,38:17:c3:19:45:a0,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,9c:d6:43:60:92:e0,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,38:17:c3:19:d7:70,38:17:c3:19:d7:71,44:48:c1:91:d0:10,38:17:c3:19:d7:72,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,44:48:c1:91:d0:04,38:17:c3:24:47:50,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:22:61:92,66:2a:2f:53:7c:99,38:17:c3:22:61:90,38:17:c3:1f:19:c0,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,a8:bd:27:4c:aa:80,38:17:c3:1f:09:93,38:17:c3:1f:00:a0,a8:bd:27:4c:aa:83,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:82,38:17:c3:22:5e:f1,a8:bd:27:4c:aa:81,20:a6:cd:42:13:f0,20:a6:cd:42:13:f1,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,38:17:c3:24:56:50,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,20:a6:cd:42:13:f2,b4:5d:50:e1:96:41,38:17:c3:1f:19:f0,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,38:17:c3:1f:09:90,38:17:c3:1f:09:91,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,44:48:c1:91:95:b0,38:17:c3:1f:09:83,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,a8:bd:27:4c:aa:93,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,44:48:c1:91:95:a0,38:17:c3:19:45:a2,44:48:c1:91:aa:30,38:17:c3:1f:14:00,b4:5d:50:e1:96:40,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:1f:09:82,38:17:c3:1f:09:80,38:17:c3:1f:14:01,38:17:c3:1f:14:02,38:17:c3:1f:09:81,80:8d:b7:55:25:f0,38:17:c3:22:5e:f2,44:48:c1:91:aa:31,44:48:c1:91:aa:32,38:17:c3:19:36:30,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:d7:61,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,80:8d:b7:55:25:f3,38:17:c3:19:d7:60,80:8d:b7:55:25:e3,38:17:c3:19:d7:62,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:35:03,b0:be:76:f8:30:5e,38:17:c3:1e:ff:10,80:8d:b7:55:35:10,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:35:13,80:8d:b7:55:25:e0,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,80:8d:b7:55:39:d0,68:ff:7b:e4:af:39,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,38:17:c3:19:36:21,38:17:c3:19:36:22,38:17:c3:19:71:90,38:17:c3:19:71:92,38:17:c3:19:71:91,80:8d:b7:55:29:d0,68:ff:7b:e4:af:38,38:17:c3:1e:ff:11,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ea:9e:b4:53:24:54,38:17:c3:1f:22:30,38:17:c3:1e:ff:12,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:1e:ff:01,80:8d:b7:55:29:c0,38:17:c3:1e:ff:00,80:8d:b7:55:29:c2,38:17:c3:1e:ff:02,38:17:c3:19:71:82,80:8d:b7:55:29:c1,80:8d:b7:55:39:c2,00:4e:35:df:06:52,20:a6:cd:50:24:a2,38:17:c3:1f:0e:10,38:17:c3:1f:22:32,20:a6:cd:50:24:b0,38:17:c3:1f:22:31,00:4e:35:df:06:50,00:4e:35:de:e1:12,20:a6:cd:50:24:a0,20:a6:cd:50:24:a1,00:4e:35:df:06:40,20:a6:cd:50:24:b1,00:4e:35:df:06:51,20:a6:cd:50:24:b2,00:4e:35:de:e1:11,00:4e:35:de:e1:10,00:4e:35:df:06:42,00:4e:35:df:06:41,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:4d:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,x,y,label
-78,-78,-86,-86,-77,-82,-77,-81,-79,-80,-86,-85,-79,-78,-77,-75,-82,-74,-83,-60,-83,-60,-72,-75,-74,-72,-73,-72,-87,-88,-73,-88,-70,-71,-74,-79,-79,-78,-87,-92,-89,-90,-61,-72,-72,-82,-85,-82,-75,-80,-91,-83,-89,-84,-84,-82,-62,-66,-63,-91,-64,-72,-82,-81,-92,-72,-80,-78,-85,-82,-85,-86,-82,-82,-83,-82,-83,-82,-91,-81,-86,-81,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-78,-85,-85,-78,-82,-76,-78,-81,-77,-87,-87,-78,-78,-79,-73,-80,-73,-81,-62,-81,-59,-75,-73,-73,-72,-72,-72,-88,-88,-73,-88,-74,-73,-74,-76,-76,-75,-87,-93,-89,-90,-61,-75,-73,-80,-85,-80,-73,-81,-91,-85,-89,-84,-83,-83,-62,-61,-63,-89,-64,-73,-83,-80,-90,-74,-79,-73,-80,-79,-85,-87,-83,-80,-83,-83,-83,-85,-91,-83,-87,-85,-87,-85,-87,-89,-83,-80,-88,-90,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-80,-80,-85,-86,-79,-83,-76,-79,-79,-79,-87,-86,-78,-78,-77,-75,-83,-76,-81,-60,-83,-59,-72,-75,-75,-72,-72,-72,-89,-89,-74,-88,-72,-79,-74,-76,-76,-76,-87,-93,-88,-90,-58,-73,-73,-81,-83,-80,-72,-80,-91,-82,-89,-82,-83,-82,-63,-68,-63,-92,-64,-72,-83,-81,-89,-72,-80,-73,-81,-80,-86,-85,-83,-80,-82,-81,-82,-85,-90,-85,-87,-85,-86,-85,-87,-89,-83,-81,-89,-89,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-76,-80,-85,-84,-78,-83,-73,-80,-79,-80,-87,-86,-77,-77,-77,-76,-84,-76,-83,-61,-84,-59,-73,-77,-76,-72,-73,-74,-88,-87,-73,-88,-72,-72,-74,-76,-76,-76,-87,-94,-88,-90,-59,-73,-72,-82,-83,-82,-72,-83,-91,-82,-89,-83,-83,-82,-63,-60,-63,-92,-72,-74,-83,-81,-89,-73,-79,-76,-81,-82,-86,-86,-82,-81,-82,-83,-82,-84,-90,-85,-86,-84,-86,-87,-87,-88,-83,-81,-88,-90,-83,-84,-83,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-76,-76,-85,-84,-78,-83,-76,-80,-79,-80,-87,-86,-79,-79,-78,-75,-82,-74,-81,-61,-82,-54,-72,-74,-75,-73,-75,-73,-88,-87,-74,-88,-73,-72,-74,-77,-77,-77,-87,-92,-91,-90,-62,-73,-73,-80,-85,-80,-74,-82,-92,-83,-89,-84,-85,-83,-62,-70,-63,-92,-71,-72,-82,-82,-89,-73,-79,-75,-80,-81,-86,-85,-82,-81,-82,-83,-82,-86,-90,-86,-86,-86,-84,-87,-87,-88,-83,-81,-88,-90,-83,-84,-83,-83,-83,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-78,-75,-85,-84,-78,-83,-77,-78,-78,-81,-87,-86,-80,-80,-80,-73,-79,-74,-80,-59,-79,-60,-73,-74,-74,-76,-74,-76,-89,-87,-75,-88,-73,-72,-74,-78,-77,-77,-87,-93,-91,-90,-59,-72,-73,-79,-85,-79,-71,-80,-92,-84,-89,-84,-85,-83,-62,-61,-62,-92,-71,-67,-82,-80,-89,-73,-79,-73,-80,-80,-86,-86,-81,-81,-82,-82,-82,-83,-93,-86,-84,-86,-85,-87,-87,-88,-82,-80,-88,-90,-84,-83,-83,-83,-83,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-76,-76,-85,-84,-76,-92,-73,-80,-81,-78,-87,-86,-85,-86,-84,-72,-77,-73,-76,-62,-78,-62,-81,-72,-73,-73,-73,-73,-86,-87,-73,-86,-79,-78,-100,-81,-82,-82,-87,-95,-90,-100,-59,-79,-78,-86,-85,-86,-73,-84,-92,-84,-100,-84,-84,-82,-59,-62,-59,-88,-66,-72,-83,-85,-90,-73,-85,-78,-87,-87,-82,-81,-87,-80,-86,-85,-85,-83,-91,-83,-81,-83,-81,-87,-87,-89,-81,-84,-88,-89,-85,-84,-77,-80,-84,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-77,-76,-85,-84,-76,-91,-77,-79,-80,-79,-90,-86,-86,-86,-86,-73,-77,-72,-77,-61,-77,-59,-79,-73,-73,-72,-71,-72,-86,-87,-73,-86,-79,-79,-81,-84,-81,-82,-87,-95,-90,-100,-60,-80,-80,-87,-85,-86,-73,-85,-92,-84,-100,-85,-84,-82,-59,-62,-59,-88,-66,-66,-83,-82,-90,-73,-85,-80,-85,-86,-81,-82,-85,-80,-84,-85,-85,-84,-91,-84,-81,-82,-81,-87,-87,-89,-77,-85,-88,-89,-93,-84,-77,-79,-84,-93,-91,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-77,-77,-85,-84,-76,-91,-73,-91,-78,-79,-90,-86,-85,-84,-86,-73,-77,-73,-77,-61,-76,-62,-77,-73,-73,-72,-72,-73,-87,-87,-73,-86,-78,-78,-78,-82,-82,-83,-87,-95,-90,-100,-61,-79,-79,-85,-85,-85,-72,-85,-92,-84,-100,-85,-91,-82,-59,-61,-59,-88,-62,-72,-83,-83,-90,-73,-84,-80,-84,-84,-81,-83,-85,-80,-85,-85,-85,-81,-89,-83,-82,-82,-81,-87,-87,-88,-79,-84,-88,-89,-93,-89,-77,-79,-89,-93,-91,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-76,-76,-85,-84,-77,-91,-74,-80,-79,-79,-90,-86,-85,-85,-86,-72,-76,-73,-76,-60,-76,-59,-79,-72,-73,-73,-72,-73,-88,-87,-74,-86,-77,-80,-78,-84,-82,-82,-87,-95,-90,-100,-60,-79,-79,-84,-84,-85,-72,-85,-92,-84,-100,-85,-91,-82,-59,-64,-60,-88,-62,-72,-83,-83,-90,-72,-84,-80,-85,-85,-82,-83,-85,-80,-85,-85,-85,-83,-89,-82,-82,-82,-82,-87,-87,-88,-79,-84,-88,-89,-93,-89,-80,-80,-89,-93,-91,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
