20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:95:a1,44:48:c1:91:95:a2,20:a6:cd:42:0a:c2,44:48:c1:91:95:a3,20:a6:cd:42:0a:c3,44:48:c1:91:aa:21,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,38:17:c3:1f:19:d2,80:8d:b7:55:25:f3,38:17:c3:1f:19:d0,80:8d:b7:55:25:f0,38:17:c3:1f:19:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d1,38:17:c3:1f:14:11,20:a6:cd:42:0a:d2,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,9c:d6:43:60:92:e0,20:a6:cd:42:0a:d0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,38:17:c3:24:47:50,44:48:c1:91:d0:04,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:22:61:90,38:17:c3:1f:19:c2,38:17:c3:1f:19:c0,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,a8:bd:27:4c:aa:80,38:17:c3:1f:09:93,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,38:17:c3:19:36:30,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:1a:cf:d0,20:a6:cd:42:13:f0,38:17:c3:1a:cf:d2,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,38:17:c3:24:56:50,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,38:17:c3:1f:19:f0,20:a6:cd:42:13:f2,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,38:17:c3:1f:09:90,b4:5d:50:e1:96:43,38:17:c3:1f:09:91,38:17:c3:1f:09:81,a8:bd:27:4c:aa:91,38:17:c3:1f:09:82,a8:bd:27:4c:aa:90,44:48:c1:91:95:b0,38:17:c3:1f:09:83,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,a8:bd:27:4c:aa:92,38:17:c3:19:45:b1,38:17:c3:1f:09:80,38:17:c3:19:d7:70,66:2a:2f:53:7c:99,44:48:c1:91:aa:20,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:95:a0,44:48:c1:91:aa:22,38:17:c3:1f:1c:10,38:17:c3:1f:19:c1,38:17:c3:22:5e:f0,38:17:c3:22:61:92,38:17:c3:22:61:91,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e3,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:62,38:17:c3:19:d7:60,80:8d:b7:55:25:e3,38:17:c3:19:d7:61,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:03,80:8d:b7:55:3a:50,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:11,38:17:c3:1e:ff:10,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,80:8d:b7:55:39:d0,80:8d:b7:55:35:12,80:8d:b7:55:35:02,68:ff:7b:e4:af:39,80:8d:b7:55:35:01,80:8d:b7:55:3a:41,38:17:c3:19:71:90,b0:be:76:f8:30:5e,38:17:c3:1e:ff:12,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1e:ff:11,ea:9e:b4:53:24:54,80:8d:b7:55:39:d1,80:8d:b7:55:35:00,68:ff:7b:e4:af:38,80:8d:b7:55:3a:40,80:8d:b7:55:39:d2,80:8d:b7:55:3a:42,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:19:71:80,80:8d:b7:55:29:d0,80:8d:b7:55:29:d1,38:17:c3:1f:22:30,80:8d:b7:55:29:d2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c2,00:4e:35:df:06:40,20:a6:cd:50:24:b0,38:17:c3:1e:ff:01,38:17:c3:1f:22:31,80:8d:b7:55:29:c2,80:8d:b7:55:29:c0,80:8d:b7:55:29:c1,80:8d:b7:55:39:c1,00:4e:35:df:06:52,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,00:4e:35:de:e1:12,00:4e:35:df:06:50,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:1f:22:32,00:4e:35:df:06:51,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,80:8d:b7:55:4d:10,x,y,label
-78,-90,-90,-88,-80,-86,-64,-87,-82,-80,-81,-85,-85,-84,-83,-90,-83,-91,-83,-78,-78,-77,-78,-52,-77,-60,-77,-78,-88,-77,-70,-70,-70,-72,-74,-75,-80,-83,-80,-80,-92,-88,-88,-61,-76,-75,-79,-83,-79,-80,-80,-69,-80,-94,-65,-85,-85,-92,-88,-90,-79,-86,-60,-58,-63,-92,-61,-75,-79,-92,-86,-70,-78,-81,-80,-80,-83,-86,-83,-87,-82,-79,-82,-84,-82,-82,-89,-87,-82,-86,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-79,-87,-87,-81,-86,-62,-89,-81,-82,-82,-81,-81,-82,-81,-90,-82,-91,-82,-77,-72,-76,-73,-64,-77,-64,-78,-73,-88,-72,-70,-70,-70,-71,-76,-75,-80,-83,-80,-80,-92,-88,-88,-64,-75,-75,-80,-83,-80,-79,-80,-74,-80,-94,-65,-84,-83,-92,-89,-90,-79,-86,-63,-60,-65,-92,-63,-74,-79,-92,-87,-75,-78,-81,-84,-80,-82,-85,-82,-85,-81,-82,-81,-80,-81,-81,-89,-85,-82,-83,-81,-81,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-78,-77,-87,-87,-80,-86,-62,-87,-82,-81,-82,-81,-81,-82,-81,-90,-82,-91,-82,-77,-74,-77,-74,-64,-77,-65,-78,-76,-87,-74,-70,-71,-71,-72,-75,-75,-82,-83,-80,-80,-92,-88,-88,-65,-75,-74,-80,-83,-80,-80,-81,-76,-81,-94,-65,-84,-83,-92,-87,-90,-80,-86,-63,-62,-62,-92,-62,-73,-79,-92,-85,-73,-79,-80,-82,-80,-81,-85,-83,-88,-82,-79,-81,-81,-82,-81,-89,-87,-80,-87,-81,-82,-88,-92,-88,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-77,-86,-87,-79,-84,-65,-87,-82,-81,-81,-81,-81,-82,-82,-90,-83,-91,-83,-78,-73,-77,-73,-64,-77,-57,-79,-73,-89,-73,-70,-71,-72,-70,-75,-75,-79,-83,-81,-80,-92,-88,-88,-64,-75,-75,-80,-84,-80,-82,-83,-73,-79,-94,-65,-85,-83,-92,-87,-90,-79,-86,-64,-64,-62,-92,-61,-73,-81,-92,-86,-73,-79,-79,-82,-81,-82,-86,-82,-86,-82,-79,-81,-81,-80,-80,-89,-85,-81,-86,-81,-82,-90,-92,-88,-87,-88,-89,-86,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-77,-86,-87,-79,-84,-65,-87,-80,-82,-82,-81,-81,-95,-85,-90,-87,-91,-84,-78,-77,-78,-77,-64,-79,-63,-79,-77,-89,-78,-73,-73,-72,-71,-75,-74,-85,-80,-83,-83,-92,-86,-88,-62,-75,-75,-80,-84,-82,-80,-83,-73,-82,-94,-70,-85,-83,-92,-86,-90,-80,-85,-61,-61,-61,-92,-59,-77,-81,-92,-85,-74,-77,-80,-77,-81,-83,-84,-83,-84,-80,-79,-80,-80,-81,-85,-89,-84,-85,-84,-84,-84,-90,-92,-88,-87,-88,-89,-86,-93,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-77,-80,-86,-87,-77,-84,-65,-87,-82,-82,-83,-81,-84,-95,-83,-90,-83,-91,-83,-77,-74,-77,-75,-56,-77,-63,-85,-75,-89,-76,-70,-70,-70,-70,-76,-77,-79,-80,-79,-80,-92,-86,-88,-63,-77,-76,-81,-84,-79,-79,-79,-69,-78,-94,-70,-83,-83,-92,-90,-90,-81,-88,-61,-64,-61,-92,-59,-73,-78,-92,-87,-71,-79,-79,-78,-80,-83,-86,-83,-86,-80,-79,-81,-81,-81,-82,-89,-85,-83,-86,-83,-84,-90,-92,-88,-87,-88,-89,-86,-93,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-77,-78,-86,-87,-76,-84,-65,-87,-82,-85,-87,-84,-83,-95,-83,-90,-83,-100,-84,-80,-73,-78,-73,-64,-79,-63,-83,-72,-89,-72,-72,-71,-72,-71,-79,-79,-80,-80,-81,-81,-88,-86,-100,-64,-78,-78,-83,-86,-83,-78,-79,-72,-76,-94,-70,-83,-83,-92,-87,-90,-84,-87,-63,-71,-62,-92,-62,-71,-82,-100,-87,-73,-82,-84,-78,-84,-87,-86,-87,-85,-85,-79,-86,-85,-85,-82,-89,-84,-83,-84,-82,-84,-90,-92,-88,-87,-88,-91,-86,-93,-87,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-76,-73,-86,-87,-76,-84,-65,-87,-82,-82,-87,-84,-83,-95,-86,-90,-86,-100,-86,-79,-71,-78,-72,-58,-78,-58,-83,-71,-88,-70,-69,-69,-69,-69,-75,-76,-82,-81,-82,-81,-88,-86,-100,-60,-74,-75,-84,-86,-84,-77,-78,-74,-77,-94,-70,-85,-86,-90,-85,-90,-84,-86,-63,-66,-62,-92,-62,-72,-82,-100,-86,-76,-83,-84,-78,-84,-89,-85,-87,-86,-85,-79,-85,-85,-85,-81,-89,-84,-80,-84,-81,-84,-90,-92,-88,-87,-88,-91,-86,-93,-87,-93,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-76,-77,-86,-87,-74,-87,-65,-87,-83,-83,-83,-84,-83,-95,-85,-90,-84,-100,-86,-79,-70,-77,-70,-60,-78,-60,-82,-72,-88,-70,-69,-71,-72,-71,-75,-76,-83,-76,-81,-80,-88,-86,-100,-60,-74,-75,-83,-86,-83,-78,-78,-76,-79,-94,-70,-85,-86,-90,-87,-90,-84,-86,-63,-63,-62,-92,-62,-72,-82,-100,-86,-75,-83,-83,-78,-83,-88,-85,-86,-84,-84,-79,-84,-85,-84,-82,-89,-85,-80,-86,-90,-86,-90,-92,-88,-87,-88,-91,-86,-93,-87,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-77,-76,-87,-87,-78,-87,-65,-87,-85,-83,-84,-84,-83,-95,-84,-90,-85,-100,-84,-76,-73,-76,-72,-59,-77,-59,-82,-72,-88,-73,-70,-70,-69,-71,-77,-76,-82,-79,-82,-79,-88,-86,-100,-57,-77,-77,-83,-86,-81,-77,-74,-74,-78,-94,-70,-85,-86,-90,-87,-90,-78,-88,-62,-65,-62,-92,-62,-72,-82,-100,-86,-75,-79,-81,-78,-82,-88,-84,-86,-84,-83,-79,-83,-82,-82,-80,-89,-85,-80,-83,-80,-86,-90,-92,-88,-87,-88,-91,-86,-93,-87,-92,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-76,-76,-87,-89,-78,-87,-65,-87,-88,-85,-85,-87,-87,-95,-84,-90,-83,-100,-84,-77,-72,-77,-74,-58,-77,-57,-82,-72,-88,-72,-71,-72,-70,-71,-76,-76,-82,-80,-82,-81,-88,-86,-100,-57,-77,-74,-85,-86,-85,-78,-77,-74,-78,-94,-70,-85,-86,-90,-87,-90,-80,-87,-62,-67,-63,-92,-62,-72,-79,-100,-88,-75,-80,-83,-78,-84,-86,-86,-86,-84,-81,-86,-81,-82,-81,-80,-89,-87,-80,-86,-79,-86,-90,-93,-88,-87,-88,-91,-86,-93,-87,-91,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-74,-76,-87,-89,-77,-85,-71,-87,-82,-82,-81,-87,-87,-95,-85,-90,-86,-100,-86,-78,-73,-77,-73,-58,-78,-57,-82,-73,-88,-72,-71,-71,-70,-71,-76,-76,-82,-80,-81,-81,-88,-86,-100,-59,-76,-77,-84,-86,-84,-75,-78,-77,-78,-94,-71,-85,-86,-92,-89,-90,-79,-88,-63,-61,-63,-92,-64,-76,-79,-100,-89,-74,-78,-86,-81,-84,-86,-86,-88,-86,-84,-87,-84,-82,-83,-81,-89,-88,-80,-87,-81,-86,-90,-93,-88,-87,-88,-91,-89,-93,-87,-93,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
