20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a2,20:a6:cd:42:0a:c2,44:48:c1:91:95:a3,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,38:17:c3:19:d7:70,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,38:17:c3:24:47:50,44:48:c1:91:d0:04,38:17:c3:24:47:52,38:17:c3:22:61:91,38:17:c3:24:47:51,38:17:c3:22:61:92,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,38:17:c3:22:61:90,38:17:c3:1f:19:c0,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,a8:bd:27:4c:aa:80,38:17:c3:1f:09:93,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,38:17:c3:19:36:30,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,20:a6:cd:42:13:f0,20:a6:cd:42:13:f1,b4:5d:50:e1:96:40,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,20:a6:cd:42:13:f2,38:17:c3:1f:1c:10,38:17:c3:1f:19:f0,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,38:17:c3:1f:09:90,b4:5d:50:e1:96:43,38:17:c3:1f:1c:12,38:17:c3:1f:09:91,38:17:c3:1f:1c:11,a8:bd:27:4c:aa:91,38:17:c3:1f:09:81,a8:bd:27:4c:aa:90,38:17:c3:1f:09:82,38:17:c3:1f:09:83,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,a8:bd:27:4c:aa:93,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,38:17:c3:1f:09:80,38:17:c3:1f:19:f2,38:17:c3:22:5e:f0,38:17:c3:1f:19:f1,66:2a:2f:53:7c:99,20:a6:cd:42:0b:e3,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:d7:62,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,08:36:c9:53:bf:8b,80:8d:b7:55:25:e3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:25:f1,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:f2,80:8d:b7:55:35:03,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:12,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,38:17:c3:1e:ff:10,80:8d:b7:55:39:d0,38:17:c3:1e:ff:11,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,68:ff:7b:e4:af:39,38:17:c3:1e:ff:12,38:17:c3:19:71:90,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,38:17:c3:19:71:92,38:17:c3:19:71:91,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:22:30,20:a6:cd:50:24:b0,80:8d:b7:55:29:d0,80:8d:b7:55:39:c2,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:29:c0,80:8d:b7:55:29:c1,68:ff:7b:e4:af:38,00:4e:35:df:06:52,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,38:17:c3:1f:0e:10,38:17:c3:1f:22:31,00:4e:35:de:e1:12,80:8d:b7:55:29:c2,00:4e:35:df:06:51,00:4e:35:df:06:50,00:4e:35:df:06:41,38:17:c3:1f:22:32,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,x,y,label
-76,-79,-88,-87,-88,-79,-83,-79,-80,-81,-81,-87,-86,-87,-75,-76,-77,-72,-78,-72,-78,-59,-79,-63,-72,-74,-88,-72,-87,-87,-71,-71,-71,-88,-72,-75,-74,-80,-73,-82,-88,-79,-87,-87,-86,-87,-87,-60,-74,-74,-85,-81,-86,-81,-81,-70,-82,-91,-79,-83,-81,-84,-83,-76,-66,-63,-67,-65,-70,-75,-83,-91,-91,-71,-74,-85,-75,-90,-84,-89,-83,-84,-83,-83,-78,-86,-83,-83,-83,-81,-91,-81,-85,-80,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-78,-79,-88,-87,-88,-76,-84,-79,-80,-79,-80,-87,-86,-87,-76,-76,-77,-72,-79,-72,-80,-64,-80,-63,-72,-74,-89,-72,-88,-87,-71,-71,-71,-88,-72,-73,-75,-82,-73,-80,-88,-81,-87,-85,-87,-87,-86,-63,-74,-73,-85,-81,-86,-83,-81,-71,-82,-91,-80,-81,-81,-85,-84,-76,-65,-67,-67,-65,-67,-76,-84,-90,-91,-67,-76,-85,-75,-89,-84,-91,-85,-84,-84,-84,-80,-84,-84,-85,-84,-80,-89,-79,-83,-80,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-78,-88,-87,-88,-79,-84,-81,-80,-79,-80,-90,-86,-87,-77,-77,-76,-72,-80,-72,-79,-64,-79,-65,-72,-74,-88,-72,-88,-87,-72,-73,-72,-88,-72,-74,-73,-80,-80,-82,-88,-80,-87,-85,-87,-87,-86,-65,-74,-73,-85,-81,-86,-82,-82,-70,-83,-91,-79,-82,-81,-84,-83,-76,-67,-64,-67,-65,-70,-73,-84,-90,-91,-70,-73,-86,-75,-91,-85,-91,-83,-83,-83,-84,-78,-84,-84,-82,-82,-79,-89,-79,-85,-79,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-78,-75,-88,-90,-88,-77,-86,-75,-81,-83,-84,-90,-86,-87,-78,-78,-77,-72,-80,-72,-80,-60,-81,-61,-72,-75,-87,-72,-86,-87,-70,-70,-70,-88,-70,-74,-75,-80,-78,-80,-88,-80,-87,-86,-88,-88,-87,-60,-74,-75,-83,-81,-84,-82,-80,-71,-83,-91,-79,-82,-81,-84,-84,-73,-63,-63,-65,-65,-71,-75,-84,-90,-91,-70,-75,-84,-77,-91,-84,-91,-84,-83,-84,-84,-81,-84,-83,-84,-84,-82,-89,-80,-84,-81,-83,-84,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-75,-79,-89,-88,-90,-79,-86,-80,-81,-80,-80,-90,-86,-87,-76,-77,-76,-73,-81,-73,-80,-62,-80,-61,-72,-73,-90,-72,-90,-87,-72,-73,-72,-88,-73,-76,-76,-78,-78,-78,-86,-78,-86,-87,-88,-87,-87,-62,-76,-76,-85,-82,-85,-81,-81,-71,-81,-91,-79,-82,-82,-86,-85,-76,-65,-65,-67,-64,-67,-74,-84,-90,-91,-71,-76,-84,-74,-91,-86,-89,-84,-84,-84,-85,-81,-85,-86,-84,-83,-81,-89,-79,-84,-80,-85,-84,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-75,-79,-88,-88,-90,-74,-86,-75,-83,-80,-82,-90,-86,-87,-77,-76,-76,-72,-92,-71,-80,-83,-80,-51,-72,-78,-89,-71,-86,-87,-70,-70,-71,-88,-70,-72,-71,-81,-78,-79,-86,-79,-86,-87,-88,-85,-87,-59,-72,-72,-85,-82,-85,-81,-82,-72,-81,-91,-79,-82,-82,-85,-85,-76,-67,-68,-67,-62,-67,-74,-86,-91,-91,-72,-76,-84,-76,-88,-85,-89,-85,-84,-84,-85,-80,-84,-84,-84,-85,-80,-89,-81,-85,-81,-86,-84,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-75,-79,-88,-88,-90,-74,-86,-74,-77,-80,-78,-87,-89,-94,-89,-89,-76,-72,-83,-73,-83,-61,-82,-53,-73,-78,-89,-73,-86,-87,-72,-73,-72,-88,-74,-76,-76,-82,-74,-83,-86,-83,-86,-87,-88,-85,-87,-62,-76,-76,-85,-83,-86,-79,-77,-73,-79,-91,-79,-81,-81,-87,-85,-76,-62,-66,-62,-62,-74,-74,-86,-91,-91,-74,-76,-85,-76,-88,-86,-89,-85,-88,-89,-88,-82,-84,-88,-88,-88,-84,-92,-86,-88,-86,-87,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-75,-79,-88,-88,-90,-78,-87,-74,-79,-79,-80,-87,-89,-86,-89,-89,-76,-72,-84,-72,-83,-64,-83,-64,-73,-78,-89,-72,-86,-87,-74,-75,-72,-88,-73,-74,-76,-83,-77,-83,-86,-83,-86,-87,-88,-91,-87,-63,-76,-76,-86,-83,-87,-77,-77,-73,-78,-92,-79,-82,-81,-86,-86,-83,-61,-61,-62,-62,-74,-83,-87,-91,-91,-74,-82,-88,-76,-88,-86,-89,-88,-85,-90,-86,-82,-90,-88,-88,-87,-87,-91,-86,-87,-86,-86,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-79,-79,-88,-88,-90,-80,-87,-73,-78,-79,-79,-90,-88,-86,-89,-90,-87,-72,-83,-72,-83,-63,-83,-63,-72,-78,-91,-72,-86,-87,-72,-73,-73,-88,-73,-76,-75,-84,-77,-83,-86,-83,-86,-87,-88,-88,-87,-64,-75,-76,-85,-83,-86,-77,-77,-73,-78,-92,-79,-83,-82,-87,-87,-83,-60,-64,-61,-62,-73,-83,-86,-91,-91,-72,-81,-86,-81,-88,-86,-89,-88,-85,-90,-87,-81,-90,-88,-87,-88,-86,-90,-86,-87,-85,-86,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-79,-78,-88,-88,-90,-79,-86,-74,-79,-78,-80,-90,-88,-86,-89,-90,-87,-73,-81,-72,-82,-64,-83,-65,-73,-78,-91,-73,-86,-87,-73,-73,-73,-88,-74,-76,-78,-83,-78,-83,-86,-83,-86,-87,-88,-88,-87,-64,-77,-76,-86,-83,-86,-77,-77,-72,-78,-93,-86,-81,-83,-87,-87,-82,-62,-66,-61,-62,-72,-82,-86,-91,-91,-73,-81,-87,-80,-88,-86,-89,-86,-85,-86,-87,-81,-90,-88,-87,-88,-86,-90,-85,-86,-86,-86,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
