44:48:c1:91:95:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a2,44:48:c1:91:95:a3,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,38:17:c3:22:61:91,38:17:c3:22:61:92,38:17:c3:22:61:90,38:17:c3:1f:09:92,38:17:c3:1f:09:93,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:81,38:17:c3:1f:09:82,44:48:c1:91:95:b0,38:17:c3:1f:09:83,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:09:80,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,44:48:c1:91:aa:20,20:a6:cd:42:0a:c3,44:48:c1:91:aa:21,44:48:c1:91:d0:00,44:48:c1:91:aa:22,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,38:17:c3:24:47:50,44:48:c1:91:d0:04,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,38:17:c3:1f:19:c0,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:82,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,38:17:c3:24:56:50,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,38:17:c3:1f:1c:10,20:a6:cd:42:13:f2,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,38:17:c3:1f:1c:12,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,44:48:c1:91:aa:31,44:48:c1:91:aa:32,66:2a:2f:53:7c:99,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:81,ac:e2:d3:c4:08:e6,38:17:c3:1f:19:f0,38:17:c3:19:d7:70,38:17:c3:1a:cf:d0,38:17:c3:19:36:30,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:19:36:32,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:e0,80:8d:b7:55:25:e3,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:35:03,38:17:c3:19:36:31,80:8d:b7:55:25:f2,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,68:ff:7b:e4:af:39,80:8d:b7:55:35:11,38:17:c3:1e:ff:10,80:8d:b7:55:35:12,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,80:8d:b7:55:25:e0,38:17:c3:19:71:90,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,68:ff:7b:e4:af:38,38:17:c3:19:71:92,20:a6:cd:50:24:b0,38:17:c3:19:71:91,80:8d:b7:55:29:d0,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:df:06:52,80:8d:b7:55:29:d1,ea:9e:b4:53:24:54,80:8d:b7:55:29:d2,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:1e:ff:00,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:29:c0,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,00:4e:35:de:e1:12,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:42,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:22:21,80:8d:b7:55:4d:10,80:8d:b7:55:4d:12,80:8d:b7:55:4d:11,x,y,label
-85,-85,-87,-82,-87,-87,-87,-93,-91,-88,-88,-86,-84,-85,-61,-61,-85,-84,-86,-86,-81,-88,-82,-82,-81,-82,-81,-81,-86,-80,-77,-77,-89,-74,-88,-94,-88,-83,-83,-81,-80,-80,-70,-78,-70,-79,-62,-78,-62,-69,-77,-92,-70,-74,-75,-73,-74,-76,-75,-81,-76,-80,-79,-87,-87,-88,-64,-74,-75,-81,-82,-74,-81,-92,-80,-82,-86,-79,-87,-89,-61,-61,-74,-81,-93,-87,-74,-79,-76,-92,-80,-82,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-85,-85,-87,-84,-87,-87,-87,-93,-91,-88,-88,-86,-81,-83,-60,-59,-81,-80,-84,-84,-81,-88,-81,-81,-81,-82,-82,-82,-83,-79,-79,-77,-89,-77,-88,-81,-88,-81,-83,-82,-82,-81,-70,-81,-70,-80,-62,-81,-61,-70,-78,-88,-70,-71,-72,-72,-71,-73,-75,-82,-76,-80,-79,-88,-88,-89,-61,-74,-74,-78,-81,-72,-81,-92,-78,-80,-85,-78,-86,-89,-61,-63,-73,-77,-93,-86,-73,-77,-69,-92,-81,-81,-81,-82,-86,-87,-91,-82,-81,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-89,-87,-86,-81,-88,-89,-87,-93,-91,-88,-88,-86,-81,-81,-63,-62,-81,-82,-84,-84,-79,-88,-81,-81,-81,-84,-84,-83,-83,-79,-81,-81,-89,-76,-88,-82,-88,-80,-80,-83,-83,-83,-70,-78,-70,-80,-63,-79,-61,-69,-74,-88,-70,-72,-71,-73,-72,-75,-76,-78,-76,-79,-78,-88,-88,-89,-62,-74,-74,-77,-80,-74,-80,-92,-81,-80,-87,-78,-86,-92,-62,-59,-71,-80,-93,-86,-73,-77,-71,-92,-81,-82,-82,-81,-86,-87,-94,-82,-81,-91,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-85,-87,-86,-81,-88,-89,-87,-93,-91,-88,-88,-89,-83,-83,-62,-61,-83,-82,-83,-81,-82,-80,-81,-81,-81,-82,-82,-82,-84,-79,-79,-79,-89,-77,-88,-81,-88,-80,-80,-82,-82,-82,-70,-81,-70,-80,-60,-81,-60,-70,-76,-87,-70,-73,-72,-73,-72,-74,-74,-79,-79,-79,-78,-88,-88,-89,-60,-75,-73,-80,-78,-73,-78,-92,-81,-80,-88,-78,-87,-92,-62,-68,-73,-79,-91,-88,-73,-76,-72,-92,-81,-82,-81,-81,-87,-88,-92,-81,-81,-91,-93,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-85,-85,-85,-81,-88,-89,-87,-93,-91,-88,-88,-89,-83,-82,-59,-64,-83,-82,-85,-84,-81,-80,-81,-80,-80,-84,-84,-84,-85,-79,-81,-81,-89,-75,-88,-81,-88,-80,-79,-81,-82,-81,-70,-81,-71,-81,-64,-80,-54,-70,-77,-87,-69,-72,-71,-72,-72,-75,-72,-82,-76,-79,-79,-89,-90,-88,-60,-73,-73,-80,-78,-73,-78,-92,-81,-81,-88,-78,-87,-92,-60,-63,-74,-79,-91,-85,-74,-78,-71,-92,-81,-81,-80,-81,-87,-88,-92,-81,-80,-91,-93,-89,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-87,-87,-87,-82,-88,-89,-87,-93,-91,-88,-88,-90,-83,-85,-60,-60,-85,-84,-89,-84,-80,-80,-80,-80,-79,-82,-83,-85,-85,-81,-84,-81,-89,-77,-88,-80,-88,-80,-80,-85,-84,-84,-71,-81,-71,-81,-60,-81,-60,-71,-75,-87,-71,-70,-70,-71,-71,-75,-73,-80,-78,-79,-80,-89,-90,-88,-62,-74,-75,-80,-78,-82,-78,-92,-79,-81,-85,-78,-86,-92,-62,-63,-73,-79,-93,-85,-70,-78,-71,-92,-82,-80,-82,-81,-87,-88,-93,-82,-81,-91,-93,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-86,-87,-87,-82,-88,-84,-85,-93,-91,-100,-100,-90,-88,-90,-63,-62,-88,-87,-83,-82,-87,-86,-86,-86,-86,-80,-80,-81,-85,-77,-84,-80,-100,-80,-100,-81,-100,-82,-82,-88,-90,-89,-70,-77,-71,-77,-60,-78,-59,-70,-78,-87,-71,-66,-67,-68,-69,-79,-79,-84,-78,-84,-84,-89,-90,-88,-59,-79,-80,-77,-76,-70,-78,-100,-77,-89,-87,-77,-86,-92,-61,-62,-71,-79,-94,-87,-71,-81,-77,-100,-85,-85,-85,-85,-87,-88,-93,-81,-84,-91,-92,-89,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-86,-87,-87,-82,-88,-84,-85,-93,-91,-100,-100,-90,-90,-90,-63,-63,-88,-91,-86,-82,-84,-84,-83,-83,-83,-80,-80,-81,-85,-79,-84,-76,-100,-79,-100,-80,-100,-81,-80,-87,-86,-87,-71,-78,-70,-78,-59,-78,-58,-70,-78,-87,-70,-67,-67,-67,-68,-81,-79,-83,-78,-82,-84,-89,-90,-88,-60,-80,-80,-77,-76,-70,-78,-100,-77,-89,-87,-82,-88,-92,-64,-68,-71,-83,-94,-87,-71,-82,-77,-100,-84,-85,-84,-85,-87,-88,-93,-81,-88,-91,-92,-89,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-86,-87,-85,-83,-88,-84,-85,-93,-91,-100,-100,-90,-86,-86,-64,-68,-86,-87,-86,-82,-85,-84,-86,-85,-85,-81,-82,-81,-86,-79,-84,-76,-100,-79,-100,-80,-100,-81,-80,-87,-88,-87,-71,-78,-71,-77,-59,-77,-58,-71,-78,-87,-73,-67,-67,-67,-67,-81,-80,-83,-81,-84,-83,-89,-90,-88,-58,-81,-81,-77,-75,-72,-78,-100,-82,-89,-87,-83,-88,-92,-64,-61,-71,-83,-94,-88,-72,-84,-78,-100,-85,-85,-86,-85,-87,-88,-92,-81,-88,-91,-92,-89,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-85,-87,-86,-87,-88,-84,-86,-93,-91,-100,-100,-90,-87,-88,-62,-53,-87,-87,-86,-82,-84,-85,-84,-83,-84,-81,-81,-79,-86,-80,-79,-79,-100,-79,-100,-79,-100,-80,-80,-88,-89,-87,-71,-78,-71,-78,-58,-77,-57,-72,-78,-87,-69,-67,-67,-66,-68,-81,-80,-84,-79,-82,-83,-89,-90,-88,-58,-81,-80,-77,-75,-70,-75,-100,-82,-86,-87,-81,-88,-92,-66,-60,-70,-80,-94,-88,-71,-80,-79,-100,-85,-85,-84,-83,-87,-88,-91,-88,-87,-91,-92,-89,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
