20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,20:a6:cd:42:0a:c2,44:48:c1:91:95:a3,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:19:45:a1,38:17:c3:19:45:a2,b6:e6:2d:69:d5:58,38:17:c3:19:45:a0,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,44:48:c1:91:d0:04,38:17:c3:24:47:50,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:22:61:90,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,a8:bd:27:4c:aa:83,38:17:c3:22:5e:f0,38:17:c3:22:5e:f1,38:17:c3:22:5e:f2,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,20:a6:cd:42:13:f2,38:17:c3:1f:1c:10,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,38:17:c3:1f:09:90,b4:5d:50:e1:96:43,38:17:c3:1f:09:91,a8:bd:27:4c:aa:91,38:17:c3:1f:09:81,a8:bd:27:4c:aa:90,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,a8:bd:27:4c:aa:93,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,38:17:c3:1f:09:80,38:17:c3:19:d7:70,38:17:c3:19:d7:71,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:1f:1c:12,38:17:c3:1f:1c:11,38:17:c3:1f:09:82,38:17:c3:1f:09:83,38:17:c3:24:56:50,38:17:c3:1f:19:f0,38:17:c3:22:61:91,38:17:c3:1a:cf:d0,44:48:c1:91:95:a2,38:17:c3:19:36:30,38:17:c3:19:36:31,66:2a:2f:53:7c:99,20:a6:cd:42:0b:e3,80:8d:b7:55:25:e3,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:19:d7:72,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,80:8d:b7:55:29:d0,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,38:17:c3:19:36:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:03,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:11,80:8d:b7:55:25:e0,80:8d:b7:55:35:12,80:8d:b7:55:25:e1,38:17:c3:1e:ff:10,80:8d:b7:55:39:d0,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,b0:be:76:f8:30:5e,80:8d:b7:55:25:e2,68:ff:7b:e4:af:38,38:17:c3:1e:ff:11,ea:9e:b4:53:24:54,80:8d:b7:55:3a:42,38:17:c3:19:71:91,38:17:c3:19:71:90,68:ff:7b:e4:af:39,38:17:c3:1e:ff:12,38:17:c3:19:71:92,d8:07:b6:72:52:c0,80:8d:b7:55:35:02,38:17:c3:1f:22:30,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1f:22:32,38:17:c3:1f:22:31,80:8d:b7:55:29:c0,80:8d:b7:55:39:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,00:4e:35:de:e1:12,38:17:c3:1f:0e:10,20:a6:cd:50:24:b0,00:4e:35:df:06:52,00:4e:35:df:06:50,20:a6:cd:50:24:b1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,00:4e:35:df:06:51,20:a6:cd:50:24:b2,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:02,80:8d:b7:55:4d:10,38:17:c3:1f:22:22,x,y,label
-78,-76,-87,-86,-79,-84,-72,-82,-83,-82,-85,-86,-93,-86,-84,-84,-84,-70,-77,-70,-77,-60,-77,-59,-70,-81,-84,-70,-84,-84,-70,-69,-68,-69,-75,-74,-72,-79,-78,-80,-88,-60,-76,-75,-83,-83,-82,-80,-73,-79,-78,-92,-90,-90,-88,-76,-87,-64,-60,-64,-60,-73,-80,-87,-90,-76,-79,-83,-79,-84,-81,-83,-81,-83,-81,-81,-80,-82,-90,-81,-81,-81,-80,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-76,-87,-86,-79,-89,-76,-83,-82,-82,-87,-87,-93,-86,-82,-82,-83,-70,-77,-70,-76,-61,-78,-60,-69,-80,-84,-69,-84,-84,-69,-70,-68,-68,-75,-74,-78,-82,-80,-80,-88,-61,-75,-72,-83,-84,-80,-80,-73,-79,-79,-90,-89,-90,-88,-78,-87,-62,-66,-62,-60,-75,-75,-89,-92,-78,-78,-84,-81,-83,-81,-84,-80,-81,-82,-81,-81,-83,-92,-81,-82,-82,-81,-84,-86,-86,-86,-84,-84,-92,-92,-85,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-77,-77,-87,-86,-74,-89,-72,-81,-82,-82,-85,-86,-93,-87,-83,-84,-83,-70,-77,-69,-77,-63,-78,-63,-70,-86,-87,-70,-84,-85,-70,-68,-68,-68,-74,-75,-78,-83,-81,-81,-90,-63,-75,-76,-84,-82,-79,-80,-73,-79,-77,-90,-89,-90,-88,-78,-87,-61,-60,-62,-66,-77,-74,-89,-92,-77,-78,-82,-81,-83,-80,-84,-81,-79,-80,-80,-80,-81,-92,-81,-80,-81,-80,-84,-88,-86,-86,-84,-84,-92,-92,-85,-85,-89,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-80,-87,-86,-77,-89,-76,-83,-82,-82,-85,-86,-93,-87,-83,-73,-82,-71,-77,-71,-77,-61,-76,-61,-71,-79,-84,-71,-84,-84,-68,-87,-70,-68,-75,-73,-75,-83,-80,-82,-90,-61,-74,-75,-83,-84,-83,-80,-74,-81,-76,-89,-89,-90,-88,-80,-87,-65,-61,-63,-66,-73,-80,-89,-92,-74,-80,-83,-81,-82,-79,-84,-79,-83,-82,-82,-81,-82,-92,-81,-80,-82,-79,-84,-87,-86,-85,-82,-85,-92,-92,-85,-85,-89,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-78,-78,-87,-86,-79,-89,-73,-82,-82,-81,-86,-86,-93,-86,-82,-83,-83,-70,-76,-70,-77,-60,-76,-60,-71,-83,-84,-70,-84,-84,-68,-69,-67,-67,-74,-74,-77,-81,-81,-78,-89,-63,-74,-74,-83,-84,-83,-80,-75,-82,-80,-91,-90,-90,-88,-79,-88,-63,-61,-63,-64,-75,-74,-88,-92,-77,-79,-83,-79,-82,-79,-86,-79,-82,-83,-83,-83,-83,-91,-83,-79,-84,-80,-87,-87,-86,-85,-82,-85,-92,-92,-85,-85,-89,-93,-86,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-76,-87,-87,-76,-81,-74,-74,-82,-83,-86,-86,-93,-86,-83,-84,-82,-73,-76,-69,-76,-61,-77,-61,-71,-80,-84,-72,-85,-85,-67,-67,-68,-68,-75,-75,-74,-82,-81,-82,-89,-63,-75,-75,-84,-84,-81,-80,-75,-82,-78,-89,-90,-89,-88,-76,-88,-63,-66,-63,-60,-75,-80,-88,-95,-77,-76,-82,-79,-82,-79,-85,-80,-81,-81,-82,-82,-83,-91,-83,-80,-83,-80,-85,-89,-86,-86,-85,-85,-93,-92,-84,-83,-89,-93,-88,-93,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-74,-87,-87,-74,-81,-70,-80,-80,-80,-86,-86,-93,-89,-83,-82,-83,-71,-78,-71,-78,-61,-78,-61,-71,-87,-84,-72,-85,-85,-71,-70,-70,-70,-80,-78,-77,-80,-80,-79,-83,-60,-79,-79,-82,-83,-76,-80,-69,-76,-83,-89,-90,-89,-88,-80,-85,-58,-63,-59,-60,-70,-80,-85,-95,-70,-81,-83,-78,-82,-81,-88,-81,-86,-86,-85,-86,-86,-91,-83,-82,-83,-81,-87,-89,-86,-85,-85,-85,-93,-92,-87,-83,-89,-93,-88,-93,-85,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-75,-76,-87,-87,-73,-82,-72,-80,-80,-81,-91,-86,-93,-89,-85,-84,-84,-73,-78,-72,-77,-60,-78,-60,-72,-87,-90,-72,-85,-85,-71,-70,-70,-70,-76,-77,-78,-81,-80,-80,-83,-61,-77,-77,-83,-83,-76,-80,-71,-74,-82,-89,-90,-89,-88,-80,-85,-58,-61,-58,-60,-70,-80,-85,-95,-70,-80,-84,-78,-83,-80,-88,-81,-84,-84,-84,-83,-86,-91,-86,-82,-83,-82,-87,-89,-86,-85,-85,-85,-93,-92,-87,-83,-89,-93,-88,-93,-85,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-72,-72,-87,-87,-71,-82,-70,-79,-82,-79,-91,-86,-93,-89,-83,-84,-84,-72,-77,-72,-77,-59,-76,-59,-73,-83,-89,-72,-85,-85,-71,-72,-71,-71,-78,-77,-78,-78,-79,-78,-84,-59,-79,-78,-84,-82,-76,-75,-71,-76,-82,-89,-90,-89,-88,-80,-86,-58,-59,-58,-60,-71,-79,-86,-95,-71,-79,-83,-78,-82,-83,-88,-83,-85,-85,-85,-86,-84,-91,-86,-83,-84,-83,-88,-89,-86,-85,-85,-85,-93,-92,-89,-83,-89,-93,-88,-93,-85,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-73,-73,-87,-87,-74,-82,-69,-80,-81,-81,-86,-84,-93,-85,-84,-84,-85,-73,-76,-74,-77,-61,-77,-60,-75,-87,-89,-74,-85,-85,-71,-70,-70,-70,-78,-78,-78,-83,-84,-83,-84,-60,-77,-78,-82,-81,-74,-76,-72,-77,-82,-89,-90,-89,-88,-81,-86,-61,-67,-58,-60,-71,-82,-87,-95,-70,-81,-81,-78,-80,-83,-88,-83,-88,-86,-87,-89,-84,-91,-86,-82,-84,-83,-89,-89,-86,-85,-85,-85,-93,-92,-89,-90,-89,-93,-88,-93,-85,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
