20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,38:17:c3:19:d7:70,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,38:17:c3:24:47:50,44:48:c1:91:d0:04,38:17:c3:24:47:52,38:17:c3:22:61:92,38:17:c3:24:47:51,38:17:c3:22:61:90,38:17:c3:1f:19:c2,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,a8:bd:27:4c:aa:80,38:17:c3:1f:09:93,38:17:c3:1f:14:00,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,a8:bd:27:4c:aa:83,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,20:a6:cd:42:13:f2,38:17:c3:1f:00:a2,38:17:c3:1f:09:90,b4:5d:50:e1:96:43,38:17:c3:1f:1c:12,38:17:c3:1f:09:91,38:17:c3:1f:09:81,a8:bd:27:4c:aa:91,38:17:c3:1f:09:82,a8:bd:27:4c:aa:90,38:17:c3:1f:09:83,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,38:17:c3:1f:09:80,44:48:c1:91:95:a2,38:17:c3:19:36:30,20:a6:cd:42:13:f1,38:17:c3:1f:1c:10,b4:5d:50:e1:96:42,38:17:c3:1f:1c:11,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,38:17:c3:1f:19:c0,66:2a:2f:53:7c:99,44:48:c1:91:95:a3,38:17:c3:1f:14:01,38:17:c3:22:61:91,44:48:c1:91:95:a1,38:17:c3:1f:19:f2,38:17:c3:1f:19:f0,38:17:c3:1f:19:f1,38:17:c3:19:d7:71,38:17:c3:19:d7:72,44:48:c1:91:95:a0,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,80:8d:b7:55:29:d0,38:17:c3:19:36:31,80:8d:b7:55:25:e3,80:8d:b7:55:25:f0,38:17:c3:19:36:32,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:25:f3,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:f2,80:8d:b7:55:25:e0,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,80:8d:b7:55:35:10,80:8d:b7:55:25:f1,38:17:c3:1e:ff:10,80:8d:b7:55:3a:51,80:8d:b7:55:35:12,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,38:17:c3:1e:ff:12,ea:9e:b4:53:24:54,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,68:ff:7b:e4:af:39,38:17:c3:19:71:90,80:8d:b7:55:39:d0,38:17:c3:1e:ff:11,38:17:c3:19:71:91,38:17:c3:19:71:92,80:8d:b7:55:35:02,68:ff:7b:e4:af:38,38:17:c3:1f:22:30,80:8d:b7:55:29:d1,38:17:c3:1e:ff:02,80:8d:b7:55:29:d2,38:17:c3:19:71:80,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1e:ff:00,38:17:c3:1e:ff:01,80:8d:b7:55:35:00,38:17:c3:19:71:82,38:17:c3:19:71:81,20:a6:cd:50:24:b0,80:8d:b7:55:35:01,80:8d:b7:55:29:c0,80:8d:b7:55:29:c2,38:17:c3:1f:22:31,00:4e:35:df:06:52,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:29:c1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,80:8d:b7:55:39:c0,20:a6:cd:50:24:b2,38:17:c3:1f:22:32,00:4e:35:de:e1:12,20:a6:cd:50:24:a1,20:a6:cd:50:24:b1,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:de:e1:11,38:17:c3:1f:0e:10,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,80:8d:b7:55:4d:02,80:8d:b7:55:4d:01,x,y,label
-79,-79,-77,-76,-85,-82,-81,-77,-78,-77,-70,-78,-71,-94,-66,-77,-65,-72,-81,-87,-71,-88,-86,-74,-72,-73,-88,-71,-75,-75,-82,-79,-84,-87,-83,-89,-89,-66,-73,-74,-83,-83,-82,-80,-71,-80,-79,-93,-81,-81,-89,-76,-60,-63,-59,-61,-71,-77,-85,-72,-82,-70,-88,-83,-86,-83,-89,-84,-79,-85,-85,-86,-86,-81,-91,-82,-82,-81,-82,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-76,-79,-79,-78,-82,-81,-82,-77,-77,-76,-72,-77,-71,-75,-62,-76,-64,-72,-79,-87,-73,-88,-86,-73,-74,-73,-88,-73,-74,-74,-82,-79,-84,-87,-83,-90,-89,-62,-74,-74,-82,-84,-82,-84,-68,-81,-78,-93,-83,-82,-84,-74,-60,-65,-59,-64,-70,-76,-83,-71,-82,-78,-89,-83,-86,-83,-86,-83,-81,-87,-85,-86,-85,-82,-91,-83,-81,-81,-83,-86,-87,-93,-84,-89,-74,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-77,-75,-77,-78,-81,-80,-80,-78,-78,-79,-74,-75,-73,-75,-65,-74,-64,-74,-79,-87,-73,-88,-86,-73,-74,-75,-89,-75,-73,-73,-81,-79,-80,-87,-80,-90,-89,-64,-75,-74,-83,-83,-82,-82,-71,-81,-79,-93,-83,-83,-85,-74,-60,-61,-61,-64,-71,-75,-85,-72,-82,-78,-89,-82,-85,-82,-86,-82,-82,-85,-85,-85,-85,-81,-91,-82,-80,-81,-83,-86,-87,-93,-85,-89,-76,-90,-88,-90,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-78,-80,-78,-81,-80,-81,-78,-77,-77,-73,-77,-73,-76,-65,-76,-64,-72,-77,-86,-72,-88,-87,-73,-73,-73,-89,-73,-74,-74,-80,-80,-82,-87,-82,-90,-89,-63,-74,-74,-82,-83,-82,-82,-71,-81,-80,-93,-82,-82,-85,-74,-59,-63,-60,-64,-71,-77,-86,-71,-81,-78,-90,-81,-85,-84,-86,-83,-80,-86,-85,-85,-86,-81,-91,-83,-82,-82,-84,-85,-87,-91,-85,-89,-74,-90,-88,-90,-88,-88,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-79,-79,-80,-80,-81,-80,-81,-78,-78,-78,-73,-76,-73,-76,-64,-76,-64,-73,-80,-86,-73,-88,-84,-72,-74,-73,-90,-73,-74,-74,-81,-80,-81,-87,-81,-90,-89,-64,-75,-75,-83,-83,-82,-82,-72,-81,-80,-93,-82,-82,-85,-75,-60,-61,-61,-64,-71,-76,-86,-71,-82,-76,-88,-82,-85,-82,-86,-82,-80,-86,-85,-85,-85,-81,-91,-83,-81,-82,-82,-84,-87,-91,-85,-89,-74,-89,-88,-90,-90,-88,-96,-88,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-77,-79,-77,-79,-80,-80,-81,-78,-78,-77,-73,-75,-72,-74,-65,-75,-57,-72,-80,-88,-73,-87,-84,-72,-73,-72,-90,-73,-72,-73,-83,-81,-82,-100,-82,-89,-89,-64,-73,-72,-82,-84,-81,-81,-70,-82,-79,-100,-83,-83,-85,-75,-60,-64,-61,-67,-71,-74,-87,-70,-82,-76,-90,-81,-85,-83,-86,-85,-80,-84,-86,-85,-85,-80,-92,-83,-81,-81,-84,-84,-87,-91,-86,-90,-74,-90,-89,-90,-90,-88,-95,-88,-81,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-78,-77,-79,-76,-80,-79,-81,-87,-88,-87,-70,-77,-69,-77,-63,-77,-62,-71,-78,-88,-70,-87,-84,-75,-74,-76,-90,-74,-81,-80,-86,-80,-85,-100,-86,-89,-89,-63,-81,-82,-84,-84,-85,-84,-67,-75,-80,-100,-83,-84,-85,-75,-61,-62,-61,-61,-68,-74,-87,-67,-85,-76,-90,-84,-85,-82,-86,-80,-80,-84,-84,-84,-83,-81,-92,-81,-80,-79,-81,-84,-87,-91,-86,-90,-74,-90,-89,-90,-86,-88,-95,-88,-81,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-77,-80,-80,-75,-80,-83,-81,-89,-88,-88,-73,-79,-72,-78,-64,-78,-65,-72,-80,-88,-73,-87,-84,-75,-77,-76,-90,-76,-79,-79,-83,-80,-83,-100,-82,-89,-89,-65,-78,-78,-87,-86,-88,-76,-69,-76,-80,-100,-85,-85,-89,-86,-61,-60,-61,-65,-68,-87,-89,-69,-85,-76,-90,-87,-88,-82,-90,-80,-80,-84,-85,-82,-82,-84,-92,-81,-83,-83,-81,-84,-86,-91,-86,-90,-74,-90,-89,-90,-86,-88,-95,-83,-76,-89,-86,-88,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-77,-77,-77,-71,-80,-83,-81,-88,-90,-90,-72,-78,-73,-78,-63,-79,-64,-73,-78,-88,-72,-87,-84,-75,-74,-74,-87,-77,-80,-80,-84,-80,-83,-100,-84,-89,-89,-63,-80,-81,-86,-86,-85,-76,-68,-77,-80,-100,-87,-86,-87,-86,-61,-63,-61,-65,-68,-87,-89,-68,-84,-76,-90,-85,-87,-81,-88,-81,-80,-84,-83,-84,-85,-84,-92,-80,-83,-83,-81,-87,-86,-91,-86,-90,-74,-90,-89,-90,-86,-88,-95,-84,-76,-89,-86,-88,-88,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-80,-78,-77,-72,-83,-83,-81,-88,-93,-90,-73,-78,-73,-78,-64,-76,-62,-74,-79,-88,-73,-87,-84,-77,-78,-79,-87,-77,-79,-79,-86,-80,-85,-100,-84,-89,-89,-64,-79,-78,-85,-87,-86,-76,-68,-87,-79,-100,-86,-86,-87,-86,-61,-63,-60,-65,-68,-87,-86,-71,-88,-79,-90,-86,-90,-81,-88,-82,-80,-86,-86,-85,-85,-83,-92,-81,-82,-82,-82,-87,-84,-91,-87,-90,-74,-90,-89,-90,-86,-88,-95,-71,-86,-89,-84,-88,-88,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
