44:48:c1:91:95:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a2,44:48:c1:91:95:a3,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:19:36:30,38:17:c3:19:36:32,38:17:c3:1a:cf:d0,38:17:c3:1a:cf:d2,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:81,38:17:c3:1f:09:82,44:48:c1:91:95:b0,38:17:c3:1f:09:83,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:09:80,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,b6:e6:2d:69:d5:58,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,38:17:c3:24:47:50,44:48:c1:91:d0:04,38:17:c3:24:47:52,38:17:c3:24:47:51,66:2a:2f:53:7c:99,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,38:17:c3:1f:19:c0,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,a8:bd:27:4c:aa:80,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:82,38:17:c3:22:5e:f1,a8:bd:27:4c:aa:81,38:17:c3:22:5e:f2,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,38:17:c3:24:56:52,72:32:b1:3e:1a:b7,38:17:c3:24:56:50,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,20:a6:cd:42:13:f2,38:17:c3:1f:1c:10,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,38:17:c3:1f:19:f0,38:17:c3:22:61:90,44:48:c1:91:aa:21,44:48:c1:91:aa:22,38:17:c3:24:56:51,ac:e2:d3:c4:08:e6,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e3,38:17:c3:22:61:92,38:17:c3:22:61:91,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:25:e3,38:17:c3:19:36:31,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:03,80:8d:b7:55:3a:50,80:8d:b7:55:35:11,38:17:c3:1e:ff:10,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:35:12,80:8d:b7:55:25:e1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,02:54:af:fe:54:11,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:19:71:90,80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,80:8d:b7:55:3a:40,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:19:71:92,68:ff:7b:e4:af:38,38:17:c3:19:71:91,68:ff:7b:e4:af:39,80:8d:b7:55:35:02,ea:9e:b4:53:24:54,80:8d:b7:55:35:00,80:8d:b7:55:29:d0,80:8d:b7:55:29:d1,80:8d:b7:55:35:01,80:8d:b7:55:29:d2,80:8d:b7:55:29:c0,38:17:c3:1e:ff:00,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,20:a6:cd:50:24:b0,00:4e:35:df:06:52,38:17:c3:1f:22:32,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,00:4e:35:de:e1:12,38:17:c3:1f:22:31,20:a6:cd:50:24:a1,00:4e:35:df:06:40,20:a6:cd:50:24:b1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,20:a6:cd:50:24:b2,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:1f:0e:10,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,00:4e:35:df:06:41,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,x,y,label
-86,-85,-84,-85,-82,-82,-81,-89,-88,-87,-83,-83,-78,-79,-92,-92,-91,-89,-67,-65,-78,-78,-80,-80,-85,-80,-84,-84,-85,-79,-78,-79,-81,-79,-79,-79,-71,-80,-81,-81,-94,-80,-80,-80,-76,-70,-70,-79,-58,-89,-59,-68,-79,-89,-68,-87,-87,-75,-78,-77,-76,-74,-78,-86,-81,-84,-83,-91,-85,-86,-86,-58,-78,-78,-90,-83,-83,-73,-80,-91,-83,-89,-89,-89,-89,-88,-79,-86,-87,-63,-89,-62,-71,-80,-86,-92,-73,-78,-78,-84,-84,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-81,-80,-81,-78,-82,-82,-81,-89,-88,-88,-83,-83,-78,-79,-96,-92,-91,-89,-62,-63,-78,-78,-84,-80,-83,-80,-83,-83,-83,-78,-77,-78,-86,-80,-80,-78,-77,-80,-81,-81,-94,-86,-87,-87,-76,-74,-73,-75,-64,-75,-62,-74,-83,-89,-74,-87,-87,-74,-77,-75,-76,-76,-77,-80,-81,-79,-80,-91,-85,-86,-86,-62,-75,-76,-70,-79,-83,-73,-80,-91,-65,-70,-89,-70,-89,-85,-81,-86,-87,-64,-89,-62,-73,-81,-86,-92,-74,-80,-78,-86,-86,-86,-85,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-85,-86,-86,-82,-82,-82,-81,-89,-88,-90,-83,-83,-83,-84,-96,-92,-91,-89,-60,-62,-83,-83,-80,-80,-84,-80,-84,-83,-82,-86,-85,-86,-86,-78,-78,-81,-76,-81,-81,-81,-94,-85,-86,-85,-77,-78,-77,-77,-69,-77,-69,-78,-83,-89,-77,-87,-87,-72,-72,-72,-72,-78,-78,-82,-81,-82,-82,-92,-85,-86,-86,-66,-79,-77,-70,-79,-83,-72,-80,-91,-65,-70,-89,-70,-89,-88,-80,-87,-87,-62,-89,-62,-72,-80,-85,-92,-72,-90,-77,-86,-86,-83,-85,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-85,-86,-87,-85,-82,-82,-81,-89,-88,-89,-83,-83,-81,-82,-96,-92,-91,-89,-62,-61,-82,-82,-80,-80,-82,-80,-82,-82,-82,-79,-78,-78,-86,-80,-80,-79,-74,-81,-78,-79,-94,-79,-81,-80,-78,-72,-73,-79,-64,-78,-64,-74,-80,-89,-73,-87,-87,-69,-69,-68,-68,-76,-76,-82,-81,-82,-82,-92,-85,-88,-86,-61,-75,-75,-70,-79,-83,-67,-80,-91,-85,-70,-89,-70,-89,-83,-80,-83,-87,-62,-89,-62,-70,-82,-83,-94,-70,-80,-73,-80,-79,-79,-79,-91,-90,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-87,-86,-88,-83,-82,-82,-81,-89,-88,-89,-83,-83,-86,-86,-96,-92,-91,-89,-64,-59,-87,-86,-86,-87,-83,-78,-84,-83,-84,-81,-80,-79,-87,-77,-77,-77,-74,-81,-80,-79,-95,-75,-74,-75,-78,-72,-72,-76,-63,-77,-63,-73,-84,-83,-72,-83,-83,-71,-71,-73,-71,-73,-72,-80,-72,-77,-78,-93,-85,-88,-86,-62,-72,-73,-85,-82,-83,-77,-80,-91,-81,-84,-89,-84,-89,-90,-76,-83,-83,-61,-83,-70,-77,-82,-83,-94,-78,-80,-75,-83,-83,-83,-83,-91,-90,-89,-88,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-87,-86,-88,-90,-82,-82,-85,-89,-88,-89,-83,-83,-84,-84,-92,-92,-91,-89,-65,-58,-84,-84,-86,-87,-81,-81,-82,-82,-81,-79,-80,-78,-87,-77,-77,-79,-79,-81,-80,-80,-95,-79,-78,-77,-77,-71,-72,-77,-67,-78,-66,-70,-80,-85,-71,-84,-84,-69,-69,-70,-70,-75,-73,-79,-72,-81,-79,-93,-85,-88,-86,-67,-72,-73,-86,-81,-81,-75,-86,-91,-82,-83,-89,-84,-91,-90,-76,-83,-85,-63,-85,-70,-77,-82,-83,-91,-78,-77,-75,-84,-85,-84,-84,-91,-90,-89,-88,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-87,-86,-88,-86,-82,-82,-85,-100,-100,-89,-100,-100,-80,-80,-92,-100,-95,-100,-60,-60,-79,-79,-86,-86,-86,-81,-82,-82,-85,-84,-84,-84,-86,-79,-78,-78,-71,-80,-83,-79,-95,-91,-89,-88,-76,-72,-73,-76,-61,-76,-61,-73,-83,-89,-72,-89,-89,-76,-77,-78,-76,-73,-72,-83,-79,-84,-83,-93,-100,-88,-100,-61,-73,-73,-69,-77,-81,-72,-86,-91,-82,-71,-100,-70,-91,-88,-80,-86,-85,-63,-85,-64,-71,-81,-86,-91,-72,-81,-76,-81,-81,-81,-80,-91,-90,-89,-88,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-87,-86,-88,-86,-88,-88,-87,-100,-100,-89,-100,-100,-82,-81,-92,-100,-95,-100,-62,-53,-83,-80,-86,-86,-88,-85,-87,-90,-86,-86,-88,-87,-86,-77,-75,-77,-71,-79,-83,-80,-95,-86,-87,-85,-74,-73,-73,-73,-58,-73,-57,-74,-80,-89,-72,-89,-89,-74,-74,-76,-74,-74,-74,-82,-79,-82,-81,-93,-100,-88,-100,-59,-74,-74,-82,-80,-81,-72,-86,-91,-84,-83,-100,-83,-91,-85,-80,-87,-85,-61,-85,-64,-71,-78,-88,-91,-71,-81,-75,-80,-81,-81,-82,-91,-90,-89,-88,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-87,-88,-88,-87,-89,-88,-87,-100,-100,-89,-100,-100,-80,-81,-92,-100,-95,-100,-62,-60,-81,-82,-83,-82,-84,-85,-85,-85,-85,-86,-86,-86,-84,-78,-80,-80,-75,-79,-83,-80,-95,-84,-84,-84,-75,-70,-71,-75,-60,-75,-57,-71,-81,-87,-70,-88,-88,-73,-72,-72,-73,-76,-75,-84,-79,-82,-82,-93,-100,-88,-100,-57,-75,-76,-83,-79,-81,-69,-81,-91,-81,-82,-100,-83,-91,-85,-76,-87,-85,-62,-85,-62,-68,-78,-86,-91,-70,-78,-75,-80,-81,-81,-80,-91,-90,-89,-88,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-90,-88,-89,-87,-89,-88,-91,-100,-100,-89,-100,-100,-81,-81,-92,-100,-95,-100,-63,-58,-81,-81,-83,-83,-86,-85,-86,-87,-86,-84,-83,-83,-84,-78,-80,-77,-74,-80,-80,-80,-95,-85,-85,-85,-76,-70,-70,-75,-58,-75,-56,-71,-81,-88,-71,-88,-88,-74,-76,-75,-75,-74,-74,-83,-84,-85,-85,-93,-100,-88,-100,-49,-74,-73,-84,-83,-81,-75,-82,-91,-85,-82,-100,-83,-91,-87,-80,-87,-85,-64,-85,-62,-74,-77,-86,-91,-76,-78,-73,-81,-81,-81,-81,-100,-89,-89,-88,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
