38:17:c3:1f:0e:10,b0:be:76:f8:30:5e,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,38:17:c3:1f:01:92,38:17:c3:1f:01:91,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,44:48:c1:a5:82:31,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,44:48:c1:a5:82:32,80:8d:b7:55:35:03,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,38:17:c3:19:d7:71,38:17:c3:19:d7:72,38:17:c3:1f:01:82,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,38:17:c3:1f:01:81,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e3,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,20:a6:cd:50:24:b1,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:41,20:a6:cd:50:24:b2,38:17:c3:19:45:b2,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,20:a6:cd:42:0b:f2,60:32:b1:3e:1a:b8,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,80:8d:b7:55:35:10,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,38:17:c3:1f:0e:00,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,38:17:c3:19:d7:70,80:8d:b7:55:25:e0,80:8d:b7:55:39:c0,80:8d:b7:55:3a:50,80:8d:b7:55:3a:40,20:a6:cd:50:24:b0,00:4e:35:df:06:52,38:17:c3:1e:ff:10,00:4e:35:df:06:42,b4:5d:50:e1:92:31,38:17:c3:1f:09:90,a8:bd:27:4c:bd:30,38:17:c3:19:71:90,20:a6:cd:42:0b:f0,80:8d:b7:55:35:02,80:8d:b7:55:35:01,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:41,60:32:b1:3e:1a:b7,38:17:c3:19:55:52,38:17:c3:19:55:51,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,00:4e:35:de:e1:11,00:4e:35:de:e1:10,b4:5d:50:e1:92:23,38:17:c3:1f:22:31,80:8d:b7:55:35:00,38:17:c3:19:55:50,38:17:c3:19:d7:60,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,38:17:c3:1f:22:30,68:ff:7b:e4:af:39,72:32:b1:3e:1a:b7,20:a6:cd:50:24:a2,44:48:c1:a5:82:21,68:ff:7b:e4:af:38,44:48:c1:a5:82:20,00:4e:35:de:e1:02,66:2a:2f:53:7c:99,00:4e:35:df:06:40,b4:5d:50:e1:92:20,b4:5d:50:e1:92:22,38:17:c3:1f:09:83,b4:5d:50:e1:92:21,80:8d:b7:55:3a:42,38:17:c3:19:45:b1,38:17:c3:1f:09:93,72:32:b1:3e:1a:b8,38:17:c3:19:45:b0,38:17:c3:19:45:a0,44:48:c1:a5:82:22,38:17:c3:1f:22:32,38:17:c3:1f:09:91,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,b4:5d:50:e1:96:50,a8:bd:27:4c:bd:31,38:17:c3:19:71:92,38:17:c3:19:71:91,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,20:a6:cd:42:0b:e1,a8:bd:27:4c:bd:32,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:1f:01:80,38:17:c3:19:45:a1,00:4e:35:de:e1:00,00:4e:35:de:e1:01,38:17:c3:1f:08:51,38:17:c3:1f:08:50,38:17:c3:1f:09:80,38:17:c3:1f:09:92,38:17:c3:19:45:a2,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,b4:5d:50:e1:96:43,00:4e:35:de:d7:53,44:48:c1:91:95:b0,44:48:c1:91:95:b3,38:17:c3:19:55:40,44:48:c1:91:95:b2,a8:bd:27:4c:bd:20,00:4e:35:de:d7:52,a8:bd:27:4c:bd:21,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:df:0e:12,44:48:c1:91:95:b1,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:08:42,38:17:c3:1f:08:52,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:df:0e:10,38:17:c3:1f:22:22,a8:bd:27:4c:bd:22,00:4e:35:de:d7:42,00:4e:35:de:d7:41,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:de:d7:40,00:4e:35:de:d7:43,38:17:c3:19:71:80,38:17:c3:19:36:30,38:17:c3:19:36:31,00:4e:35:df:0e:11,38:17:c3:19:36:22,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:19:36:21,00:4e:35:df:0e:02,00:4e:35:df:0e:00,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:24:4f:01,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,00:4e:35:df:27:00,00:4e:35:df:27:01,00:4e:35:df:27:02,38:17:c3:1b:08:a1,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,00:4e:35:df:27:11,00:4e:35:df:27:10,x,y,label
-46,-59,-46,-46,-58,-58,-58,-63,-63,-66,-66,-68,-26,-37,-51,-51,-69,-66,-71,-71,-71,-72,-73,-67,-67,-67,-68,-68,-68,-69,-74,-74,-77,-73,-74,-78,-79,-80,-80,-82,-82,-83,-86,-83,-87,-88,-58,-63,-66,-51,-69,-71,-72,-68,-69,-74,-74,-78,-80,-80,-79,-83,-85,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-46,-68,-46,-46,-58,-58,-58,-64,-63,-65,-65,-69,-22,-37,-50,-50,-69,-66,-73,-73,-73,-72,-73,-67,-67,-67,-67,-68,-68,-73,-73,-73,-77,-74,-74,-77,-79,-79,-79,-82,-82,-83,-86,-82,-87,-88,-58,-64,-65,-51,-69,-73,-72,-68,-66,-74,-74,-78,-77,-79,-80,-82,-87,-86,-86,-87,-64,-65,-77,-77,-73,-84,-80,-80,-76,-77,-80,-80,-85,-86,-83,-87,-65,-80,-76,-80,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-45,-68,-45,-48,-58,-58,-58,-64,-65,-64,-65,-69,-25,-37,-51,-50,-70,-64,-72,-72,-72,-73,-73,-67,-66,-66,-67,-68,-68,-70,-75,-75,-80,-74,-73,-79,-79,-80,-80,-83,-83,-82,-86,-82,-87,-88,-58,-65,-66,-51,-70,-72,-73,-68,-66,-75,-74,-80,-77,-80,-79,-82,-87,-86,-86,-87,-65,-65,-77,-77,-79,-85,-80,-80,-75,-74,-80,-80,-86,-86,-82,-87,-65,-80,-76,-80,-85,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-46,-70,-46,-46,-58,-58,-58,-64,-63,-66,-67,-69,-24,-37,-49,-49,-69,-65,-72,-72,-72,-73,-72,-100,-66,-66,-68,-70,-71,-69,-75,-75,-78,-70,-73,-78,-79,-80,-80,-83,-83,-82,-89,-84,-89,-100,-58,-64,-67,-49,-69,-72,-73,-100,-66,-74,-74,-78,-78,-80,-78,-82,-87,-100,-86,-89,-66,-65,-78,-77,-78,-85,-80,-80,-75,-74,-80,-80,-86,-86,-84,-87,-66,-80,-75,-80,-85,-87,-85,-83,-75,-75,-88,-74,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-46,-70,-46,-46,-58,-58,-58,-64,-63,-65,-66,-69,-24,-37,-50,-50,-69,-65,-73,-73,-73,-72,-72,-100,-66,-66,-68,-70,-71,-69,-74,-75,-78,-70,-73,-78,-79,-80,-80,-83,-83,-82,-89,-84,-89,-100,-58,-64,-66,-50,-69,-73,-73,-100,-66,-75,-74,-79,-77,-80,-78,-82,-87,-100,-88,-89,-66,-66,-78,-77,-79,-85,-80,-80,-75,-74,-80,-80,-85,-85,-84,-100,-66,-80,-75,-80,-83,-86,-85,-83,-75,-75,-88,-74,-84,-89,-79,-85,-86,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-46,-67,-46,-46,-58,-58,-58,-63,-63,-64,-64,-69,-25,-38,-51,-51,-69,-67,-72,-72,-72,-73,-72,-100,-66,-66,-68,-70,-71,-70,-75,-75,-77,-77,-75,-77,-80,-80,-80,-83,-82,-83,-89,-86,-89,-100,-58,-63,-65,-51,-69,-72,-73,-100,-66,-75,-75,-77,-77,-80,-78,-82,-85,-100,-88,-89,-62,-66,-78,-78,-78,-85,-80,-80,-75,-75,-80,-80,-85,-85,-84,-100,-66,-100,-74,-80,-85,-86,-100,-85,-75,-73,-86,-74,-84,-85,-79,-85,-86,-87,-85,-74,-80,-86,-84,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-51,-67,-51,-51,-62,-62,-62,-66,-65,-66,-65,-72,-25,-50,-51,-51,-72,-68,-73,-74,-73,-73,-73,-100,-66,-66,-100,-100,-100,-75,-73,-73,-75,-78,-74,-75,-79,-76,-76,-80,-80,-80,-100,-82,-100,-100,-62,-66,-65,-51,-72,-74,-73,-100,-66,-73,-75,-75,-78,-77,-75,-80,-87,-100,-87,-100,-69,-70,-77,-78,-75,-85,-80,-80,-74,-73,-80,-76,-85,-85,-85,-100,-66,-100,-75,-80,-88,-86,-100,-82,-100,-70,-84,-100,-100,-85,-75,-85,-86,-85,-85,-74,-79,-85,-84,-80,-81,-72,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-51,-65,-52,-52,-62,-62,-62,-64,-64,-65,-65,-71,-23,-44,-51,-50,-71,-65,-73,-74,-73,-75,-74,-66,-65,-65,-65,-100,-100,-75,-72,-73,-75,-74,-74,-76,-79,-76,-76,-80,-80,-80,-100,-82,-100,-100,-62,-64,-66,-51,-71,-74,-73,-100,-65,-73,-66,-75,-74,-76,-74,-80,-87,-100,-87,-100,-68,-68,-75,-75,-75,-83,-84,-83,-74,-73,-100,-76,-84,-84,-81,-86,-100,-83,-74,-78,-84,-86,-100,-82,-80,-70,-84,-69,-100,-83,-75,-100,-84,-85,-84,-74,-79,-85,-100,-80,-100,-69,-85,-86,-80,-79,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-52,-66,-52,-52,-62,-62,-61,-65,-65,-63,-63,-71,-26,-44,-51,-51,-71,-65,-74,-73,-74,-74,-74,-66,-65,-65,-65,-100,-100,-75,-72,-72,-76,-74,-74,-76,-80,-76,-76,-80,-80,-80,-100,-82,-100,-100,-62,-65,-63,-51,-71,-74,-75,-100,-65,-72,-66,-77,-75,-76,-75,-79,-86,-100,-87,-100,-68,-68,-75,-76,-75,-83,-84,-83,-74,-73,-77,-76,-84,-84,-81,-86,-100,-83,-74,-78,-86,-85,-100,-83,-80,-70,-84,-69,-100,-83,-75,-100,-84,-85,-84,-72,-81,-86,-100,-80,-100,-69,-85,-87,-80,-79,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-51,-69,-51,-51,-62,-62,-62,-63,-63,-63,-63,-71,-24,-45,-50,-51,-71,-66,-72,-72,-72,-75,-75,-66,-65,-65,-65,-71,-71,-72,-72,-73,-76,-75,-74,-75,-80,-77,-77,-81,-80,-81,-100,-82,-100,-100,-62,-63,-63,-51,-71,-72,-75,-71,-65,-72,-66,-76,-78,-77,-76,-81,-86,-100,-87,-100,-68,-68,-78,-78,-75,-82,-84,-84,-74,-77,-77,-100,-85,-85,-84,-85,-68,-83,-74,-78,-84,-85,-100,-83,-81,-72,-84,-72,-100,-84,-75,-100,-84,-100,-84,-74,-81,-86,-100,-80,-100,-70,-100,-87,-81,-81,-89,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
