80:8d:b7:55:39:c0,b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,38:17:c3:19:d7:72,38:17:c3:19:d7:71,00:4e:35:df:06:50,38:17:c3:1f:01:81,38:17:c3:1f:01:82,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:3a:52,80:8d:b7:55:25:f3,80:8d:b7:55:3a:51,60:32:b1:3e:1a:b7,20:a6:cd:50:24:b2,38:17:c3:19:55:52,20:a6:cd:50:24:b1,38:17:c3:19:55:51,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:d7:61,00:4e:35:df:06:41,20:a6:cd:50:24:a2,ac:e2:d3:c4:08:e6,00:4e:35:df:06:40,80:8d:b7:55:25:e3,20:a6:cd:50:24:a1,60:32:b1:3e:1a:b8,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,38:17:c3:1f:09:93,00:4e:35:de:e1:11,b4:5d:50:e1:92:30,38:17:c3:1f:09:91,38:17:c3:1f:09:92,68:ff:7b:e4:af:39,a8:bd:27:4c:bd:31,38:17:c3:19:71:91,a8:bd:27:4c:bd:32,38:17:c3:1f:09:83,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,38:17:c3:1f:01:90,38:17:c3:1f:0e:00,80:8d:b7:55:35:00,38:17:c3:19:d7:70,00:4e:35:df:06:52,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,44:48:c1:a5:82:20,80:8d:b7:55:3a:40,38:17:c3:19:55:50,38:17:c3:1e:ff:10,38:17:c3:19:d7:60,00:4e:35:df:06:42,00:4e:35:de:e1:12,b4:5d:50:e1:92:31,38:17:c3:1f:09:90,38:17:c3:19:71:90,a8:bd:27:4c:bd:30,b4:5d:50:e1:92:21,38:17:c3:1f:22:30,66:2a:2f:53:7c:99,00:4e:35:df:06:51,38:17:c3:19:d7:62,72:32:b1:3e:1a:b7,38:17:c3:19:45:b2,38:17:c3:19:45:b1,b4:5d:50:e1:92:23,00:4e:35:de:e1:10,72:32:b1:3e:1a:b8,38:17:c3:19:55:42,38:17:c3:19:55:41,20:a6:cd:42:0b:e3,38:17:c3:1f:01:80,20:a6:cd:50:24:b0,38:17:c3:19:55:40,68:ff:7b:e4:af:38,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,38:17:c3:19:45:b0,38:17:c3:1e:ff:00,b4:5d:50:e1:96:50,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:3a:41,38:17:c3:19:71:92,80:8d:b7:55:25:e0,80:8d:b7:55:3a:42,b4:5d:50:e1:92:20,b4:5d:50:e1:96:53,38:17:c3:1f:22:31,38:17:c3:1f:22:32,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,20:a6:cd:50:24:a0,38:17:c3:1f:08:50,20:a6:cd:42:0b:f0,38:17:c3:19:45:a2,38:17:c3:19:45:a1,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:19:45:a0,00:4e:35:de:e1:01,00:4e:35:de:e1:02,20:a6:cd:42:0b:f2,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:22,00:4e:35:de:d7:53,00:4e:35:de:d7:52,38:17:c3:1f:00:b0,00:4e:35:de:e1:00,44:48:c1:91:95:b2,20:a6:cd:42:0b:e2,44:48:c1:91:95:b3,38:17:c3:1f:22:22,38:17:c3:1f:08:52,38:17:c3:1f:08:51,00:4e:35:df:0e:12,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:21,00:4e:35:de:d7:50,00:4e:35:de:d7:51,00:4e:35:de:d7:43,38:17:c3:1f:22:21,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:de:d7:42,00:4e:35:df:0e:11,00:4e:35:df:0e:10,a8:bd:27:4c:bd:20,38:17:c3:19:36:30,00:4e:35:df:0e:02,38:17:c3:19:36:21,38:17:c3:19:36:22,38:17:c3:19:36:20,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,00:4e:35:de:d7:40,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1f:22:20,00:4e:35:df:0e:01,00:4e:35:df:0e:00,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:24:4f:01,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,00:4e:35:df:27:12,38:17:c3:1b:08:a1,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,00:4e:35:df:27:01,00:4e:35:df:27:00,00:4e:35:df:27:02,00:4e:35:df:27:11,00:4e:35:df:27:10,00:4e:35:de:d7:41,da:3b:bf:91:24:81,x,y,label
-69,-63,-46,-47,-61,-61,-61,-63,-64,-67,-68,-22,-37,-48,-48,-64,-64,-66,-73,-73,-73,-67,-67,-68,-68,-74,-74,-74,-74,-75,-75,-75,-84,-78,-79,-79,-79,-80,-81,-75,-75,-76,-76,-76,-76,-77,-79,-83,-83,-83,-84,-84,-84,-85,-83,-87,-87,-88,-87,-47,-62,-63,-68,-48,-64,-73,-73,-74,-74,-75,-72,-73,-79,-81,-75,-75,-82,-84,-85,-86,-86,-83,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-68,-64,-46,-46,-62,-62,-62,-64,-64,-69,-69,-22,-71,-48,-48,-65,-64,-65,-73,-73,-74,-67,-67,-67,-68,-73,-74,-74,-73,-74,-74,-74,-84,-77,-79,-76,-79,-79,-81,-73,-75,-77,-72,-76,-76,-78,-81,-83,-83,-83,-85,-84,-84,-85,-83,-87,-87,-88,-87,-46,-62,-64,-70,-48,-65,-73,-74,-74,-74,-75,-72,-73,-79,-81,-74,-76,-85,-84,-85,-86,-86,-83,-87,-85,-74,-74,-84,-80,-80,-81,-85,-85,-85,-85,-86,-67,-77,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-68,-64,-46,-47,-62,-62,-62,-64,-64,-69,-69,-22,-41,-47,-47,-66,-66,-67,-73,-73,-74,-67,-67,-67,-68,-75,-75,-73,-73,-74,-75,-75,-84,-77,-80,-77,-80,-81,-81,-74,-75,-77,-78,-76,-76,-78,-85,-83,-83,-83,-85,-83,-84,-84,-83,-87,-87,-88,-87,-47,-62,-64,-70,-47,-66,-73,-74,-74,-75,-75,-72,-73,-80,-81,-75,-76,-86,-84,-83,-87,-86,-83,-86,-84,-77,-74,-84,-80,-80,-81,-85,-85,-85,-85,-86,-67,-77,-85,-83,-78,-80,-80,-79,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-69,-64,-46,-46,-61,-61,-61,-64,-64,-69,-69,-23,-41,-47,-47,-65,-69,-65,-72,-73,-73,-66,-67,-68,-68,-75,-75,-73,-73,-74,-75,-74,-84,-77,-80,-77,-80,-80,-81,-74,-75,-80,-69,-76,-75,-78,-82,-83,-84,-83,-85,-83,-84,-84,-100,-88,-100,-87,-100,-47,-61,-64,-69,-46,-65,-73,-73,-71,-75,-74,-74,-100,-80,-80,-74,-76,-86,-84,-83,-86,-87,-100,-87,-87,-73,-73,-84,-80,-80,-84,-85,-85,-85,-85,-86,-67,-77,-85,-83,-78,-80,-80,-79,-88,-72,-72,-73,-73,-73,-86,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-67,-65,-47,-46,-61,-61,-61,-63,-63,-71,-71,-23,-40,-47,-47,-70,-68,-67,-73,-73,-76,-68,-100,-68,-68,-74,-75,-74,-74,-74,-74,-75,-85,-77,-80,-77,-79,-81,-81,-74,-75,-80,-74,-76,-70,-78,-84,-84,-83,-83,-100,-84,-84,-84,-80,-86,-100,-86,-100,-46,-61,-63,-71,-48,-70,-73,-76,-75,-74,-75,-73,-100,-79,-82,-74,-76,-85,-84,-83,-87,-87,-100,-88,-87,-76,-73,-84,-80,-80,-82,-100,-100,-85,-100,-87,-66,-77,-100,-83,-78,-80,-80,-79,-88,-72,-73,-72,-72,-73,-86,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-69,-62,-46,-46,-63,-62,-63,-64,-64,-69,-69,-23,-39,-47,-49,-67,-67,-67,-73,-73,-78,-68,-66,-69,-69,-74,-73,-74,-74,-74,-73,-74,-85,-78,-80,-77,-79,-81,-81,-74,-75,-80,-68,-76,-74,-78,-82,-84,-83,-100,-100,-84,-100,-100,-80,-86,-100,-86,-100,-46,-63,-64,-70,-48,-67,-73,-78,-74,-74,-74,-72,-73,-79,-81,-75,-76,-87,-84,-100,-86,-87,-100,-87,-84,-78,-74,-84,-80,-80,-82,-100,-100,-85,-100,-87,-67,-100,-100,-100,-100,-100,-100,-100,-100,-72,-72,-72,-72,-72,-86,-72,-73,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-65,-69,-51,-51,-60,-60,-60,-64,-64,-67,-67,-22,-42,-47,-47,-65,-65,-67,-71,-70,-78,-68,-66,-66,-64,-67,-67,-65,-65,-73,-67,-73,-81,-74,-80,-73,-80,-79,-78,-70,-78,-76,-74,-100,-70,-76,-81,-84,-86,-85,-100,-84,-84,-84,-77,-86,-100,-87,-86,-51,-60,-64,-67,-47,-65,-71,-76,-65,-67,-73,-72,-73,-79,-78,-75,-78,-82,-84,-84,-86,-87,-100,-85,-84,-76,-70,-84,-78,-77,-84,-100,-83,-82,-82,-87,-67,-74,-78,-86,-78,-77,-78,-77,-100,-69,-69,-72,-72,-72,-86,-68,-73,-84,-90,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-65,-67,-50,-50,-60,-60,-60,-61,-61,-67,-67,-22,-42,-47,-47,-65,-65,-66,-71,-71,-77,-100,-100,-65,-65,-67,-67,-66,-66,-74,-67,-74,-81,-74,-79,-74,-80,-78,-78,-70,-78,-76,-75,-100,-70,-76,-81,-100,-85,-85,-100,-100,-84,-84,-79,-86,-100,-87,-86,-50,-60,-61,-67,-47,-65,-71,-75,-66,-67,-74,-100,-100,-79,-78,-70,-75,-82,-100,-84,-86,-100,-100,-86,-84,-77,-70,-100,-78,-78,-83,-100,-83,-82,-82,-100,-100,-74,-78,-86,-77,-77,-78,-77,-91,-69,-69,-100,-66,-100,-87,-68,-100,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-65,-68,-50,-50,-60,-60,-60,-60,-61,-66,-66,-21,-41,-47,-47,-65,-65,-63,-71,-71,-76,-59,-67,-66,-65,-67,-67,-66,-66,-73,-67,-73,-82,-74,-80,-74,-80,-78,-78,-70,-79,-76,-75,-100,-67,-75,-81,-86,-86,-85,-100,-86,-84,-84,-79,-87,-100,-87,-86,-50,-60,-61,-67,-47,-65,-71,-77,-66,-67,-73,-66,-70,-79,-78,-70,-75,-85,-86,-84,-84,-88,-100,-85,-58,-77,-69,-100,-78,-78,-83,-100,-82,-82,-82,-85,-100,-74,-78,-86,-77,-77,-78,-77,-91,-69,-69,-66,-66,-70,-87,-69,-70,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-66,-62,-50,-50,-60,-60,-59,-61,-61,-67,-67,-22,-42,-47,-47,-65,-65,-64,-70,-70,-77,-69,-69,-66,-66,-67,-67,-65,-65,-73,-67,-74,-81,-74,-80,-74,-80,-78,-78,-70,-79,-76,-75,-100,-71,-75,-84,-86,-85,-85,-100,-86,-84,-84,-78,-87,-100,-87,-100,-50,-59,-61,-67,-47,-66,-71,-77,-65,-67,-74,-66,-70,-79,-79,-70,-75,-83,-86,-84,-84,-88,-100,-86,-82,-76,-71,-100,-78,-78,-83,-80,-82,-100,-82,-84,-68,-74,-100,-87,-77,-77,-78,-77,-91,-69,-69,-66,-66,-70,-87,-69,-70,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
