44:48:c1:a5:82:30,80:8d:b7:55:39:c0,80:8d:b7:55:39:d0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,80:8d:b7:55:35:01,80:8d:b7:55:35:02,44:48:c1:a5:82:32,38:17:c3:1f:01:92,38:17:c3:1f:01:91,44:48:c1:a5:82:31,38:17:c3:1f:01:81,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:39:c2,80:8d:b7:55:3a:51,00:4e:35:df:06:50,80:8d:b7:55:3a:52,00:4e:35:df:06:51,80:8d:b7:55:25:e3,80:8d:b7:55:3a:41,38:17:c3:19:d7:62,80:8d:b7:55:3a:42,72:32:b1:3e:1a:b7,ac:e2:d3:c4:08:e6,68:ff:7b:e4:af:38,00:4e:35:df:06:41,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,b4:5d:50:e1:92:23,60:32:b1:3e:1a:b8,38:17:c3:1f:09:93,80:8d:b7:55:35:03,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,38:17:c3:1f:0e:00,80:8d:b7:55:35:00,38:17:c3:1f:01:90,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,00:4e:35:df:06:52,80:8d:b7:55:3a:50,38:17:c3:19:d7:60,80:8d:b7:55:3a:40,00:4e:35:df:06:42,38:17:c3:1e:ff:10,20:a6:cd:50:24:a0,b4:5d:50:e1:92:31,38:17:c3:1f:22:30,00:4e:35:de:e1:12,66:2a:2f:53:7c:99,38:17:c3:1f:0e:01,80:8d:b7:55:39:c1,38:17:c3:19:55:52,44:48:c1:a5:82:21,38:17:c3:19:55:51,20:a6:cd:42:0b:f3,b4:5d:50:e1:96:53,00:4e:35:de:e1:01,44:48:c1:a5:82:20,38:17:c3:19:55:50,38:17:c3:1f:09:90,20:a6:cd:42:0b:f0,38:17:c3:19:71:90,b4:5d:50:e1:96:50,00:4e:35:de:e1:02,38:17:c3:1f:01:82,b4:5d:50:e1:92:22,38:17:c3:1e:ff:02,a8:bd:27:4c:bd:31,72:32:b1:3e:1a:b8,38:17:c3:1f:01:80,a8:bd:27:4c:bd:30,38:17:c3:19:d7:61,60:32:b1:3e:1a:b7,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:40,38:17:c3:1f:22:31,20:a6:cd:42:0b:f2,38:17:c3:19:45:b0,80:8d:b7:55:25:e2,00:4e:35:de:e1:10,00:4e:35:de:e1:11,80:8d:b7:55:25:e0,44:48:c1:a5:82:22,68:ff:7b:e4:af:39,38:17:c3:1f:09:83,a8:bd:27:4c:bd:32,38:17:c3:1f:22:32,00:4e:35:de:e1:00,38:17:c3:19:45:a2,38:17:c3:19:45:a0,38:17:c3:1e:ff:01,38:17:c3:1f:09:91,38:17:c3:1f:09:92,b4:5d:50:e1:92:20,38:17:c3:1e:ff:00,b4:5d:50:e1:92:21,80:8d:b7:55:25:e1,38:17:c3:19:55:42,20:a6:cd:42:0b:e3,38:17:c3:19:71:92,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:1f:08:50,a8:bd:27:4c:bd:20,38:17:c3:19:71:91,20:a6:cd:42:0b:f1,38:17:c3:19:55:41,38:17:c3:19:55:40,38:17:c3:1f:08:51,00:4e:35:de:d7:52,00:4e:35:de:d7:53,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1f:08:52,38:17:c3:1f:22:22,00:4e:35:df:0e:12,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:de:d7:50,00:4e:35:de:d7:51,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:d7:43,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:36:30,38:17:c3:19:36:31,38:17:c3:19:71:82,00:4e:35:de:d7:42,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:19:36:32,00:4e:35:de:d7:41,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1f:0f:91,38:17:c3:1f:0f:92,38:17:c3:24:4f:02,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,00:4e:35:df:27:00,00:4e:35:df:27:01,38:17:c3:24:4f:00,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:4f:01,00:4e:35:df:27:12,38:17:c3:1b:08:a0,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:02,00:4e:35:df:27:11,00:4e:35:df:27:10,38:17:c3:1b:08:a1,38:17:c3:1b:08:a2,00:4e:35:de:d7:40,x,y,label
-68,-66,-67,-66,-66,-77,-76,-77,-67,-49,-49,-59,-59,-60,-28,-42,-48,-66,-67,-68,-63,-63,-68,-65,-71,-71,-73,-73,-73,-66,-72,-75,-72,-76,-70,-100,-100,-76,-85,-70,-86,-75,-78,-78,-79,-77,-85,-85,-86,-81,-81,-100,-65,-49,-60,-49,-67,-64,-71,-73,-75,-72,-75,-100,-75,-78,-100,-84,-85,-86,-87,-48,-65,-80,-72,-80,-89,-100,-100,-100,-81,-100,-89,-89,-89,-86,-67,-83,-100,-87,-85,-100,-86,-75,-82,-78,-77,-100,-100,-87,-77,-70,-85,-87,-70,-72,-85,-85,-85,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-68,-64,-68,-68,-68,-78,-77,-77,-69,-49,-49,-60,-60,-60,-25,-43,-49,-66,-67,-68,-66,-66,-68,-69,-77,-77,-73,-73,-73,-65,-73,-76,-73,-75,-67,-73,-100,-73,-83,-84,-100,-77,-77,-77,-100,-100,-100,-84,-100,-81,-84,-100,-64,-50,-60,-49,-67,-66,-77,-73,-76,-73,-75,-73,-76,-77,-82,-100,-87,-85,-87,-48,-65,-100,-70,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-87,-75,-82,-78,-77,-72,-100,-100,-77,-100,-85,-86,-100,-70,-100,-85,-85,-85,-84,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-69,-66,-67,-68,-68,-77,-78,-77,-71,-48,-48,-62,-62,-62,-32,-42,-48,-66,-67,-69,-66,-66,-69,-69,-77,-77,-74,-73,-73,-64,-73,-76,-73,-76,-67,-73,-74,-73,-83,-84,-100,-77,-78,-77,-100,-100,-84,-84,-84,-84,-81,-100,-64,-48,-62,-48,-67,-66,-78,-73,-76,-71,-75,-73,-76,-77,-82,-84,-86,-86,-87,-48,-66,-100,-70,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-85,-66,-86,-74,-82,-77,-77,-76,-86,-100,-77,-100,-87,-86,-100,-71,-87,-88,-87,-86,-84,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-69,-67,-66,-67,-67,-77,-77,-77,-69,-51,-51,-61,-62,-61,-27,-43,-49,-68,-68,-69,-65,-65,-69,-69,-76,-76,-74,-74,-74,-66,-72,-76,-72,-77,-71,-73,-74,-73,-83,-55,-100,-77,-77,-77,-100,-100,-84,-85,-84,-84,-85,-100,-65,-51,-61,-49,-67,-65,-77,-74,-76,-71,-100,-73,-76,-77,-82,-84,-87,-83,-87,-49,-66,-100,-70,-100,-100,-100,-85,-70,-100,-86,-100,-100,-100,-85,-100,-100,-100,-86,-85,-66,-88,-74,-82,-78,-78,-76,-87,-100,-78,-69,-84,-84,-100,-71,-83,-88,-87,-86,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-70,-66,-68,-67,-67,-77,-77,-77,-69,-49,-49,-60,-60,-60,-25,-45,-50,-67,-68,-69,-64,-64,-69,-100,-78,-78,-73,-73,-73,-67,-72,-77,-72,-77,-71,-100,-74,-74,-100,-79,-86,-77,-77,-77,-100,-100,-84,-84,-84,-84,-85,-86,-65,-50,-60,-50,-67,-64,-78,-73,-77,-72,-75,-100,-77,-78,-100,-83,-87,-88,-100,-51,-66,-81,-70,-81,-100,-100,-83,-70,-81,-86,-100,-87,-90,-85,-100,-100,-76,-86,-85,-66,-88,-74,-82,-78,-77,-76,-87,-100,-78,-69,-84,-84,-100,-70,-83,-86,-87,-86,-83,-100,-100,-77,-86,-87,-85,-77,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-69,-66,-66,-68,-68,-77,-77,-77,-67,-49,-49,-61,-60,-60,-28,-46,-50,-67,-68,-69,-66,-65,-69,-65,-77,-78,-74,-74,-74,-67,-73,-80,-72,-80,-69,-73,-100,-72,-84,-79,-86,-77,-77,-77,-100,-100,-84,-84,-84,-84,-82,-86,-64,-49,-61,-50,-67,-65,-77,-74,-79,-73,-77,-73,-77,-76,-100,-83,-87,-84,-86,-50,-67,-81,-100,-81,-100,-89,-83,-100,-81,-86,-100,-87,-90,-85,-65,-100,-76,-86,-100,-66,-87,-100,-100,-78,-77,-76,-89,-100,-78,-68,-84,-84,-69,-70,-83,-87,-87,-100,-83,-100,-100,-77,-86,-87,-85,-77,-86,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-65,-66,-62,-65,-65,-78,-78,-78,-64,-51,-51,-61,-61,-61,-27,-48,-58,-63,-63,-65,-71,-71,-65,-73,-71,-70,-71,-71,-71,-65,-71,-79,-71,-78,-67,-73,-73,-72,-84,-73,-85,-75,-79,-79,-100,-100,-85,-83,-84,-84,-83,-88,-51,-51,-61,-50,-63,-71,-71,-71,-79,-70,-77,-73,-74,-79,-100,-84,-87,-85,-85,-58,-65,-82,-66,-82,-89,-89,-87,-65,-83,-88,-89,-86,-88,-86,-65,-100,-78,-83,-100,-100,-87,-100,-100,-100,-77,-100,-86,-100,-100,-71,-84,-85,-72,-65,-100,-87,-83,-85,-86,-100,-100,-78,-86,-87,-78,-78,-86,-71,-82,-56,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-67,-64,-65,-66,-66,-76,-76,-76,-64,-49,-49,-60,-60,-60,-24,-43,-55,-63,-61,-67,-71,-70,-67,-69,-70,-70,-70,-69,-69,-64,-70,-74,-70,-74,-67,-65,-73,-100,-83,-72,-85,-75,-77,-77,-100,-100,-85,-86,-84,-80,-79,-88,-44,-49,-60,-55,-61,-71,-70,-70,-75,-70,-100,-71,-75,-77,-100,-84,-86,-84,-85,-55,-64,-82,-66,-82,-89,-89,-87,-67,-83,-88,-89,-86,-88,-86,-70,-100,-78,-81,-80,-69,-83,-100,-100,-100,-100,-100,-85,-100,-100,-71,-83,-83,-72,-66,-100,-100,-83,-85,-86,-100,-100,-78,-100,-100,-78,-78,-100,-71,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-67,-63,-66,-66,-66,-76,-76,-76,-62,-50,-50,-59,-59,-59,-24,-44,-52,-62,-62,-67,-69,-69,-66,-69,-71,-71,-70,-70,-70,-63,-70,-74,-70,-74,-70,-65,-73,-71,-83,-70,-85,-75,-77,-77,-100,-80,-85,-85,-84,-52,-79,-88,-62,-50,-59,-52,-62,-69,-71,-71,-74,-70,-100,-71,-75,-77,-100,-84,-85,-83,-85,-52,-63,-84,-66,-84,-89,-89,-87,-67,-84,-88,-89,-87,-88,-86,-70,-83,-78,-81,-80,-69,-83,-100,-100,-78,-79,-75,-83,-100,-79,-71,-83,-82,-72,-66,-100,-86,-83,-84,-86,-100,-100,-78,-100,-100,-78,-78,-100,-71,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-67,-63,-66,-66,-66,-75,-75,-75,-64,-49,-48,-59,-60,-59,-26,-51,-54,-62,-62,-67,-66,-66,-67,-69,-71,-71,-71,-71,-71,-63,-71,-75,-71,-75,-73,-71,-100,-71,-83,-76,-100,-75,-77,-77,-80,-80,-100,-86,-100,-80,-77,-100,-42,-48,-60,-54,-62,-66,-71,-71,-75,-71,-100,-71,-75,-77,-100,-100,-85,-83,-100,-54,-63,-82,-100,-81,-88,-100,-100,-67,-81,-100,-89,-87,-100,-100,-70,-83,-100,-81,-80,-69,-83,-100,-83,-78,-78,-75,-85,-100,-79,-100,-83,-82,-100,-66,-100,-86,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
