80:8d:b7:55:39:c0,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:92,38:17:c3:1f:01:91,44:48:c1:a5:82:31,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,44:48:c1:a5:82:32,80:8d:b7:55:35:03,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:df:06:50,80:8d:b7:55:3a:52,00:4e:35:df:06:51,80:8d:b7:55:3a:51,80:8d:b7:55:25:e3,60:32:b1:3e:1a:b7,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1e:ff:12,38:17:c3:19:55:52,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:61,38:17:c3:1e:ff:11,20:a6:cd:50:24:a1,38:17:c3:1e:ff:01,38:17:c3:19:55:51,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,38:17:c3:1f:09:93,b4:5d:50:e1:92:30,b4:5d:50:e1:92:33,20:a6:cd:42:0b:e3,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,38:17:c3:1f:01:90,38:17:c3:1f:0e:00,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,80:8d:b7:55:35:00,38:17:c3:19:d7:70,20:a6:cd:50:24:b0,00:4e:35:df:06:52,80:8d:b7:55:3a:50,38:17:c3:19:45:b0,38:17:c3:1e:ff:10,38:17:c3:19:d7:60,38:17:c3:19:55:50,20:a6:cd:50:24:a0,a8:bd:27:4c:bd:30,b4:5d:50:e1:92:31,38:17:c3:1f:09:90,38:17:c3:1f:22:30,b4:5d:50:e1:92:21,66:2a:2f:53:7c:99,b0:be:76:f8:30:5e,38:17:c3:1f:01:81,80:8d:b7:55:3a:42,00:4e:35:df:06:41,00:4e:35:df:06:40,20:a6:cd:50:24:a2,38:17:c3:1e:ff:02,b4:5d:50:e1:92:32,60:32:b1:3e:1a:b8,00:4e:35:df:06:42,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,b4:5d:50:e1:96:50,80:8d:b7:55:25:e2,80:8d:b7:55:3a:41,38:17:c3:19:d7:62,b4:5d:50:e1:92:23,38:17:c3:19:45:a2,b4:5d:50:e1:92:22,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:92:20,00:4e:35:de:e1:00,00:4e:35:de:e1:01,80:8d:b7:55:3a:40,38:17:c3:1f:01:82,68:ff:7b:e4:af:39,72:32:b1:3e:1a:b8,38:17:c3:1f:01:80,72:32:b1:3e:1a:b7,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:1f:22:32,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,38:17:c3:19:71:90,20:a6:cd:42:0b:f0,44:48:c1:a5:82:22,44:48:c1:a5:82:21,44:48:c1:a5:82:20,b4:5d:50:e1:96:52,68:ff:7b:e4:af:38,38:17:c3:1f:22:31,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:09:83,38:17:c3:1f:22:20,20:a6:cd:42:0b:f2,00:4e:35:de:e1:02,38:17:c3:1f:08:50,38:17:c3:1f:00:b0,38:17:c3:1f:09:82,38:17:c3:1f:08:51,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:45:a1,38:17:c3:19:55:40,38:17:c3:19:45:a0,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b3,44:48:c1:91:95:b2,44:48:c1:91:95:b0,00:4e:35:de:d7:51,44:48:c1:91:95:b1,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,38:17:c3:1f:22:22,38:17:c3:1f:08:52,00:4e:35:de:d7:50,38:17:c3:1f:22:21,00:4e:35:df:0e:12,00:4e:35:de:d7:42,38:17:c3:19:71:82,a8:bd:27:4c:bd:22,38:17:c3:19:71:81,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:19:36:30,00:4e:35:de:d7:43,38:17:c3:19:71:80,00:4e:35:de:d7:41,38:17:c3:1e:fc:b2,00:4e:35:de:d7:40,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:24:58:a2,38:17:c3:1b:08:a1,38:17:c3:1b:08:b0,00:4e:35:df:27:02,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:1b:08:a2,38:17:c3:24:4f:01,00:4e:35:df:27:12,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:1b:08:a0,00:4e:35:df:27:11,00:4e:35:df:27:10,00:4e:35:df:27:00,38:17:c3:19:36:21,38:17:c3:19:36:20,x,y,label
-63,-51,-52,-62,-62,-62,-63,-63,-64,-65,-68,-21,-45,-47,-47,-69,-66,-66,-66,-73,-73,-73,-67,-67,-74,-74,-75,-75,-76,-77,-77,-77,-73,-85,-80,-80,-81,-81,-75,-75,-82,-79,-79,-83,-84,-85,-86,-86,-87,-86,-52,-62,-64,-65,-47,-69,-73,-67,-74,-75,-77,-78,-80,-81,-75,-82,-79,-85,-86,-86,-88,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-63,-51,-52,-62,-62,-62,-63,-63,-64,-65,-68,-21,-45,-47,-47,-69,-66,-66,-66,-73,-73,-73,-67,-67,-74,-74,-75,-75,-76,-77,-77,-77,-73,-85,-80,-80,-81,-81,-75,-75,-82,-79,-79,-83,-84,-85,-86,-86,-87,-86,-52,-62,-64,-65,-47,-69,-73,-67,-74,-75,-77,-78,-80,-81,-75,-82,-79,-85,-86,-86,-88,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-70,-46,-46,-62,-62,-62,-66,-66,-68,-68,-68,-22,-49,-45,-45,-68,-64,-67,-66,-70,-70,-71,-67,-67,-74,-74,-74,-74,-75,-77,-74,-77,-73,-85,-80,-80,-81,-82,-74,-75,-82,-79,-80,-82,-85,-84,-86,-87,-87,-86,-46,-62,-65,-68,-45,-68,-71,-67,-75,-74,-74,-77,-80,-82,-75,-82,-79,-85,-87,-86,-87,-84,-85,-63,-68,-73,-78,-78,-79,-80,-86,-86,-78,-81,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-70,-46,-47,-62,-62,-62,-64,-64,-67,-67,-69,-22,-46,-45,-46,-69,-66,-67,-68,-72,-72,-71,-69,-69,-74,-74,-74,-74,-75,-76,-75,-76,-71,-85,-79,-80,-81,-82,-77,-74,-81,-79,-80,-82,-85,-84,-86,-87,-86,-86,-46,-62,-64,-67,-46,-69,-72,-67,-75,-75,-75,-76,-80,-81,-74,-82,-79,-85,-87,-86,-87,-84,-89,-66,-68,-73,-78,-78,-76,-80,-85,-86,-78,-81,-85,-88,-70,-73,-75,-82,-83,-84,-88,-89,-85,-86,-87,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-70,-47,-47,-61,-61,-61,-63,-63,-66,-67,-68,-22,-45,-46,-46,-68,-67,-68,-68,-72,-72,-72,-70,-69,-75,-75,-76,-76,-77,-78,-77,-78,-71,-85,-80,-79,-82,-81,-74,-75,-81,-79,-80,-81,-86,-85,-86,-85,-87,-100,-47,-61,-63,-66,-46,-68,-72,-67,-75,-76,-78,-78,-79,-82,-76,-81,-79,-84,-86,-86,-87,-84,-86,-52,-68,-72,-78,-78,-76,-80,-85,-86,-77,-81,-85,-88,-70,-74,-76,-84,-83,-84,-88,-89,-85,-86,-87,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-71,-46,-46,-61,-60,-61,-64,-64,-66,-66,-67,-22,-46,-46,-45,-67,-68,-67,-67,-71,-72,-71,-70,-69,-75,-75,-75,-75,-77,-77,-77,-77,-71,-84,-81,-81,-82,-81,-78,-75,-82,-100,-80,-81,-86,-85,-86,-86,-85,-100,-47,-61,-65,-66,-45,-68,-72,-67,-75,-75,-77,-77,-79,-81,-76,-81,-100,-84,-85,-86,-100,-100,-86,-63,-69,-74,-78,-79,-76,-79,-86,-86,-78,-81,-85,-90,-70,-74,-76,-84,-83,-86,-88,-88,-85,-86,-87,-74,-68,-84,-90,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-66,-47,-47,-58,-57,-57,-64,-64,-72,-72,-73,-17,-46,-49,-49,-73,-68,-67,-67,-70,-71,-71,-65,-66,-74,-73,-78,-78,-72,-73,-72,-73,-71,-79,-81,-81,-78,-81,-78,-75,-78,-100,-80,-81,-86,-85,-86,-86,-85,-100,-47,-58,-63,-72,-49,-72,-71,-67,-74,-78,-71,-74,-79,-78,-76,-81,-100,-84,-85,-86,-85,-100,-86,-70,-69,-74,-79,-79,-100,-79,-86,-86,-78,-100,-83,-90,-100,-74,-69,-84,-100,-86,-100,-88,-85,-100,-100,-74,-68,-84,-90,-68,-80,-83,-84,-85,-88,-88,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-66,-47,-47,-58,-58,-58,-64,-64,-71,-71,-70,-20,-42,-52,-52,-70,-63,-100,-65,-72,-72,-72,-66,-66,-73,-74,-80,-80,-73,-73,-73,-73,-100,-80,-78,-78,-78,-100,-74,-100,-78,-81,-100,-100,-100,-100,-100,-100,-84,-84,-47,-58,-64,-71,-51,-74,-73,-100,-74,-80,-72,-73,-79,-78,-100,-100,-100,-100,-100,-87,-85,-100,-86,-66,-100,-100,-79,-100,-81,-100,-100,-100,-100,-100,-87,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-80,-83,-84,-85,-88,-88,-87,-88,-68,-69,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-66,-47,-47,-58,-58,-58,-64,-64,-72,-71,-74,-24,-44,-52,-52,-74,-58,-66,-65,-72,-72,-72,-67,-66,-73,-73,-80,-80,-73,-73,-73,-73,-100,-80,-78,-78,-79,-100,-73,-100,-78,-81,-75,-100,-100,-100,-100,-100,-85,-84,-47,-58,-64,-72,-52,-74,-72,-66,-74,-80,-73,-73,-79,-78,-100,-100,-100,-100,-100,-87,-86,-100,-86,-65,-100,-71,-78,-100,-81,-75,-100,-100,-79,-76,-84,-83,-100,-72,-71,-100,-100,-100,-84,-84,-85,-100,-100,-72,-66,-81,-100,-100,-79,-85,-84,-85,-89,-88,-87,-88,-68,-69,-69,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-66,-48,-48,-58,-58,-58,-64,-64,-72,-71,-74,-20,-44,-52,-52,-74,-63,-66,-66,-71,-71,-71,-67,-66,-73,-73,-80,-80,-73,-73,-73,-73,-71,-80,-77,-78,-79,-100,-77,-71,-80,-81,-75,-81,-100,-100,-86,-100,-86,-84,-48,-58,-64,-72,-53,-74,-72,-66,-73,-80,-73,-73,-78,-80,-71,-81,-100,-100,-100,-86,-84,-100,-85,-65,-65,-71,-80,-100,-78,-75,-100,-85,-79,-76,-84,-83,-100,-72,-70,-100,-100,-100,-84,-83,-85,-100,-100,-72,-65,-81,-100,-100,-79,-85,-100,-85,-89,-100,-86,-88,-69,-69,-69,-83,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
