38:17:c3:19:55:52,38:17:c3:19:55:51,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,b0:be:76:f8:30:5e,68:ff:7b:e4:af:38,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:a2,38:17:c3:24:58:a1,32:f7:72:50:57:3b,00:4e:35:df:06:50,00:4e:35:df:06:51,70:56:81:c9:91:ab,38:17:c3:19:55:50,38:17:c3:1e:fc:b0,38:17:c3:24:58:b0,80:8d:b7:55:3a:50,00:4e:35:df:06:52,38:17:c3:19:55:42,38:17:c3:19:55:40,38:17:c3:24:58:a0,38:17:c3:19:55:41,68:ff:7b:e4:af:39,66:2a:2f:53:7c:99,38:17:c3:1f:08:51,38:17:c3:1f:08:50,44:48:c1:a5:82:30,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1f:08:42,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,38:17:c3:1f:01:92,38:17:c3:1f:01:91,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:19:d7:72,38:17:c3:19:d7:71,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,38:17:c3:1f:01:81,80:8d:b7:55:3a:52,80:8d:b7:55:25:f1,80:8d:b7:55:3a:51,80:8d:b7:55:25:e3,60:32:b1:3e:1a:b7,38:17:c3:1e:ff:12,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,20:a6:cd:50:24:b2,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:41,a8:bd:27:4c:bd:32,38:17:c3:1f:09:93,b4:5d:50:e1:92:33,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:39:c0,38:17:c3:1e:ff:10,20:a6:cd:50:24:b0,38:17:c3:19:45:b0,00:4e:35:df:06:42,00:4e:35:de:e1:12,38:17:c3:1f:09:90,38:17:c3:19:71:90,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:3a:41,72:32:b1:3e:1a:b7,44:48:c1:a5:82:22,80:8d:b7:55:3a:42,38:17:c3:19:d7:61,38:17:c3:19:d7:62,00:4e:35:de:e1:11,00:4e:35:de:e1:10,b4:5d:50:e1:96:53,20:a6:cd:42:0b:e3,80:8d:b7:55:35:00,38:17:c3:19:d7:60,b4:5d:50:e1:96:50,80:8d:b7:55:25:e2,20:a6:cd:50:24:a1,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,ac:e2:d3:c4:08:e6,b4:5d:50:e1:92:31,60:32:b1:3e:1a:b8,38:17:c3:1f:01:82,80:8d:b7:55:25:e1,44:48:c1:a5:82:21,38:17:c3:19:45:a1,38:17:c3:19:45:a2,b4:5d:50:e1:92:23,38:17:c3:1f:09:83,38:17:c3:1f:01:80,44:48:c1:a5:82:20,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,20:a6:cd:50:24:a2,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:31,38:17:c3:1f:09:91,b4:5d:50:e1:96:43,20:a6:cd:50:24:a0,b4:5d:50:e1:92:21,38:17:c3:19:71:92,38:17:c3:19:71:91,72:32:b1:3e:1a:b8,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:1f:09:92,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:20,b4:5d:50:e1:92:22,38:17:c3:1f:22:30,00:4e:35:df:06:40,00:4e:35:de:e1:01,38:17:c3:19:45:a0,38:17:c3:1f:00:b0,38:17:c3:1f:22:31,38:17:c3:1f:22:32,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,00:4e:35:de:e1:00,38:17:c3:1e:ff:02,00:4e:35:de:e1:02,38:17:c3:1e:ff:00,38:17:c3:1e:ff:01,00:4e:35:de:d7:52,00:4e:35:df:0e:12,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:08:52,38:17:c3:1f:22:22,38:17:c3:1f:22:21,00:4e:35:de:d7:53,44:48:c1:91:95:b2,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:de:d7:50,00:4e:35:de:d7:51,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,00:4e:35:de:d7:43,00:4e:35:df:0e:10,00:4e:35:de:d7:41,00:4e:35:de:d7:42,00:4e:35:de:d7:40,00:4e:35:df:0e:02,38:17:c3:19:36:31,38:17:c3:19:36:30,38:17:c3:19:36:32,00:4e:35:df:0e:11,38:17:c3:1f:22:20,00:4e:35:df:0e:00,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:4f:10,00:4e:35:df:27:01,00:4e:35:df:27:02,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:24:4f:01,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,00:4e:35:df:27:12,38:17:c3:1b:08:b2,38:17:c3:1f:0f:90,38:17:c3:1b:08:b1,00:4e:35:df:27:11,00:4e:35:df:27:10,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,x,y,label
-78,-83,-100,-100,-69,-86,-100,-100,-100,-100,-100,-68,-72,-100,-83,-100,-100,-71,-72,-100,-100,-100,-100,-100,-82,-100,-100,-72,-100,-100,-100,-100,-49,-52,-52,-56,-57,-57,-66,-66,-67,-67,-40,-49,-49,-74,-74,-72,-72,-72,-71,-65,-71,-72,-71,-67,-100,-79,-81,-79,-81,-100,-77,-100,-84,-86,-85,-52,-57,-66,-67,-75,-72,-68,-79,-82,-100,-100,-87,-86,-85,-63,-62,-64,-62,-63,-100,-83,-72,-100,-75,-78,-83,-85,-88,-80,-63,-75,-88,-71,-81,-84,-84,-84,-83,-82,-65,-100,-72,-100,-100,-84,-100,-100,-72,-100,-100,-79,-84,-84,-87,-87,-81,-84,-85,-85,-82,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-83,-100,-100,-67,-86,-100,-100,-100,-100,-100,-68,-75,-100,-83,-100,-100,-72,-75,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-47,-50,-49,-58,-58,-59,-66,-66,-69,-69,-73,-47,-47,-75,-74,-72,-72,-72,-72,-72,-72,-72,-72,-64,-100,-79,-79,-80,-78,-77,-77,-100,-100,-100,-86,-50,-59,-66,-69,-75,-72,-100,-79,-79,-78,-100,-84,-86,-85,-63,-64,-64,-62,-63,-100,-83,-72,-100,-77,-76,-86,-100,-88,-100,-63,-76,-88,-68,-81,-100,-100,-74,-100,-80,-100,-69,-72,-100,-100,-100,-100,-100,-72,-69,-100,-80,-100,-100,-100,-100,-81,-100,-85,-84,-82,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-83,-100,-100,-66,-86,-100,-100,-100,-100,-100,-72,-72,-100,-83,-100,-100,-72,-72,-100,-100,-100,-100,-100,-84,-100,-100,-73,-100,-100,-100,-100,-47,-49,-49,-58,-58,-58,-67,-67,-69,-69,-41,-47,-47,-75,-74,-73,-73,-72,-72,-72,-72,-72,-72,-67,-84,-79,-79,-79,-80,-77,-77,-100,-85,-84,-85,-50,-58,-67,-69,-74,-72,-100,-79,-79,-78,-100,-85,-85,-85,-63,-63,-65,-62,-63,-100,-83,-72,-100,-76,-76,-86,-100,-88,-100,-63,-76,-88,-68,-81,-86,-100,-74,-86,-83,-100,-69,-72,-100,-100,-100,-100,-100,-72,-69,-100,-80,-86,-86,-85,-100,-81,-100,-86,-85,-82,-88,-89,-84,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-82,-100,-100,-100,-68,-86,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-72,-77,-100,-100,-100,-100,-100,-84,-100,-100,-72,-100,-100,-100,-100,-47,-50,-50,-59,-58,-59,-67,-67,-71,-71,-41,-47,-47,-74,-74,-72,-72,-71,-72,-72,-72,-72,-72,-67,-84,-79,-79,-79,-79,-77,-77,-100,-87,-84,-84,-50,-59,-67,-71,-75,-72,-100,-79,-80,-78,-100,-85,-85,-86,-63,-63,-65,-100,-100,-100,-85,-72,-100,-76,-76,-85,-100,-100,-100,-63,-76,-89,-68,-81,-86,-100,-74,-86,-83,-100,-69,-72,-100,-100,-100,-100,-100,-72,-69,-100,-80,-86,-86,-85,-100,-100,-100,-86,-85,-100,-100,-100,-84,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-82,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-72,-77,-100,-100,-100,-100,-84,-84,-100,-100,-73,-100,-100,-100,-100,-47,-50,-50,-59,-59,-59,-67,-67,-71,-71,-40,-47,-47,-74,-74,-73,-72,-72,-71,-100,-72,-71,-72,-67,-84,-79,-80,-78,-80,-77,-78,-100,-85,-84,-85,-50,-59,-67,-71,-74,-71,-100,-79,-80,-78,-100,-85,-85,-85,-63,-63,-65,-100,-100,-100,-85,-72,-100,-77,-78,-85,-100,-89,-100,-63,-77,-89,-69,-100,-86,-100,-73,-86,-81,-71,-69,-100,-100,-79,-100,-86,-72,-100,-69,-100,-81,-86,-86,-85,-100,-100,-100,-85,-86,-100,-100,-100,-84,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-82,-100,-100,-100,-67,-87,-100,-100,-100,-100,-100,-72,-72,-100,-100,-100,-100,-72,-72,-100,-100,-100,-100,-82,-86,-100,-100,-72,-100,-100,-100,-100,-47,-50,-50,-58,-58,-58,-67,-67,-69,-69,-41,-47,-47,-75,-75,-72,-72,-71,-72,-100,-72,-72,-72,-63,-84,-78,-78,-79,-78,-77,-77,-100,-85,-100,-84,-51,-58,-66,-69,-75,-72,-100,-79,-79,-77,-100,-85,-85,-85,-63,-63,-64,-100,-100,-100,-83,-100,-100,-77,-78,-86,-85,-89,-100,-62,-77,-89,-69,-100,-100,-100,-75,-100,-77,-71,-70,-100,-100,-79,-100,-88,-70,-100,-70,-100,-81,-100,-86,-100,-100,-100,-100,-85,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-81,-81,-100,-100,-68,-84,-100,-100,-100,-100,-100,-76,-76,-100,-81,-100,-100,-68,-76,-85,-100,-100,-100,-82,-86,-100,-86,-70,-100,-100,-100,-100,-50,-48,-48,-62,-62,-62,-65,-66,-63,-63,-47,-50,-50,-75,-75,-70,-70,-71,-71,-67,-72,-71,-72,-68,-84,-77,-75,-78,-75,-77,-77,-100,-87,-100,-87,-48,-62,-66,-63,-75,-71,-64,-77,-75,-77,-100,-84,-100,-85,-62,-62,-65,-64,-64,-100,-84,-71,-100,-70,-70,-85,-84,-87,-100,-62,-70,-87,-69,-78,-100,-100,-52,-100,-83,-66,-70,-71,-100,-79,-82,-88,-66,-71,-70,-100,-79,-100,-88,-100,-100,-79,-83,-85,-85,-86,-87,-86,-100,-100,-100,-83,-83,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-81,-81,-100,-100,-70,-86,-100,-100,-100,-100,-100,-76,-76,-100,-81,-100,-100,-68,-76,-85,-100,-100,-100,-100,-86,-100,-86,-69,-100,-100,-100,-100,-50,-48,-48,-62,-62,-61,-66,-66,-63,-63,-47,-50,-50,-100,-100,-69,-69,-70,-71,-67,-100,-71,-100,-68,-84,-77,-75,-77,-75,-84,-83,-100,-87,-100,-86,-48,-62,-66,-63,-100,-71,-64,-77,-75,-84,-100,-84,-87,-86,-62,-57,-65,-65,-65,-100,-84,-71,-100,-69,-70,-85,-85,-89,-86,-63,-69,-88,-100,-79,-100,-100,-79,-100,-82,-66,-100,-71,-100,-100,-82,-100,-66,-71,-100,-100,-78,-100,-88,-100,-100,-79,-83,-100,-100,-80,-88,-86,-100,-100,-100,-83,-83,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-81,-81,-100,-100,-70,-86,-100,-100,-100,-100,-100,-76,-76,-100,-81,-100,-100,-68,-76,-85,-100,-100,-100,-100,-86,-100,-86,-69,-100,-100,-100,-100,-50,-48,-48,-62,-62,-61,-66,-66,-63,-63,-47,-50,-50,-100,-100,-69,-69,-70,-71,-67,-100,-71,-100,-68,-84,-77,-75,-77,-75,-84,-83,-100,-87,-100,-86,-48,-62,-66,-63,-100,-71,-64,-77,-75,-84,-100,-84,-87,-86,-62,-57,-65,-65,-65,-100,-84,-71,-100,-69,-70,-85,-85,-89,-86,-63,-69,-88,-100,-79,-100,-100,-79,-100,-82,-66,-100,-71,-100,-100,-82,-100,-66,-71,-100,-100,-78,-100,-88,-100,-100,-79,-83,-100,-100,-80,-88,-86,-100,-100,-100,-83,-83,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-81,-81,-100,-100,-70,-86,-100,-100,-100,-100,-100,-76,-76,-100,-81,-100,-100,-68,-76,-85,-100,-100,-100,-100,-86,-100,-86,-69,-100,-100,-100,-100,-50,-48,-48,-62,-62,-61,-66,-66,-63,-63,-47,-50,-50,-100,-100,-69,-69,-70,-71,-67,-100,-71,-100,-68,-84,-77,-75,-77,-75,-84,-83,-100,-87,-100,-86,-48,-62,-66,-63,-100,-71,-64,-77,-75,-84,-100,-84,-87,-86,-62,-57,-65,-65,-65,-100,-84,-71,-100,-69,-70,-85,-85,-89,-86,-63,-69,-88,-100,-79,-100,-100,-79,-100,-82,-66,-100,-71,-100,-100,-82,-100,-66,-71,-100,-100,-78,-100,-88,-100,-100,-79,-83,-100,-100,-80,-88,-86,-100,-100,-100,-83,-83,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
