44:48:c1:a5:82:30,b0:be:76:f8:30:5e,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:92,38:17:c3:1f:01:91,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,44:48:c1:a5:82:32,44:48:c1:a5:82:31,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:39:c2,38:17:c3:1f:01:82,80:8d:b7:55:25:e3,80:8d:b7:55:3a:41,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:19:55:52,38:17:c3:19:55:51,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,ac:e2:d3:c4:08:e6,00:4e:35:df:06:41,20:a6:cd:50:24:a1,a8:bd:27:4c:bd:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:32,00:4e:35:de:e1:10,b4:5d:50:e1:92:30,a8:bd:27:4c:bd:31,00:4e:35:de:e1:11,38:17:c3:19:45:a2,38:17:c3:19:45:a1,60:32:b1:3e:1a:b8,38:17:c3:1f:09:93,38:17:c3:19:55:41,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,38:17:c3:1f:01:90,38:17:c3:1f:0e:00,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,00:4e:35:df:06:52,80:8d:b7:55:3a:50,38:17:c3:19:55:50,38:17:c3:1e:ff:10,00:4e:35:df:06:42,b4:5d:50:e1:92:31,00:4e:35:de:e1:12,a8:bd:27:4c:bd:30,38:17:c3:19:45:a0,38:17:c3:1f:09:90,38:17:c3:19:55:40,80:8d:b7:55:35:01,80:8d:b7:55:35:03,60:32:b1:3e:1a:b7,44:48:c1:a5:82:21,38:17:c3:19:45:b1,38:17:c3:19:45:b2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:19:d7:62,38:17:c3:19:d7:61,68:ff:7b:e4:af:38,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,38:17:c3:19:45:b0,20:a6:cd:50:24:b0,38:17:c3:19:d7:60,66:2a:2f:53:7c:99,80:8d:b7:55:39:c1,44:48:c1:a5:82:22,72:32:b1:3e:1a:b7,00:4e:35:df:06:40,38:17:c3:1e:ff:01,80:8d:b7:55:39:c0,44:48:c1:a5:82:20,38:17:c3:1e:ff:00,80:8d:b7:55:35:02,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:42,20:a6:cd:50:24:a2,b4:5d:50:e1:92:22,38:17:c3:1f:09:83,68:ff:7b:e4:af:39,80:8d:b7:55:35:00,80:8d:b7:55:25:e0,b4:5d:50:e1:96:50,38:17:c3:1f:01:81,b4:5d:50:e1:92:23,38:17:c3:1e:ff:02,38:17:c3:1f:22:31,38:17:c3:1f:22:32,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,b4:5d:50:e1:96:43,38:17:c3:1f:01:80,80:8d:b7:55:3a:40,38:17:c3:1f:22:30,38:17:c3:19:71:90,00:4e:35:de:e1:02,20:a6:cd:42:0b:f0,20:a6:cd:50:24:a0,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f2,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,38:17:c3:1f:22:22,00:4e:35:de:e1:01,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,72:32:b1:3e:1a:b8,38:17:c3:19:71:91,80:8d:b7:55:29:d0,38:17:c3:1f:08:51,38:17:c3:1f:08:50,38:17:c3:19:71:92,38:17:c3:1f:08:52,00:4e:35:de:e1:00,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:09:91,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:09:92,38:17:c3:19:55:42,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:df:0e:12,44:48:c1:91:95:b3,38:17:c3:1f:08:42,44:48:c1:91:95:b0,44:48:c1:91:95:b2,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:de:d7:50,00:4e:35:de:d7:51,00:4e:35:df:0e:11,a8:bd:27:4c:bd:22,38:17:c3:19:71:82,00:4e:35:de:d7:40,00:4e:35:de:d7:43,00:4e:35:de:d7:42,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:df:0e:10,00:4e:35:de:d7:41,38:17:c3:19:36:30,44:48:c1:91:95:b1,38:17:c3:19:36:31,00:4e:35:df:0e:02,38:17:c3:19:36:32,00:4e:35:df:0e:00,38:17:c3:1e:fc:b0,38:17:c3:19:36:21,38:17:c3:19:36:20,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:19:36:22,00:4e:35:df:0e:01,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1f:0f:91,38:17:c3:1f:0f:92,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:24:58:a1,38:17:c3:24:58:a2,32:f7:72:50:57:3b,38:17:c3:24:58:a0,00:4e:35:df:27:02,38:17:c3:1b:08:b0,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:4f:00,38:17:c3:1b:08:a2,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,00:4e:35:df:27:12,00:4e:35:df:27:01,00:4e:35:df:27:00,00:4e:35:df:27:11,00:4e:35:df:27:10,x,y,label
-69,-65,-46,-46,-64,-64,-64,-65,-65,-67,-68,-45,-48,-48,-69,-69,-71,-71,-73,-73,-73,-69,-70,-71,-74,-78,-78,-78,-78,-79,-79,-80,-80,-75,-77,-79,-83,-83,-83,-84,-84,-84,-84,-81,-81,-82,-87,-85,-46,-64,-65,-68,-48,-71,-74,-77,-78,-79,-81,-76,-82,-84,-84,-81,-87,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-69,-65,-46,-46,-64,-64,-64,-66,-66,-68,-68,-77,-48,-48,-69,-70,-71,-71,-73,-73,-73,-69,-70,-69,-74,-78,-77,-76,-76,-79,-79,-80,-80,-75,-77,-79,-83,-83,-83,-84,-84,-84,-85,-81,-81,-82,-87,-85,-46,-64,-66,-68,-48,-71,-73,-76,-78,-79,-81,-76,-82,-85,-84,-81,-87,-84,-66,-67,-83,-73,-79,-79,-80,-80,-76,-76,-88,-88,-88,-89,-79,-80,-76,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-69,-64,-46,-46,-64,-64,-64,-66,-66,-67,-68,-43,-48,-47,-69,-69,-71,-71,-73,-73,-73,-67,-70,-69,-74,-78,-78,-76,-76,-78,-78,-80,-80,-78,-76,-79,-84,-84,-84,-84,-84,-83,-85,-81,-81,-82,-87,-85,-46,-64,-66,-68,-47,-71,-73,-76,-78,-78,-82,-76,-83,-85,-84,-81,-87,-84,-66,-67,-83,-73,-79,-79,-80,-80,-77,-76,-88,-88,-88,-89,-79,-80,-76,-87,-67,-73,-84,-77,-80,-67,-73,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-69,-66,-47,-47,-64,-64,-64,-65,-65,-69,-69,-42,-49,-49,-69,-69,-71,-71,-74,-74,-74,-68,-71,-69,-75,-77,-77,-75,-76,-79,-79,-81,-80,-63,-77,-79,-83,-84,-84,-85,-84,-83,-86,-100,-100,-82,-100,-100,-47,-64,-66,-69,-50,-71,-74,-75,-78,-78,-80,-76,-83,-85,-84,-100,-87,-100,-64,-67,-84,-73,-79,-80,-80,-80,-76,-76,-86,-88,-89,-88,-79,-80,-76,-86,-68,-73,-84,-77,-80,-67,-73,-79,-65,-71,-71,-74,-79,-85,-87,-87,-65,-72,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-69,-64,-47,-47,-65,-65,-64,-65,-66,-69,-69,-42,-49,-47,-69,-69,-71,-71,-73,-73,-74,-67,-71,-100,-75,-78,-77,-76,-76,-79,-79,-81,-80,-63,-77,-79,-83,-84,-84,-84,-84,-83,-86,-100,-100,-82,-100,-100,-47,-65,-66,-69,-47,-71,-74,-76,-78,-78,-80,-76,-83,-85,-84,-100,-87,-100,-64,-67,-84,-73,-79,-79,-81,-80,-76,-76,-87,-89,-89,-88,-79,-81,-76,-86,-68,-73,-84,-77,-80,-68,-73,-79,-65,-71,-71,-74,-79,-85,-87,-87,-65,-72,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-69,-67,-45,-45,-65,-65,-64,-65,-65,-68,-68,-41,-49,-48,-69,-69,-71,-71,-73,-73,-74,-67,-71,-100,-75,-78,-77,-79,-79,-79,-79,-80,-80,-65,-76,-79,-83,-84,-84,-85,-83,-100,-85,-100,-100,-84,-100,-100,-46,-65,-66,-68,-47,-71,-74,-80,-78,-100,-81,-77,-84,-85,-100,-100,-88,-100,-66,-65,-84,-100,-79,-80,-82,-83,-76,-76,-87,-88,-88,-88,-79,-82,-77,-86,-67,-100,-100,-77,-100,-67,-100,-100,-66,-71,-71,-74,-79,-85,-87,-87,-66,-72,-88,-71,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-66,-67,-51,-51,-60,-59,-59,-65,-65,-67,-67,-74,-51,-51,-66,-67,-74,-75,-72,-72,-71,-65,-100,-73,-72,-73,-73,-76,-75,-100,-100,-79,-78,-74,-75,-81,-100,-84,-84,-85,-83,-100,-85,-100,-100,-84,-100,-100,-51,-60,-66,-67,-51,-75,-72,-75,-73,-100,-79,-75,-84,-87,-100,-100,-88,-100,-63,-62,-82,-70,-79,-80,-79,-79,-100,-100,-87,-88,-88,-100,-79,-79,-77,-83,-67,-70,-83,-77,-78,-67,-70,-79,-63,-100,-100,-100,-100,-100,-87,-87,-63,-100,-88,-69,-84,-78,-85,-86,-87,-88,-85,-69,-72,-85,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-66,-68,-51,-51,-59,-59,-59,-66,-66,-67,-67,-50,-51,-51,-67,-67,-75,-75,-72,-72,-72,-65,-100,-66,-72,-73,-73,-75,-75,-82,-82,-79,-78,-74,-75,-81,-85,-84,-86,-100,-85,-85,-100,-100,-100,-83,-100,-100,-51,-59,-66,-67,-51,-75,-71,-75,-73,-82,-79,-75,-85,-87,-85,-100,-87,-100,-63,-64,-82,-71,-100,-100,-79,-79,-73,-73,-100,-100,-100,-100,-100,-80,-73,-86,-65,-70,-83,-100,-78,-65,-70,-79,-63,-100,-100,-72,-100,-100,-100,-100,-62,-100,-100,-69,-100,-78,-85,-84,-89,-88,-85,-69,-72,-84,-86,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-66,-67,-52,-52,-59,-59,-59,-66,-65,-67,-67,-48,-51,-50,-66,-66,-76,-75,-72,-72,-72,-65,-68,-66,-72,-73,-73,-75,-75,-82,-81,-78,-79,-74,-75,-81,-85,-86,-85,-100,-85,-85,-100,-100,-100,-83,-87,-100,-52,-59,-66,-67,-51,-75,-72,-75,-73,-82,-79,-75,-85,-87,-86,-100,-86,-100,-63,-65,-82,-71,-100,-100,-79,-80,-73,-73,-100,-100,-100,-100,-100,-79,-73,-86,-65,-71,-82,-75,-79,-65,-71,-79,-64,-100,-100,-72,-100,-85,-87,-100,-63,-100,-100,-69,-100,-79,-86,-86,-89,-88,-85,-68,-72,-85,-86,-85,-90,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-66,-66,-50,-50,-60,-60,-60,-66,-66,-68,-68,-45,-51,-51,-67,-67,-76,-75,-71,-71,-71,-65,-68,-67,-72,-73,-73,-75,-75,-82,-83,-79,-78,-74,-75,-100,-85,-85,-85,-86,-85,-85,-100,-80,-80,-83,-87,-100,-50,-60,-66,-68,-51,-75,-71,-76,-71,-84,-79,-75,-85,-85,-85,-100,-86,-100,-62,-62,-100,-71,-100,-100,-80,-79,-73,-73,-100,-100,-100,-100,-100,-79,-73,-86,-65,-71,-82,-75,-79,-65,-71,-79,-63,-100,-71,-72,-100,-85,-87,-100,-63,-100,-100,-67,-83,-79,-86,-86,-89,-100,-100,-68,-100,-85,-86,-100,-90,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
