60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:43,44:48:c1:91:d0:10,44:48:c1:91:d0:14,38:17:c3:1f:14:12,38:17:c3:1f:14:11,44:48:c1:91:d0:12,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:19:45:b2,38:17:c3:24:47:52,38:17:c3:24:47:51,44:48:c1:91:95:b3,44:48:c1:91:95:b1,38:17:c3:19:45:b1,38:17:c3:1f:09:91,44:48:c1:91:95:b0,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,38:17:c3:1f:00:b0,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:50,44:48:c1:91:d0:11,38:17:c3:1f:14:10,38:17:c3:1f:19:d0,9c:d6:43:60:92:e0,38:17:c3:19:45:b0,38:17:c3:24:47:50,38:17:c3:1f:09:90,44:48:c1:91:95:b2,a8:bd:27:4c:aa:90,38:17:c3:1f:19:f0,a8:bd:27:4c:aa:82,20:a6:cd:42:0a:c3,38:17:c3:1f:14:00,38:17:c3:1f:00:a0,38:17:c3:19:d7:70,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:80,44:48:c1:91:aa:30,38:17:c3:22:61:90,44:48:c1:91:d0:02,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,44:48:c1:91:aa:31,38:17:c3:1f:1c:10,44:48:c1:91:9d:50,72:32:b1:3e:1a:b8,38:17:c3:1f:14:02,44:48:c1:91:d0:04,20:a6:cd:42:0a:c0,38:17:c3:1f:09:83,38:17:c3:1f:09:82,44:48:c1:91:95:a0,a8:bd:27:4c:aa:83,44:48:c1:91:95:a3,44:48:c1:91:aa:32,20:a6:cd:42:0a:c2,44:48:c1:91:d0:01,b4:5d:50:e1:96:40,38:17:c3:1f:09:80,38:17:c3:1f:14:01,38:17:c3:1f:09:81,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:72,92:32:4b:b2:cc:47,38:17:c3:19:36:30,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b7,20:a6:cd:42:0a:c1,20:a6:cd:42:13:f1,38:17:c3:1f:19:c1,20:a6:cd:42:13:e2,38:17:c3:1f:19:c2,20:a6:cd:42:13:f0,38:17:c3:1f:19:c0,b6:e6:2d:69:d5:58,20:a6:cd:42:13:f2,38:17:c3:1a:cf:d2,38:17:c3:1a:cf:d1,38:17:c3:22:5e:f1,38:17:c3:22:5e:f2,38:17:c3:1a:cf:d0,38:17:c3:24:56:50,38:17:c3:22:5e:f0,b0:b8:67:3d:c2:f2,44:48:c1:91:aa:22,44:48:c1:91:aa:21,80:8d:b7:55:25:e3,44:48:c1:91:aa:20,44:48:c1:91:d0:00,44:48:c1:91:95:a2,44:48:c1:91:9d:51,44:48:c1:91:95:a1,38:17:c3:19:45:a0,20:a6:cd:42:13:e0,38:17:c3:19:45:a1,20:a6:cd:42:13:e1,38:17:c3:19:45:a2,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,38:17:c3:19:d7:62,38:17:c3:19:d7:71,38:17:c3:19:d7:60,80:8d:b7:55:35:03,38:17:c3:19:d7:61,38:17:c3:19:36:31,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f2,38:17:c3:19:36:32,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:29:d0,80:8d:b7:55:25:e2,80:8d:b7:55:35:10,80:8d:b7:55:3a:50,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:42,ea:9e:b4:53:24:54,80:8d:b7:55:3a:51,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:3a:40,80:8d:b7:55:3a:52,80:8d:b7:55:3a:41,38:17:c3:1e:ff:10,20:a6:cd:50:24:a0,38:17:c3:19:71:90,b0:be:76:f8:30:5e,38:17:c3:19:71:91,80:8d:b7:55:39:c0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,38:17:c3:19:71:92,68:ff:7b:e4:af:38,68:ff:7b:e4:af:39,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:0e:10,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:19:36:20,38:17:c3:1e:ff:12,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1f:22:30,38:17:c3:1e:ff:11,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,20:a6:cd:50:24:b0,00:4e:35:df:06:52,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,00:4e:35:de:e1:12,38:17:c3:1e:ff:00,00:4e:35:df:06:41,20:a6:cd:50:24:b1,38:17:c3:1f:22:32,38:17:c3:1f:22:31,00:4e:35:df:06:40,00:4e:35:df:06:42,20:a6:cd:50:24:b2,00:4e:35:df:06:50,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,00:4e:35:df:06:51,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:e1:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:22:22,80:8d:b7:55:4d:02,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,80:8d:b7:55:4d:11,80:8d:b7:55:4d:10,38:17:c3:1f:0e:02,x,y,label
-56,-59,-59,-68,-68,-68,-60,-63,-63,-69,-69,-69,-64,-72,-71,-71,-71,-71,-74,-74,-79,-79,-78,-79,-78,-80,-80,-79,-80,-81,-83,-83,-83,-59,-68,-69,-71,-71,-74,-71,-78,-79,-80,-80,-82,-86,-79,-70,-68,-63,-87,-79,-79,-86,-87,-71,-70,-70,-86,-89,-88,-63,-68,-67,-71,-79,-76,-75,-80,-75,-86,-71,-73,-70,-76,-68,-74,-82,-86,-87,-86,-86,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-56,-60,-60,-70,-70,-70,-57,-63,-63,-69,-68,-68,-86,-74,-73,-71,-72,-74,-73,-73,-80,-80,-80,-80,-80,-80,-80,-80,-80,-82,-83,-83,-84,-59,-69,-68,-74,-72,-74,-75,-80,-80,-81,-79,-83,-100,-78,-70,-68,-63,-100,-100,-100,-100,-86,-100,-100,-100,-100,-89,-88,-100,-68,-100,-71,-76,-74,-100,-100,-75,-100,-71,-100,-100,-74,-68,-74,-83,-100,-100,-100,-87,-100,-71,-83,-83,-83,-83,-84,-84,-79,-83,-86,-87,-88,-88,-86,-86,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-56,-61,-60,-69,-70,-69,-57,-65,-64,-68,-68,-68,-72,-73,-73,-71,-71,-73,-74,-73,-80,-80,-79,-80,-80,-80,-81,-80,-80,-82,-83,-83,-83,-59,-69,-68,-73,-72,-74,-76,-79,-80,-81,-79,-83,-100,-78,-70,-68,-62,-100,-100,-79,-100,-86,-100,-100,-100,-100,-89,-88,-100,-68,-100,-70,-75,-73,-100,-100,-75,-100,-71,-100,-100,-74,-68,-74,-83,-100,-100,-100,-87,-100,-71,-83,-83,-83,-85,-84,-84,-79,-83,-86,-87,-88,-88,-86,-87,-87,-90,-80,-81,-84,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-56,-60,-60,-69,-69,-69,-56,-63,-64,-68,-68,-68,-67,-72,-72,-71,-71,-73,-73,-73,-79,-79,-78,-78,-78,-79,-80,-80,-79,-80,-83,-83,-85,-60,-69,-68,-73,-72,-73,-75,-78,-79,-80,-81,-84,-100,-78,-69,-68,-64,-100,-78,-78,-100,-86,-70,-100,-100,-100,-90,-88,-56,-68,-100,-69,-77,-74,-100,-78,-74,-100,-69,-100,-100,-73,-64,-74,-83,-100,-100,-100,-87,-100,-71,-100,-83,-82,-85,-84,-100,-79,-83,-86,-87,-88,-88,-86,-87,-87,-90,-80,-81,-84,-81,-71,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-56,-60,-60,-70,-70,-70,-59,-64,-64,-68,-68,-68,-64,-72,-72,-72,-72,-72,-73,-73,-79,-79,-78,-79,-79,-80,-79,-78,-78,-80,-83,-83,-84,-60,-70,-67,-72,-72,-73,-73,-78,-79,-79,-79,-83,-100,-100,-67,-68,-63,-100,-78,-78,-100,-100,-70,-100,-100,-100,-90,-88,-63,-68,-100,-70,-77,-74,-100,-78,-74,-100,-70,-100,-100,-73,-64,-74,-83,-100,-100,-100,-87,-100,-70,-100,-83,-82,-85,-100,-100,-100,-100,-86,-88,-88,-100,-85,-87,-87,-100,-80,-81,-84,-81,-71,-75,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-56,-60,-60,-70,-70,-70,-59,-64,-64,-68,-68,-68,-64,-72,-72,-72,-72,-72,-73,-73,-79,-79,-78,-79,-79,-80,-79,-78,-78,-80,-83,-83,-84,-60,-70,-67,-72,-72,-73,-73,-78,-79,-79,-79,-83,-100,-100,-67,-68,-63,-100,-78,-78,-100,-100,-70,-100,-100,-100,-90,-88,-63,-68,-100,-70,-77,-74,-100,-78,-74,-100,-70,-100,-100,-73,-64,-74,-83,-100,-100,-100,-87,-100,-70,-100,-83,-82,-85,-100,-100,-100,-100,-86,-88,-88,-100,-85,-87,-87,-100,-80,-81,-84,-81,-71,-75,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-62,-63,-63,-72,-72,-72,-52,-64,-64,-71,-71,-71,-64,-73,-73,-75,-75,-73,-78,-78,-82,-81,-78,-80,-80,-81,-80,-77,-81,-81,-83,-84,-83,-61,-72,-71,-73,-75,-78,-71,-77,-80,-82,-81,-83,-100,-100,-69,-100,-64,-100,-78,-78,-100,-100,-100,-100,-72,-100,-100,-87,-52,-65,-72,-72,-74,-75,-100,-76,-76,-100,-69,-100,-100,-100,-68,-74,-100,-100,-100,-100,-86,-100,-72,-100,-100,-85,-83,-100,-100,-100,-100,-87,-88,-87,-87,-85,-100,-87,-100,-84,-80,-100,-81,-100,-75,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-62,-62,-62,-72,-72,-72,-52,-64,-64,-72,-71,-71,-67,-73,-73,-75,-76,-73,-78,-78,-81,-81,-100,-81,-81,-80,-79,-77,-81,-81,-83,-83,-83,-62,-72,-71,-73,-76,-78,-72,-77,-80,-81,-79,-83,-100,-100,-69,-65,-64,-100,-78,-100,-100,-100,-75,-100,-72,-100,-100,-100,-52,-65,-72,-72,-75,-75,-78,-76,-77,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-86,-100,-75,-78,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-62,-62,-62,-72,-72,-72,-57,-64,-64,-71,-71,-71,-68,-73,-73,-76,-75,-73,-78,-77,-81,-81,-77,-81,-81,-80,-80,-77,-80,-80,-83,-84,-83,-62,-72,-71,-73,-76,-78,-71,-77,-81,-81,-80,-84,-100,-77,-69,-64,-64,-100,-78,-100,-100,-100,-75,-72,-72,-100,-100,-100,-52,-64,-72,-71,-67,-75,-78,-76,-77,-100,-71,-100,-72,-100,-100,-100,-100,-100,-100,-100,-87,-100,-71,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-100,-89,-100,-84,-100,-86,-83,-75,-78,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-62,-62,-62,-72,-72,-72,-53,-64,-64,-71,-71,-71,-69,-73,-73,-76,-76,-73,-78,-78,-81,-81,-77,-80,-80,-80,-80,-77,-81,-80,-82,-83,-83,-62,-72,-70,-73,-76,-78,-71,-77,-80,-81,-80,-84,-100,-77,-70,-65,-64,-100,-78,-100,-100,-100,-75,-72,-72,-100,-100,-100,-100,-64,-74,-71,-77,-100,-78,-76,-78,-100,-72,-100,-72,-100,-65,-100,-85,-100,-100,-100,-89,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-100,-89,-100,-100,-100,-86,-83,-75,-78,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
