60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:14:11,b4:5d:50:e1:96:51,38:17:c3:1f:14:12,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,60:32:b1:3e:1a:b8,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,44:48:c1:91:d0:14,44:48:c1:91:d0:12,44:48:c1:91:d0:10,20:a6:cd:42:0a:c3,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,44:48:c1:91:95:b0,44:48:c1:91:95:b3,38:17:c3:19:45:b1,38:17:c3:19:45:b2,44:48:c1:91:95:b1,38:17:c3:1f:09:91,38:17:c3:1f:09:93,38:17:c3:24:47:51,38:17:c3:24:47:52,38:17:c3:1f:09:92,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,44:48:c1:91:95:a3,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,20:a6:cd:42:13:f2,20:a6:cd:42:13:f1,38:17:c3:1f:00:b0,38:17:c3:1f:14:10,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d2,44:48:c1:91:d0:11,38:17:c3:1f:00:a0,38:17:c3:1f:19:d0,44:48:c1:91:95:b2,9c:d6:43:60:92:e0,38:17:c3:19:45:b0,38:17:c3:1f:09:90,38:17:c3:24:47:50,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:90,20:a6:cd:42:13:f0,38:17:c3:19:36:30,38:17:c3:22:61:90,38:17:c3:19:d7:70,72:32:b1:3e:1a:b8,38:17:c3:1f:14:01,38:17:c3:1f:14:02,44:48:c1:91:d0:04,38:17:c3:1f:09:83,a8:bd:27:4c:aa:83,38:17:c3:1f:09:82,38:17:c3:1f:14:00,38:17:c3:24:56:50,38:17:c3:22:5e:f0,b6:e6:2d:69:d5:58,38:17:c3:22:61:92,20:a6:cd:42:13:e2,00:4e:35:de:d7:43,20:a6:cd:42:13:e0,38:17:c3:1f:1c:10,38:17:c3:1a:cf:d0,b4:5d:50:e1:96:43,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,20:a6:cd:42:0a:c1,44:48:c1:91:d0:02,20:a6:cd:42:0a:c0,38:17:c3:1f:19:c2,b4:5d:50:e1:96:40,20:a6:cd:42:0a:c2,66:2a:2f:53:7c:99,44:48:c1:91:aa:21,44:48:c1:91:aa:22,38:17:c3:22:5e:f1,38:17:c3:22:5e:f2,44:48:c1:91:d0:01,44:48:c1:91:aa:20,38:17:c3:1f:09:81,44:48:c1:91:95:a0,ac:e2:d3:c4:08:e6,38:17:c3:1f:09:80,38:17:c3:1f:19:c0,80:8d:b7:55:25:e3,44:48:c1:91:95:a1,38:17:c3:19:45:a1,44:48:c1:91:95:a2,38:17:c3:1f:19:f2,38:17:c3:1f:19:c1,20:a6:cd:42:0b:e3,38:17:c3:19:45:a0,44:48:c1:91:d0:00,38:17:c3:19:45:a2,38:17:c3:1f:19:f1,38:17:c3:1f:19:f0,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,38:17:c3:19:d7:71,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:e1,38:17:c3:19:d7:60,38:17:c3:19:d7:62,20:a6:cd:42:0b:e2,72:32:b1:3e:1a:b7,38:17:c3:19:d7:61,38:17:c3:19:36:31,38:17:c3:19:36:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:35:03,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:3a:50,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:11,ea:9e:b4:53:24:54,b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:12,80:8d:b7:55:35:00,80:8d:b7:55:39:d0,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:1e:ff:10,80:8d:b7:55:3a:40,80:8d:b7:55:29:d1,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,68:ff:7b:e4:af:39,38:17:c3:19:71:90,38:17:c3:19:71:91,00:4e:35:df:06:52,38:17:c3:1e:ff:11,20:a6:cd:50:24:b0,68:ff:7b:e4:af:38,38:17:c3:19:71:92,38:17:c3:19:36:21,38:17:c3:19:36:20,38:17:c3:1e:ff:01,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:1e:ff:00,38:17:c3:19:71:80,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,00:4e:35:df:06:42,00:4e:35:de:e1:12,38:17:c3:1e:ff:12,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:22:30,38:17:c3:1f:0e:10,80:8d:b7:55:39:c2,00:4e:35:df:06:40,80:8d:b7:55:39:c0,38:17:c3:1e:ff:02,80:8d:b7:55:39:c1,38:17:c3:19:36:22,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,20:a6:cd:50:24:a0,80:8d:b7:55:29:c2,00:4e:35:df:06:41,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,00:4e:35:df:06:51,44:48:c1:a5:82:30,38:17:c3:1f:22:32,38:17:c3:1f:22:31,00:4e:35:df:06:50,38:17:c3:1f:0e:01,00:4e:35:de:e1:11,38:17:c3:1f:22:20,00:4e:35:de:e1:10,38:17:c3:1f:22:22,38:17:c3:1f:22:21,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:e1:02,38:17:c3:1f:0e:00,80:8d:b7:55:4d:10,80:8d:b7:55:4d:01,38:17:c3:1f:0e:02,80:8d:b7:55:4d:00,80:8d:b7:55:4d:11,80:8d:b7:55:4d:12,80:8d:b7:55:4d:02,x,y,label
-58,-63,-63,-67,-77,-67,-68,-68,-54,-70,-70,-70,-72,-72,-72,-67,-67,-67,-75,-75,-76,-76,-77,-77,-76,-80,-80,-79,-78,-80,-80,-82,-81,-74,-78,-78,-85,-85,-63,-68,-68,-70,-72,-67,-75,-76,-65,-77,-80,-79,-78,-82,-85,-87,-86,-88,-55,-69,-70,-66,-75,-77,-77,-69,-87,-88,-89,-88,-83,-89,-83,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-58,-62,-62,-67,-66,-67,-67,-68,-52,-70,-70,-70,-73,-73,-73,-67,-66,-66,-75,-75,-77,-77,-79,-78,-77,-80,-79,-78,-78,-80,-81,-81,-81,-76,-78,-78,-100,-100,-62,-68,-68,-70,-73,-67,-75,-76,-73,-78,-80,-78,-78,-81,-100,-87,-100,-100,-55,-69,-70,-68,-77,-77,-77,-69,-87,-100,-89,-100,-83,-89,-83,-90,-90,-69,-69,-69,-70,-70,-70,-82,-69,-70,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-58,-63,-63,-67,-68,-67,-68,-68,-53,-70,-70,-70,-72,-72,-72,-54,-64,-63,-76,-76,-76,-76,-79,-78,-76,-79,-80,-78,-78,-79,-83,-82,-81,-76,-78,-78,-100,-100,-62,-67,-68,-70,-72,-63,-76,-76,-72,-78,-79,-78,-78,-82,-100,-87,-100,-100,-58,-70,-70,-64,-75,-79,-77,-70,-87,-88,-89,-100,-84,-89,-83,-90,-90,-69,-69,-70,-71,-69,-71,-82,-69,-70,-88,-82,-83,-88,-89,-69,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-58,-63,-63,-67,-68,-68,-68,-68,-55,-70,-70,-69,-72,-71,-71,-68,-67,-63,-75,-75,-77,-76,-77,-77,-77,-79,-80,-78,-78,-80,-81,-82,-81,-81,-76,-100,-100,-100,-62,-68,-68,-70,-72,-63,-75,-77,-51,-77,-80,-78,-100,-81,-100,-87,-100,-100,-58,-69,-69,-67,-75,-75,-77,-69,-100,-88,-100,-100,-84,-100,-100,-100,-100,-69,-70,-70,-71,-70,-71,-82,-70,-70,-88,-82,-83,-88,-89,-69,-82,-76,-76,-86,-77,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-59,-63,-63,-67,-67,-67,-66,-67,-52,-70,-70,-70,-73,-73,-73,-67,-66,-66,-76,-75,-77,-76,-77,-76,-77,-80,-79,-78,-78,-79,-81,-81,-80,-86,-76,-76,-100,-100,-62,-67,-67,-70,-73,-66,-75,-77,-73,-77,-79,-78,-100,-81,-100,-87,-100,-100,-57,-69,-68,-67,-76,-75,-77,-69,-100,-88,-100,-100,-84,-100,-100,-100,-100,-69,-70,-70,-73,-70,-71,-100,-71,-73,-100,-82,-83,-88,-89,-70,-82,-76,-76,-86,-76,-82,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-59,-63,-63,-67,-67,-67,-68,-68,-55,-70,-70,-70,-72,-72,-73,-66,-65,-65,-75,-75,-77,-77,-77,-76,-77,-79,-79,-78,-78,-79,-81,-81,-81,-77,-76,-76,-100,-100,-62,-68,-67,-70,-73,-64,-75,-77,-72,-77,-80,-78,-100,-81,-100,-100,-100,-100,-56,-70,-68,-69,-75,-75,-76,-69,-100,-89,-85,-100,-100,-100,-100,-100,-100,-70,-70,-70,-72,-70,-100,-100,-70,-73,-100,-82,-83,-100,-100,-69,-83,-76,-74,-86,-76,-82,-87,-74,-77,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-60,-62,-61,-71,-77,-71,-77,-77,-52,-69,-69,-69,-73,-73,-73,-66,-61,-61,-80,-80,-82,-80,-77,-76,-80,-81,-82,-78,-78,-83,-83,-83,-84,-81,-76,-76,-100,-100,-60,-71,-77,-69,-73,-61,-80,-81,-69,-77,-81,-78,-100,-85,-100,-100,-100,-100,-54,-64,-68,-83,-79,-100,-74,-64,-100,-89,-85,-100,-84,-100,-100,-100,-100,-71,-70,-69,-70,-72,-71,-100,-70,-71,-88,-83,-84,-88,-100,-69,-81,-74,-77,-100,-76,-85,-87,-77,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-60,-62,-61,-71,-78,-71,-77,-78,-51,-69,-69,-69,-73,-72,-73,-100,-61,-61,-81,-81,-81,-79,-78,-78,-81,-81,-83,-78,-78,-83,-83,-83,-84,-76,-100,-100,-100,-100,-61,-71,-78,-69,-73,-61,-81,-80,-70,-78,-81,-77,-100,-84,-100,-100,-100,-100,-51,-64,-64,-83,-75,-100,-74,-64,-100,-89,-100,-100,-84,-100,-100,-100,-100,-82,-100,-69,-70,-72,-71,-100,-100,-71,-88,-83,-84,-88,-100,-100,-81,-74,-77,-87,-73,-85,-100,-77,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-60,-61,-61,-71,-77,-71,-77,-77,-52,-69,-68,-69,-73,-73,-73,-73,-61,-61,-82,-82,-83,-80,-77,-77,-81,-81,-81,-77,-78,-82,-83,-84,-83,-75,-100,-100,-100,-100,-61,-71,-77,-69,-73,-61,-83,-80,-61,-78,-82,-78,-100,-83,-100,-100,-100,-100,-52,-64,-64,-58,-70,-100,-74,-64,-100,-88,-100,-100,-84,-100,-100,-100,-100,-83,-100,-59,-71,-72,-71,-100,-100,-70,-88,-83,-84,-87,-87,-71,-81,-74,-77,-87,-73,-85,-100,-77,-100,-77,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-61,-62,-62,-71,-76,-71,-77,-76,-51,-69,-69,-69,-73,-73,-73,-69,-61,-61,-82,-82,-82,-80,-77,-77,-81,-82,-82,-77,-77,-82,-83,-84,-82,-75,-76,-75,-100,-100,-61,-71,-76,-69,-73,-62,-82,-80,-61,-78,-82,-77,-76,-84,-100,-100,-100,-100,-51,-64,-64,-66,-70,-75,-74,-64,-100,-88,-100,-100,-100,-100,-100,-100,-100,-83,-100,-59,-71,-100,-71,-100,-100,-71,-100,-84,-83,-87,-87,-71,-83,-74,-100,-87,-73,-100,-100,-77,-100,-77,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
