60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,a8:bd:27:4c:aa:83,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:14:12,38:17:c3:1f:14:11,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,44:48:c1:91:d0:14,44:48:c1:91:d0:12,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:19:d2,44:48:c1:91:d0:10,38:17:c3:1f:19:d1,38:17:c3:1f:09:91,38:17:c3:1f:09:93,38:17:c3:1f:09:92,20:a6:cd:42:0a:c3,a8:bd:27:4c:aa:82,38:17:c3:24:47:51,38:17:c3:24:47:52,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b0,a8:bd:27:4c:aa:92,b4:5d:50:e1:96:43,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,38:17:c3:1f:00:b0,38:17:c3:1f:00:a0,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d2,38:17:c3:1f:14:10,20:a6:cd:42:0a:c2,38:17:c3:19:45:b0,38:17:c3:1f:19:d0,44:48:c1:91:d0:11,38:17:c3:24:47:50,38:17:c3:1f:09:90,44:48:c1:91:95:b2,a8:bd:27:4c:aa:90,20:a6:cd:42:13:f0,38:17:c3:22:61:90,20:a6:cd:42:0a:c0,38:17:c3:22:61:92,38:17:c3:22:5e:f0,44:48:c1:91:d0:04,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,38:17:c3:1f:14:02,44:48:c1:91:d0:00,a8:bd:27:4c:aa:81,44:48:c1:91:95:a3,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:1f:09:83,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,9c:d6:43:60:92:e0,38:17:c3:1f:09:80,38:17:c3:19:36:30,38:17:c3:1f:19:c0,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,44:48:c1:91:d0:02,44:48:c1:91:aa:31,38:17:c3:22:61:91,44:48:c1:91:aa:32,20:a6:cd:42:13:e2,80:8d:b7:55:25:f3,44:48:c1:91:aa:21,92:32:4b:b2:cc:47,b4:5d:50:e1:96:40,38:17:c3:1f:14:00,44:48:c1:91:d0:01,a8:bd:27:4c:aa:80,44:48:c1:91:aa:30,38:17:c3:1f:1c:10,44:48:c1:91:aa:20,b6:e6:2d:69:d5:58,20:a6:cd:42:0a:c1,44:48:c1:91:95:a1,38:17:c3:19:45:a2,44:48:c1:91:95:a0,20:a6:cd:42:13:f2,38:17:c3:1a:cf:d2,20:a6:cd:42:13:f1,38:17:c3:19:d7:72,38:17:c3:1a:cf:d1,38:17:c3:19:d7:71,38:17:c3:22:5e:f2,ac:e2:d3:c4:08:e6,38:17:c3:1f:1c:11,44:48:c1:91:95:a2,38:17:c3:19:d7:70,38:17:c3:1a:cf:d0,38:17:c3:22:5e:e0,86:0d:8e:aa:25:a4,38:17:c3:1f:14:01,20:a6:cd:42:0b:e3,80:8d:b7:55:25:e3,38:17:c3:22:5e:f1,38:17:c3:24:56:50,38:17:c3:19:45:a1,38:17:c3:19:45:a0,44:48:c1:91:aa:22,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e1,38:17:c3:19:d7:60,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f2,38:17:c3:19:d7:61,38:17:c3:19:d7:62,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e2,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,80:8d:b7:55:25:f2,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:35:03,38:17:c3:1e:ff:10,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:50,80:8d:b7:55:29:d0,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,ea:9e:b4:53:24:54,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,20:a6:cd:50:24:b0,b0:be:76:f8:30:5e,38:17:c3:1e:ff:11,20:a6:cd:50:24:a0,38:17:c3:1e:ff:12,80:8d:b7:55:39:d0,68:ff:7b:e4:af:38,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,38:17:c3:19:71:90,80:8d:b7:55:39:c1,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,20:a6:cd:50:24:b1,80:8d:b7:55:39:c0,68:ff:7b:e4:af:39,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:19:36:20,38:17:c3:1f:0e:10,00:4e:35:df:06:52,38:17:c3:1e:ff:01,38:17:c3:1f:22:32,38:17:c3:1f:22:31,80:8d:b7:55:39:c2,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,20:a6:cd:50:24:b2,00:4e:35:de:e1:12,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,00:4e:35:df:06:42,80:8d:b7:55:29:c0,00:4e:35:df:06:51,00:4e:35:df:06:50,44:48:c1:a5:82:30,00:4e:35:de:e1:10,00:4e:35:df:06:41,00:4e:35:df:06:40,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,00:4e:35:de:e1:02,38:17:c3:1f:22:20,80:8d:b7:55:4d:02,80:8d:b7:55:4d:01,80:8d:b7:55:4d:10,80:8d:b7:55:4d:00,80:8d:b7:55:4d:12,80:8d:b7:55:4d:11,x,y,label
-56,-61,-60,-76,-65,-65,-70,-70,-70,-70,-71,-69,-69,-69,-74,-74,-75,-75,-75,-74,-75,-81,-80,-80,-71,-79,-77,-77,-80,-80,-80,-83,-70,-82,-82,-60,-66,-69,-70,-70,-69,-75,-75,-74,-78,-77,-79,-82,-85,-86,-69,-87,-87,-70,-53,-55,-69,-72,-79,-76,-73,-73,-71,-84,-84,-74,-73,-87,-85,-86,-61,-67,-68,-72,-85,-86,-86,-86,-87,-84,-85,-67,-70,-72,-80,-85,-88,-81,-86,-69,-74,-75,-75,-84,-85,-85,-85,-86,-86,-87,-84,-89,-74,-85,-86,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-60,-66,-66,-76,-62,-62,-71,-71,-67,-67,-67,-73,-72,-72,-70,-70,-81,-76,-78,-70,-77,-79,-79,-79,-70,-77,-79,-78,-79,-79,-79,-82,-70,-82,-82,-67,-62,-74,-67,-71,-71,-76,-77,-70,-78,-79,-79,-82,-84,-87,-70,-100,-87,-69,-55,-55,-71,-100,-76,-78,-74,-74,-73,-82,-82,-74,-74,-87,-83,-84,-100,-69,-69,-100,-100,-88,-100,-86,-100,-100,-85,-69,-69,-100,-77,-100,-88,-81,-100,-70,-74,-75,-79,-85,-89,-86,-86,-88,-86,-87,-83,-89,-74,-86,-89,-85,-85,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-60,-66,-66,-75,-62,-62,-70,-70,-67,-67,-67,-71,-71,-71,-68,-68,-77,-76,-77,-69,-77,-78,-79,-78,-68,-77,-81,-82,-79,-80,-80,-81,-67,-82,-82,-66,-62,-71,-67,-71,-67,-77,-77,-68,-81,-79,-81,-82,-84,-86,-69,-100,-87,-72,-59,-55,-67,-100,-78,-83,-75,-76,-73,-81,-82,-74,-76,-87,-83,-86,-60,-66,-66,-100,-85,-88,-83,-86,-100,-100,-85,-67,-66,-100,-77,-84,-88,-81,-88,-68,-74,-75,-79,-84,-85,-86,-84,-85,-84,-87,-82,-89,-74,-85,-84,-85,-85,-67,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-61,-67,-67,-74,-62,-62,-70,-70,-67,-67,-67,-71,-71,-70,-69,-69,-75,-77,-77,-69,-77,-79,-79,-79,-67,-78,-80,-81,-80,-80,-80,-81,-67,-82,-82,-66,-62,-71,-67,-71,-68,-77,-77,-69,-81,-79,-80,-82,-84,-86,-69,-100,-87,-71,-51,-52,-67,-100,-78,-74,-73,-72,-70,-81,-82,-75,-72,-87,-83,-83,-61,-66,-66,-73,-85,-88,-84,-86,-100,-85,-100,-67,-67,-100,-78,-84,-100,-86,-88,-68,-100,-100,-79,-84,-85,-86,-86,-85,-84,-87,-84,-100,-100,-84,-84,-100,-100,-67,-85,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-61,-67,-67,-75,-62,-62,-70,-71,-67,-67,-67,-71,-71,-71,-69,-69,-76,-76,-77,-69,-77,-79,-79,-79,-67,-77,-81,-81,-79,-80,-80,-82,-67,-82,-82,-66,-61,-70,-67,-71,-68,-76,-78,-69,-82,-79,-80,-81,-84,-86,-68,-86,-87,-70,-58,-58,-67,-100,-78,-78,-72,-72,-70,-81,-100,-75,-73,-87,-100,-84,-61,-66,-68,-73,-85,-86,-84,-100,-100,-85,-100,-68,-67,-71,-78,-84,-100,-86,-88,-68,-100,-100,-100,-85,-85,-84,-83,-85,-84,-87,-83,-100,-77,-84,-84,-100,-100,-67,-85,-86,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-62,-67,-67,-75,-62,-62,-71,-71,-67,-67,-67,-71,-71,-71,-69,-69,-76,-76,-78,-69,-77,-78,-79,-79,-68,-78,-81,-81,-80,-80,-80,-82,-72,-82,-83,-66,-62,-71,-67,-71,-68,-76,-78,-69,-81,-79,-79,-82,-85,-100,-67,-86,-87,-71,-56,-52,-67,-100,-78,-78,-73,-73,-71,-100,-100,-46,-73,-87,-100,-86,-61,-100,-68,-73,-85,-87,-84,-100,-100,-85,-100,-68,-67,-71,-78,-84,-100,-86,-100,-69,-100,-74,-100,-85,-100,-85,-83,-100,-85,-87,-83,-100,-77,-85,-100,-100,-100,-67,-100,-86,-88,-86,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-58,-62,-61,-73,-61,-62,-68,-68,-71,-71,-71,-72,-72,-72,-76,-76,-79,-79,-82,-76,-81,-82,-82,-82,-100,-75,-79,-78,-79,-79,-80,-85,-67,-84,-85,-60,-62,-73,-71,-68,-73,-80,-81,-76,-78,-83,-79,-85,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-75,-100,-100,-83,-100,-100,-100,-100,-100,-100,-87,-100,-100,-87,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-58,-62,-62,-73,-61,-62,-68,-68,-71,-71,-71,-72,-72,-72,-76,-76,-80,-79,-82,-76,-82,-81,-81,-81,-100,-75,-79,-78,-79,-80,-80,-85,-67,-85,-84,-61,-62,-73,-71,-69,-73,-79,-81,-76,-78,-83,-80,-84,-100,-100,-100,-100,-100,-75,-59,-54,-60,-100,-100,-79,-79,-100,-78,-100,-100,-71,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-68,-100,-75,-100,-100,-83,-100,-100,-100,-100,-100,-100,-87,-100,-100,-88,-100,-100,-81,-100,-100,-100,-86,-100,-100,-67,-100,-86,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-58,-62,-62,-73,-62,-62,-69,-68,-71,-71,-71,-73,-73,-73,-76,-76,-79,-79,-81,-76,-81,-81,-81,-81,-100,-75,-78,-79,-79,-80,-80,-84,-69,-84,-84,-61,-62,-73,-71,-69,-73,-80,-81,-76,-79,-83,-80,-85,-100,-100,-100,-100,-100,-76,-55,-59,-60,-100,-76,-79,-78,-79,-78,-100,-100,-71,-79,-100,-100,-89,-100,-100,-72,-74,-100,-100,-100,-100,-100,-84,-100,-100,-67,-100,-77,-100,-100,-83,-88,-100,-100,-100,-100,-100,-87,-100,-100,-88,-100,-100,-81,-100,-100,-100,-86,-100,-100,-67,-100,-86,-100,-100,-100,-76,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-58,-62,-62,-73,-62,-62,-68,-68,-71,-71,-71,-73,-73,-73,-76,-76,-80,-79,-81,-76,-81,-81,-81,-81,-71,-75,-78,-78,-80,-80,-81,-84,-82,-85,-85,-61,-62,-73,-71,-69,-72,-80,-81,-76,-79,-81,-80,-85,-100,-100,-100,-100,-100,-76,-55,-49,-67,-100,-76,-47,-78,-79,-79,-100,-100,-63,-79,-100,-100,-89,-100,-100,-63,-63,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-78,-100,-100,-100,-88,-100,-78,-100,-100,-100,-87,-100,-100,-88,-100,-100,-81,-100,-100,-100,-86,-100,-100,-62,-100,-86,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
