38:17:c3:1f:00:a0,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:43,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:14:02,38:17:c3:1f:14:01,b4:5d:50:e1:96:51,20:a6:cd:42:0a:d0,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,38:17:c3:1f:14:12,38:17:c3:1f:14:11,44:48:c1:91:d0:02,44:48:c1:91:d0:04,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:d0:14,38:17:c3:19:45:b1,38:17:c3:19:45:b2,44:48:c1:91:d0:12,44:48:c1:91:d0:10,38:17:c3:1f:19:d1,38:17:c3:24:47:51,38:17:c3:1f:19:d2,38:17:c3:24:47:52,38:17:c3:1f:09:83,38:17:c3:1f:09:81,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:83,38:17:c3:1f:09:92,44:48:c1:91:95:b1,38:17:c3:1f:09:91,38:17:c3:1f:09:93,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,44:48:c1:91:95:b0,44:48:c1:91:95:b3,44:48:c1:91:aa:32,38:17:c3:22:61:91,ac:e2:d3:c4:08:e6,92:32:4b:b2:cc:47,38:17:c3:1f:00:b0,38:17:c3:1f:14:00,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:50,38:17:c3:1f:14:10,44:48:c1:91:d0:01,20:a6:cd:42:0a:c2,44:48:c1:91:d0:11,38:17:c3:19:45:b0,38:17:c3:1f:19:d0,9c:d6:43:60:92:e0,38:17:c3:24:47:50,38:17:c3:1f:09:90,38:17:c3:1f:09:80,44:48:c1:91:95:b2,a8:bd:27:4c:aa:90,20:a6:cd:42:13:e0,38:17:c3:22:61:90,66:2a:2f:53:7c:99,44:48:c1:91:d0:00,20:a6:cd:42:0a:c3,38:17:c3:19:45:a2,38:17:c3:19:45:a1,44:48:c1:91:95:a3,44:48:c1:91:95:a0,44:48:c1:91:95:a1,20:a6:cd:42:13:e2,20:a6:cd:42:13:e1,44:48:c1:91:aa:31,38:17:c3:1a:cf:d2,38:17:c3:1a:cf:d1,38:17:c3:19:45:a0,44:48:c1:91:95:a2,38:17:c3:1f:19:f0,44:48:c1:91:aa:30,38:17:c3:1a:cf:d0,44:48:c1:91:9d:50,38:17:c3:1f:09:82,44:48:c1:91:aa:21,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,a8:bd:27:4c:aa:80,38:17:c3:1f:19:c0,b0:b8:67:3d:c2:f2,44:48:c1:91:aa:22,38:17:c3:22:5e:f2,44:48:c1:91:aa:20,38:17:c3:1f:1c:10,38:17:c3:22:5e:f0,b6:e6:2d:69:d5:58,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:40,20:a6:cd:42:0b:f3,38:17:c3:22:5e:f1,86:0d:8e:aa:25:a4,20:a6:cd:42:0b:f0,38:17:c3:19:d7:70,38:17:c3:1f:19:f2,38:17:c3:1f:19:e1,38:17:c3:1f:19:f1,38:17:c3:19:d7:71,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:72,20:a6:cd:42:0b:f2,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:60,80:8d:b7:55:25:e3,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,38:17:c3:19:36:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,38:17:c3:19:36:30,80:8d:b7:55:35:10,38:17:c3:19:36:31,80:8d:b7:55:35:03,80:8d:b7:55:29:d0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:35:13,ea:9e:b4:53:24:54,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:3a:41,80:8d:b7:55:35:01,80:8d:b7:55:3a:42,b0:be:76:f8:30:5e,20:a6:cd:50:24:a0,80:8d:b7:55:3a:40,20:a6:cd:50:24:a2,38:17:c3:1e:ff:10,68:ff:7b:e4:af:38,80:8d:b7:55:29:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:19:71:92,80:8d:b7:55:29:d1,38:17:c3:19:71:90,80:8d:b7:55:39:d0,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,20:a6:cd:50:24:a1,68:ff:7b:e4:af:39,38:17:c3:19:71:91,80:8d:b7:55:35:02,80:8d:b7:55:35:00,20:a6:cd:50:24:b0,38:17:c3:19:71:80,38:17:c3:19:71:81,00:4e:35:df:06:52,38:17:c3:19:71:82,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,20:a6:cd:50:24:b1,80:8d:b7:55:39:c0,38:17:c3:1e:ff:00,38:17:c3:1f:22:30,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,38:17:c3:19:36:21,38:17:c3:19:36:20,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,00:4e:35:df:06:50,80:8d:b7:55:29:c2,38:17:c3:1f:22:31,80:8d:b7:55:29:c0,38:17:c3:1f:22:32,00:4e:35:de:e1:12,00:4e:35:df:06:41,80:8d:b7:55:29:c1,00:4e:35:df:06:42,00:4e:35:df:06:40,00:4e:35:df:06:51,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:4d:10,80:8d:b7:55:4d:00,80:8d:b7:55:4d:12,80:8d:b7:55:4d:11,x,y,label
-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-62,-59,-59,-52,-54,-62,-62,-65,-69,-70,-66,-66,-70,-71,-70,-70,-71,-71,-70,-71,-68,-69,-70,-70,-75,-75,-75,-75,-75,-77,-78,-77,-78,-45,-77,-77,-77,-77,-80,-82,-80,-80,-82,-82,-82,-82,-81,-85,-86,-84,-87,-69,-66,-71,-70,-71,-67,-70,-75,-75,-77,-49,-78,-80,-77,-82,-82,-81,-87,-87,-67,-70,-74,-75,-76,-78,-79,-81,-81,-85,-85,-86,-75,-77,-84,-85,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-64,-58,-58,-52,-52,-63,-63,-64,-68,-68,-67,-66,-69,-71,-69,-69,-71,-71,-71,-71,-67,-70,-72,-70,-74,-77,-77,-74,-75,-77,-79,-77,-79,-78,-100,-76,-76,-80,-78,-82,-78,-79,-81,-82,-81,-83,-82,-100,-100,-100,-100,-68,-67,-71,-69,-71,-67,-71,-74,-77,-77,-74,-79,-79,-100,-82,-82,-82,-100,-100,-68,-70,-100,-100,-73,-78,-77,-82,-83,-100,-86,-86,-76,-79,-100,-100,-87,-90,-76,-80,-82,-83,-77,-82,-88,-79,-88,-80,-88,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-63,-59,-59,-54,-54,-63,-63,-68,-69,-68,-67,-67,-70,-71,-70,-70,-71,-71,-70,-70,-67,-69,-71,-70,-74,-77,-77,-74,-74,-76,-78,-76,-78,-75,-77,-78,-76,-78,-80,-83,-80,-80,-82,-82,-81,-82,-82,-100,-100,-100,-100,-67,-67,-71,-70,-71,-67,-69,-75,-77,-76,-71,-78,-79,-100,-82,-83,-81,-100,-86,-68,-71,-100,-100,-75,-78,-77,-80,-83,-100,-86,-86,-76,-79,-100,-100,-87,-90,-77,-80,-82,-83,-77,-82,-88,-79,-88,-79,-88,-89,-87,-72,-73,-89,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-63,-59,-59,-52,-54,-63,-63,-65,-68,-68,-67,-67,-70,-71,-70,-70,-71,-71,-71,-71,-67,-66,-71,-70,-75,-76,-76,-75,-75,-76,-77,-76,-77,-75,-77,-78,-100,-78,-80,-83,-80,-81,-81,-82,-81,-82,-82,-100,-100,-84,-100,-68,-76,-71,-70,-71,-67,-69,-75,-77,-76,-73,-77,-80,-100,-81,-81,-81,-100,-86,-67,-71,-100,-100,-73,-78,-77,-80,-83,-100,-100,-100,-76,-79,-100,-100,-100,-89,-77,-80,-100,-100,-100,-100,-88,-79,-88,-79,-89,-89,-87,-72,-73,-89,-73,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-63,-58,-59,-52,-54,-62,-63,-66,-68,-68,-67,-67,-70,-71,-70,-70,-71,-71,-71,-71,-67,-67,-71,-71,-76,-76,-76,-75,-76,-76,-77,-76,-78,-75,-77,-77,-100,-78,-79,-82,-80,-80,-82,-81,-82,-83,-83,-100,-100,-84,-100,-68,-76,-71,-70,-71,-67,-69,-75,-76,-76,-71,-78,-80,-100,-82,-82,-81,-100,-86,-67,-72,-100,-100,-76,-100,-78,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-89,-77,-79,-100,-100,-100,-100,-88,-80,-88,-81,-89,-87,-89,-72,-75,-89,-73,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-100,-59,-60,-51,-51,-61,-60,-66,-60,-60,-66,-65,-74,-72,-74,-74,-71,-71,-68,-68,-67,-69,-71,-71,-76,-78,-78,-75,-76,-82,-79,-81,-79,-77,-77,-75,-74,-77,-82,-79,-81,-81,-82,-80,-81,-79,-79,-100,-100,-84,-89,-60,-66,-72,-73,-68,-100,-70,-75,-79,-82,-69,-79,-82,-100,-79,-81,-100,-100,-88,-67,-71,-100,-100,-75,-100,-77,-81,-81,-100,-87,-87,-100,-100,-100,-100,-86,-89,-74,-79,-100,-100,-75,-100,-88,-80,-88,-81,-89,-87,-89,-71,-71,-100,-72,-90,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-100,-59,-60,-51,-51,-61,-60,-66,-60,-60,-66,-65,-74,-72,-74,-74,-71,-71,-68,-68,-67,-69,-71,-71,-76,-78,-78,-75,-76,-82,-79,-81,-79,-77,-77,-75,-74,-77,-82,-79,-81,-81,-82,-80,-81,-79,-79,-100,-100,-84,-89,-60,-66,-72,-73,-68,-100,-70,-75,-79,-82,-69,-79,-82,-100,-79,-81,-100,-100,-88,-67,-71,-100,-100,-75,-100,-77,-81,-81,-100,-87,-87,-100,-100,-100,-100,-86,-89,-74,-79,-100,-100,-75,-100,-88,-80,-88,-81,-89,-87,-89,-71,-71,-100,-72,-90,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-61,-61,-61,-49,-55,-61,-61,-72,-61,-61,-65,-66,-74,-73,-74,-74,-72,-72,-68,-68,-72,-70,-71,-71,-74,-80,-80,-74,-75,-80,-80,-80,-80,-75,-74,-75,-74,-77,-82,-80,-82,-81,-82,-82,-81,-81,-80,-100,-100,-86,-89,-60,-66,-72,-74,-68,-73,-71,-74,-80,-80,-70,-80,-81,-75,-79,-82,-84,-100,-87,-73,-72,-100,-100,-75,-100,-76,-84,-83,-100,-87,-87,-77,-74,-100,-100,-86,-91,-75,-100,-100,-100,-75,-100,-100,-100,-87,-100,-100,-87,-100,-71,-70,-100,-70,-100,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-61,-60,-62,-55,-55,-61,-61,-72,-61,-61,-66,-66,-75,-72,-75,-75,-72,-72,-68,-68,-72,-71,-71,-72,-74,-79,-80,-74,-75,-81,-80,-81,-79,-75,-76,-76,-75,-77,-80,-80,-81,-81,-81,-81,-82,-81,-80,-100,-100,-86,-100,-61,-66,-72,-74,-68,-73,-72,-74,-80,-81,-70,-80,-81,-75,-80,-81,-84,-100,-87,-73,-74,-100,-100,-75,-100,-76,-84,-83,-100,-88,-87,-77,-74,-100,-100,-87,-91,-76,-100,-100,-100,-76,-100,-100,-100,-87,-100,-100,-87,-100,-100,-70,-100,-70,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
