60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,20:a6:cd:42:0a:d1,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:14:12,20:a6:cd:42:0a:d0,38:17:c3:1f:14:11,20:a6:cd:42:0a:d3,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,44:48:c1:91:d0:10,44:48:c1:91:d0:14,44:48:c1:91:d0:12,b4:5d:50:e1:96:43,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:24:47:51,b4:5d:50:e1:96:41,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,44:48:c1:91:95:b1,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:24:47:52,44:48:c1:91:95:b0,44:48:c1:91:95:b3,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:09:91,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:82,44:48:c1:91:95:a3,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,38:17:c3:1f:00:b0,20:a6:cd:42:0a:d2,38:17:c3:1f:14:10,38:17:c3:1f:00:a0,44:48:c1:91:d0:11,b4:5d:50:e1:96:50,20:a6:cd:42:0a:c2,9c:d6:43:60:92:e0,38:17:c3:19:45:b0,38:17:c3:1f:19:d0,44:48:c1:91:95:b2,38:17:c3:24:47:50,38:17:c3:1f:09:90,a8:bd:27:4c:aa:90,38:17:c3:22:5e:f1,38:17:c3:22:5e:f0,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,38:17:c3:1f:14:01,38:17:c3:1f:14:02,a8:bd:27:4c:aa:81,38:17:c3:1f:09:82,38:17:c3:1f:09:83,38:17:c3:1f:14:00,38:17:c3:19:d7:70,72:32:b1:3e:1a:b7,92:32:4b:b2:cc:47,b4:5d:50:e1:96:40,38:17:c3:1a:cf:d0,44:48:c1:91:95:a0,44:48:c1:91:95:a1,38:17:c3:1a:cf:d2,38:17:c3:1a:cf:d1,38:17:c3:19:45:a2,20:a6:cd:42:13:f1,20:a6:cd:42:13:f2,38:17:c3:22:5e:f2,44:48:c1:91:95:a2,b4:5d:50:e1:96:42,38:17:c3:19:d7:71,38:17:c3:1f:09:80,66:2a:2f:53:7c:99,b0:b8:67:3d:c2:f0,b0:b8:67:3d:c2:f1,38:17:c3:19:45:a0,b0:b8:67:3d:c2:f2,ac:e2:d3:c4:08:e6,20:a6:cd:42:13:e2,44:48:c1:91:d0:01,a8:bd:27:4c:aa:80,44:48:c1:91:9d:50,44:48:c1:91:d0:00,44:48:c1:91:d0:02,44:48:c1:91:aa:21,20:a6:cd:42:13:e1,20:a6:cd:42:13:e0,38:17:c3:1f:19:c0,38:17:c3:19:45:a1,38:17:c3:22:5e:e1,38:17:c3:1f:09:81,80:8d:b7:55:25:e3,38:17:c3:19:36:30,20:a6:cd:42:0b:e3,b6:e6:2d:69:d5:58,86:0d:8e:aa:25:a4,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,38:17:c3:1f:19:f1,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:e1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:d7:72,38:17:c3:19:d7:60,80:8d:b7:55:25:f3,80:8d:b7:55:35:03,80:8d:b7:55:25:f0,80:8d:b7:55:29:d0,80:8d:b7:55:25:e0,80:8d:b7:55:25:f2,38:17:c3:19:36:31,38:17:c3:19:36:32,80:8d:b7:55:25:f1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:3a:42,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:35:12,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:35:00,80:8d:b7:55:3a:51,80:8d:b7:55:39:d0,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1e:ff:10,68:ff:7b:e4:af:39,20:a6:cd:50:24:a1,38:17:c3:19:71:90,20:a6:cd:50:24:a0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,20:a6:cd:50:24:b0,20:a6:cd:50:24:a2,68:ff:7b:e4:af:38,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1f:22:30,00:4e:35:df:06:52,80:8d:b7:55:39:c2,38:17:c3:19:36:22,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1e:ff:01,38:17:c3:19:36:20,38:17:c3:1f:0e:10,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,38:17:c3:1f:0e:12,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:19:71:81,38:17:c3:1f:0e:11,38:17:c3:19:71:82,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,00:4e:35:de:e1:12,00:4e:35:df:06:51,00:4e:35:df:06:50,00:4e:35:df:06:40,00:4e:35:df:06:42,00:4e:35:df:06:41,00:4e:35:de:e1:10,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,00:4e:35:de:e1:02,38:17:c3:1f:0e:00,38:17:c3:1f:22:22,80:8d:b7:55:4d:02,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,80:8d:b7:55:4d:12,80:8d:b7:55:4d:10,80:8d:b7:55:4d:11,x,y,label
-58,-67,-67,-71,-65,-66,-71,-71,-71,-71,-72,-71,-71,-72,-72,-72,-74,-78,-78,-77,-70,-68,-69,-80,-76,-77,-77,-79,-80,-80,-81,-80,-79,-76,-77,-77,-79,-79,-66,-71,-71,-66,-71,-71,-69,-67,-79,-76,-79,-78,-81,-80,-85,-87,-57,-52,-69,-69,-69,-69,-78,-77,-75,-69,-86,-59,-86,-70,-88,-78,-78,-89,-89,-73,-84,-85,-86,-78,-70,-87,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-58,-68,-68,-70,-66,-67,-71,-70,-71,-70,-71,-71,-71,-71,-71,-71,-74,-79,-79,-76,-70,-69,-100,-78,-76,-76,-77,-80,-79,-79,-78,-79,-79,-77,-77,-75,-79,-79,-66,-70,-71,-68,-71,-71,-69,-72,-79,-76,-79,-77,-78,-79,-85,-87,-57,-53,-68,-69,-69,-100,-77,-100,-75,-69,-86,-100,-86,-100,-87,-100,-100,-86,-86,-100,-100,-100,-86,-100,-70,-86,-76,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-57,-68,-68,-71,-66,-67,-71,-71,-71,-71,-72,-72,-72,-71,-72,-72,-70,-81,-81,-77,-71,-69,-69,-79,-76,-77,-77,-80,-80,-79,-79,-79,-80,-77,-79,-76,-80,-80,-66,-71,-71,-68,-72,-72,-69,-74,-81,-77,-79,-77,-79,-80,-86,-87,-57,-53,-69,-69,-69,-100,-77,-100,-75,-69,-86,-100,-86,-71,-87,-79,-79,-86,-86,-100,-100,-100,-87,-79,-70,-87,-76,-87,-88,-90,-74,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-56,-67,-67,-70,-66,-66,-72,-71,-71,-70,-72,-72,-72,-72,-72,-73,-70,-81,-81,-77,-71,-71,-69,-79,-76,-76,-77,-80,-79,-79,-79,-80,-80,-78,-79,-75,-80,-79,-67,-70,-72,-66,-72,-72,-70,-71,-82,-77,-79,-77,-80,-80,-87,-87,-100,-52,-70,-69,-69,-100,-77,-100,-100,-69,-86,-100,-100,-71,-87,-79,-79,-86,-86,-100,-100,-100,-87,-79,-70,-87,-100,-87,-88,-90,-74,-88,-82,-84,-70,-78,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-57,-67,-67,-71,-67,-66,-72,-71,-72,-71,-71,-71,-71,-72,-72,-72,-70,-81,-80,-77,-71,-71,-73,-79,-77,-77,-77,-79,-79,-78,-79,-79,-79,-78,-74,-76,-80,-80,-66,-71,-72,-66,-72,-71,-71,-70,-81,-77,-80,-78,-79,-80,-87,-87,-100,-55,-71,-71,-100,-100,-77,-100,-76,-100,-85,-100,-84,-71,-100,-79,-79,-100,-100,-100,-100,-100,-87,-79,-100,-86,-100,-100,-89,-90,-74,-88,-83,-84,-70,-78,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-57,-67,-67,-71,-67,-66,-72,-71,-72,-71,-71,-71,-71,-72,-72,-72,-70,-81,-80,-77,-71,-71,-73,-79,-77,-77,-77,-79,-79,-78,-79,-79,-79,-78,-74,-76,-80,-80,-66,-71,-72,-66,-72,-71,-71,-70,-81,-77,-80,-78,-79,-80,-87,-87,-100,-55,-71,-71,-100,-100,-77,-100,-76,-100,-85,-100,-84,-71,-100,-79,-79,-100,-100,-100,-100,-100,-87,-79,-100,-86,-100,-100,-89,-90,-74,-88,-83,-84,-70,-78,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-58,-60,-60,-75,-63,-62,-72,-75,-72,-75,-71,-71,-71,-72,-72,-72,-72,-80,-80,-77,-100,-71,-68,-81,-81,-82,-77,-82,-82,-83,-83,-84,-84,-77,-75,-80,-86,-85,-60,-75,-72,-63,-72,-71,-71,-73,-80,-82,-82,-77,-83,-85,-86,-86,-55,-55,-71,-71,-100,-100,-77,-100,-76,-69,-88,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-86,-76,-87,-89,-100,-100,-88,-80,-84,-100,-100,-100,-71,-71,-83,-84,-84,-83,-77,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-59,-60,-60,-76,-62,-63,-72,-76,-72,-76,-71,-71,-71,-71,-71,-71,-72,-79,-79,-78,-100,-72,-72,-81,-81,-82,-78,-82,-81,-83,-82,-81,-84,-77,-75,-79,-85,-85,-60,-76,-73,-62,-71,-71,-72,-73,-80,-81,-81,-79,-82,-84,-100,-100,-55,-53,-72,-72,-71,-71,-77,-100,-74,-71,-87,-100,-100,-100,-87,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-76,-84,-100,-100,-100,-100,-81,-100,-100,-78,-100,-100,-100,-100,-100,-84,-100,-77,-87,-76,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-59,-60,-60,-73,-63,-63,-72,-73,-73,-73,-73,-73,-73,-73,-72,-72,-74,-78,-78,-75,-69,-69,-73,-82,-80,-81,-75,-81,-81,-84,-83,-85,-83,-62,-78,-61,-84,-84,-59,-73,-73,-63,-73,-73,-72,-72,-79,-80,-81,-76,-84,-84,-88,-88,-54,-54,-72,-72,-70,-70,-62,-78,-74,-70,-87,-100,-100,-100,-87,-100,-100,-100,-87,-100,-100,-100,-100,-78,-100,-100,-76,-84,-100,-100,-77,-100,-81,-100,-100,-63,-100,-100,-100,-100,-100,-84,-100,-77,-87,-76,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-59,-60,-60,-73,-64,-64,-73,-73,-72,-73,-72,-72,-73,-73,-73,-73,-72,-79,-79,-76,-71,-69,-73,-81,-81,-81,-76,-82,-81,-83,-83,-83,-83,-77,-77,-61,-84,-84,-59,-73,-73,-64,-73,-73,-72,-67,-79,-81,-81,-76,-84,-85,-88,-89,-54,-55,-73,-72,-70,-70,-62,-78,-76,-70,-87,-59,-100,-67,-87,-100,-100,-100,-87,-76,-100,-100,-100,-78,-67,-100,-76,-88,-100,-100,-76,-100,-77,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-76,-100,-76,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
