38:17:c3:1f:00:b0,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,b4:5d:50:e1:96:51,38:17:c3:1f:14:12,b4:5d:50:e1:96:53,38:17:c3:1f:14:11,b4:5d:50:e1:96:52,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,20:a6:cd:42:0a:d1,44:48:c1:91:d0:12,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,44:48:c1:91:d0:10,44:48:c1:91:d0:14,38:17:c3:1f:14:01,44:48:c1:91:d0:04,b4:5d:50:e1:96:41,38:17:c3:1f:14:02,a8:bd:27:4c:aa:82,44:48:c1:91:d0:00,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:19:45:b2,38:17:c3:19:45:b1,20:a6:cd:42:0a:c3,20:a6:cd:42:0a:c0,38:17:c3:1f:09:92,38:17:c3:24:47:52,38:17:c3:1f:09:91,38:17:c3:24:47:51,38:17:c3:1f:09:93,44:48:c1:91:95:a3,38:17:c3:1f:09:83,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:81,38:17:c3:1f:09:82,ac:e2:d3:c4:08:e6,44:48:c1:91:aa:31,38:17:c3:1f:14:10,b4:5d:50:e1:96:50,38:17:c3:1f:00:a0,20:a6:cd:42:0a:d2,44:48:c1:91:d0:11,20:a6:cd:42:0a:c2,38:17:c3:1f:14:00,44:48:c1:91:d0:01,38:17:c3:1f:19:d0,38:17:c3:19:45:b0,44:48:c1:91:95:b2,9c:d6:43:60:92:e0,38:17:c3:1f:09:90,38:17:c3:24:47:50,38:17:c3:1f:09:80,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:80,44:48:c1:91:aa:30,38:17:c3:22:61:90,38:17:c3:19:36:30,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c1,38:17:c3:19:45:a2,38:17:c3:19:45:a1,44:48:c1:91:95:a0,38:17:c3:1f:09:81,38:17:c3:22:5e:f1,38:17:c3:22:5e:f2,20:a6:cd:42:13:e1,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:40,38:17:c3:19:45:a0,38:17:c3:22:5e:f0,38:17:c3:1a:cf:d0,38:17:c3:1f:1c:10,72:32:b1:3e:1a:b8,44:48:c1:91:95:a1,44:48:c1:91:aa:22,b0:b8:67:3d:c2:f1,b0:b8:67:3d:c2:f0,38:17:c3:19:d7:70,b0:b8:67:3d:c2:f2,44:48:c1:91:d0:02,38:17:c3:1f:19:c1,20:a6:cd:42:13:e2,38:17:c3:1f:1c:12,20:a6:cd:42:13:e0,44:48:c1:91:aa:21,44:48:c1:91:aa:20,44:48:c1:91:9d:50,38:17:c3:1a:cf:d1,38:17:c3:1a:cf:d2,38:17:c3:1f:19:c2,44:48:c1:91:95:a2,b6:e6:2d:69:d5:58,38:17:c3:1f:19:f0,38:17:c3:1f:19:c0,86:0d:8e:aa:25:a4,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,38:17:c3:19:36:31,38:17:c3:19:36:32,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:19:d7:72,20:a6:cd:42:0b:e1,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:71,80:8d:b7:55:35:03,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:e3,80:8d:b7:55:25:f1,80:8d:b7:55:35:13,80:8d:b7:55:25:f2,80:8d:b7:55:35:02,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,ea:9e:b4:53:24:54,80:8d:b7:55:35:10,b0:be:76:f8:30:5e,80:8d:b7:55:29:d0,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:3a:42,80:8d:b7:55:35:01,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:35:00,20:a6:cd:50:24:a2,68:ff:7b:e4:af:39,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:39:d0,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,20:a6:cd:50:24:b1,20:a6:cd:50:24:b0,68:ff:7b:e4:af:38,20:a6:cd:50:24:b2,38:17:c3:19:71:90,38:17:c3:19:71:91,38:17:c3:19:71:92,20:a6:cd:50:24:a1,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,38:17:c3:1e:ff:11,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1e:ff:02,38:17:c3:1f:22:30,00:4e:35:df:06:52,38:17:c3:1e:ff:01,20:a6:cd:50:24:a0,38:17:c3:1e:ff:12,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:1e:ff:10,38:17:c3:19:36:20,38:17:c3:1e:ff:00,38:17:c3:1f:22:31,38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,00:4e:35:df:06:42,38:17:c3:1f:22:32,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,00:4e:35:df:06:51,00:4e:35:de:e1:12,00:4e:35:df:06:50,00:4e:35:de:e1:11,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:de:e1:10,44:48:c1:a5:82:30,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,b4:5d:50:e1:92:23,00:4e:35:de:e1:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,80:8d:b7:55:4d:02,38:17:c3:1f:0e:02,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,80:8d:b7:55:4d:11,80:8d:b7:55:4d:10,80:8d:b7:55:4d:12,x,y,label
-64,-56,-65,-65,-67,-68,-68,-68,-68,-56,-65,-65,-71,-72,-72,-72,-73,-73,-67,-67,-68,-69,-70,-70,-75,-75,-76,-76,-77,-77,-77,-71,-71,-78,-78,-78,-79,-79,-76,-76,-78,-82,-82,-82,-79,-79,-82,-86,-68,-68,-65,-71,-73,-69,-69,-69,-75,-77,-77,-72,-78,-78,-78,-82,-79,-85,-87,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-64,-56,-68,-65,-69,-68,-69,-68,-69,-53,-66,-66,-71,-72,-71,-72,-72,-72,-68,-66,-69,-68,-70,-71,-76,-76,-76,-76,-77,-76,-76,-70,-73,-78,-78,-79,-79,-79,-75,-75,-78,-82,-82,-82,-79,-76,-82,-85,-69,-69,-67,-71,-71,-73,-68,-70,-76,-77,-76,-73,-78,-78,-77,-82,-79,-85,-88,-86,-89,-56,-68,-68,-72,-73,-74,-77,-77,-86,-87,-84,-87,-69,-73,-86,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-64,-56,-65,-65,-68,-68,-68,-68,-68,-53,-66,-67,-71,-73,-71,-71,-73,-73,-68,-66,-69,-69,-70,-71,-76,-76,-77,-77,-77,-76,-76,-69,-72,-78,-79,-78,-79,-79,-75,-76,-79,-81,-82,-82,-79,-77,-83,-85,-68,-69,-67,-71,-73,-72,-69,-70,-76,-76,-77,-72,-79,-79,-77,-83,-79,-85,-88,-87,-88,-56,-68,-70,-72,-74,-74,-77,-77,-86,-87,-84,-87,-69,-69,-86,-87,-88,-54,-77,-80,-86,-87,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-64,-55,-65,-65,-69,-68,-69,-68,-69,-56,-66,-68,-71,-72,-71,-72,-72,-72,-68,-67,-69,-66,-78,-71,-76,-76,-77,-77,-77,-77,-77,-70,-72,-78,-79,-78,-79,-79,-75,-67,-75,-82,-82,-81,-100,-77,-83,-85,-68,-69,-67,-71,-72,-70,-68,-70,-76,-77,-77,-72,-79,-79,-77,-82,-100,-85,-88,-89,-86,-56,-69,-68,-71,-74,-74,-77,-77,-86,-87,-84,-87,-69,-69,-86,-88,-89,-54,-77,-80,-87,-87,-87,-87,-70,-82,-83,-88,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-63,-56,-64,-63,-69,-69,-69,-68,-69,-54,-67,-67,-72,-74,-72,-72,-74,-74,-69,-66,-100,-69,-79,-100,-77,-77,-76,-76,-76,-79,-77,-70,-72,-77,-77,-78,-77,-78,-76,-74,-79,-81,-82,-81,-79,-77,-83,-100,-69,-71,-66,-72,-74,-71,-69,-100,-77,-77,-76,-72,-78,-77,-75,-82,-80,-100,-100,-87,-86,-56,-69,-68,-72,-74,-100,-100,-76,-86,-87,-83,-89,-70,-69,-86,-88,-90,-57,-77,-80,-87,-89,-87,-87,-72,-82,-82,-88,-85,-81,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-65,-56,-66,-66,-70,-69,-70,-69,-70,-59,-66,-66,-72,-73,-72,-72,-73,-73,-68,-66,-100,-68,-80,-100,-77,-77,-77,-77,-77,-76,-76,-69,-72,-78,-78,-78,-78,-78,-76,-75,-79,-82,-82,-81,-79,-78,-83,-100,-69,-70,-66,-72,-73,-73,-68,-100,-77,-77,-77,-72,-78,-78,-78,-82,-80,-100,-100,-87,-86,-56,-69,-68,-71,-100,-100,-100,-78,-86,-87,-83,-89,-70,-100,-86,-88,-90,-57,-100,-81,-87,-89,-100,-87,-72,-82,-82,-88,-85,-81,-81,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-60,-59,-62,-62,-74,-69,-75,-69,-75,-54,-66,-63,-72,-75,-72,-72,-75,-75,-68,-69,-74,-68,-63,-73,-81,-82,-82,-82,-83,-78,-78,-69,-100,-80,-80,-81,-79,-82,-76,-79,-63,-82,-82,-82,-64,-75,-83,-100,-69,-75,-63,-72,-75,-73,-68,-73,-82,-78,-82,-70,-81,-80,-78,-82,-63,-100,-100,-87,-86,-59,-73,-70,-71,-75,-75,-76,-78,-87,-89,-83,-89,-74,-75,-89,-88,-90,-53,-77,-81,-87,-89,-100,-87,-72,-100,-82,-100,-87,-81,-81,-90,-87,-88,-85,-76,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-60,-59,-61,-61,-75,-70,-74,-70,-74,-53,-62,-63,-71,-75,-71,-72,-75,-74,-65,-84,-74,-66,-63,-73,-81,-80,-82,-82,-82,-79,-79,-73,-74,-80,-79,-80,-79,-79,-78,-79,-77,-83,-82,-82,-64,-75,-82,-100,-70,-75,-63,-71,-75,-74,-66,-72,-81,-79,-82,-73,-79,-80,-79,-83,-63,-100,-100,-87,-100,-59,-73,-67,-73,-75,-75,-76,-78,-88,-89,-100,-100,-74,-75,-88,-88,-100,-53,-77,-100,-100,-100,-100,-100,-71,-100,-100,-100,-86,-100,-100,-90,-89,-87,-85,-76,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-61,-59,-62,-62,-75,-70,-75,-70,-75,-50,-62,-63,-72,-75,-72,-72,-75,-75,-65,-70,-74,-66,-63,-73,-84,-83,-81,-82,-82,-80,-80,-73,-74,-79,-80,-79,-80,-80,-79,-79,-77,-83,-82,-82,-64,-75,-82,-100,-70,-75,-63,-72,-75,-74,-66,-72,-83,-80,-82,-73,-80,-80,-80,-83,-63,-100,-100,-87,-100,-59,-74,-70,-73,-75,-75,-76,-78,-87,-87,-100,-100,-74,-75,-88,-88,-100,-53,-77,-100,-100,-100,-100,-100,-71,-100,-100,-100,-86,-100,-100,-90,-88,-88,-85,-76,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-62,-59,-62,-62,-75,-69,-75,-69,-75,-50,-64,-64,-71,-75,-71,-71,-75,-75,-66,-69,-74,-66,-77,-100,-83,-82,-82,-82,-83,-80,-80,-74,-72,-80,-80,-80,-80,-79,-78,-81,-77,-82,-83,-82,-100,-79,-83,-100,-70,-75,-64,-71,-75,-73,-66,-72,-83,-79,-84,-73,-79,-81,-80,-83,-100,-100,-100,-100,-100,-61,-74,-69,-73,-76,-75,-100,-100,-87,-87,-86,-100,-100,-74,-87,-88,-100,-51,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-86,-100,-100,-100,-88,-88,-100,-100,-83,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
