b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,80:8d:b7:55:39:d0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:35:10,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,38:17:c3:1f:01:90,38:17:c3:1f:01:92,38:17:c3:19:d7:72,38:17:c3:19:d7:70,38:17:c3:19:d7:71,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,b0:be:76:f8:30:5e,38:17:c3:1f:01:91,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:e3,80:8d:b7:55:25:e0,80:8d:b7:55:35:02,80:8d:b7:55:25:e1,38:17:c3:1f:01:80,38:17:c3:1f:01:82,38:17:c3:1f:01:81,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:25:e2,44:48:c1:a5:82:30,44:48:c1:a5:82:32,44:48:c1:a5:82:31,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:3a:50,44:48:c1:a5:82:20,20:a6:cd:50:24:a2,44:48:c1:a5:82:22,20:a6:cd:50:24:b0,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,44:48:c1:a5:82:21,38:17:c3:1e:ff:12,00:4e:35:df:06:52,20:a6:cd:50:24:a1,38:17:c3:1e:ff:10,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:1e:ff:11,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:33,66:2a:2f:53:7c:99,38:17:c3:1f:22:30,38:17:c3:19:71:90,80:8d:b7:55:35:03,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:45:b2,00:4e:35:de:e1:10,b4:5d:50:e1:92:31,b4:5d:50:e1:92:30,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:df:06:40,00:4e:35:de:e1:12,68:ff:7b:e4:af:39,20:a6:cd:50:24:a0,b4:5d:50:e1:92:23,60:32:b1:3e:1a:b7,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,80:8d:b7:55:3a:41,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,b4:5d:50:e1:92:32,38:17:c3:1f:22:31,38:17:c3:1f:09:90,38:17:c3:1f:09:93,60:32:b1:3e:1a:b8,38:17:c3:1f:22:32,38:17:c3:1f:09:91,38:17:c3:1f:09:92,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,b4:5d:50:e1:96:53,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:1e:ff:00,38:17:c3:1f:09:83,20:a6:cd:42:0b:e3,38:17:c3:19:45:b1,38:17:c3:1f:00:b0,b4:5d:50:e1:96:52,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:19:45:b0,00:4e:35:de:e1:11,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:30,b4:5d:50:e1:92:21,44:48:c1:91:95:b2,44:48:c1:91:95:b3,00:4e:35:de:e1:00,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,b4:5d:50:e1:92:20,38:17:c3:1f:08:50,38:17:c3:1f:08:51,38:17:c3:1f:08:52,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:1f:08:42,38:17:c3:1f:08:40,00:4e:35:de:e1:01,00:4e:35:de:e1:02,72:32:b1:3e:1a:b7,38:17:c3:19:55:42,38:17:c3:1f:08:41,00:4e:35:de:d7:53,00:4e:35:de:d7:52,00:4e:35:de:d7:51,68:ff:7b:e4:af:38,00:4e:35:de:d7:50,38:17:c3:1f:22:22,00:4e:35:de:d7:42,00:4e:35:de:d7:43,00:4e:35:de:d7:41,38:17:c3:19:55:40,38:17:c3:19:55:41,38:17:c3:1f:22:20,38:17:c3:1f:22:21,00:4e:35:df:0e:12,38:17:c3:19:71:80,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:36:30,00:4e:35:de:d7:40,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,38:17:c3:19:36:31,38:17:c3:19:36:32,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,00:4e:35:df:0e:02,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:90,38:17:c3:1b:08:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,00:4e:35:df:27:00,x,y,label
-34,-43,-47,-47,-48,-55,-56,-56,-64,-64,-64,-69,-69,-69,-70,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-76,-76,-76,-77,-77,-77,-77,-77,-77,-78,-78,-79,-80,-82,-82,-83,-83,-83,-83,-84,-84,-84,-84,-84,-85,-85,-85,-86,-86,-86,-87,-89,-90,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-33,-44,-46,-46,-46,-57,-58,-58,-66,-66,-66,-67,-69,-69,-68,-100,-100,-74,-73,-73,-74,-75,-75,-100,-74,-74,-76,-100,-77,-100,-100,-100,-100,-77,-76,-75,-79,-78,-79,-81,-77,-77,-77,-82,-83,-81,-81,-81,-82,-82,-86,-87,-84,-86,-88,-88,-85,-100,-90,-87,-91,-100,-76,-79,-79,-80,-86,-86,-87,-88,-88,-89,-89,-90,-90,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-32,-44,-47,-100,-46,-56,-57,-55,-64,-65,-65,-67,-70,-70,-70,-74,-73,-100,-100,-100,-73,-76,-75,-73,-72,-73,-75,-78,-78,-76,-77,-77,-77,-78,-78,-78,-78,-77,-77,-100,-78,-78,-80,-82,-85,-83,-83,-82,-83,-82,-84,-86,-86,-86,-87,-100,-84,-100,-90,-88,-91,-100,-76,-100,-100,-100,-87,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-89,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-33,-45,-47,-48,-48,-58,-58,-57,-66,-66,-65,-67,-73,-72,-71,-72,-72,-74,-74,-74,-100,-100,-76,-71,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-77,-78,-78,-77,-82,-78,-79,-78,-82,-100,-82,-84,-84,-84,-82,-87,-86,-100,-87,-100,-85,-88,-100,-100,-86,-90,-100,-100,-100,-76,-80,-88,-89,-89,-100,-100,-100,-100,-92,-92,-91,-100,-100,-100,-88,-93,-84,-84,-84,-87,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-35,-45,-49,-49,-48,-56,-56,-56,-64,-65,-65,-69,-68,-68,-69,-72,-72,-74,-74,-73,-74,-74,-72,-71,-75,-75,-77,-100,-76,-100,-100,-100,-79,-76,-76,-100,-76,-75,-74,-83,-82,-82,-82,-83,-100,-84,-83,-83,-83,-83,-88,-85,-84,-88,-100,-84,-88,-100,-89,-89,-92,-91,-76,-80,-100,-80,-100,-100,-100,-86,-100,-100,-100,-93,-89,-100,-100,-100,-100,-88,-100,-100,-100,-100,-85,-85,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-33,-43,-47,-46,-46,-61,-61,-61,-66,-67,-66,-67,-72,-72,-71,-71,-71,-74,-74,-75,-74,-75,-80,-70,-74,-75,-72,-100,-77,-73,-86,-78,-77,-76,-78,-100,-77,-77,-77,-83,-79,-79,-79,-85,-85,-83,-83,-82,-82,-84,-84,-84,-86,-85,-100,-84,-84,-100,-90,-89,-100,-93,-75,-77,-78,-78,-86,-86,-86,-100,-100,-100,-100,-100,-93,-100,-100,-100,-86,-89,-92,-87,-87,-87,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-32,-56,-57,-56,-55,-61,-60,-62,-68,-69,-67,-58,-62,-61,-62,-73,-72,-79,-78,-79,-72,-72,-74,-70,-72,-72,-100,-78,-76,-78,-76,-76,-76,-75,-75,-78,-76,-77,-77,-84,-74,-74,-74,-82,-88,-81,-80,-81,-80,-82,-87,-83,-100,-86,-84,-100,-86,-100,-88,-88,-89,-100,-75,-74,-74,-74,-85,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-81,-81,-81,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-32,-53,-55,-55,-55,-60,-61,-61,-65,-65,-65,-59,-61,-61,-61,-100,-100,-76,-77,-77,-72,-73,-73,-100,-73,-73,-77,-100,-75,-100,-100,-100,-77,-75,-75,-81,-79,-78,-79,-82,-76,-76,-76,-85,-100,-84,-79,-79,-79,-83,-85,-87,-87,-85,-100,-86,-86,-100,-87,-89,-90,-100,-100,-100,-79,-100,-84,-86,-87,-100,-100,-87,-88,-89,-100,-100,-93,-100,-100,-88,-89,-80,-100,-80,-87,-87,-86,-100,-100,-89,-90,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-35,-56,-48,-49,-48,-100,-100,-100,-70,-69,-70,-59,-61,-63,-63,-72,-72,-79,-80,-79,-71,-72,-73,-73,-72,-71,-77,-100,-74,-100,-100,-76,-76,-75,-74,-100,-76,-76,-76,-84,-77,-77,-77,-83,-85,-83,-79,-79,-80,-83,-87,-87,-86,-85,-87,-86,-86,-100,-87,-88,-91,-100,-75,-78,-78,-78,-87,-86,-87,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-92,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-32,-51,-47,-47,-47,-55,-55,-55,-71,-69,-69,-57,-61,-61,-60,-76,-70,-79,-79,-79,-71,-72,-73,-70,-72,-72,-74,-100,-75,-100,-100,-100,-77,-75,-75,-100,-78,-78,-78,-81,-75,-75,-75,-84,-100,-83,-79,-78,-79,-83,-100,-86,-100,-100,-100,-100,-100,-100,-87,-89,-91,-100,-73,-100,-100,-78,-86,-85,-86,-100,-100,-100,-100,-100,-89,-100,-100,-86,-100,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-92,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
