bssid,ssid,capabilities,frequency
38:17:c3:19:55:50,csu-guest,[ESS],5180
38:17:c3:19:55:51,csu-eid,[WPA2-EAP-CCMP][ESS],5180
38:17:c3:19:55:52,eduroam,[WPA2-EAP-CCMP][ESS],5180
38:17:c3:19:55:41,csu-eid,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:19:55:40,csu-guest,[ESS],2437
38:17:c3:19:55:42,eduroam,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:1e:fc:b0,csu-guest,[ESS],5785
38:17:c3:1e:fc:b1,csu-eid,[WPA2-EAP-CCMP][ESS],5785
38:17:c3:1e:fc:b2,eduroam,[WPA2-EAP-CCMP][ESS],5785
38:17:c3:1e:fc:a1,csu-eid,[WPA2-EAP-CCMP][ESS],2462
38:17:c3:1e:fc:a2,eduroam,[WPA2-EAP-CCMP][ESS],2462
38:17:c3:1e:fc:a0,csu-guest,[ESS],2462
b0:be:76:f8:30:5e,TP-Link_305E,[WPA2-PSK-CCMP][ESS][WPS],2417
38:17:c3:24:58:b2,eduroam,[WPA2-EAP-CCMP][ESS],5805
38:17:c3:24:58:b0,csu-guest,[ESS],5805
38:17:c3:24:58:b1,csu-eid,[WPA2-EAP-CCMP][ESS],5805
68:ff:7b:e4:af:39,,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2457
64:e5:99:c3:13:3c,iptime,[WPA2-PSK-CCMP][ESS][WPS],2452
00:4e:35:df:06:52,csu-guest,[ESS],5765
38:17:c3:24:58:a1,csu-eid,[WPA2-EAP-CCMP][ESS],2412
38:17:c3:24:58:a2,eduroam,[WPA2-EAP-CCMP][ESS],2412
20:4e:7f:c2:ff:e8,,[WPA2-PSK-CCMP][ESS][WPS],2412
38:17:c3:24:58:a0,csu-guest,[ESS],2412
32:f7:72:50:57:3b,DIRECT-3b-HP M452 LaserJet,[WPA2-PSK-CCMP][ESS],2437
80:8d:b7:55:3a:50,csu-guest,[ESS],5785
00:4e:35:df:06:50,csu-eid,[WPA2-EAP-CCMP][ESS],5765
00:4e:35:df:06:51,eduroam,[WPA2-EAP-CCMP][ESS],5765
00:4e:35:df:06:40,csu-eid,[WPA2-EAP-CCMP][ESS],2412
68:ff:7b:e4:af:38,,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],5745
44:48:c1:a5:82:30,csu-guest,[ESS],5200
44:48:c1:a5:82:32,eduroam,[WPA2-EAP-CCMP][ESS],5200
66:2a:2f:53:7c:99,SETUP,,2462
80:8d:b7:55:3a:51,csu-eid,[WPA2-EAP-CCMP][ESS],5785
80:8d:b7:55:3a:52,eduroam,[WPA2-EAP-CCMP][ESS],5785
