60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,38:17:c3:1f:00:a1,38:17:c3:1f:00:a0,38:17:c3:1f:00:a2,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,9c:d6:43:60:92:e0,44:48:c1:91:d0:01,44:48:c1:91:d0:00,b4:5d:50:e1:96:43,b4:5d:50:e1:96:40,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:42,44:48:c1:91:d0:02,44:48:c1:91:d0:14,44:48:c1:91:d0:11,44:48:c1:91:d0:12,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,38:17:c3:1f:14:00,b4:5d:50:e1:96:41,44:48:c1:91:d0:10,b4:5d:50:e1:96:52,38:17:c3:1f:09:82,38:17:c3:1f:09:83,38:17:c3:1f:09:80,38:17:c3:1f:09:81,44:48:c1:91:95:a1,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:82,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,44:48:c1:91:95:a2,38:17:c3:1f:14:12,38:17:c3:1f:14:11,38:17:c3:1f:14:10,20:a6:cd:42:0a:d3,a8:bd:27:4c:aa:83,38:17:c3:24:47:52,44:48:c1:91:95:a3,38:17:c3:24:47:51,38:17:c3:24:47:50,38:17:c3:1f:19:d1,38:17:c3:1f:09:93,38:17:c3:1f:09:92,38:17:c3:1f:09:90,38:17:c3:19:45:b0,38:17:c3:1f:19:d0,38:17:c3:1f:09:91,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1f:19:d2,38:17:c3:19:45:b2,38:17:c3:19:45:b1,72:32:b1:3e:1a:b8,38:17:c3:1f:14:02,38:17:c3:1f:14:01,44:48:c1:91:95:a0,a8:bd:27:4c:aa:92,20:a6:cd:42:13:f2,20:a6:cd:42:13:f0,20:a6:cd:42:13:f1,38:17:c3:19:45:a1,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:90,38:17:c3:19:45:a0,44:48:c1:91:95:b1,44:48:c1:91:95:b0,ac:e2:d3:c4:08:e6,38:17:c3:19:45:a2,38:17:c3:19:d7:70,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:d7:71,38:17:c3:19:d7:60,38:17:c3:19:d7:61,38:17:c3:19:d7:62,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:19:36:30,80:8d:b7:55:25:e3,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:f1,80:8d:b7:55:35:03,80:8d:b7:55:25:f2,80:8d:b7:55:3a:50,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:35:02,80:8d:b7:55:35:00,66:2a:2f:53:7c:99,80:8d:b7:55:35:12,80:8d:b7:55:25:e0,ea:9e:b4:53:24:54,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:35:01,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,80:8d:b7:55:3a:40,38:17:c3:19:71:82,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,20:a6:cd:50:24:a2,38:17:c3:19:71:90,38:17:c3:1e:ff:12,38:17:c3:1e:ff:01,38:17:c3:1e:ff:11,38:17:c3:19:71:92,38:17:c3:19:71:91,80:8d:b7:55:29:d0,38:17:c3:1e:ff:10,20:a6:cd:50:24:a1,68:ff:7b:e4:af:39,80:8d:b7:55:29:c1,68:ff:7b:e4:af:38,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:d0,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,00:4e:35:df:06:40,38:17:c3:1f:22:30,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,20:a6:cd:50:24:a0,00:4e:35:df:06:52,00:4e:35:df:06:41,80:8d:b7:55:29:c0,20:a6:cd:50:24:b0,80:8d:b7:55:29:c2,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,x,y,label
-60,-64,-64,-68,-68,-68,-69,-70,-70,-73,-74,-74,-74,-75,-75,-75,-76,-77,-77,-77,-78,-79,-79,-79,-79,-79,-79,-79,-79,-80,-80,-81,-81,-81,-81,-83,-83,-83,-84,-84,-84,-84,-85,-85,-85,-85,-85,-86,-87,-87,-88,-88,-88,-88,-88,-89,-89,-89,-90,-90,-90,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-60,-64,-64,-69,-68,-68,-70,-70,-70,-76,-74,-74,-74,-75,-75,-76,-77,-77,-77,-77,-78,-77,-78,-78,-79,-79,-79,-78,-100,-78,-79,-81,-100,-81,-81,-100,-100,-83,-84,-84,-84,-83,-85,-85,-85,-85,-82,-86,-100,-86,-87,-88,-89,-100,-88,-89,-89,-89,-100,-90,-88,-100,-100,-59,-77,-77,-84,-86,-87,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-60,-64,-65,-69,-69,-69,-68,-70,-69,-74,-76,-78,-74,-77,-75,-72,-77,-77,-77,-100,-76,-77,-77,-76,-78,-77,-77,-78,-77,-77,-78,-84,-82,-100,-84,-100,-100,-100,-83,-84,-84,-83,-86,-87,-87,-83,-82,-86,-100,-86,-87,-100,-89,-89,-88,-100,-90,-89,-100,-100,-88,-100,-100,-59,-77,-77,-84,-86,-87,-89,-89,-83,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-58,-64,-65,-69,-68,-69,-68,-67,-67,-74,-76,-78,-74,-77,-75,-80,-100,-78,-100,-100,-76,-77,-77,-77,-80,-80,-80,-77,-77,-78,-80,-82,-79,-84,-82,-85,-100,-100,-83,-82,-82,-84,-86,-87,-87,-82,-82,-85,-100,-86,-87,-100,-89,-89,-88,-88,-90,-89,-89,-90,-100,-100,-87,-58,-100,-100,-100,-100,-100,-89,-100,-83,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-59,-64,-65,-69,-69,-70,-67,-67,-67,-74,-75,-76,-74,-80,-76,-75,-100,-78,-100,-100,-100,-77,-80,-78,-79,-79,-79,-77,-81,-79,-79,-82,-79,-84,-82,-85,-82,-100,-80,-79,-81,-84,-86,-86,-86,-80,-84,-86,-100,-87,-86,-88,-90,-89,-89,-88,-92,-91,-89,-90,-91,-100,-87,-58,-78,-100,-100,-100,-100,-89,-100,-100,-100,-89,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-59,-65,-65,-68,-67,-68,-66,-65,-67,-74,-76,-76,-74,-80,-75,-75,-100,-100,-100,-100,-100,-78,-79,-78,-79,-78,-78,-100,-77,-79,-78,-81,-79,-84,-81,-86,-82,-83,-80,-79,-81,-100,-86,-86,-87,-80,-84,-85,-100,-86,-85,-90,-90,-89,-89,-91,-90,-90,-88,-89,-90,-100,-100,-60,-78,-100,-84,-100,-100,-100,-100,-85,-100,-100,-83,-90,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-58,-68,-100,-72,-73,-73,-65,-65,-65,-78,-81,-100,-76,-77,-100,-75,-100,-77,-100,-76,-81,-84,-83,-85,-87,-86,-90,-74,-76,-84,-86,-78,-78,-79,-79,-84,-100,-100,-81,-80,-82,-83,-83,-85,-83,-81,-100,-89,-100,-100,-90,-100,-87,-87,-88,-87,-100,-87,-91,-90,-100,-87,-87,-59,-74,-74,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-60,-68,-100,-72,-73,-73,-65,-65,-65,-78,-81,-100,-78,-77,-75,-75,-79,-77,-77,-78,-81,-82,-83,-83,-86,-86,-86,-75,-77,-84,-86,-78,-78,-79,-79,-84,-100,-100,-79,-79,-80,-83,-81,-83,-83,-80,-100,-89,-84,-100,-89,-100,-87,-86,-87,-87,-91,-87,-90,-90,-100,-87,-86,-58,-74,-74,-85,-88,-100,-100,-100,-100,-86,-85,-100,-87,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-58,-68,-69,-77,-76,-77,-65,-65,-65,-78,-84,-84,-78,-77,-75,-75,-79,-77,-77,-78,-85,-82,-83,-83,-86,-85,-85,-72,-76,-84,-85,-78,-78,-79,-78,-84,-100,-100,-79,-79,-80,-85,-82,-83,-83,-80,-82,-90,-80,-100,-89,-100,-86,-87,-87,-87,-91,-85,-89,-88,-100,-87,-87,-58,-73,-73,-85,-87,-100,-100,-100,-100,-86,-86,-100,-86,-100,-89,-89,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-58,-69,-69,-76,-76,-77,-65,-65,-65,-78,-84,-84,-100,-77,-74,-74,-78,-77,-77,-100,-85,-83,-82,-83,-86,-85,-86,-72,-76,-83,-85,-78,-78,-78,-78,-84,-100,-100,-79,-79,-80,-85,-82,-83,-83,-80,-81,-90,-82,-89,-89,-100,-86,-87,-87,-87,-100,-87,-87,-87,-100,-86,-87,-100,-73,-73,-85,-87,-100,-94,-100,-100,-86,-86,-100,-86,-100,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
