b0:be:76:f8:30:5e,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,00:4e:35:df:06:50,b8:27:eb:9f:6b:77,80:8d:b7:55:3a:41,ea:9e:b4:53:24:54,80:8d:b7:55:25:e3,80:8d:b7:55:25:e1,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,80:8d:b7:55:35:11,44:48:c1:a5:82:31,80:8d:b7:55:35:01,80:8d:b7:55:3a:50,00:4e:35:df:06:52,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,44:48:c1:a5:82:30,44:48:c1:a5:82:20,66:2a:2f:53:7c:99,80:8d:b7:55:35:03,38:17:c3:1f:0e:10,80:8d:b7:55:35:00,44:48:c1:a5:82:22,44:48:c1:a5:82:21,80:8d:b7:55:35:12,38:17:c3:1f:0e:00,38:17:c3:1f:22:30,38:17:c3:19:71:90,80:8d:b7:55:35:13,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:35:02,80:8d:b7:55:25:f2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1f:22:32,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:f0,38:17:c3:1f:01:90,38:17:c3:1e:ff:10,38:17:c3:19:d7:60,38:17:c3:19:45:b0,38:17:c3:1e:ff:00,00:4e:35:df:06:51,20:a6:cd:50:24:b2,b4:5d:50:e1:92:33,20:a6:cd:50:24:b1,b4:5d:50:e1:92:23,b4:5d:50:e1:92:22,60:32:b1:3e:1a:b8,20:a6:cd:42:0b:e3,38:17:c3:1f:01:80,20:a6:cd:50:24:b0,b4:5d:50:e1:92:21,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:39:c1,80:8d:b7:55:3a:42,b4:5d:50:e1:92:32,38:17:c3:19:55:51,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:30,38:17:c3:19:55:52,38:17:c3:1f:09:83,38:17:c3:19:d7:70,80:8d:b7:55:39:c0,80:8d:b7:55:3a:40,b4:5d:50:e1:92:31,38:17:c3:19:55:50,80:8d:b7:55:39:c2,68:ff:7b:e4:af:39,00:4e:35:de:e1:12,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:01,38:17:c3:1f:09:93,38:17:c3:19:71:91,38:17:c3:1f:09:90,80:8d:b7:55:25:e2,38:17:c3:1e:ff:02,38:17:c3:19:71:92,38:17:c3:1f:09:91,b4:5d:50:e1:96:43,80:8d:b7:55:25:e0,60:32:b1:3e:1a:b7,38:17:c3:19:45:a2,38:17:c3:19:45:a1,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,38:17:c3:19:55:41,38:17:c3:19:55:42,20:a6:cd:50:24:a0,38:17:c3:19:45:a0,72:32:b1:3e:1a:b7,68:ff:7b:e4:af:38,00:4e:35:de:e1:10,38:17:c3:19:55:40,00:4e:35:df:06:42,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:de:e1:01,00:4e:35:de:e1:02,38:17:c3:1f:22:31,00:4e:35:de:e1:11,b4:5d:50:e1:92:20,00:4e:35:de:e1:00,38:17:c3:1f:09:92,38:17:c3:1f:00:b0,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,38:17:c3:1f:08:50,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:31,44:48:c1:91:95:b3,44:48:c1:91:95:b2,a8:bd:27:4c:bd:32,38:17:c3:1f:08:52,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:1f:08:51,00:4e:35:de:d7:53,00:4e:35:de:d7:52,38:17:c3:1f:22:22,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:1f:08:42,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:df:0e:12,00:4e:35:de:d7:50,00:4e:35:de:d7:51,00:4e:35:de:d7:42,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:21,00:4e:35:de:d7:43,38:17:c3:19:36:31,00:4e:35:de:d7:41,38:17:c3:19:36:30,00:4e:35:de:d7:40,38:17:c3:19:36:32,a8:bd:27:4c:bd:22,00:4e:35:df:0e:11,38:17:c3:1e:fc:b0,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,00:4e:35:df:0e:10,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:1b:08:b0,38:17:c3:24:4f:10,00:4e:35:df:27:02,38:17:c3:24:4f:12,38:17:c3:24:4f:11,00:4e:35:df:27:01,38:17:c3:1b:08:b1,00:4e:35:df:27:00,38:17:c3:24:58:a1,38:17:c3:24:4f:01,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:1b:08:b2,x,y,label
-73,-75,-74,-83,-29,-78,-50,-73,-77,-74,-74,-77,-63,-77,-69,-75,-82,-74,-63,-78,-77,-90,-65,-51,-69,-77,-77,-63,-55,-88,-88,-63,-51,-51,-55,-55,-69,-70,-74,-74,-69,-70,-81,-81,-75,-75,-87,-86,-90,-78,-70,-75,-82,-75,-87,-83,-82,-87,-88,-89,-86,-86,-89,-93,-76,-88,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-75,-75,-75,-82,-30,-77,-49,-73,-77,-74,-74,-76,-64,-76,-69,-75,-81,-74,-64,-76,-78,-91,-69,-53,-69,-77,-77,-64,-53,-88,-88,-64,-53,-53,-53,-53,-69,-70,-74,-74,-69,-70,-81,-81,-77,-77,-87,-86,-90,-80,-70,-75,-81,-77,-87,-78,-81,-88,-88,-87,-88,-86,-83,-93,-76,-89,-88,-73,-74,-75,-78,-86,-87,-84,-88,-89,-93,-73,-75,-77,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-76,-74,-75,-80,-29,-77,-50,-74,-100,-75,-75,-80,-63,-80,-69,-75,-81,-75,-63,-80,-78,-91,-65,-53,-69,-78,-77,-63,-54,-100,-87,-63,-53,-53,-54,-54,-69,-70,-79,-79,-70,-70,-82,-81,-78,-76,-87,-86,-100,-77,-70,-80,-82,-77,-88,-78,-82,-86,-88,-86,-87,-100,-83,-91,-100,-89,-88,-73,-73,-73,-78,-86,-87,-84,-88,-89,-93,-73,-74,-77,-87,-88,-73,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-76,-74,-75,-80,-28,-78,-49,-73,-100,-73,-73,-75,-64,-75,-69,-75,-80,-73,-64,-75,-100,-100,-65,-52,-69,-78,-77,-64,-54,-88,-90,-64,-52,-52,-54,-54,-69,-70,-78,-78,-69,-70,-81,-81,-76,-76,-86,-87,-100,-76,-70,-78,-80,-77,-86,-100,-79,-88,-88,-88,-88,-88,-84,-91,-76,-87,-100,-73,-73,-73,-78,-88,-100,-84,-89,-100,-100,-73,-74,-78,-88,-100,-74,-66,-88,-77,-78,-83,-87,-89,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-60,-74,-74,-80,-29,-77,-49,-73,-77,-74,-74,-78,-63,-77,-69,-74,-81,-74,-63,-78,-78,-91,-67,-50,-69,-78,-81,-63,-53,-88,-87,-64,-50,-50,-53,-53,-69,-70,-78,-78,-70,-70,-81,-81,-77,-78,-86,-85,-100,-76,-70,-78,-80,-77,-86,-85,-81,-88,-89,-88,-85,-88,-84,-100,-78,-87,-87,-100,-100,-73,-77,-88,-100,-100,-88,-100,-92,-100,-73,-78,-88,-100,-73,-92,-89,-77,-77,-83,-87,-87,-89,-78,-83,-88,-89,-93,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-75,-74,-73,-100,-29,-77,-50,-74,-77,-74,-75,-78,-64,-77,-68,-74,-80,-75,-64,-78,-78,-93,-64,-50,-69,-78,-78,-64,-53,-88,-87,-64,-50,-50,-53,-53,-69,-70,-75,-76,-70,-70,-81,-80,-76,-77,-100,-85,-100,-80,-70,-76,-81,-100,-100,-85,-80,-86,-90,-87,-88,-100,-100,-100,-77,-87,-87,-74,-74,-73,-76,-88,-90,-100,-88,-90,-92,-74,-73,-77,-88,-90,-73,-92,-89,-77,-77,-83,-87,-88,-89,-78,-77,-88,-89,-93,-78,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-75,-100,-100,-100,-28,-75,-56,-72,-76,-73,-73,-76,-58,-76,-69,-100,-79,-73,-58,-76,-76,-89,-68,-58,-70,-100,-100,-58,-59,-100,-100,-58,-58,-58,-59,-59,-70,-76,-75,-75,-76,-76,-76,-75,-100,-100,-100,-100,-100,-72,-76,-75,-76,-100,-100,-100,-79,-86,-89,-86,-89,-100,-100,-92,-100,-87,-100,-100,-100,-72,-75,-88,-100,-87,-89,-100,-93,-72,-73,-75,-89,-91,-72,-100,-86,-75,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-87,-82,-79,-81,-82,-87,-88,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-75,-74,-74,-100,-29,-75,-55,-73,-76,-71,-71,-75,-59,-75,-69,-75,-80,-71,-59,-75,-75,-88,-68,-56,-69,-75,-75,-59,-57,-100,-100,-58,-55,-55,-58,-57,-69,-77,-72,-73,-77,-77,-76,-76,-76,-76,-100,-100,-100,-72,-77,-73,-75,-77,-100,-83,-82,-83,-88,-84,-87,-100,-100,-93,-100,-84,-100,-71,-71,-70,-75,-88,-100,-87,-89,-100,-93,-72,-70,-75,-89,-91,-70,-100,-88,-75,-73,-83,-100,-100,-88,-75,-83,-100,-100,-100,-76,-87,-82,-79,-81,-82,-87,-88,-82,-82,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-71,-75,-75,-82,-29,-76,-56,-73,-100,-72,-71,-76,-58,-77,-70,-75,-82,-71,-58,-76,-76,-87,-69,-53,-69,-76,-76,-58,-56,-100,-100,-58,-53,-53,-56,-56,-69,-77,-71,-71,-77,-77,-77,-77,-77,-77,-100,-100,-100,-73,-77,-71,-77,-77,-100,-83,-82,-84,-89,-83,-87,-100,-100,-90,-100,-84,-100,-72,-72,-71,-75,-100,-89,-100,-100,-100,-93,-72,-72,-76,-100,-90,-72,-100,-87,-72,-73,-83,-100,-100,-88,-100,-83,-100,-100,-100,-100,-100,-100,-100,-81,-81,-86,-87,-100,-100,-85,-90,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-74,-73,-73,-82,-27,-76,-53,-72,-100,-72,-71,-76,-59,-76,-70,-73,-82,-72,-59,-76,-76,-87,-66,-60,-70,-76,-76,-59,-65,-100,-100,-59,-60,-60,-65,-65,-70,-77,-71,-71,-76,-75,-75,-76,-76,-76,-100,-100,-100,-75,-77,-71,-77,-76,-100,-83,-82,-84,-89,-84,-100,-100,-83,-91,-100,-84,-100,-71,-71,-73,-76,-100,-89,-100,-100,-88,-93,-72,-72,-76,-100,-88,-73,-100,-90,-72,-75,-83,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-81,-81,-85,-87,-100,-100,-84,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
