b0:be:76:f8:30:5e,66:2a:2f:53:7c:99,b8:27:eb:9f:6b:77,44:48:c1:a5:82:32,44:48:c1:a5:82:30,ea:9e:b4:53:24:54,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:12,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:35:03,80:8d:b7:55:35:02,80:8d:b7:55:35:01,38:17:c3:19:d7:72,38:17:c3:19:d7:71,38:17:c3:19:d7:61,b4:5d:50:e1:92:33,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,80:8d:b7:55:39:c0,80:8d:b7:55:25:f0,80:8d:b7:55:35:00,38:17:c3:19:d7:70,38:17:c3:19:d7:60,20:a6:cd:50:24:b0,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,38:17:c3:19:d7:62,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:10,80:8d:b7:55:3a:50,38:17:c3:1e:ff:10,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:25:e3,38:17:c3:1f:22:31,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:01:90,38:17:c3:1f:22:30,b4:5d:50:e1:92:21,60:32:b1:3e:1a:b7,38:17:c3:1f:01:81,38:17:c3:1f:22:32,b4:5d:50:e1:92:20,38:17:c3:19:45:b0,80:8d:b7:55:25:e2,44:48:c1:a5:82:21,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:1f:01:82,38:17:c3:1e:ff:02,60:32:b1:3e:1a:b8,38:17:c3:1f:0e:00,00:4e:35:df:06:51,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:1f:09:93,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:23,b4:5d:50:e1:92:22,68:ff:7b:e4:af:39,00:4e:35:df:06:52,38:17:c3:1f:01:80,38:17:c3:19:45:a0,00:4e:35:de:e1:12,38:17:c3:1f:09:90,72:32:b1:3e:1a:b7,00:4e:35:df:06:50,20:a6:cd:50:24:a1,38:17:c3:1f:09:83,80:8d:b7:55:25:e1,44:48:c1:a5:82:22,38:17:c3:1e:ff:01,20:a6:cd:50:24:a2,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,20:a6:cd:50:24:a0,00:4e:35:df:06:42,44:48:c1:a5:82:20,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:1e:ff:00,b4:5d:50:e1:92:31,38:17:c3:19:55:50,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:40,b4:5d:50:e1:96:43,38:17:c3:19:71:90,00:4e:35:df:06:41,20:a6:cd:42:0b:e3,00:4e:35:de:e1:11,00:4e:35:de:e1:10,68:ff:7b:e4:af:38,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:19:55:40,00:4e:35:de:e1:02,38:17:c3:1f:09:91,38:17:c3:1f:09:92,b4:5d:50:e1:96:50,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:19:55:41,20:a6:cd:42:0b:f3,44:48:c1:91:95:b2,20:a6:cd:42:0b:f0,38:17:c3:1f:08:50,00:4e:35:de:e1:00,9c:d6:43:60:92:e0,00:4e:35:de:e1:01,44:48:c1:91:95:b3,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:19:55:42,a8:bd:27:4c:bd:30,38:17:c3:1f:08:52,38:17:c3:1f:08:51,00:4e:35:de:d7:53,00:4e:35:de:d7:52,a8:bd:27:4c:bd:32,38:17:c3:1f:08:40,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:22,38:17:c3:1f:08:42,a8:bd:27:4c:bd:31,38:17:c3:19:71:81,00:4e:35:de:d7:43,38:17:c3:19:36:30,38:17:c3:19:71:80,a8:bd:27:4c:bd:20,00:4e:35:de:d7:40,00:4e:35:de:d7:41,a8:bd:27:4c:bd:21,00:4e:35:de:d7:42,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:19:71:82,38:17:c3:1f:08:41,00:4e:35:df:0e:12,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:1e:fc:a0,00:4e:35:df:0e:00,38:17:c3:24:58:b0,38:17:c3:24:4f:10,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1f:0f:90,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:01,38:17:c3:1b:08:a1,00:4e:35:df:27:02,38:17:c3:1b:08:a0,00:4e:35:df:27:12,da:3b:bf:91:24:81,x,y,label
-72,-91,-29,-78,-78,-47,-60,-60,-70,-70,-72,-72,-60,-73,-73,-73,-78,-72,-74,-73,-75,-74,-80,-88,-60,-70,-72,-74,-73,-75,-81,-87,-57,-57,-74,-74,-80,-87,-85,-81,-82,-74,-57,-74,-82,-53,-53,-70,-71,-71,-87,-85,-86,-70,-86,-88,-80,-77,-86,-87,-86,-78,-79,-77,-77,-78,-81,-84,-53,-81,-83,-83,-88,-85,-86,-86,-87,-81,-78,-84,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-72,-91,-29,-73,-75,-48,-61,-62,-67,-67,-72,-72,-61,-73,-73,-73,-75,-71,-74,-73,-74,-74,-80,-89,-61,-67,-72,-73,-73,-74,-81,-84,-50,-50,-74,-74,-80,-84,-84,-81,-82,-76,-50,-74,-81,-54,-55,-70,-71,-72,-87,-88,-86,-71,-86,-87,-80,-77,-86,-87,-86,-78,-79,-77,-77,-78,-81,-88,-55,-81,-83,-83,-88,-85,-86,-86,-89,-80,-78,-84,-88,-87,-83,-81,-83,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-73,-89,-29,-77,-77,-45,-61,-60,-69,-69,-72,-70,-61,-73,-73,-73,-77,-71,-74,-74,-73,-73,-80,-88,-61,-69,-100,-73,-74,-73,-81,-86,-52,-52,-74,-74,-100,-85,-85,-81,-80,-83,-52,-74,-80,-54,-55,-72,-72,-72,-87,-87,-88,-73,-85,-87,-82,-76,-100,-100,-88,-77,-80,-78,-78,-100,-100,-81,-55,-80,-100,-100,-88,-85,-90,-100,-89,-80,-100,-100,-89,-89,-83,-81,-83,-93,-77,-79,-84,-85,-77,-78,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-72,-88,-26,-76,-76,-46,-60,-60,-70,-69,-72,-71,-60,-74,-73,-73,-76,-73,-74,-74,-74,-74,-80,-88,-61,-70,-72,-74,-74,-74,-80,-86,-52,-52,-75,-75,-81,-87,-86,-82,-82,-76,-52,-74,-81,-53,-54,-71,-71,-72,-87,-86,-88,-71,-85,-86,-83,-76,-100,-87,-88,-77,-79,-78,-78,-100,-100,-86,-54,-80,-100,-100,-89,-100,-90,-86,-100,-81,-100,-100,-89,-88,-100,-80,-100,-91,-77,-79,-83,-85,-77,-78,-84,-86,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-73,-92,-30,-76,-77,-46,-61,-62,-68,-68,-71,-72,-62,-73,-73,-73,-77,-69,-73,-73,-74,-74,-80,-89,-61,-68,-72,-73,-73,-75,-80,-85,-51,-50,-74,-74,-81,-85,-86,-82,-81,-75,-51,-75,-82,-54,-54,-72,-73,-74,-100,-87,-88,-73,-100,-86,-82,-76,-100,-87,-88,-76,-79,-100,-100,-75,-83,-90,-55,-81,-82,-83,-89,-100,-88,-86,-100,-81,-76,-100,-100,-88,-100,-80,-81,-91,-76,-79,-82,-83,-100,-100,-84,-100,-79,-88,-89,-83,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-75,-69,-29,-75,-75,-47,-62,-62,-67,-67,-72,-71,-62,-73,-73,-72,-75,-72,-74,-74,-74,-74,-81,-88,-62,-67,-71,-73,-74,-75,-81,-84,-51,-51,-74,-74,-81,-84,-84,-81,-80,-75,-51,-74,-81,-56,-56,-70,-70,-72,-100,-87,-100,-71,-89,-87,-82,-75,-100,-100,-100,-76,-100,-100,-100,-75,-83,-86,-56,-81,-82,-84,-100,-100,-89,-87,-100,-79,-75,-100,-100,-88,-100,-80,-81,-100,-76,-100,-83,-83,-100,-100,-84,-100,-100,-88,-89,-83,-89,-90,-88,-88,-85,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-79,-90,-30,-78,-79,-57,-61,-61,-77,-78,-67,-67,-61,-72,-71,-71,-78,-66,-66,-66,-72,-72,-100,-90,-61,-78,-67,-71,-66,-72,-100,-84,-52,-52,-75,-75,-74,-84,-84,-82,-82,-86,-52,-100,-83,-56,-56,-70,-70,-77,-100,-100,-100,-71,-85,-100,-100,-73,-87,-100,-100,-100,-78,-100,-75,-72,-100,-85,-56,-85,-100,-100,-100,-100,-90,-100,-100,-84,-71,-100,-87,-88,-100,-85,-82,-91,-100,-77,-100,-82,-100,-100,-82,-100,-77,-100,-100,-84,-100,-100,-100,-100,-100,-100,-88,-85,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-81,-91,-31,-78,-78,-61,-61,-61,-76,-76,-68,-67,-61,-71,-71,-71,-78,-68,-66,-66,-72,-72,-100,-91,-61,-76,-68,-72,-66,-72,-100,-84,-54,-54,-75,-75,-75,-84,-83,-82,-82,-82,-54,-75,-83,-56,-56,-71,-72,-81,-100,-86,-85,-72,-85,-100,-100,-75,-87,-100,-86,-76,-78,-74,-75,-75,-83,-85,-56,-85,-100,-100,-100,-88,-90,-100,-86,-84,-75,-100,-88,-86,-84,-85,-82,-91,-76,-78,-83,-81,-76,-75,-81,-86,-78,-100,-100,-84,-100,-100,-100,-100,-87,-100,-90,-87,-89,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-81,-86,-29,-78,-78,-58,-61,-61,-76,-76,-67,-67,-61,-71,-71,-71,-78,-65,-65,-66,-72,-72,-76,-91,-61,-76,-68,-71,-65,-72,-76,-84,-52,-52,-75,-75,-75,-84,-84,-82,-82,-83,-52,-75,-82,-55,-55,-71,-71,-77,-100,-86,-85,-71,-87,-100,-100,-74,-100,-100,-86,-75,-77,-74,-75,-74,-83,-100,-55,-82,-100,-100,-89,-88,-100,-100,-86,-82,-74,-85,-85,-88,-84,-82,-81,-95,-75,-78,-83,-82,-76,-75,-82,-86,-77,-100,-100,-83,-100,-89,-100,-100,-87,-100,-89,-87,-89,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-64,-90,-31,-80,-80,-61,-61,-61,-77,-76,-68,-68,-61,-71,-71,-71,-80,-67,-66,-66,-72,-72,-75,-90,-61,-77,-68,-71,-66,-72,-75,-84,-52,-52,-75,-75,-75,-84,-84,-81,-82,-79,-52,-75,-81,-55,-55,-71,-71,-77,-100,-86,-100,-71,-87,-100,-100,-74,-100,-100,-100,-75,-77,-75,-75,-74,-84,-86,-56,-81,-100,-100,-89,-100,-100,-100,-100,-81,-74,-85,-86,-88,-100,-82,-82,-95,-76,-77,-82,-81,-75,-100,-82,-86,-78,-100,-100,-84,-100,-89,-100,-100,-100,-100,-88,-85,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
