b0:be:76:f8:30:5e,80:8d:b7:55:3a:50,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,44:48:c1:a5:82:32,80:8d:b7:55:39:d1,44:48:c1:a5:82:31,80:8d:b7:55:39:d2,80:8d:b7:55:25:e3,44:48:c1:a5:82:30,80:8d:b7:55:39:d0,80:8d:b7:55:35:11,80:8d:b7:55:35:12,ea:9e:b4:53:24:54,80:8d:b7:55:35:13,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:35:03,80:8d:b7:55:35:01,80:8d:b7:55:35:02,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:35:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:01,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1f:01:91,2a:16:ad:ec:da:ab,38:17:c3:1f:01:92,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1e:ff:10,38:17:c3:1f:01:90,38:17:c3:1f:0e:02,38:17:c3:1f:01:82,38:17:c3:1f:01:80,38:17:c3:1f:22:30,20:a6:cd:50:24:a1,80:8d:b7:55:3a:51,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:19:d7:70,80:8d:b7:55:39:c0,20:a6:cd:50:24:b0,80:8d:b7:55:3a:52,20:a6:cd:50:24:a2,38:17:c3:1f:09:83,66:2a:2f:53:7c:99,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:21,44:48:c1:a5:82:22,72:32:b1:3e:1a:b7,38:17:c3:1f:09:93,00:4e:35:df:06:40,b4:5d:50:e1:92:23,80:8d:b7:55:25:f0,80:8d:b7:55:35:00,44:48:c1:a5:82:20,00:4e:35:de:e1:12,38:17:c3:1f:09:90,20:a6:cd:50:24:a0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:19:d7:62,68:ff:7b:e4:af:38,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:41,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,38:17:c3:19:d7:60,38:17:c3:19:45:a0,38:17:c3:19:71:90,38:17:c3:19:55:50,60:32:b1:3e:1a:b7,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,b4:5d:50:e1:96:43,38:17:c3:1e:ff:00,00:4e:35:df:06:42,38:17:c3:1f:22:32,38:17:c3:1f:01:81,38:17:c3:19:45:a1,38:17:c3:19:45:a2,60:32:b1:3e:1a:b8,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:19:55:40,b4:5d:50:e1:92:33,38:17:c3:19:45:b0,68:ff:7b:e4:af:39,20:a6:cd:42:0b:e3,38:17:c3:1f:09:91,38:17:c3:1f:09:92,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:19:45:b1,b4:5d:50:e1:92:31,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,b4:5d:50:e1:96:53,38:17:c3:1f:00:b0,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,38:17:c3:19:55:41,38:17:c3:1f:08:51,38:17:c3:19:55:42,38:17:c3:1f:08:50,38:17:c3:1f:08:52,44:48:c1:91:95:b1,44:48:c1:91:95:b0,44:48:c1:91:95:b3,a8:bd:27:4c:bd:22,44:48:c1:91:95:b2,a8:bd:27:4c:bd:21,00:4e:35:de:d7:52,a8:bd:27:4c:bd:20,38:17:c3:1f:08:42,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:08:41,00:4e:35:de:d7:53,38:17:c3:1f:08:40,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:de:e1:02,00:4e:35:df:0e:12,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,00:4e:35:de:d7:43,38:17:c3:19:71:80,00:4e:35:de:d7:42,00:4e:35:df:0e:11,38:17:c3:19:71:81,38:17:c3:19:36:30,38:17:c3:19:71:82,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,38:17:c3:1b:08:a1,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,38:17:c3:1b:08:b2,00:4e:35:df:0e:00,38:17:c3:1b:08:b1,38:17:c3:24:4f:10,00:4e:35:df:27:12,00:4e:35:de:d7:41,00:4e:35:de:d7:40,x,y,label
-78,-76,-80,-80,-80,-79,-72,-78,-73,-73,-79,-73,-65,-65,-51,-65,-70,-70,-68,-72,-72,-74,-74,-65,-51,-52,-59,-77,-77,-73,-84,-73,-51,-59,-77,-73,-59,-73,-73,-88,-85,-77,-80,-81,-83,-84,-71,-71,-84,-77,-85,-92,-89,-72,-72,-72,-77,-78,-88,-88,-85,-91,-72,-72,-77,-86,-88,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-74,-75,-86,-84,-85,-81,-72,-81,-72,-74,-81,-72,-63,-62,-52,-62,-70,-71,-70,-71,-71,-74,-74,-62,-48,-48,-59,-76,-78,-73,-82,-73,-48,-59,-78,-73,-59,-73,-73,-88,-85,-76,-78,-82,-83,-84,-74,-71,-84,-75,-85,-92,-89,-74,-74,-74,-77,-78,-88,-88,-85,-90,-74,-71,-80,-87,-88,-85,-74,-74,-77,-77,-78,-87,-88,-89,-86,-74,-77,-78,-84,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-77,-75,-86,-84,-85,-79,-72,-79,-71,-72,-79,-72,-63,-63,-51,-63,-70,-71,-70,-71,-70,-74,-74,-63,-48,-48,-60,-78,-77,-82,-86,-81,-48,-60,-78,-82,-59,-100,-100,-100,-86,-75,-78,-83,-84,-84,-74,-71,-85,-75,-86,-91,-90,-74,-74,-74,-77,-78,-100,-86,-100,-88,-74,-71,-80,-87,-86,-100,-74,-74,-78,-71,-78,-87,-88,-89,-86,-74,-77,-77,-84,-89,-89,-87,-85,-82,-83,-94,-82,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-78,-75,-100,-85,-85,-80,-72,-80,-72,-74,-80,-72,-64,-64,-51,-64,-71,-71,-66,-71,-71,-74,-100,-64,-48,-48,-59,-77,-78,-72,-83,-72,-48,-59,-78,-72,-60,-100,-100,-100,-85,-75,-78,-80,-84,-86,-75,-70,-85,-75,-84,-91,-89,-74,-74,-74,-77,-78,-100,-86,-100,-90,-74,-71,-77,-89,-86,-100,-100,-100,-78,-76,-78,-86,-100,-100,-87,-100,-78,-78,-100,-89,-100,-85,-85,-82,-83,-94,-82,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-75,-76,-100,-85,-83,-79,-71,-78,-71,-73,-79,-71,-64,-63,-51,-63,-71,-71,-68,-72,-71,-77,-77,-64,-54,-54,-57,-78,-77,-73,-83,-73,-54,-57,-78,-73,-57,-74,-74,-87,-85,-76,-78,-80,-85,-84,-77,-70,-85,-76,-84,-90,-89,-74,-74,-74,-76,-78,-89,-100,-100,-80,-74,-72,-77,-87,-88,-100,-76,-100,-77,-76,-77,-86,-87,-100,-87,-75,-77,-79,-100,-90,-100,-85,-100,-100,-100,-100,-100,-85,-87,-74,-83,-84,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-67,-77,-100,-84,-84,-79,-73,-79,-73,-74,-79,-73,-63,-64,-54,-64,-70,-70,-68,-72,-71,-76,-77,-64,-47,-47,-59,-79,-77,-74,-83,-75,-47,-59,-79,-75,-59,-76,-75,-87,-100,-76,-79,-84,-84,-84,-76,-70,-84,-76,-86,-92,-90,-73,-73,-72,-78,-78,-89,-100,-100,-80,-73,-72,-72,-87,-87,-100,-75,-74,-79,-79,-79,-88,-87,-88,-100,-75,-79,-79,-100,-89,-88,-87,-84,-100,-100,-100,-100,-87,-100,-75,-85,-87,-89,-86,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-73,-76,-81,-81,-81,-78,-71,-78,-72,-76,-78,-72,-64,-64,-53,-64,-70,-70,-70,-73,-74,-74,-87,-64,-54,-55,-58,-76,-76,-73,-81,-73,-54,-58,-76,-73,-58,-75,-76,-94,-92,-75,-79,-90,-85,-85,-73,-71,-86,-88,-92,-96,-90,-71,-71,-71,-88,-89,-94,-94,-92,-95,-71,-73,-88,-86,-94,-92,-100,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-89,-100,-93,-100,-93,-93,-100,-94,-96,-94,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-72,-75,-84,-83,-84,-78,-72,-78,-72,-77,-78,-72,-64,-64,-55,-64,-69,-70,-65,-73,-73,-74,-74,-64,-52,-52,-58,-75,-77,-73,-82,-73,-52,-58,-77,-73,-58,-75,-76,-94,-92,-75,-78,-81,-86,-86,-73,-70,-87,-87,-92,-96,-91,-72,-72,-72,-77,-78,-94,-87,-84,-95,-72,-73,-79,-87,-94,-92,-76,-76,-78,-77,-78,-88,-90,-94,-93,-87,-77,-78,-92,-94,-89,-100,-100,-100,-100,-100,-100,-93,-100,-89,-100,-93,-100,-93,-94,-100,-94,-96,-94,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-74,-75,-84,-83,-83,-78,-73,-79,-72,-77,-78,-73,-62,-62,-54,-63,-69,-70,-72,-72,-72,-74,-74,-63,-53,-53,-58,-76,-75,-78,-83,-77,-53,-58,-76,-78,-58,-89,-100,-100,-93,-75,-79,-81,-85,-85,-74,-70,-85,-75,-93,-95,-92,-72,-72,-72,-77,-78,-93,-86,-92,-94,-72,-72,-79,-88,-86,-100,-76,-76,-78,-75,-89,-89,-90,-94,-93,-77,-77,-78,-92,-89,-90,-93,-92,-91,-91,-97,-91,-86,-100,-89,-93,-93,-93,-93,-94,-100,-94,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-72,-75,-91,-84,-87,-79,-73,-79,-73,-76,-79,-73,-63,-63,-54,-63,-70,-70,-70,-72,-72,-74,-87,-63,-53,-53,-58,-76,-77,-73,-81,-73,-53,-58,-76,-73,-59,-89,-100,-100,-92,-75,-79,-80,-85,-85,-74,-69,-85,-75,-92,-90,-94,-72,-72,-72,-78,-78,-93,-86,-100,-89,-72,-73,-77,-89,-86,-100,-89,-100,-78,-77,-89,-87,-100,-100,-93,-90,-78,-79,-100,-89,-95,-92,-92,-91,-91,-97,-91,-92,-93,-89,-93,-93,-92,-93,-100,-100,-94,-100,-93,-100,-94,-93,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
