38:17:c3:1f:00:b0,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,b4:5d:50:e1:96:53,20:a6:cd:42:0a:d3,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,38:17:c3:1f:00:a2,44:48:c1:91:d0:04,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c3,44:48:c1:91:d0:14,44:48:c1:91:d0:12,44:48:c1:91:d0:10,38:17:c3:24:47:52,38:17:c3:1f:09:91,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:24:47:51,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,38:17:c3:1f:14:02,38:17:c3:1f:14:01,38:17:c3:1f:14:12,38:17:c3:1f:09:83,38:17:c3:1f:14:11,38:17:c3:19:45:b2,38:17:c3:19:45:b1,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b3,44:48:c1:91:95:a0,44:48:c1:91:d0:02,44:48:c1:91:95:a1,44:48:c1:91:d0:00,38:17:c3:19:45:a1,38:17:c3:1f:19:d1,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:83,44:48:c1:91:95:a3,38:17:c3:19:45:a2,a8:bd:27:4c:aa:82,38:17:c3:1f:19:d2,20:a6:cd:42:13:f2,a8:bd:27:4c:aa:93,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d2,38:17:c3:1f:09:90,44:48:c1:91:d0:11,38:17:c3:24:47:50,b4:5d:50:e1:96:40,20:a6:cd:42:0a:c2,38:17:c3:1f:14:00,9c:d6:43:60:92:e0,38:17:c3:19:45:b0,44:48:c1:91:95:b2,38:17:c3:1f:14:10,44:48:c1:91:d0:01,44:48:c1:91:95:a2,38:17:c3:1f:19:d0,38:17:c3:19:45:a0,a8:bd:27:4c:aa:80,44:48:c1:91:aa:30,a8:bd:27:4c:aa:90,20:a6:cd:42:13:f0,38:17:c3:1f:00:a1,38:17:c3:1f:09:81,38:17:c3:1f:09:82,a8:bd:27:4c:aa:92,38:17:c3:1f:00:a0,38:17:c3:1f:09:80,a8:bd:27:4c:aa:91,38:17:c3:22:5e:f0,66:2a:2f:53:7c:99,ac:e2:d3:c4:08:e6,38:17:c3:22:61:90,38:17:c3:19:d7:70,38:17:c3:1f:19:f0,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,20:a6:cd:42:0b:e3,38:17:c3:19:36:30,20:a6:cd:42:0b:f3,38:17:c3:19:d7:62,38:17:c3:19:d7:61,80:8d:b7:55:25:e3,38:17:c3:19:d7:60,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,80:8d:b7:55:35:03,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:3a:50,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:51,80:8d:b7:55:25:e2,80:8d:b7:55:35:01,80:8d:b7:55:25:e1,80:8d:b7:55:35:02,80:8d:b7:55:25:e0,80:8d:b7:55:35:00,38:17:c3:1e:ff:10,b0:be:76:f8:30:5e,80:8d:b7:55:3a:52,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,38:17:c3:19:71:90,68:ff:7b:e4:af:39,80:8d:b7:55:3a:41,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,ea:9e:b4:53:24:54,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:19:36:20,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,80:8d:b7:55:39:d2,20:a6:cd:50:24:a2,38:17:c3:1e:ff:00,80:8d:b7:55:39:d0,20:a6:cd:50:24:a0,20:a6:cd:50:24:a1,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,38:17:c3:1e:ff:12,68:ff:7b:e4:af:38,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,38:17:c3:1e:ff:11,80:8d:b7:55:39:d1,38:17:c3:1f:22:30,38:17:c3:1f:22:32,38:17:c3:1f:22:31,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,20:a6:cd:50:24:b0,00:4e:35:de:e1:12,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:42,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:22:22,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,38:17:c3:1f:22:20,80:8d:b7:55:4d:02,38:17:c3:1f:22:21,38:17:c3:1f:0e:00,x,y,label
-66,-61,-61,-68,-68,-64,-67,-75,-76,-76,-76,-77,-77,-72,-72,-73,-73,-78,-78,-79,-79,-79,-79,-79,-80,-75,-75,-75,-76,-76,-76,-82,-79,-83,-83,-83,-84,-84,-84,-80,-80,-81,-81,-81,-85,-82,-82,-82,-82,-82,-86,-88,-89,-74,-77,-79,-79,-80,-75,-75,-77,-78,-83,-83,-84,-80,-81,-85,-82,-82,-88,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-68,-59,-61,-70,-70,-67,-64,-76,-79,-76,-76,-79,-79,-73,-77,-73,-73,-78,-78,-79,-80,-82,-82,-79,-81,-75,-75,-74,-75,-77,-77,-84,-82,-84,-82,-81,-85,-84,-84,-80,-79,-82,-80,-81,-85,-81,-82,-82,-82,-82,-85,-88,-88,-78,-79,-82,-79,-80,-75,-74,-77,-74,-81,-84,-85,-80,-82,-86,-80,-82,-87,-87,-89,-74,-81,-82,-89,-74,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-67,-60,-100,-67,-67,-66,-67,-75,-79,-75,-76,-78,-78,-73,-77,-72,-74,-78,-79,-79,-83,-81,-80,-81,-83,-76,-76,-74,-75,-78,-77,-82,-81,-82,-82,-81,-85,-84,-83,-83,-80,-82,-79,-100,-84,-83,-81,-80,-100,-81,-86,-100,-87,-75,-78,-82,-78,-83,-76,-74,-77,-76,-81,-84,-82,-81,-82,-85,-81,-82,-87,-88,-100,-74,-81,-81,-89,-73,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-69,-60,-60,-69,-69,-64,-60,-76,-78,-76,-76,-78,-78,-74,-78,-71,-74,-76,-77,-77,-82,-82,-81,-82,-82,-76,-75,-75,-75,-77,-77,-84,-81,-84,-83,-83,-86,-83,-84,-83,-80,-83,-81,-100,-85,-82,-81,-79,-100,-82,-84,-100,-87,-76,-78,-82,-76,-82,-75,-75,-77,-76,-82,-84,-85,-79,-82,-84,-81,-82,-100,-88,-100,-74,-81,-81,-87,-83,-81,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-68,-60,-60,-69,-69,-63,-65,-76,-79,-76,-76,-79,-80,-73,-77,-72,-75,-77,-76,-77,-80,-82,-79,-82,-80,-75,-75,-75,-75,-77,-75,-82,-83,-82,-83,-83,-84,-84,-84,-82,-80,-82,-80,-81,-86,-82,-81,-79,-81,-82,-85,-100,-100,-76,-80,-82,-77,-80,-75,-75,-77,-76,-83,-84,-83,-80,-82,-85,-100,-82,-89,-88,-100,-73,-100,-82,-87,-74,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-70,-60,-60,-71,-71,-64,-65,-76,-78,-76,-76,-79,-79,-73,-77,-73,-73,-76,-76,-76,-80,-81,-81,-80,-80,-75,-75,-74,-74,-77,-77,-85,-81,-85,-81,-82,-83,-84,-84,-82,-80,-82,-80,-81,-85,-100,-80,-79,-81,-100,-84,-100,-100,-76,-79,-81,-76,-80,-75,-74,-77,-77,-82,-84,-85,-80,-82,-85,-81,-82,-89,-88,-100,-73,-82,-82,-100,-74,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-58,-64,-64,-58,-59,-69,-67,-80,-82,-80,-80,-81,-81,-71,-78,-83,-78,-81,-82,-81,-79,-86,-100,-86,-79,-80,-80,-79,-79,-77,-76,-78,-80,-78,-84,-83,-85,-85,-85,-100,-77,-100,-78,-84,-100,-81,-82,-79,-85,-81,-100,-100,-87,-80,-81,-86,-82,-79,-80,-79,-100,-83,-84,-85,-78,-78,-100,-91,-83,-81,-100,-86,-100,-70,-100,-100,-86,-71,-100,-87,-91,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-58,-64,-64,-58,-58,-73,-72,-81,-84,-81,-81,-81,-83,-70,-77,-81,-78,-82,-82,-82,-79,-86,-100,-86,-79,-79,-78,-81,-80,-76,-76,-81,-81,-81,-84,-85,-84,-84,-84,-100,-77,-100,-78,-83,-87,-81,-80,-84,-83,-83,-87,-100,-87,-80,-83,-86,-82,-79,-78,-80,-76,-81,-85,-84,-81,-78,-100,-87,-83,-81,-100,-86,-100,-71,-100,-84,-85,-70,-100,-86,-91,-74,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-58,-64,-64,-58,-58,-65,-74,-82,-84,-82,-82,-100,-85,-70,-77,-82,-76,-82,-82,-83,-79,-86,-85,-86,-79,-79,-78,-80,-81,-76,-76,-81,-81,-81,-85,-85,-86,-85,-85,-100,-78,-100,-77,-84,-88,-81,-80,-84,-84,-83,-87,-100,-87,-81,-84,-86,-83,-79,-78,-80,-76,-81,-85,-85,-81,-78,-100,-88,-84,-82,-100,-87,-100,-70,-100,-84,-87,-71,-100,-86,-100,-74,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-58,-63,-62,-58,-58,-62,-74,-81,-83,-80,-81,-83,-83,-69,-78,-82,-78,-82,-83,-83,-78,-86,-85,-89,-78,-78,-79,-81,-81,-74,-77,-81,-81,-81,-84,-84,-85,-85,-85,-100,-78,-100,-80,-84,-88,-83,-82,-82,-84,-82,-88,-100,-86,-81,-83,-88,-82,-78,-79,-80,-77,-79,-84,-84,-82,-78,-100,-90,-84,-82,-100,-86,-100,-69,-100,-100,-86,-69,-100,-85,-100,-88,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
