38:17:c3:1f:00:b0,72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:09:91,44:48:c1:91:d0:12,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,44:48:c1:91:d0:10,44:48:c1:91:d0:14,38:17:c3:1f:09:93,38:17:c3:1f:09:92,b4:5d:50:e1:96:43,44:48:c1:91:d0:02,20:a6:cd:42:0a:c3,38:17:c3:1f:14:01,38:17:c3:1f:14:02,38:17:c3:1f:14:12,44:48:c1:91:95:b1,44:48:c1:91:95:b3,38:17:c3:24:47:52,44:48:c1:91:95:b0,38:17:c3:1f:14:11,38:17:c3:24:47:51,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,38:17:c3:1f:19:d2,a8:bd:27:4c:aa:93,44:48:c1:91:d0:04,38:17:c3:19:45:a1,a8:bd:27:4c:aa:91,38:17:c3:1f:19:d1,44:48:c1:91:95:a0,a8:bd:27:4c:aa:83,38:17:c3:19:45:a2,44:48:c1:91:95:a1,38:17:c3:1f:09:83,a8:bd:27:4c:aa:92,38:17:c3:19:45:b1,38:17:c3:19:45:b2,44:48:c1:91:95:a3,38:17:c3:1f:00:a0,20:a6:cd:42:0a:c2,44:48:c1:91:d0:11,b4:5d:50:e1:96:50,38:17:c3:1f:09:90,9c:d6:43:60:92:e0,38:17:c3:1f:14:00,44:48:c1:91:95:b2,20:a6:cd:42:0a:d2,38:17:c3:24:47:50,38:17:c3:1f:14:10,38:17:c3:1f:19:d0,a8:bd:27:4c:aa:90,38:17:c3:19:45:a0,44:48:c1:91:95:a2,38:17:c3:19:45:b0,38:17:c3:19:36:30,20:a6:cd:42:13:f0,66:2a:2f:53:7c:99,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,44:48:c1:91:d0:00,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,b4:5d:50:e1:96:40,44:48:c1:91:d0:01,a8:bd:27:4c:aa:80,38:17:c3:1f:19:f0,38:17:c3:1f:19:c0,a8:bd:27:4c:aa:82,38:17:c3:1f:09:80,38:17:c3:1f:09:82,a8:bd:27:4c:aa:81,38:17:c3:1f:09:81,ac:e2:d3:c4:08:e6,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e3,80:8d:b7:55:25:e3,38:17:c3:19:d7:70,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,38:17:c3:19:d7:71,08:36:c9:53:bf:8b,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:13,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:03,80:8d:b7:55:3a:50,80:8d:b7:55:35:11,80:8d:b7:55:35:10,80:8d:b7:55:3a:52,80:8d:b7:55:35:12,80:8d:b7:55:3a:51,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,80:8d:b7:55:3a:41,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:35:01,68:ff:7b:e4:af:39,b0:be:76:f8:30:5e,80:8d:b7:55:39:d0,38:17:c3:1e:ff:10,80:8d:b7:55:3a:42,38:17:c3:1e:ff:12,ea:9e:b4:53:24:54,68:ff:7b:e4:af:38,80:8d:b7:55:3a:40,38:17:c3:19:71:90,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1e:ff:01,38:17:c3:19:71:80,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,38:17:c3:19:36:21,38:17:c3:19:36:20,38:17:c3:19:36:22,38:17:c3:1e:ff:11,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,80:8d:b7:55:29:d0,38:17:c3:19:36:31,38:17:c3:19:36:32,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,00:4e:35:de:e1:12,20:a6:cd:50:24:b0,38:17:c3:1f:22:30,00:4e:35:df:06:52,00:4e:35:df:06:50,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:22:32,38:17:c3:1f:22:31,00:4e:35:df:06:51,38:17:c3:1f:0e:00,00:4e:35:df:06:40,00:4e:35:de:e1:10,38:17:c3:1f:0e:10,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:0e:12,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,x,y,label
-65,-60,-60,-65,-65,-62,-64,-69,-69,-75,-77,-74,-74,-78,-78,-78,-78,-78,-81,-81,-75,-77,-77,-77,-78,-82,-82,-82,-82,-82,-83,-83,-83,-83,-84,-84,-84,-80,-81,-85,-85,-82,-82,-82,-82,-82,-86,-87,-87,-85,-69,-74,-78,-78,-81,-78,-78,-82,-82,-82,-82,-84,-84,-81,-82,-87,-90,-90,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-64,-60,-59,-65,-66,-64,-63,-67,-67,-81,-78,-75,-75,-77,-77,-77,-79,-79,-81,-81,-74,-77,-76,-77,-78,-82,-81,-82,-82,-82,-81,-83,-82,-82,-82,-84,-85,-80,-81,-84,-84,-82,-82,-82,-82,-82,-84,-87,-87,-82,-67,-75,-79,-76,-80,-78,-77,-80,-82,-82,-81,-84,-84,-81,-82,-87,-90,-90,-92,-76,-76,-77,-84,-85,-76,-77,-84,-89,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-65,-60,-59,-65,-66,-63,-61,-67,-67,-80,-78,-75,-75,-77,-77,-77,-78,-78,-80,-80,-77,-77,-75,-77,-78,-82,-81,-82,-83,-82,-82,-82,-82,-81,-82,-84,-85,-81,-80,-84,-85,-83,-86,-81,-100,-81,-84,-86,-86,-83,-66,-75,-78,-77,-81,-78,-78,-80,-81,-82,-82,-85,-84,-81,-100,-86,-100,-100,-91,-75,-75,-77,-84,-85,-76,-77,-84,-89,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-63,-60,-60,-64,-64,-56,-61,-67,-67,-81,-78,-75,-75,-77,-77,-77,-78,-78,-81,-81,-74,-76,-76,-78,-78,-83,-82,-83,-86,-82,-83,-86,-80,-80,-80,-86,-83,-81,-81,-83,-85,-83,-83,-81,-81,-85,-84,-84,-85,-86,-67,-75,-78,-77,-81,-76,-78,-82,-80,-86,-84,-85,-84,-80,-83,-84,-100,-100,-89,-75,-76,-77,-86,-86,-76,-77,-84,-100,-84,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-64,-60,-60,-64,-64,-61,-63,-69,-69,-81,-77,-74,-74,-77,-76,-76,-77,-77,-82,-82,-78,-77,-74,-78,-78,-84,-83,-84,-85,-84,-85,-85,-80,-80,-81,-85,-83,-81,-79,-83,-85,-82,-85,-79,-81,-83,-84,-86,-86,-85,-69,-75,-77,-75,-82,-76,-78,-83,-80,-86,-84,-85,-84,-79,-82,-87,-100,-100,-92,-100,-76,-77,-86,-86,-76,-77,-84,-100,-84,-84,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-65,-60,-59,-64,-65,-65,-65,-69,-69,-81,-77,-74,-74,-76,-76,-75,-77,-77,-81,-81,-75,-77,-74,-78,-78,-82,-83,-83,-86,-83,-83,-85,-81,-81,-81,-85,-100,-83,-79,-84,-84,-82,-60,-79,-82,-81,-100,-84,-85,-84,-69,-100,-77,-76,-82,-77,-78,-83,-81,-85,-83,-84,-84,-80,-83,-86,-100,-100,-92,-76,-100,-77,-100,-100,-76,-77,-84,-100,-100,-100,-85,-85,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-62,-100,-62,-62,-63,-62,-62,-68,-68,-84,-77,-100,-78,-78,-78,-78,-77,-77,-84,-85,-79,-72,-76,-100,-74,-79,-87,-87,-82,-86,-80,-82,-78,-77,-78,-88,-86,-78,-100,-87,-87,-86,-84,-73,-86,-84,-87,-100,-85,-76,-67,-100,-77,-80,-86,-74,-74,-86,-78,-84,-79,-87,-86,-100,-77,-100,-100,-100,-92,-77,-77,-78,-100,-100,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-60,-100,-62,-61,-61,-64,-64,-69,-68,-85,-78,-79,-78,-76,-76,-76,-77,-77,-85,-85,-80,-77,-76,-100,-74,-78,-86,-87,-82,-88,-77,-81,-77,-77,-77,-88,-87,-77,-100,-87,-87,-86,-84,-73,-86,-76,-87,-86,-87,-76,-69,-100,-77,-76,-85,-74,-74,-85,-77,-82,-78,-88,-87,-100,-77,-86,-100,-100,-92,-78,-76,-77,-100,-100,-78,-77,-100,-100,-100,-100,-83,-84,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-63,-62,-62,-62,-63,-67,-67,-68,-68,-86,-78,-79,-100,-78,-78,-77,-79,-78,-85,-77,-79,-77,-79,-75,-71,-77,-86,-87,-83,-88,-78,-83,-77,-77,-77,-87,-87,-78,-83,-87,-87,-85,-86,-100,-86,-77,-87,-85,-87,-85,-68,-100,-78,-78,-85,-75,-75,-85,-77,-83,-78,-88,-84,-100,-85,-86,-100,-100,-100,-77,-77,-77,-100,-100,-78,-77,-100,-100,-100,-100,-84,-83,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-61,-62,-62,-61,-61,-67,-67,-67,-67,-84,-78,-79,-100,-78,-78,-78,-78,-78,-85,-85,-78,-77,-79,-75,-75,-78,-85,-86,-83,-86,-77,-83,-77,-77,-77,-88,-86,-78,-83,-86,-88,-86,-76,-84,-86,-84,-86,-85,-100,-83,-67,-80,-78,-78,-85,-76,-76,-86,-77,-83,-78,-88,-87,-84,-85,-86,-100,-100,-100,-77,-77,-78,-100,-100,-77,-78,-100,-100,-100,-100,-84,-83,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
