38:17:c3:1f:00:b0,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,60:32:b1:3e:1a:b8,44:48:c1:91:d0:10,44:48:c1:91:d0:12,44:48:c1:91:d0:14,b4:5d:50:e1:96:53,20:a6:cd:42:0a:c3,b4:5d:50:e1:96:43,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:1f:09:93,20:a6:cd:42:0a:d0,38:17:c3:1f:14:12,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,44:48:c1:91:d0:00,44:48:c1:91:d0:02,38:17:c3:1f:09:92,38:17:c3:1f:14:11,b4:5d:50:e1:96:41,38:17:c3:24:47:51,38:17:c3:1f:19:d1,44:48:c1:91:95:b3,44:48:c1:91:95:b0,38:17:c3:19:45:b2,44:48:c1:91:95:b1,38:17:c3:1f:09:91,38:17:c3:19:45:b1,38:17:c3:24:47:52,38:17:c3:1f:19:d2,44:48:c1:91:d0:04,38:17:c3:1f:09:83,a8:bd:27:4c:aa:83,b4:5d:50:e1:96:42,44:48:c1:91:95:a3,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,44:48:c1:91:d0:11,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:50,38:17:c3:1f:14:10,20:a6:cd:42:0a:c2,44:48:c1:91:d0:01,38:17:c3:19:45:b0,38:17:c3:24:47:50,44:48:c1:91:95:b2,38:17:c3:1f:19:d0,b4:5d:50:e1:96:40,a8:bd:27:4c:aa:90,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,38:17:c3:19:45:a2,38:17:c3:1f:00:a0,9c:d6:43:60:92:e0,38:17:c3:1f:00:a1,38:17:c3:1f:14:01,38:17:c3:1f:14:02,38:17:c3:1f:09:81,38:17:c3:1f:09:82,80:8d:b7:55:25:e3,38:17:c3:1f:09:90,38:17:c3:1f:09:80,20:a6:cd:42:13:f0,a8:bd:27:4c:aa:91,38:17:c3:19:45:a1,38:17:c3:1f:14:00,38:17:c3:22:61:90,38:17:c3:19:45:a0,66:2a:2f:53:7c:99,44:48:c1:91:95:a1,38:17:c3:24:56:50,72:32:b1:3e:1a:b7,44:48:c1:91:95:a0,a8:bd:27:4c:aa:81,44:48:c1:91:95:a2,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:82,20:a6:cd:42:0b:e3,a8:bd:27:4c:aa:80,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:19:d7:70,38:17:c3:19:d7:72,38:17:c3:19:d7:71,38:17:c3:19:d7:62,20:a6:cd:42:0b:f3,08:36:c9:53:bf:8b,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f0,38:17:c3:19:d7:61,38:17:c3:19:d7:60,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:25:f3,38:17:c3:19:36:30,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:25:e2,80:8d:b7:55:3a:50,80:8d:b7:55:25:e1,80:8d:b7:55:3a:41,80:8d:b7:55:25:e0,b0:be:76:f8:30:5e,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:02,38:17:c3:1e:ff:10,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,38:17:c3:19:71:91,80:8d:b7:55:35:01,38:17:c3:19:71:90,80:8d:b7:55:39:d0,80:8d:b7:55:35:00,68:ff:7b:e4:af:38,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,68:ff:7b:e4:af:39,38:17:c3:19:71:82,38:17:c3:19:71:92,00:4e:35:df:06:40,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:19:71:81,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,38:17:c3:19:36:21,38:17:c3:19:36:22,38:17:c3:19:36:20,38:17:c3:19:71:80,ea:9e:b4:53:24:54,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:29:c2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,38:17:c3:1e:ff:00,38:17:c3:1f:22:32,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:29:c1,80:8d:b7:55:29:d0,80:8d:b7:55:29:c0,20:a6:cd:50:24:b0,00:4e:35:de:e1:12,80:8d:b7:55:39:c0,00:4e:35:df:06:50,00:4e:35:df:06:41,00:4e:35:df:06:52,00:4e:35:df:06:42,00:4e:35:df:06:51,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,80:8d:b7:55:4d:02,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,x,y,label
-63,-65,-63,-63,-62,-72,-72,-72,-77,-71,-76,-76,-76,-77,-77,-80,-76,-83,-75,-75,-80,-79,-80,-83,-76,-86,-85,-82,-83,-83,-82,-80,-83,-85,-86,-72,-81,-82,-78,-83,-87,-88,-72,-76,-77,-84,-76,-79,-83,-85,-82,-84,-78,-87,-62,-65,-87,-66,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-62,-66,-62,-62,-57,-73,-73,-72,-76,-75,-74,-78,-78,-76,-76,-82,-78,-84,-75,-76,-78,-79,-82,-84,-78,-83,-84,-82,-83,-83,-82,-82,-83,-83,-86,-72,-81,-82,-79,-85,-87,-88,-72,-78,-76,-84,-76,-79,-83,-83,-82,-86,-79,-88,-62,-65,-87,-66,-78,-66,-75,-75,-80,-80,-92,-82,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-62,-64,-62,-62,-58,-73,-73,-73,-77,-71,-74,-75,-75,-76,-77,-80,-75,-80,-77,-77,-78,-78,-81,-80,-78,-86,-86,-83,-83,-86,-84,-81,-85,-85,-86,-78,-83,-83,-79,-78,-87,-87,-73,-75,-77,-80,-77,-78,-85,-86,-83,-86,-79,-88,-62,-67,-87,-67,-77,-67,-75,-75,-82,-82,-92,-80,-82,-89,-87,-88,-75,-87,-88,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-61,-66,-61,-61,-63,-74,-74,-74,-78,-73,-62,-77,-77,-78,-78,-82,-77,-84,-76,-76,-80,-79,-81,-85,-100,-85,-84,-82,-82,-84,-82,-81,-84,-84,-85,-78,-82,-83,-100,-85,-87,-87,-74,-77,-78,-85,-75,-79,-84,-85,-82,-85,-79,-88,-61,-67,-87,-67,-76,-67,-75,-74,-82,-82,-100,-82,-81,-86,-87,-86,-75,-88,-87,-92,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-61,-61,-61,-61,-56,-72,-72,-72,-79,-75,-75,-76,-77,-79,-79,-83,-77,-83,-77,-77,-80,-81,-83,-83,-100,-85,-84,-82,-82,-83,-82,-83,-83,-85,-85,-78,-83,-83,-100,-86,-88,-87,-72,-77,-79,-84,-76,-80,-84,-85,-82,-85,-80,-88,-63,-66,-87,-66,-75,-66,-75,-75,-81,-81,-100,-83,-76,-86,-87,-86,-75,-88,-87,-91,-87,-91,-61,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-61,-64,-61,-61,-55,-72,-72,-72,-79,-74,-76,-77,-78,-78,-78,-84,-78,-84,-76,-77,-80,-81,-84,-84,-80,-86,-84,-82,-100,-81,-81,-84,-82,-85,-84,-80,-82,-84,-80,-85,-89,-87,-72,-78,-79,-85,-76,-81,-82,-86,-82,-84,-79,-88,-61,-66,-100,-66,-77,-66,-75,-75,-81,-81,-100,-84,-80,-100,-87,-100,-74,-100,-100,-91,-100,-100,-64,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-62,-60,-62,-62,-59,-76,-76,-76,-76,-74,-78,-78,-78,-76,-76,-83,-78,-81,-79,-100,-100,-100,-83,-80,-78,-84,-87,-85,-86,-85,-85,-83,-85,-85,-88,-80,-78,-82,-78,-81,-86,-89,-76,-78,-76,-81,-79,-100,-86,-87,-86,-89,-78,-88,-62,-100,-84,-100,-74,-100,-75,-75,-100,-100,-100,-83,-78,-100,-89,-82,-74,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-62,-60,-62,-62,-57,-76,-76,-76,-76,-74,-78,-78,-78,-76,-76,-83,-78,-81,-79,-100,-79,-79,-83,-80,-77,-86,-87,-86,-86,-86,-85,-83,-86,-86,-88,-79,-79,-82,-77,-84,-86,-89,-76,-78,-76,-81,-79,-79,-86,-86,-85,-89,-78,-88,-61,-100,-84,-100,-75,-100,-73,-75,-100,-76,-100,-84,-78,-100,-89,-82,-74,-100,-84,-100,-82,-100,-60,-84,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-63,-60,-63,-63,-55,-76,-76,-75,-76,-80,-79,-78,-78,-76,-76,-83,-78,-81,-79,-79,-79,-79,-83,-81,-78,-83,-88,-86,-87,-85,-86,-83,-85,-84,-89,-79,-79,-81,-78,-80,-86,-100,-76,-78,-77,-81,-79,-79,-85,-83,-85,-87,-78,-87,-61,-66,-83,-66,-74,-66,-73,-100,-100,-76,-100,-83,-78,-100,-100,-83,-72,-100,-83,-100,-82,-100,-60,-83,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-64,-61,-64,-64,-61,-77,-76,-77,-77,-76,-78,-79,-79,-78,-78,-84,-79,-81,-79,-80,-80,-79,-84,-80,-78,-83,-90,-86,-85,-86,-85,-83,-85,-85,-89,-82,-79,-82,-78,-84,-87,-100,-77,-79,-78,-80,-80,-79,-88,-85,-86,-89,-78,-88,-58,-66,-83,-66,-74,-66,-74,-74,-78,-78,-100,-84,-77,-100,-100,-83,-74,-100,-83,-100,-83,-100,-100,-82,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
