38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,38:17:c3:19:45:b2,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,a8:bd:27:4c:aa:83,20:a6:cd:42:0a:c3,38:17:c3:1f:00:b0,38:17:c3:1f:14:00,60:32:b1:3e:1a:b7,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:09:91,44:48:c1:91:d0:04,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:d2,38:17:c3:24:47:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,38:17:c3:24:47:51,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:24:47:50,b4:5d:50:e1:96:50,44:48:c1:91:d0:01,38:17:c3:1f:19:d0,38:17:c3:1f:14:02,38:17:c3:1f:09:90,38:17:c3:1f:14:11,38:17:c3:19:45:b1,38:17:c3:1f:14:10,38:17:c3:1f:14:01,b4:5d:50:e1:96:41,b4:5d:50:e1:96:40,38:17:c3:19:45:b0,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,44:48:c1:91:d0:02,a8:bd:27:4c:aa:93,38:17:c3:1f:00:a0,44:48:c1:91:d0:11,a8:bd:27:4c:aa:90,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:43,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,b4:5d:50:e1:96:42,44:48:c1:91:95:a1,44:48:c1:91:95:a3,38:17:c3:19:45:a1,9c:d6:43:60:92:e0,a8:bd:27:4c:aa:80,38:17:c3:1f:14:12,20:a6:cd:42:0a:c0,a8:bd:27:4c:aa:92,44:48:c1:91:95:b1,44:48:c1:91:95:b3,a8:bd:27:4c:aa:91,38:17:c3:1f:09:83,44:48:c1:91:95:b0,20:a6:cd:42:0a:c2,44:48:c1:91:95:b2,44:48:c1:91:d0:00,38:17:c3:1f:09:82,38:17:c3:1f:09:81,38:17:c3:1f:09:80,44:48:c1:91:95:a2,44:48:c1:91:95:a0,38:17:c3:19:45:a2,38:17:c3:19:45:a0,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,38:17:c3:19:d7:70,38:17:c3:22:5e:f0,b6:e6:2d:69:d5:58,20:a6:cd:42:13:f0,44:48:c1:91:aa:30,38:17:c3:24:56:50,ac:e2:d3:c4:08:e6,20:a6:cd:42:13:f1,20:a6:cd:42:0b:e3,38:17:c3:22:61:90,38:17:c3:22:61:91,38:17:c3:22:61:92,38:17:c3:1f:19:f0,38:17:c3:19:d7:71,20:a6:cd:42:0b:f3,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:d7:60,20:a6:cd:42:0b:f0,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,08:36:c9:53:bf:8b,38:17:c3:19:d7:72,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:25:e3,38:17:c3:19:36:30,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:35:03,80:8d:b7:55:3a:50,80:8d:b7:55:35:10,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,68:ff:7b:e4:af:39,38:17:c3:1e:ff:10,80:8d:b7:55:3a:52,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:3a:51,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:39:d0,68:ff:7b:e4:af:38,b0:be:76:f8:30:5e,80:8d:b7:55:3a:42,38:17:c3:19:71:90,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,ea:9e:b4:53:24:54,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:36:22,38:17:c3:19:36:21,20:a6:cd:50:24:a0,80:8d:b7:55:29:d0,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1e:ff:02,38:17:c3:19:71:82,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,38:17:c3:19:71:80,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:39:c1,80:8d:b7:55:29:c0,80:8d:b7:55:39:c0,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,38:17:c3:19:71:81,80:8d:b7:55:39:c2,00:4e:35:df:06:52,00:4e:35:df:06:50,00:4e:35:df:06:40,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:22:30,38:17:c3:1f:22:32,20:a6:cd:50:24:b0,20:a6:cd:50:24:b2,00:4e:35:df:06:42,00:4e:35:df:06:51,38:17:c3:1f:22:31,20:a6:cd:50:24:b1,00:4e:35:de:e1:12,00:4e:35:df:06:41,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:10,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:4d:01,80:8d:b7:55:4d:02,80:8d:b7:55:4d:00,38:17:c3:1f:0e:01,x,y,label
-71,-70,-65,-65,-85,-64,-62,-82,-77,-64,-76,-61,-87,-87,-88,-72,-80,-79,-79,-78,-79,-82,-82,-83,-82,-82,-85,-85,-82,-84,-79,-86,-75,-87,-84,-85,-83,-76,-82,-82,-85,-80,-81,-81,-78,-89,-70,-80,-88,-93,-62,-79,-80,-80,-81,-86,-88,-88,-77,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-70,-71,-66,-66,-86,-60,-60,-82,-78,-66,-76,-61,-85,-85,-85,-75,-80,-80,-80,-78,-80,-83,-81,-81,-82,-83,-84,-84,-83,-81,-78,-84,-75,-86,-82,-85,-82,-76,-100,-100,-86,-80,-80,-80,-78,-86,-71,-81,-87,-100,-60,-75,-80,-79,-100,-100,-85,-100,-74,-80,-82,-78,-85,-85,-86,-88,-82,-86,-76,-86,-78,-80,-82,-82,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-68,-69,-67,-68,-83,-56,-58,-85,-74,-68,-76,-66,-84,-84,-84,-62,-76,-76,-76,-76,-76,-83,-78,-77,-78,-85,-86,-86,-84,-78,-78,-86,-76,-84,-81,-82,-81,-76,-77,-76,-83,-77,-77,-77,-78,-85,-69,-77,-85,-100,-100,-75,-83,-82,-75,-84,-86,-83,-78,-83,-80,-76,-85,-85,-84,-85,-81,-85,-75,-84,-100,-80,-80,-80,-82,-83,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-70,-70,-65,-65,-85,-65,-59,-84,-76,-64,-74,-60,-86,-86,-86,-75,-78,-78,-79,-76,-78,-83,-81,-81,-81,-84,-83,-85,-84,-82,-77,-85,-74,-85,-86,-85,-85,-74,-80,-80,-85,-76,-76,-76,-77,-87,-71,-76,-88,-100,-60,-76,-80,-82,-81,-100,-81,-100,-66,-82,-85,-77,-87,-86,-86,-89,-86,-86,-77,-85,-78,-83,-83,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-71,-70,-61,-61,-86,-63,-55,-82,-78,-61,-76,-60,-87,-87,-88,-72,-79,-79,-79,-77,-79,-83,-81,-81,-81,-83,-84,-84,-84,-81,-80,-84,-76,-87,-81,-85,-82,-76,-82,-82,-86,-79,-80,-79,-78,-86,-70,-80,-85,-93,-60,-74,-80,-79,-81,-86,-88,-88,-75,-79,-81,-76,-85,-86,-86,-87,-84,-88,-76,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-70,-70,-66,-66,-84,-59,-60,-82,-74,-65,-76,-65,-81,-80,-80,-78,-78,-78,-78,-78,-78,-83,-80,-80,-80,-83,-83,-83,-82,-80,-78,-83,-76,-80,-81,-84,-82,-76,-77,-77,-84,-76,-76,-76,-78,-84,-70,-76,-85,-100,-64,-72,-83,-83,-76,-83,-87,-85,-76,-83,-82,-78,-84,-83,-83,-84,-81,-83,-77,-82,-100,-80,-80,-81,-81,-82,-84,-84,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-74,-74,-61,-61,-83,-100,-68,-87,-78,-61,-100,-63,-87,-87,-86,-78,-82,-82,-82,-77,-82,-81,-100,-100,-100,-82,-87,-87,-82,-100,-77,-87,-77,-87,-82,-83,-82,-67,-78,-79,-83,-80,-80,-80,-77,-89,-74,-80,-89,-100,-100,-82,-87,-86,-77,-100,-84,-100,-76,-86,-82,-77,-100,-83,-83,-100,-100,-85,-77,-82,-78,-83,-100,-82,-100,-85,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-73,-73,-61,-62,-83,-68,-68,-84,-76,-61,-75,-61,-85,-85,-84,-74,-78,-78,-78,-77,-78,-83,-75,-76,-76,-83,-84,-84,-83,-76,-77,-85,-75,-85,-80,-84,-79,-75,-78,-79,-84,-79,-80,-80,-77,-89,-73,-80,-89,-93,-61,-84,-87,-86,-77,-100,-84,-100,-76,-86,-80,-77,-100,-84,-83,-100,-84,-84,-77,-84,-77,-82,-82,-82,-100,-85,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-74,-75,-61,-62,-86,-66,-65,-84,-74,-61,-75,-61,-84,-84,-85,-73,-79,-79,-79,-76,-79,-83,-75,-75,-75,-82,-84,-85,-82,-75,-71,-83,-75,-84,-80,-84,-80,-75,-77,-77,-86,-79,-78,-78,-76,-100,-74,-78,-100,-93,-61,-84,-100,-100,-77,-100,-100,-100,-71,-100,-80,-77,-100,-84,-84,-100,-83,-85,-76,-84,-77,-81,-82,-83,-85,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-74,-74,-62,-62,-84,-68,-66,-87,-75,-62,-75,-61,-83,-85,-84,-72,-80,-80,-80,-76,-79,-84,-75,-75,-75,-85,-84,-84,-85,-75,-77,-83,-75,-84,-80,-85,-80,-75,-77,-78,-86,-81,-81,-80,-77,-100,-74,-81,-100,-100,-100,-80,-100,-100,-78,-86,-82,-86,-75,-100,-80,-76,-100,-85,-84,-100,-83,-85,-76,-84,-77,-83,-83,-82,-86,-100,-100,-85,-100,-100,-100,-100,-100,-89,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
