38:17:c3:1f:00:b0,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,38:17:c3:1f:00:b1,38:17:c3:1f:00:a1,44:48:c1:91:d0:14,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,44:48:c1:91:d0:12,44:48:c1:91:d0:10,b4:5d:50:e1:96:53,38:17:c3:1f:09:91,38:17:c3:24:47:52,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:24:47:51,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:14:11,38:17:c3:1f:14:12,44:48:c1:91:95:a3,38:17:c3:1f:00:a0,44:48:c1:91:d0:11,b4:5d:50:e1:96:50,38:17:c3:1f:09:90,38:17:c3:24:47:50,9c:d6:43:60:92:e0,38:17:c3:1f:19:d0,38:17:c3:1f:14:10,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:14:02,38:17:c3:1f:14:01,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,38:17:c3:1f:00:a2,b4:5d:50:e1:96:41,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:83,b4:5d:50:e1:96:40,a8:bd:27:4c:aa:80,44:48:c1:91:95:a2,44:48:c1:91:d0:00,44:48:c1:91:d0:02,44:48:c1:91:d0:01,38:17:c3:1f:14:00,72:32:b1:3e:1a:b7,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,b4:5d:50:e1:96:43,44:48:c1:91:95:b1,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,44:48:c1:91:95:b3,44:48:c1:91:95:b0,38:17:c3:19:45:a2,20:a6:cd:42:0a:d2,44:48:c1:91:95:b2,a8:bd:27:4c:aa:90,38:17:c3:1f:09:80,38:17:c3:19:45:a0,44:48:c1:91:aa:30,38:17:c3:24:56:50,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:42,44:48:c1:91:95:a1,20:a6:cd:42:13:f2,44:48:c1:91:95:a0,20:a6:cd:42:0a:c2,20:a6:cd:42:13:f0,38:17:c3:22:61:90,38:17:c3:1a:cf:d0,66:2a:2f:53:7c:99,38:17:c3:1f:09:81,38:17:c3:1f:09:83,38:17:c3:19:45:a1,20:a6:cd:42:13:f1,38:17:c3:19:d7:71,38:17:c3:19:d7:70,38:17:c3:1f:09:82,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:1f:19:e2,38:17:c3:1f:19:e0,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:42:0b:e0,38:17:c3:19:d7:60,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:72,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:25:e3,38:17:c3:19:36:30,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,38:17:c3:1e:ff:10,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:35:10,80:8d:b7:55:35:12,02:54:af:fe:54:11,38:17:c3:1e:ff:12,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:39:d0,68:ff:7b:e4:af:39,b0:be:76:f8:30:5e,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,38:17:c3:19:71:92,38:17:c3:19:36:32,38:17:c3:19:71:91,38:17:c3:19:36:31,ea:9e:b4:53:24:54,20:a6:cd:50:24:a2,38:17:c3:19:71:90,20:a6:cd:50:24:a1,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,20:a6:cd:50:24:a0,80:8d:b7:55:39:d1,38:17:c3:1e:ff:11,38:17:c3:1f:22:30,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,80:8d:b7:55:39:c1,38:17:c3:1e:ff:01,80:8d:b7:55:29:d0,80:8d:b7:55:39:c0,80:8d:b7:55:39:c2,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,80:8d:b7:55:29:c0,68:ff:7b:e4:af:38,00:4e:35:df:06:52,80:8d:b7:55:39:d2,20:a6:cd:50:24:b0,00:4e:35:de:e1:12,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:40,38:17:c3:1f:0e:10,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:0e:02,38:17:c3:1f:22:20,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,x,y,label
-65,-59,-66,-67,-67,-66,-71,-77,-75,-77,-77,-77,-77,-77,-77,-77,-82,-79,-83,-81,-79,-84,-85,-79,-79,-85,-70,-77,-77,-81,-79,-80,-84,-79,-84,-85,-78,-78,-83,-86,-70,-76,-80,-80,-79,-76,-80,-86,-81,-81,-81,-78,-59,-79,-79,-79,-75,-83,-84,-84,-84,-85,-82,-79,-83,-84,-81,-82,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-65,-61,-65,-57,-56,-65,-69,-73,-75,-75,-76,-79,-79,-73,-73,-79,-80,-85,-79,-80,-85,-82,-82,-84,-85,-81,-68,-73,-79,-79,-85,-74,-82,-84,-81,-81,-80,-81,-79,-81,-68,-74,-80,-80,-81,-75,-80,-86,-81,-76,-76,-80,-59,-75,-75,-75,-69,-82,-79,-80,-82,-82,-82,-75,-82,-79,-81,-82,-89,-90,-70,-74,-83,-87,-84,-75,-86,-89,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-61,-61,-61,-56,-55,-62,-69,-74,-74,-75,-75,-84,-84,-75,-74,-84,-81,-83,-81,-80,-83,-82,-82,-84,-85,-86,-70,-75,-84,-81,-82,-81,-90,-84,-82,-82,-80,-81,-79,-82,-70,-76,-80,-81,-81,-77,-100,-100,-77,-77,-77,-80,-100,-76,-75,-76,-73,-83,-79,-80,-83,-82,-100,-76,-82,-79,-100,-100,-100,-100,-75,-77,-87,-87,-86,-76,-88,-89,-91,-90,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-62,-64,-64,-61,-64,-63,-67,-81,-75,-74,-72,-77,-77,-81,-81,-77,-83,-80,-82,-83,-80,-86,-86,-83,-83,-81,-67,-80,-77,-82,-80,-79,-87,-83,-83,-82,-79,-78,-88,-83,-68,-73,-83,-83,-81,-73,-100,-84,-76,-77,-76,-79,-100,-82,-82,-82,-76,-86,-87,-87,-85,-82,-83,-81,-86,-87,-82,-74,-100,-100,-72,-72,-84,-100,-83,-71,-87,-100,-91,-100,-81,-80,-82,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-63,-64,-63,-59,-64,-63,-67,-77,-73,-73,-72,-81,-81,-77,-77,-80,-81,-81,-81,-81,-81,-86,-87,-84,-84,-83,-67,-76,-81,-81,-81,-80,-86,-85,-81,-81,-79,-78,-88,-81,-67,-76,-83,-83,-86,-77,-100,-82,-77,-76,-76,-79,-100,-79,-79,-79,-79,-84,-87,-87,-85,-85,-82,-79,-84,-87,-80,-74,-100,-100,-72,-77,-82,-88,-82,-71,-87,-89,-90,-100,-80,-79,-82,-86,-88,-88,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-62,-64,-62,-64,-64,-62,-68,-77,-73,-75,-72,-80,-80,-76,-77,-80,-80,-80,-80,-80,-80,-86,-87,-85,-85,-82,-69,-78,-80,-80,-80,-80,-91,-85,-80,-81,-77,-77,-86,-81,-67,-77,-100,-100,-86,-77,-100,-82,-78,-76,-76,-76,-100,-80,-79,-80,-78,-84,-87,-87,-83,-85,-83,-79,-83,-85,-79,-83,-100,-100,-72,-77,-82,-88,-82,-72,-87,-89,-91,-86,-81,-73,-82,-87,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,260,0
-59,-65,-59,-63,-63,-59,-67,-100,-81,-78,-75,-80,-80,-100,-100,-80,-82,-79,-83,-83,-80,-88,-87,-81,-81,-85,-67,-100,-80,-83,-80,-90,-88,-81,-84,-85,-70,-70,-87,-84,-66,-75,-79,-80,-85,-75,-80,-86,-76,-76,-76,-70,-65,-78,-78,-78,-79,-83,-86,-86,-83,-82,-82,-79,-83,-87,-83,-82,-100,-100,-100,-75,-100,-100,-86,-75,-100,-100,-100,-100,-83,-82,-82,-100,-100,-100,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-60,-64,-60,-62,-55,-59,-67,-76,-77,-76,-75,-80,-80,-77,-76,-80,-82,-80,-82,-82,-80,-85,-84,-81,-81,-84,-67,-76,-80,-81,-80,-90,-86,-81,-83,-84,-70,-70,-87,-82,-67,-75,-80,-80,-83,-75,-80,-86,-76,-74,-75,-70,-65,-77,-78,-78,-81,-84,-86,-86,-84,-84,-81,-78,-83,-87,-83,-82,-100,-100,-75,-75,-100,-100,-86,-75,-100,-86,-100,-100,-83,-81,-82,-100,-100,-100,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-60,-63,-60,-62,-62,-60,-68,-76,-77,-78,-75,-80,-80,-76,-76,-80,-81,-80,-82,-82,-80,-86,-86,-80,-81,-80,-69,-76,-80,-82,-80,-64,-85,-81,-83,-84,-68,-100,-87,-82,-69,-73,-80,-79,-85,-72,-80,-86,-100,-74,-75,-70,-63,-78,-78,-78,-79,-84,-100,-100,-84,-84,-81,-78,-84,-87,-83,-100,-100,-100,-75,-73,-100,-100,-85,-75,-100,-86,-100,-100,-83,-81,-80,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
-59,-63,-59,-55,-60,-58,-66,-75,-77,-75,-75,-80,-80,-75,-75,-80,-82,-80,-81,-82,-80,-86,-86,-83,-84,-83,-66,-75,-80,-81,-80,-64,-86,-83,-100,-100,-68,-71,-86,-100,-65,-73,-81,-80,-84,-73,-81,-86,-100,-100,-100,-70,-64,-78,-78,-77,-79,-83,-87,-100,-85,-84,-81,-78,-85,-86,-82,-81,-100,-100,-76,-73,-85,-100,-85,-76,-100,-100,-100,-100,-82,-80,-81,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,350,243,1
