38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,b0:be:76:f8:30:5e,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,38:17:c3:1f:01:81,38:17:c3:1f:01:91,44:48:c1:a5:82:31,38:17:c3:1f:01:92,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:3a:42,44:48:c1:a5:82:32,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e3,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:62,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,b4:5d:50:e1:92:23,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,80:8d:b7:55:39:c0,38:17:c3:1f:01:80,38:17:c3:1f:01:90,44:48:c1:a5:82:30,80:8d:b7:55:35:00,80:8d:b7:55:25:f0,38:17:c3:19:d7:60,38:17:c3:19:45:b0,38:17:c3:19:d7:70,66:2a:2f:53:7c:99,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,b4:5d:50:e1:92:33,80:8d:b7:55:25:e0,00:4e:35:df:06:42,20:a6:cd:50:24:b0,38:17:c3:1f:01:82,44:48:c1:a5:82:22,44:48:c1:a5:82:21,80:8d:b7:55:3a:41,00:4e:35:df:06:41,00:4e:35:df:06:40,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,38:17:c3:19:45:b1,00:4e:35:df:06:51,44:48:c1:a5:82:20,80:8d:b7:55:3a:40,80:8d:b7:55:3a:50,20:a6:cd:50:24:a0,00:4e:35:df:06:52,80:8d:b7:55:35:03,38:17:c3:19:45:b2,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:19:d7:72,38:17:c3:19:55:52,38:17:c3:19:55:51,38:17:c3:19:d7:71,38:17:c3:19:45:a0,38:17:c3:19:55:50,00:4e:35:df:06:50,b4:5d:50:e1:92:31,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,60:32:b1:3e:1a:b8,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,b4:5d:50:e1:96:43,38:17:c3:1e:ff:10,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,b4:5d:50:e1:92:22,00:4e:35:de:e1:12,b4:5d:50:e1:92:21,a8:bd:27:4c:bd:30,60:32:b1:3e:1a:b7,b4:5d:50:e1:92:20,00:4e:35:de:e1:11,00:4e:35:de:e1:10,b4:5d:50:e1:96:53,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:50,00:4e:35:de:e1:02,38:17:c3:1f:08:41,38:17:c3:1f:08:42,00:4e:35:de:e1:01,00:4e:35:de:e1:00,38:17:c3:1f:08:40,38:17:c3:1f:22:21,a8:bd:27:4c:bd:20,38:17:c3:1f:22:22,a8:bd:27:4c:bd:32,38:17:c3:1f:22:20,a8:bd:27:4c:bd:31,38:17:c3:1f:22:30,00:4e:35:de:d7:52,00:4e:35:de:d7:53,38:17:c3:19:71:81,00:4e:35:de:d7:51,00:4e:35:de:d7:50,9c:d6:43:60:92:e0,38:17:c3:19:71:80,38:17:c3:19:71:90,38:17:c3:19:71:91,38:17:c3:19:71:92,a8:bd:27:4c:bd:22,38:17:c3:1f:08:50,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:19:71:82,38:17:c3:1f:08:52,38:17:c3:1f:08:51,a8:bd:27:4c:bd:21,00:4e:35:de:d7:42,00:4e:35:df:0e:12,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:10,00:4e:35:df:0e:11,00:4e:35:df:0e:01,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,64:e5:99:c3:13:3c,38:17:c3:1e:fc:b1,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:90,38:17:c3:24:4f:01,38:17:c3:24:4f:02,38:17:c3:24:4f:00,00:4e:35:df:27:01,00:4e:35:df:27:00,00:4e:35:df:27:02,00:4e:35:de:d7:43,38:17:c3:1b:08:a2,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,38:17:c3:1b:08:b0,00:4e:35:de:d7:40,00:4e:35:de:d7:41,x,y,timestamp
-54,-54,-33,-45,-49,-49,-69,-70,-70,-70,-73,-73,-71,-70,-68,-77,-77,-77,-71,-71,-74,-77,-81,-81,-82,-76,-76,-76,-78,-78,-78,-83,-82,-83,-54,-49,-70,-73,-71,-68,-77,-77,-71,-81,-79,-83,-85,-88,-81,-81,-88,-76,-78,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,270,674,79134274107869
-56,-56,-33,-43,-47,-47,-66,-72,-72,-72,-72,-72,-67,-68,-67,-79,-79,-79,-71,-71,-74,-79,-82,-82,-82,-74,-74,-75,-77,-79,-78,-83,-82,-83,-56,-47,-72,-73,-68,-68,-79,-79,-71,-83,-77,-83,-85,-88,-83,-82,-88,-75,-79,-82,-67,-73,-73,-74,-78,-79,-83,-84,-84,-87,-73,-74,-84,-83,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,270,674,79137919359793
-55,-55,-35,-39,-47,-47,-64,-72,-72,-72,-73,-73,-69,-69,-67,-74,-79,-74,-71,-71,-74,-79,-82,-82,-81,-75,-75,-78,-79,-78,-79,-85,-84,-100,-55,-47,-72,-73,-68,-68,-74,-79,-71,-82,-77,-83,-86,-88,-83,-82,-100,-76,-79,-85,-68,-73,-73,-74,-81,-79,-83,-83,-83,-87,-73,-74,-84,-83,-87,-69,-84,-82,-82,-86,-86,-86,-86,-83,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,270,674,79141655796408
-53,-53,-35,-42,-47,-46,-64,-73,-73,-73,-72,-72,-69,-69,-68,-74,-78,-74,-71,-72,-100,-78,-84,-83,-83,-74,-74,-75,-78,-78,-78,-85,-84,-82,-53,-46,-74,-72,-100,-68,-74,-78,-72,-83,-78,-83,-86,-88,-82,-82,-100,-75,-100,-85,-68,-72,-72,-100,-81,-100,-82,-82,-83,-100,-72,-74,-100,-82,-88,-69,-83,-82,-82,-86,-86,-86,-85,-83,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,270,674,79145372035870
-54,-55,-38,-41,-48,-47,-64,-71,-71,-71,-75,-74,-100,-100,-68,-74,-80,-74,-72,-72,-74,-80,-84,-83,-84,-76,-76,-77,-78,-78,-78,-84,-84,-82,-55,-48,-71,-75,-100,-68,-74,-81,-72,-84,-78,-84,-85,-86,-82,-82,-88,-75,-81,-100,-68,-72,-72,-74,-100,-100,-82,-82,-83,-86,-72,-74,-82,-82,-88,-66,-84,-100,-100,-100,-100,-100,-85,-100,-100,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,270,674,79149054211947
-53,-53,-38,-40,-47,-47,-65,-71,-71,-71,-76,-76,-69,-69,-67,-74,-79,-74,-72,-72,-74,-79,-82,-82,-82,-76,-75,-77,-100,-79,-100,-83,-83,-100,-53,-47,-72,-77,-69,-68,-74,-79,-72,-82,-78,-84,-85,-86,-81,-82,-89,-76,-81,-83,-68,-72,-72,-74,-79,-100,-82,-82,-84,-87,-71,-74,-82,-100,-87,-68,-84,-83,-100,-84,-100,-100,-84,-100,-89,-87,-90,-81,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,270,674,79152829068794
-53,-53,-36,-49,-54,-54,-71,-67,-67,-67,-66,-66,-70,-70,-68,-73,-76,-73,-64,-64,-76,-76,-81,-81,-81,-70,-70,-70,-100,-80,-100,-85,-85,-83,-53,-54,-67,-66,-70,-68,-73,-76,-64,-81,-100,-100,-82,-87,-100,-100,-85,-100,-84,-85,-68,-76,-76,-76,-100,-100,-84,-83,-100,-100,-76,-75,-83,-100,-100,-64,-100,-100,-100,-82,-86,-86,-81,-100,-85,-100,-86,-100,-100,-100,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,270,658,79206038005335
-53,-53,-36,-51,-53,-53,-72,-67,-67,-67,-66,-66,-70,-70,-68,-74,-76,-74,-64,-65,-78,-76,-81,-81,-81,-71,-71,-74,-78,-79,-78,-85,-85,-85,-53,-54,-67,-66,-70,-68,-73,-76,-65,-81,-78,-81,-82,-86,-100,-83,-86,-71,-84,-85,-67,-76,-76,-77,-100,-100,-84,-83,-82,-87,-75,-75,-83,-100,-87,-66,-82,-100,-100,-81,-86,-85,-81,-83,-86,-86,-86,-83,-100,-84,-86,-85,-85,-87,-87,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,270,658,79209887296335
-52,-53,-37,-51,-54,-54,-71,-67,-67,-67,-65,-65,-71,-71,-68,-73,-76,-74,-65,-65,-75,-76,-81,-81,-81,-70,-70,-75,-79,-80,-79,-85,-86,-85,-53,-54,-67,-65,-71,-68,-73,-76,-64,-81,-78,-82,-81,-86,-100,-83,-85,-71,-100,-86,-68,-76,-76,-76,-100,-100,-83,-83,-82,-86,-76,-100,-83,-83,-86,-66,-82,-100,-100,-81,-86,-84,-81,-83,-84,-86,-100,-83,-100,-84,-86,-100,-100,-86,-87,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,270,658,79213775500874
-53,-53,-36,-49,-54,-54,-73,-67,-67,-67,-66,-66,-70,-70,-68,-73,-76,-74,-64,-64,-75,-76,-81,-81,-81,-70,-70,-74,-79,-81,-79,-85,-85,-100,-53,-54,-67,-66,-71,-68,-73,-76,-63,-81,-78,-82,-81,-100,-100,-83,-85,-70,-100,-85,-68,-77,-77,-75,-100,-100,-83,-82,-82,-87,-76,-75,-83,-83,-87,-65,-82,-82,-83,-81,-100,-84,-82,-100,-84,-87,-100,-83,-100,-100,-86,-100,-100,-86,-86,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,270,658,79217599951951
