38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,b0:be:76:f8:30:5e,38:17:c3:1f:01:92,38:17:c3:1f:01:91,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:13,38:17:c3:1f:01:82,38:17:c3:1f:01:81,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,44:48:c1:a5:82:31,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e3,80:8d:b7:55:25:f3,38:17:c3:19:d7:72,38:17:c3:19:45:b2,38:17:c3:19:45:b1,00:4e:35:df:06:41,80:8d:b7:55:3a:52,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:51,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:35:10,38:17:c3:1f:01:80,80:8d:b7:55:39:d0,44:48:c1:a5:82:30,80:8d:b7:55:3a:40,80:8d:b7:55:25:f0,80:8d:b7:55:25:e0,38:17:c3:19:45:b0,00:4e:35:df:06:42,00:4e:35:df:06:52,20:a6:cd:50:24:b0,66:2a:2f:53:7c:99,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:03,38:17:c3:19:d7:71,00:4e:35:df:06:40,38:17:c3:19:d7:62,20:a6:cd:50:24:a1,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,b4:5d:50:e1:92:30,00:4e:35:df:06:51,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:96:53,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,44:48:c1:a5:82:20,38:17:c3:19:d7:70,20:a6:cd:50:24:a0,80:8d:b7:55:3a:50,b4:5d:50:e1:96:50,b4:5d:50:e1:92:31,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,38:17:c3:19:d7:61,20:a6:cd:50:24:a2,00:4e:35:df:06:50,38:17:c3:19:d7:60,60:32:b1:3e:1a:b8,b4:5d:50:e1:92:21,b4:5d:50:e1:92:23,38:17:c3:1e:ff:10,38:17:c3:1e:ff:12,b4:5d:50:e1:92:22,38:17:c3:1e:ff:11,38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:55:50,b4:5d:50:e1:92:20,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,00:4e:35:de:e1:01,00:4e:35:de:e1:02,00:4e:35:de:e1:12,20:a6:cd:42:0b:e3,a8:bd:27:4c:bd:30,b4:5d:50:e1:96:52,00:4e:35:de:e1:11,00:4e:35:de:e1:10,00:4e:35:de:e1:00,60:32:b1:3e:1a:b7,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,00:4e:35:de:d7:53,00:4e:35:de:d7:52,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:21,00:4e:35:de:d7:50,a8:bd:27:4c:bd:22,00:4e:35:de:d7:51,38:17:c3:1f:08:50,00:4e:35:de:d7:43,38:17:c3:1f:22:22,38:17:c3:19:71:90,38:17:c3:1f:22:30,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:20,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:22:21,38:17:c3:19:45:a0,00:4e:35:de:d7:40,38:17:c3:19:45:a2,38:17:c3:19:45:a1,00:4e:35:df:0e:02,38:17:c3:1e:fc:a0,00:4e:35:df:0e:00,00:4e:35:df:0e:01,00:4e:35:df:0e:12,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,64:e5:99:c3:13:3c,00:4e:35:df:27:00,38:17:c3:24:58:b0,38:17:c3:24:4f:10,38:17:c3:24:58:b1,38:17:c3:24:58:b2,00:4e:35:df:27:02,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:4f:00,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:01,38:17:c3:1f:0f:90,38:17:c3:24:4f:02,38:17:c3:1e:fc:b2,38:17:c3:1b:08:b0,00:4e:35:de:d7:41,00:4e:35:de:d7:42,38:17:c3:1b:08:a0,38:17:c3:1b:08:a2,x,y,timestamp
-53,-53,-36,-41,-47,-47,-66,-69,-70,-71,-71,-71,-68,-68,-69,-70,-76,-76,-76,-77,-73,-73,-74,-74,-81,-81,-78,-78,-78,-82,-82,-84,-84,-81,-85,-82,-86,-54,-47,-69,-71,-68,-76,-77,-72,-81,-78,-84,-81,-88,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,263,668,90550907298934
-53,-53,-35,-41,-47,-47,-65,-73,-73,-72,-72,-72,-67,-67,-70,-70,-77,-74,-74,-77,-73,-73,-72,-72,-81,-81,-78,-78,-76,-81,-82,-85,-86,-79,-86,-81,-86,-52,-47,-73,-72,-67,-74,-77,-72,-82,-78,-85,-79,-88,-86,-89,-69,-70,-71,-82,-79,-79,-82,-86,-86,-88,-88,-88,-89,-89,-70,-70,-72,-82,-82,-87,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,263,668,90554453756704
-53,-53,-37,-44,-46,-46,-67,-73,-73,-72,-72,-72,-67,-67,-70,-70,-76,-75,-74,-76,-73,-73,-72,-72,-81,-81,-77,-77,-77,-81,-82,-86,-86,-79,-85,-81,-85,-53,-46,-73,-72,-67,-74,-76,-73,-82,-77,-86,-79,-87,-86,-89,-70,-70,-73,-81,-79,-79,-82,-86,-86,-88,-88,-88,-89,-89,-70,-70,-72,-82,-82,-87,-89,-89,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,263,668,90558206659704
-52,-52,-32,-46,-47,-47,-65,-73,-73,-71,-71,-71,-67,-67,-70,-71,-77,-75,-74,-78,-73,-73,-72,-72,-81,-81,-78,-78,-74,-81,-81,-86,-85,-77,-85,-83,-85,-52,-47,-74,-71,-67,-74,-78,-73,-81,-77,-86,-78,-87,-86,-88,-69,-68,-70,-81,-100,-100,-83,-87,-86,-100,-86,-100,-88,-100,-69,-71,-72,-80,-100,-100,-100,-100,-80,-80,-79,-79,-82,-86,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,263,668,90561980708012
-52,-52,-34,-44,-47,-47,-65,-74,-73,-71,-71,-71,-68,-67,-71,-71,-76,-76,-76,-76,-100,-100,-72,-72,-82,-82,-78,-78,-75,-82,-82,-85,-86,-77,-85,-82,-85,-52,-47,-73,-70,-67,-75,-76,-100,-81,-77,-86,-78,-87,-86,-88,-69,-70,-73,-82,-77,-78,-83,-87,-86,-100,-86,-100,-89,-100,-70,-71,-72,-82,-100,-85,-100,-100,-100,-100,-79,-78,-82,-86,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,263,668,90565911567397
-55,-54,-35,-46,-47,-47,-67,-72,-72,-70,-70,-70,-67,-66,-71,-69,-76,-73,-74,-76,-74,-73,-73,-73,-81,-82,-79,-78,-77,-81,-82,-86,-85,-79,-88,-81,-87,-54,-47,-73,-70,-66,-74,-76,-74,-81,-78,-86,-79,-86,-88,-100,-70,-70,-74,-81,-79,-78,-100,-100,-100,-100,-86,-89,-88,-100,-70,-69,-73,-82,-100,-87,-100,-89,-100,-100,-100,-79,-100,-86,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,263,668,90569643779859
-57,-58,-37,-48,-50,-50,-74,-72,-72,-73,-73,-73,-70,-71,-68,-68,-75,-66,-66,-75,-100,-75,-72,-72,-81,-81,-100,-100,-71,-81,-79,-83,-83,-100,-82,-83,-82,-57,-50,-72,-73,-100,-67,-76,-100,-81,-73,-83,-100,-86,-81,-81,-72,-73,-63,-79,-100,-72,-100,-81,-81,-100,-86,-100,-100,-100,-100,-68,-72,-79,-79,-81,-100,-100,-80,-80,-100,-73,-100,-86,-73,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,263,651,90627520456939
-59,-59,-33,-45,-49,-49,-76,-71,-71,-73,-73,-73,-67,-67,-67,-66,-75,-67,-67,-75,-100,-75,-71,-71,-81,-82,-100,-100,-71,-82,-79,-83,-83,-100,-81,-83,-81,-59,-49,-71,-73,-68,-67,-75,-74,-82,-73,-83,-81,-86,-82,-88,-72,-72,-70,-79,-100,-72,-100,-81,-80,-100,-85,-100,-89,-100,-72,-67,-71,-79,-79,-81,-100,-100,-81,-80,-100,-71,-100,-85,-71,-80,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,263,651,90630993989555
-58,-58,-34,-46,-48,-48,-73,-73,-73,-74,-74,-73,-68,-68,-67,-66,-75,-67,-67,-75,-74,-74,-71,-71,-78,-79,-100,-100,-77,-78,-79,-83,-83,-80,-81,-100,-81,-58,-48,-73,-74,-69,-67,-75,-73,-79,-100,-83,-80,-86,-82,-88,-72,-72,-71,-79,-80,-72,-100,-82,-81,-100,-86,-100,-89,-100,-72,-67,-71,-79,-79,-81,-100,-100,-79,-79,-80,-72,-79,-85,-72,-100,-85,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,263,651,90634688712632
-59,-58,-35,-47,-50,-50,-72,-72,-72,-72,-72,-72,-68,-68,-66,-66,-76,-66,-66,-76,-73,-73,-72,-71,-81,-82,-100,-100,-77,-82,-80,-83,-83,-80,-80,-84,-79,-59,-50,-72,-72,-69,-66,-76,-73,-81,-100,-83,-79,-86,-81,-88,-72,-72,-72,-80,-80,-100,-79,-81,-81,-100,-86,-100,-89,-100,-72,-66,-72,-100,-79,-100,-100,-100,-79,-79,-80,-73,-79,-100,-72,-80,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,263,651,90638373638401
