38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,b0:be:76:f8:30:5e,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:03,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,38:17:c3:1f:01:81,38:17:c3:1f:01:82,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:25:e1,80:8d:b7:55:25:e3,38:17:c3:19:d7:62,38:17:c3:19:d7:61,80:8d:b7:55:25:e2,80:8d:b7:55:25:f2,38:17:c3:19:d7:72,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,38:17:c3:19:d7:71,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,20:a6:cd:50:24:a1,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:19:55:51,ac:e2:d3:c4:08:e6,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,80:8d:b7:55:39:d0,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,44:48:c1:a5:82:30,38:17:c3:1f:01:90,80:8d:b7:55:35:10,38:17:c3:1f:01:80,80:8d:b7:55:3a:50,80:8d:b7:55:3a:40,38:17:c3:19:d7:60,80:8d:b7:55:25:e0,80:8d:b7:55:25:f0,38:17:c3:19:d7:70,38:17:c3:1e:ff:00,20:a6:cd:50:24:a0,20:a6:cd:50:24:b0,38:17:c3:19:55:50,00:4e:35:df:06:52,00:4e:35:df:06:42,38:17:c3:1e:ff:10,44:48:c1:a5:82:22,44:48:c1:a5:82:21,20:a6:cd:50:24:a2,00:4e:35:df:06:40,b4:5d:50:e1:92:33,44:48:c1:a5:82:20,38:17:c3:19:45:b0,66:2a:2f:53:7c:99,38:17:c3:19:55:52,b4:5d:50:e1:92:31,38:17:c3:19:45:b2,38:17:c3:19:45:b1,b4:5d:50:e1:92:32,00:4e:35:df:06:41,38:17:c3:19:45:a1,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,b4:5d:50:e1:92:23,b4:5d:50:e1:96:53,60:32:b1:3e:1a:b8,b4:5d:50:e1:96:50,00:4e:35:de:e1:12,b4:5d:50:e1:92:30,20:a6:cd:42:0b:e3,38:17:c3:19:45:a2,38:17:c3:19:45:a0,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:30,60:32:b1:3e:1a:b7,38:17:c3:1f:09:83,20:a6:cd:42:0b:f0,00:4e:35:de:e1:00,20:a6:cd:42:0b:f3,b4:5d:50:e1:96:43,38:17:c3:19:55:42,00:4e:35:de:e1:01,38:17:c3:19:55:41,38:17:c3:19:55:40,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,44:48:c1:91:95:b3,00:4e:35:de:e1:02,44:48:c1:91:95:b2,38:17:c3:1f:22:30,38:17:c3:1f:22:21,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:41,00:4e:35:de:d7:52,00:4e:35:de:d7:42,00:4e:35:de:d7:50,38:17:c3:19:71:81,38:17:c3:19:71:82,00:4e:35:de:d7:43,38:17:c3:19:71:90,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:08:50,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:19:71:80,00:4e:35:de:d7:40,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:22:32,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:02,00:4e:35:df:0e:12,00:4e:35:df:0e:01,00:4e:35:df:0e:11,00:4e:35:df:0e:10,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:58:b0,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:1b:08:b0,x,y,timestamp
-55,-55,-43,-48,-48,-67,-72,-72,-73,-73,-68,-69,-69,-70,-70,-74,-74,-75,-75,-75,-72,-72,-81,-81,-76,-76,-77,-78,-78,-78,-78,-83,-83,-83,-83,-84,-81,-81,-81,-85,-85,-86,-83,-87,-87,-55,-48,-72,-69,-70,-74,-74,-75,-72,-81,-76,-77,-78,-83,-83,-81,-81,-85,-86,-86,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,678,2240546214825
-53,-53,-41,-48,-48,-67,-70,-70,-76,-76,-68,-68,-66,-70,-70,-74,-74,-75,-75,-75,-73,-73,-80,-81,-76,-76,-77,-75,-78,-78,-78,-82,-84,-82,-82,-84,-81,-81,-81,-86,-86,-86,-77,-87,-87,-53,-48,-71,-68,-70,-74,-76,-75,-73,-81,-76,-77,-78,-83,-84,-81,-80,-86,-86,-86,-83,-90,-74,-75,-81,-84,-88,-75,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,678,2244266369133
-53,-53,-41,-48,-48,-69,-70,-71,-78,-78,-69,-69,-64,-71,-71,-75,-75,-78,-78,-78,-73,-74,-82,-82,-76,-100,-79,-77,-78,-78,-79,-83,-85,-83,-83,-86,-100,-100,-80,-86,-86,-85,-77,-85,-85,-53,-48,-70,-69,-71,-75,-78,-77,-73,-80,-76,-100,-79,-83,-84,-100,-80,-86,-85,-85,-83,-90,-73,-73,-79,-84,-88,-75,-87,-87,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,678,2248086152903
-51,-51,-43,-47,-47,-70,-72,-72,-77,-76,-67,-67,-69,-71,-71,-75,-75,-76,-76,-76,-73,-73,-81,-81,-78,-78,-79,-76,-100,-100,-79,-83,-83,-83,-82,-82,-100,-100,-80,-85,-86,-85,-78,-85,-84,-51,-47,-72,-68,-71,-74,-77,-76,-73,-81,-77,-100,-79,-83,-83,-100,-80,-86,-85,-84,-100,-89,-75,-73,-79,-100,-88,-75,-87,-91,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,678,2251713314903
-52,-52,-41,-47,-47,-70,-71,-71,-78,-78,-68,-69,-66,-70,-70,-75,-75,-76,-75,-75,-73,-73,-81,-81,-78,-78,-100,-76,-100,-100,-79,-82,-84,-83,-82,-84,-100,-100,-100,-85,-86,-86,-78,-85,-84,-53,-47,-72,-69,-70,-76,-78,-76,-73,-79,-77,-100,-100,-83,-84,-100,-100,-86,-86,-84,-100,-89,-74,-73,-100,-100,-88,-74,-88,-91,-86,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,678,2255597130134
-52,-52,-40,-48,-48,-71,-71,-71,-76,-76,-69,-69,-67,-70,-70,-76,-76,-75,-74,-74,-100,-100,-81,-81,-100,-100,-100,-76,-100,-75,-100,-83,-84,-83,-83,-84,-100,-100,-100,-100,-100,-86,-100,-86,-86,-52,-48,-71,-69,-71,-76,-76,-75,-100,-81,-77,-100,-100,-82,-84,-100,-100,-86,-86,-86,-100,-100,-74,-74,-100,-100,-88,-74,-88,-100,-86,-89,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,678,2259238856673
-52,-52,-49,-49,-49,-73,-70,-70,-75,-75,-67,-67,-64,-67,-67,-73,-73,-69,-69,-69,-100,-100,-80,-80,-100,-100,-72,-100,-76,-76,-72,-78,-100,-77,-78,-100,-100,-100,-100,-82,-82,-87,-79,-85,-85,-52,-49,-70,-67,-67,-73,-75,-69,-72,-81,-77,-76,-73,-78,-100,-100,-84,-82,-87,-85,-100,-100,-73,-73,-100,-100,-88,-73,-82,-85,-87,-87,-82,-81,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,661,2328233665292
-52,-52,-48,-49,-49,-73,-70,-70,-75,-75,-67,-67,-64,-67,-67,-73,-73,-69,-69,-69,-100,-100,-81,-81,-77,-77,-73,-100,-77,-77,-72,-78,-100,-77,-78,-100,-100,-100,-100,-82,-82,-87,-79,-85,-85,-53,-49,-70,-67,-67,-73,-75,-69,-72,-80,-76,-76,-73,-78,-100,-100,-84,-82,-87,-85,-100,-90,-73,-73,-100,-100,-88,-74,-81,-88,-87,-88,-81,-81,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,661,2332035365754
-54,-55,-47,-49,-49,-72,-71,-71,-74,-74,-68,-68,-65,-68,-68,-72,-72,-73,-73,-73,-68,-68,-83,-83,-75,-75,-72,-73,-75,-77,-71,-85,-100,-85,-85,-80,-100,-100,-100,-87,-82,-100,-77,-85,-86,-54,-49,-71,-68,-69,-72,-75,-73,-68,-83,-76,-100,-72,-85,-100,-100,-82,-87,-87,-86,-82,-88,-72,-72,-82,-100,-88,-74,-82,-87,-100,-88,-82,-82,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,661,2335722514139
-55,-55,-46,-53,-53,-73,-74,-74,-74,-74,-69,-68,-65,-68,-68,-71,-71,-70,-70,-70,-68,-68,-82,-83,-75,-75,-72,-73,-70,-100,-71,-85,-100,-85,-88,-81,-78,-100,-100,-85,-86,-100,-77,-100,-86,-55,-53,-74,-68,-69,-71,-74,-70,-68,-83,-77,-74,-72,-87,-100,-79,-82,-85,-87,-86,-82,-88,-72,-72,-82,-100,-88,-72,-81,-86,-100,-100,-81,-81,-89,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,661,2339597877216
