38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:01:82,80:8d:b7:55:25:e3,38:17:c3:1f:01:81,38:17:c3:19:d7:62,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:d7:61,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,ac:e2:d3:c4:08:e6,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:1e:ff:01,20:a6:cd:50:24:b2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,20:a6:cd:50:24:b1,38:17:c3:1e:ff:12,2a:16:ad:ec:da:ab,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,38:17:c3:1f:01:90,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,38:17:c3:1f:01:80,80:8d:b7:55:25:e0,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:3a:40,44:48:c1:a5:82:20,80:8d:b7:55:3a:50,00:4e:35:df:06:52,38:17:c3:19:55:50,38:17:c3:1e:ff:00,20:a6:cd:50:24:b0,b4:5d:50:e1:92:31,38:17:c3:1e:ff:10,66:2a:2f:53:7c:99,b0:be:76:f8:30:5e,80:8d:b7:55:39:c1,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,00:4e:35:df:06:40,00:4e:35:df:06:41,38:17:c3:1e:ff:02,44:48:c1:a5:82:30,20:a6:cd:50:24:a0,00:4e:35:df:06:42,38:17:c3:19:45:b0,38:17:c3:19:45:b2,38:17:c3:1e:ff:11,38:17:c3:19:d7:60,60:32:b1:3e:1a:b8,b4:5d:50:e1:92:22,38:17:c3:19:45:b1,38:17:c3:19:45:a1,38:17:c3:19:45:a0,b4:5d:50:e1:92:23,38:17:c3:19:45:a2,60:32:b1:3e:1a:b7,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,b4:5d:50:e1:92:21,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:20,b4:5d:50:e1:92:30,a8:bd:27:4c:bd:30,00:4e:35:de:e1:00,00:4e:35:de:e1:11,00:4e:35:de:e1:10,00:4e:35:de:e1:01,00:4e:35:de:e1:12,00:4e:35:de:e1:02,38:17:c3:1f:08:41,44:48:c1:91:95:b2,38:17:c3:1f:08:50,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:31,38:17:c3:1f:22:21,00:4e:35:de:d7:52,38:17:c3:1f:22:20,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:de:d7:40,38:17:c3:1f:22:30,38:17:c3:1f:22:22,a8:bd:27:4c:bd:21,38:17:c3:19:71:90,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:19:71:81,a8:bd:27:4c:bd:22,38:17:c3:19:71:92,00:4e:35:de:d7:43,38:17:c3:1f:22:32,38:17:c3:1f:08:52,38:17:c3:1f:08:51,38:17:c3:1f:22:31,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:58:a2,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,00:4e:35:df:27:00,38:17:c3:24:4f:10,00:4e:35:de:d7:42,00:4e:35:de:d7:41,x,y,timestamp
-51,-51,-46,-50,-50,-72,-72,-73,-73,-73,-71,-70,-70,-69,-74,-74,-71,-77,-71,-74,-82,-82,-81,-81,-81,-74,-74,-75,-77,-77,-84,-84,-79,-84,-84,-83,-82,-80,-86,-82,-78,-86,-88,-86,-88,-87,-51,-50,-71,-72,-74,-73,-70,-71,-74,-82,-81,-77,-77,-82,-83,-84,-82,-85,-86,-89,-88,-70,-69,-77,-77,-77,-77,-79,-80,-82,-77,-79,-80,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,724,760734826890
-51,-50,-46,-50,-50,-72,-72,-73,-73,-73,-69,-68,-70,-68,-74,-74,-71,-76,-71,-74,-82,-82,-80,-80,-79,-72,-72,-100,-75,-76,-84,-85,-79,-100,-100,-86,-86,-81,-86,-80,-78,-100,-88,-86,-88,-88,-51,-50,-71,-73,-74,-69,-68,-71,-74,-80,-80,-77,-76,-84,-86,-87,-81,-85,-88,-88,-88,-70,-67,-79,-79,-77,-77,-79,-80,-81,-79,-80,-80,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,724,764637678429
-53,-52,-47,-49,-49,-73,-73,-73,-73,-73,-69,-69,-70,-68,-73,-73,-71,-76,-72,-75,-80,-80,-81,-82,-82,-72,-72,-75,-76,-77,-83,-83,-78,-86,-86,-86,-88,-82,-86,-80,-100,-100,-87,-88,-89,-87,-53,-49,-73,-74,-73,-69,-70,-100,-100,-80,-82,-77,-77,-83,-87,-86,-81,-85,-88,-88,-84,-71,-67,-77,-77,-77,-77,-100,-100,-82,-77,-80,-100,-88,-87,-88,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,724,768328021275
-51,-51,-42,-48,-48,-71,-71,-74,-73,-73,-68,-68,-68,-70,-73,-73,-71,-76,-71,-75,-80,-81,-82,-82,-82,-73,-73,-75,-74,-76,-83,-83,-77,-86,-86,-85,-86,-82,-87,-100,-100,-100,-87,-86,-88,-87,-51,-48,-72,-73,-73,-68,-70,-71,-73,-81,-81,-100,-75,-82,-85,-86,-82,-87,-88,-88,-88,-69,-69,-80,-80,-78,-78,-100,-100,-82,-81,-100,-100,-100,-100,-88,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,724,772082639045
-51,-51,-44,-48,-48,-71,-71,-73,-73,-73,-67,-67,-66,-70,-74,-74,-72,-77,-72,-75,-81,-81,-82,-82,-81,-72,-73,-75,-74,-76,-100,-83,-79,-86,-100,-84,-86,-82,-87,-82,-82,-100,-100,-86,-88,-100,-51,-48,-71,-73,-74,-67,-70,-72,-73,-81,-81,-76,-75,-83,-84,-100,-82,-86,-100,-88,-88,-71,-70,-78,-78,-75,-76,-100,-79,-82,-78,-100,-79,-88,-100,-88,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,724,775902476276
-51,-51,-45,-48,-48,-72,-72,-73,-73,-73,-67,-67,-65,-69,-74,-74,-72,-79,-72,-75,-81,-80,-82,-82,-82,-73,-73,-75,-75,-75,-82,-81,-78,-100,-100,-84,-86,-81,-86,-82,-82,-100,-100,-86,-89,-100,-51,-48,-72,-73,-74,-67,-69,-72,-73,-100,-81,-77,-75,-83,-84,-100,-81,-86,-100,-89,-88,-69,-69,-79,-79,-77,-77,-78,-78,-100,-79,-83,-78,-88,-100,-100,-75,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,724,779662474814
-57,-57,-46,-56,-56,-72,-73,-69,-69,-69,-67,-67,-64,-68,-74,-74,-71,-73,-71,-70,-81,-81,-78,-78,-78,-73,-72,-71,-71,-71,-82,-82,-80,-100,-100,-100,-100,-81,-100,-100,-77,-100,-89,-100,-83,-91,-57,-56,-73,-69,-74,-67,-68,-71,-73,-81,-78,-80,-71,-82,-100,-85,-100,-100,-88,-82,-100,-100,-68,-72,-72,-79,-79,-100,-100,-81,-72,-100,-100,-100,-100,-83,-71,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,709,885795020821
-55,-54,-43,-53,-53,-74,-74,-68,-68,-68,-67,-67,-67,-68,-73,-73,-72,-75,-72,-70,-81,-81,-80,-80,-80,-71,-71,-71,-71,-71,-82,-82,-82,-100,-100,-100,-86,-81,-85,-78,-78,-100,-89,-85,-83,-91,-55,-53,-74,-68,-73,-67,-69,-72,-72,-81,-80,-77,-71,-81,-86,-85,-100,-85,-88,-83,-100,-71,-68,-73,-73,-76,-77,-100,-84,-81,-73,-78,-84,-84,-84,-83,-71,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,709,889471596436
-53,-53,-44,-53,-52,-74,-74,-69,-69,-69,-67,-67,-72,-68,-73,-72,-70,-69,-71,-72,-81,-81,-80,-79,-80,-71,-71,-71,-74,-74,-80,-80,-82,-100,-100,-100,-86,-82,-84,-78,-78,-100,-100,-85,-84,-91,-53,-53,-74,-69,-73,-67,-69,-72,-71,-81,-80,-76,-74,-81,-86,-100,-82,-85,-100,-84,-86,-78,-68,-71,-72,-76,-77,-84,-84,-82,-71,-78,-82,-83,-83,-84,-72,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,709,893207368898
-53,-53,-45,-54,-54,-77,-77,-69,-69,-69,-66,-66,-65,-68,-72,-72,-71,-68,-72,-71,-81,-81,-79,-79,-79,-71,-71,-72,-74,-72,-81,-80,-100,-100,-100,-100,-88,-82,-86,-78,-78,-100,-100,-86,-84,-91,-53,-54,-77,-69,-72,-66,-68,-72,-71,-82,-79,-77,-72,-81,-86,-100,-82,-86,-100,-84,-86,-76,-68,-72,-72,-77,-77,-83,-100,-82,-72,-78,-83,-83,-83,-83,-72,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,709,897006354591
