60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a1,38:17:c3:1f:00:b1,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c3,38:17:c3:1f:00:b2,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,44:48:c1:91:d0:02,44:48:c1:91:d0:00,38:17:c3:1f:14:01,38:17:c3:1f:14:02,38:17:c3:1f:09:83,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1f:14:12,20:a6:cd:42:0a:d0,38:17:c3:1f:14:11,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,38:17:c3:1f:09:81,38:17:c3:1f:09:82,44:48:c1:91:d0:14,44:48:c1:91:d0:10,44:48:c1:91:d0:12,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:24:47:51,38:17:c3:24:47:52,44:48:c1:91:95:a3,38:17:c3:1f:19:d2,38:17:c3:1f:09:93,44:48:c1:91:95:b3,38:17:c3:1f:00:a0,20:a6:cd:42:0a:c2,38:17:c3:1f:00:b0,44:48:c1:91:d0:01,38:17:c3:1f:14:00,38:17:c3:19:45:b0,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,9c:d6:43:60:92:e0,44:48:c1:91:d0:11,44:48:c1:91:95:a2,38:17:c3:24:47:50,a8:bd:27:4c:aa:80,38:17:c3:1f:19:d0,38:17:c3:1f:09:90,44:48:c1:91:95:b2,66:2a:2f:53:7c:99,44:48:c1:91:d0:04,38:17:c3:19:45:a1,38:17:c3:19:45:a2,44:48:c1:91:95:a1,44:48:c1:91:95:a0,38:17:c3:1f:19:d1,38:17:c3:1f:09:91,38:17:c3:19:45:a0,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:09:92,b4:5d:50:e1:96:50,38:17:c3:1f:09:80,b4:5d:50:e1:96:40,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:90,86:0d:8e:aa:25:a4,ac:e2:d3:c4:08:e6,b6:e6:2d:69:d5:58,a8:bd:27:4c:aa:93,38:17:c3:1f:19:f0,20:a6:cd:42:0b:e3,38:17:c3:19:d7:62,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f3,38:17:c3:19:d7:70,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:35:00,80:8d:b7:55:25:f0,80:8d:b7:55:3a:42,80:8d:b7:55:25:f3,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,b0:be:76:f8:30:5e,80:8d:b7:55:3a:50,80:8d:b7:55:39:c0,80:8d:b7:55:35:02,80:8d:b7:55:25:f1,80:8d:b7:55:39:d2,80:8d:b7:55:25:f2,80:8d:b7:55:39:d0,80:8d:b7:55:35:01,20:a6:cd:50:24:a2,80:8d:b7:55:39:d1,20:a6:cd:50:24:a1,80:8d:b7:55:39:c1,ea:9e:b4:53:24:54,38:17:c3:19:36:21,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:29:d0,38:17:c3:1e:ff:10,38:17:c3:19:71:90,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:71:82,38:17:c3:1e:ff:12,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:39:c2,38:17:c3:1e:ff:11,20:a6:cd:50:24:a0,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,38:17:c3:1f:0e:02,20:a6:cd:50:24:b0,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:19:71:80,00:4e:35:df:06:41,00:4e:35:df:06:40,38:17:c3:1f:0e:10,38:17:c3:1f:22:30,38:17:c3:1f:0e:01,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:0e:00,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:0e:12,x,y,timestamp
-53,-67,-65,-76,-68,-70,-68,-69,-77,-74,-74,-74,-73,-74,-72,-72,-76,-81,-82,-79,-81,-80,-81,-82,-74,-75,-82,-82,-82,-77,-78,-82,-82,-79,-87,-89,-88,-64,-68,-77,-73,-72,-81,-80,-81,-73,-82,-78,-82,-78,-87,-88,-88,-88,-74,-77,-77,-78,-78,-86,-88,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,90,781,197839481857
-53,-67,-64,-76,-69,-72,-69,-69,-77,-73,-73,-73,-73,-73,-72,-72,-76,-80,-81,-81,-81,-81,-82,-81,-74,-74,-81,-81,-81,-78,-78,-82,-82,-79,-86,-87,-88,-65,-69,-77,-73,-72,-80,-81,-81,-73,-82,-78,-81,-78,-86,-88,-88,-88,-74,-77,-77,-78,-78,-86,-88,-78,-65,-76,-77,-88,-88,-89,-73,-75,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,90,781,201608925934
-53,-67,-64,-76,-70,-71,-70,-69,-76,-73,-73,-73,-72,-72,-72,-72,-76,-81,-81,-81,-80,-80,-80,-80,-74,-74,-82,-82,-81,-78,-78,-81,-82,-80,-86,-87,-88,-64,-70,-76,-73,-72,-81,-81,-80,-74,-81,-78,-82,-78,-87,-88,-88,-88,-74,-78,-77,-79,-79,-87,-100,-77,-64,-76,-76,-88,-88,-87,-73,-76,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,90,781,205412278780
-53,-68,-65,-74,-70,-72,-70,-69,-74,-73,-73,-73,-72,-72,-72,-71,-76,-81,-81,-81,-81,-80,-81,-81,-74,-74,-81,-81,-81,-78,-78,-82,-81,-79,-86,-87,-88,-65,-70,-73,-73,-72,-81,-81,-81,-74,-80,-78,-82,-78,-86,-87,-88,-86,-74,-78,-77,-78,-78,-87,-87,-77,-64,-76,-76,-100,-88,-87,-73,-74,-77,-79,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,90,781,209222679857
-51,-68,-64,-76,-67,-72,-68,-69,-76,-72,-73,-73,-74,-73,-72,-71,-75,-79,-79,-83,-80,-100,-80,-80,-74,-74,-81,-81,-81,-78,-78,-83,-83,-79,-85,-87,-88,-65,-68,-76,-75,-72,-79,-84,-81,-74,-82,-77,-83,-100,-86,-87,-88,-85,-73,-76,-77,-78,-77,-85,-87,-77,-64,-76,-76,-88,-100,-88,-73,-74,-76,-79,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,90,781,213004701781
-51,-67,-64,-72,-67,-71,-68,-69,-73,-74,-74,-74,-74,-74,-73,-72,-75,-80,-80,-82,-81,-81,-81,-82,-75,-76,-82,-81,-81,-79,-79,-81,-82,-79,-86,-87,-88,-64,-68,-72,-75,-73,-80,-82,-81,-72,-81,-77,-81,-79,-85,-89,-88,-87,-73,-76,-77,-78,-77,-86,-89,-100,-65,-76,-76,-88,-100,-88,-74,-77,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,90,781,216727311781
-53,-70,-62,-69,-69,-70,-70,-70,-69,-76,-76,-76,-73,-100,-73,-73,-75,-82,-82,-78,-74,-78,-74,-74,-77,-77,-80,-79,-80,-75,-75,-84,-83,-78,-84,-100,-100,-62,-70,-69,-100,-73,-82,-79,-74,-76,-80,-78,-83,-75,-84,-100,-100,-100,-76,-100,-100,-78,-78,-84,-100,-80,-62,-71,-71,-100,-100,-100,-77,-100,-71,-79,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,90,764,319268384710
-57,-71,-65,-69,-70,-71,-70,-70,-69,-76,-76,-76,-73,-100,-71,-71,-78,-81,-81,-80,-74,-79,-74,-74,-78,-77,-78,-78,-78,-75,-76,-85,-83,-78,-84,-100,-100,-65,-70,-69,-74,-73,-82,-80,-74,-76,-78,-78,-84,-76,-84,-100,-100,-100,-77,-82,-82,-78,-78,-83,-100,-80,-65,-70,-70,-100,-100,-100,-77,-78,-70,-80,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,90,764,322881574172
-57,-69,-65,-69,-72,-73,-72,-73,-69,-75,-75,-75,-73,-73,-71,-70,-80,-84,-84,-77,-76,-77,-76,-77,-79,-78,-80,-80,-80,-80,-80,-86,-86,-81,-85,-89,-90,-63,-72,-69,-73,-100,-100,-78,-76,-78,-79,-100,-86,-81,-85,-89,-89,-100,-76,-82,-82,-100,-78,-85,-100,-100,-63,-74,-74,-100,-100,-100,-75,-79,-74,-78,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,90,764,326469285326
-53,-69,-64,-70,-72,-72,-72,-70,-70,-76,-76,-76,-73,-73,-73,-73,-80,-81,-81,-80,-75,-80,-76,-76,-80,-80,-79,-79,-78,-77,-77,-87,-86,-79,-87,-89,-90,-65,-72,-70,-74,-73,-100,-80,-75,-77,-78,-79,-86,-76,-87,-89,-89,-100,-76,-80,-100,-77,-80,-87,-100,-81,-65,-72,-72,-100,-100,-100,-75,-80,-72,-77,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,90,764,330175851634
