60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,20:a6:cd:42:0a:d1,b4:5d:50:e1:96:52,20:a6:cd:42:0a:d3,38:17:c3:1f:14:02,20:a6:cd:42:0a:c3,38:17:c3:1f:14:01,38:17:c3:19:45:a1,20:a6:cd:42:0a:c1,44:48:c1:91:d0:04,38:17:c3:19:45:a2,38:17:c3:19:45:b2,38:17:c3:19:45:b1,44:48:c1:91:d0:14,44:48:c1:91:d0:12,44:48:c1:91:d0:10,20:a6:cd:42:0a:c0,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:1f:09:83,44:48:c1:91:95:a3,38:17:c3:1f:14:11,38:17:c3:1f:14:12,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,44:48:c1:91:95:b3,38:17:c3:1f:09:93,38:17:c3:24:47:51,a8:bd:27:4c:aa:93,38:17:c3:1f:00:a0,38:17:c3:1f:00:b0,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d2,9c:d6:43:60:92:e0,38:17:c3:1f:14:00,38:17:c3:19:45:b0,44:48:c1:91:d0:11,20:a6:cd:42:0a:c2,38:17:c3:1f:09:80,38:17:c3:1f:14:10,38:17:c3:1f:19:d0,38:17:c3:1f:19:c0,38:17:c3:24:47:50,a8:bd:27:4c:aa:90,66:2a:2f:53:7c:99,b4:5d:50:e1:96:41,44:48:c1:91:d0:02,44:48:c1:91:95:a1,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,44:48:c1:91:95:a0,38:17:c3:1f:09:92,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:09:91,b4:5d:50:e1:96:40,44:48:c1:91:d0:01,44:48:c1:91:95:a2,a8:bd:27:4c:aa:80,44:48:c1:91:95:b2,38:17:c3:1f:09:90,44:48:c1:91:d0:00,20:a6:cd:42:13:e2,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,44:48:c1:91:aa:22,44:48:c1:91:aa:21,38:17:c3:19:45:a0,38:17:c3:24:47:52,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,38:17:c3:19:d7:61,20:a6:cd:42:0b:f3,38:17:c3:19:d7:60,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:91,20:a6:cd:42:0b:f0,38:17:c3:19:d7:62,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:f1,38:17:c3:19:d7:70,20:a6:cd:42:0b:f2,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:25:f3,80:8d:b7:55:35:10,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,b0:be:76:f8:30:5e,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:25:e1,80:8d:b7:55:35:01,80:8d:b7:55:3a:50,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:3a:51,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:19:36:20,ea:9e:b4:53:24:54,20:a6:cd:50:24:a2,80:8d:b7:55:3a:52,80:8d:b7:55:3a:40,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1e:ff:10,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:39:d0,38:17:c3:1e:ff:02,38:17:c3:1e:ff:11,80:8d:b7:55:39:c0,38:17:c3:1e:ff:12,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,80:8d:b7:55:29:d0,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,80:8d:b7:55:29:c2,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,20:a6:cd:50:24:a0,80:8d:b7:55:29:c1,20:a6:cd:50:24:b0,20:a6:cd:50:24:a1,00:4e:35:df:06:42,00:4e:35:df:06:52,00:4e:35:df:06:40,00:4e:35:df:06:41,20:a6:cd:50:24:b1,80:8d:b7:55:29:c0,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,38:17:c3:1f:22:30,38:17:c3:1f:22:21,38:17:c3:1f:22:31,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:22:32,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:4d:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,x,y,timestamp
-54,-70,-64,-64,-69,-70,-74,-74,-75,-75,-75,-75,-75,-76,-72,-72,-73,-74,-74,-74,-74,-78,-78,-79,-79,-79,-75,-75,-76,-78,-79,-84,-84,-85,-85,-87,-88,-88,-91,-65,-74,-75,-75,-71,-73,-78,-79,-75,-76,-84,-86,-83,-88,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,129,785,7082628379806
-56,-69,-64,-64,-68,-71,-74,-74,-75,-74,-74,-75,-74,-76,-72,-71,-72,-74,-76,-74,-74,-77,-76,-78,-78,-78,-76,-76,-76,-77,-80,-82,-83,-84,-84,-87,-86,-88,-91,-64,-74,-74,-75,-71,-72,-76,-78,-75,-76,-83,-84,-83,-88,-91,-88,-69,-74,-77,-77,-79,-79,-79,-85,-86,-86,-87,-69,-74,-78,-79,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,129,785,7086164120575
-58,-69,-64,-64,-68,-69,-73,-73,-76,-74,-74,-75,-74,-75,-72,-71,-72,-74,-76,-71,-74,-76,-76,-81,-81,-81,-76,-77,-77,-78,-81,-82,-82,-86,-84,-87,-86,-100,-100,-64,-73,-75,-75,-71,-72,-76,-81,-75,-76,-82,-86,-100,-100,-100,-88,-69,-74,-80,-77,-79,-79,-80,-85,-86,-86,-87,-69,-74,-78,-79,-85,-87,-74,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,129,785,7089886718037
-59,-70,-63,-63,-68,-73,-73,-73,-75,-75,-74,-75,-75,-75,-100,-76,-73,-77,-77,-73,-76,-82,-82,-80,-79,-80,-77,-77,-77,-78,-81,-82,-82,-85,-85,-86,-100,-100,-100,-63,-73,-75,-75,-73,-74,-82,-80,-77,-76,-83,-84,-100,-100,-100,-100,-69,-76,-79,-78,-80,-80,-79,-88,-86,-86,-88,-69,-77,-79,-79,-86,-88,-74,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,129,785,7093668071884
-54,-69,-64,-65,-68,-70,-76,-75,-75,-75,-75,-75,-75,-75,-72,-75,-72,-77,-77,-73,-76,-78,-78,-82,-82,-82,-77,-77,-77,-77,-80,-82,-82,-83,-83,-87,-87,-100,-100,-65,-76,-75,-75,-73,-74,-79,-82,-77,-100,-82,-83,-100,-100,-100,-100,-69,-73,-78,-78,-79,-80,-79,-87,-86,-87,-87,-69,-73,-79,-80,-86,-87,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,129,785,7097366910115
-55,-71,-66,-65,-68,-70,-73,-73,-75,-74,-74,-75,-74,-75,-72,-75,-71,-100,-76,-73,-77,-78,-78,-82,-82,-82,-77,-76,-76,-77,-80,-84,-83,-83,-83,-87,-86,-100,-91,-65,-73,-75,-75,-71,-71,-79,-82,-77,-76,-84,-83,-83,-89,-91,-90,-68,-73,-79,-75,-79,-80,-78,-87,-86,-86,-87,-69,-73,-78,-80,-86,-88,-73,-100,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,129,785,7101021888192
-56,-68,-63,-63,-72,-100,-72,-73,-79,-77,-77,-79,-77,-79,-77,-76,-77,-100,-75,-73,-100,-80,-80,-82,-82,-82,-75,-75,-75,-77,-84,-78,-78,-86,-86,-100,-100,-100,-100,-63,-73,-77,-79,-78,-100,-79,-82,-75,-75,-78,-86,-100,-86,-100,-100,-72,-72,-100,-100,-79,-78,-100,-100,-100,-100,-100,-72,-72,-100,-100,-89,-87,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,129,768,7160585469964
-56,-68,-63,-63,-72,-74,-73,-73,-79,-78,-78,-79,-78,-79,-77,-76,-77,-100,-75,-72,-100,-80,-80,-81,-82,-81,-75,-75,-75,-78,-80,-78,-78,-86,-86,-100,-88,-100,-100,-63,-73,-78,-79,-79,-100,-79,-81,-75,-75,-78,-86,-100,-86,-100,-100,-72,-72,-100,-80,-78,-78,-100,-87,-100,-100,-100,-72,-72,-82,-100,-89,-87,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,129,768,7164196604195
-56,-68,-63,-63,-72,-74,-73,-72,-80,-78,-77,-79,-78,-79,-78,-76,-77,-100,-75,-72,-100,-80,-79,-81,-81,-82,-75,-74,-75,-78,-80,-78,-78,-87,-86,-100,-88,-100,-100,-63,-73,-78,-79,-79,-78,-100,-82,-75,-75,-77,-86,-100,-100,-100,-100,-72,-71,-82,-79,-78,-78,-81,-88,-100,-100,-88,-71,-72,-82,-78,-100,-88,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,129,768,7167792135965
-58,-68,-62,-62,-72,-74,-74,-74,-79,-77,-77,-79,-76,-79,-78,-76,-77,-100,-74,-73,-100,-78,-78,-81,-81,-82,-75,-74,-75,-78,-79,-76,-77,-86,-86,-100,-87,-100,-100,-62,-74,-77,-79,-79,-78,-78,-82,-74,-75,-77,-86,-100,-100,-100,-100,-72,-72,-83,-79,-78,-78,-82,-88,-100,-100,-88,-72,-72,-81,-78,-100,-87,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,129,768,7171396356273
